time;open;high;low;close;Volume;RSI;RSI-based MA
2020-01-01;23473;23553;23448;23540;263;48.670685260870094;59.661129398214804
2020-01-02;23543;23795;23505;23715;7159;54.19778543823409;58.60335886414653
2020-01-03;23713;23715;23168;23315;10383;42.842184893748275;56.57089955237467
2020-01-06;23285;23368;23058;23310;10567;42.72168915800539;54.73906817279779
2020-01-07;23308;23570;23015;23168;12718;39.337821314672254;53.04947891542183
2020-01-08;23173;23605;22945;23553;17244;50.732084231031195;52.16550180471529
2020-01-09;23563;23813;23540;23760;5305;55.564784118887765;51.730502214394434
2020-01-10;23765;23898;23663;23703;4942;53.9941974043231;51.25995679738782
2020-01-13;23733;23978;23720;23973;6871;59.79182413604767;51.27687307208055
2020-01-14;23978;24048;23858;23915;8802;58.09807800084802;51.33516629072356
2020-01-15;23918;24000;23868;23960;5617;59.06691386500176;51.01346044595965
2020-01-16;23965;24135;23898;24103;5621;62.06833141376627;51.35417039603387
2020-01-17;24100;24113;24005;24048;4445;60.238801208422416;52.393936349232845
2020-01-20;24070;24098;24023;24053;2708;60.35321266459685;53.4055995077468
2020-01-21;24048;24063;23763;23815;14690;52.595241936609305;53.68592498458531
2020-01-22;23813;24038;23763;23815;7831;52.595241936609305;53.571457591612116
2020-01-23;23818;23898;23618;23845;9085;53.46961753752007;54.3305599233101
2020-01-24;23853;23908;23558;23645;9342;47.21692313472533;54.651648064504386
2020-01-27;23328;23453;23048;23135;13038;35.739718661796516;54.39464073215611
2020-01-28;23130;23398;23013;23293;11638;40.56016882570011;53.66807534606104
2020-01-29;23298;23413;23203;23260;7727;39.8871617270444;52.54824517521508
2020-01-30;23263;23298;22833;23143;18301;37.51069567405777;51.37085219448185
2020-01-31;23145;23413;22628;22730;22027;30.583798018863035;49.28456461468294
2020-02-03;22775;23023;22738;22860;12043;34.67313990473643;47.61135475067497
2020-02-04;22863;23413;22838;23323;12806;46.71333298827364;46.72895611662296
2020-02-05;23328;23720;23223;23663;13085;53.49210407457218;46.11636844953767
2020-02-06;23673;24028;23643;23955;9529;58.38807506441886;45.98417372496598
2020-02-07;23958;23963;23670;23685;9309;52.84810798833584;45.44809481951877
2020-02-10;23610;23813;23568;23725;7888;53.55124189869362;45.51638053109622
2020-02-11;23728;24023;23685;23850;6283;55.77087879299269;45.74321173512361
2020-02-12;23853;23978;23718;23853;8014;55.825438998255414;45.9114846966047
2020-02-13;23848;23895;23563;23655;9824;51.32528216335055;46.20493891293508
2020-02-14;23658;23773;23473;23543;12269;48.92288356744252;47.146593549052646
2020-02-17;23490;23568;23325;23400;6371;45.96459934793589;47.53262430064092
2020-02-18;23398;23400;23088;23315;9327;44.25172454058516;47.8443787873224
2020-02-19;23318;23683;23228;23663;14057;52.11878218393238;48.88781353802773
2020-02-20;23665;23798;23328;23400;25345;46.74946867990814;50.042504299530954
2020-02-21;23398;23578;23103;23203;15919;43.16251013607142;50.648887887483454
