Option d'achat - Acheteur;Option d'achat - Vendeur;Option d'achat - Delta;Strike Price;Option de vente - Acheteur;Option de vente - Vendeur;Option de vente - Delta
104.1;105.6;0.94;6805;2.0;2.1;-0.06
99.5;101.0;0.933;6810;2.3;2.35;-0.066
94.8;96.1;0.926;6815;2.55;2.6;-0.074
90.1;91.3;0.918;6820;2.85;2.95;-0.082
85.3;86.7;0.908;6825;3.2;3.3;-0.091
80.8;82.1;0.898;6830;3.6;3.7;-0.102
76.2;77.5;0.886;6835;4.0;4.1;-0.114
71.8;73.0;0.873;6840;4.4;4.5;-0.127
67.2;68.5;0.859;6845;5.0;5.1;-0.141
62.9;63.6;0.844;6850;5.6;5.8;-0.156
57.8;59.2;0.83;6855;6.3;6.4;-0.17
54.4;54.9;0.812;6860;7.0;7.2;-0.188
49.9;50.4;0.792;6865;7.8;8.0;-0.207
46.1;46.6;0.771;6870;8.7;8.9;-0.228
42.2;42.7;0.748;6875;9.7;9.9;-0.252
38.3;38.7;0.722;6880;10.8;11.0;-0.278
34.7;35.0;0.695;6885;12.1;12.3;-0.305
31.0;31.4;0.664;6890;13.5;13.8;-0.336
27.4;27.7;0.632;6895;15.3;15.5;-0.368
24.5;24.7;0.597;6900;16.9;17.0;-0.403
21.2;21.4;0.522;6905;19.2;19.5;-0.478
18.1;18.3;0.482;6910;21.5;21.8;-0.518
15.7;15.8;0.441;6915;23.8;24.0;-0.558
13.1;13.3;0.4;6920;26.7;27.0;-0.6
11.1;11.2;0.358;6925;29.5;29.7;-0.642
9.1;9.3;0.316;6930;32.7;33.0;-0.683
7.6;7.7;0.277;6935;35.5;36.2;-0.723
6.0;6.2;0.238;6940;39.2;40.3;-0.761
4.9;5.0;0.203;6945;42.8;43.7;-0.797
3.9;4.0;0.171;6950;46.9;47.8;-0.829
3.3;3.4;0.142;6955;48.9;49.9;-0.858
2.6;2.7;0.117;6960;53.2;54.0;-0.883
2.0;2.1;0.095;6965;57.5;58.5;-0.905
1.55;1.6;0.09;6970;62.0;62.8;-0.909
1.15;1.25;0.072;6975;66.6;67.7;-0.928
0.9;0.95;0.057;6980;71.4;72.3;-0.943
0.7;0.75;0.045;6985;76.1;77.2;-0.955
0.5;0.6;0.035;6990;80.8;82.1;-0.965
0.4;0.45;0.028;6995;85.8;86.9;-0.972
0.3;0.35;0.022;7000;92.5;93.4;-0.978
0.25;0.3;0.018;7005;97.4;98.4;-0.982
0.2;0.25;0.015;7010;102.5;103.3;-0.985
0.15;0.2;0.012;7015;106.8;108.7;-0.988
0.15;0.2;0.01;7020;111.7;113.8;-0.989
0.1;0.15;0.009;7025;116.3;118.8;-0.991
0.1;0.15;0.008;7030;121.7;123.7;-0.992
0.05;0.1;0.007;7035;123.9;128.7;-0.993
0.05;0.1;0.006;7040;132.2;133.6;-0.994
0.05;0.1;0.006;7045;137.2;138.5;-0.994
0.05;0.1;0.005;7050;142.2;143.6;-0.995
