Strike;CallBid;CallAsk;CallDelta;PutBid;PutAsk;PutDelta
6810;108.1;110.3;0.975;0.55;0.6;-0.025
6815;103.2;105.3;0.972;0.6;0.65;-0.028
6820;98.3;100.4;0.968;0.7;0.75;-0.032
6825;93.4;95.5;0.963;0.8;0.85;-0.037
6830;88.5;90.6;0.958;0.9;0.95;-0.042
6835;83.6;85.8;0.952;1.05;1.1;-0.048
6840;78.8;80.9;0.945;1.2;1.25;-0.055
6845;74.0;76.1;0.937;1.35;1.45;-0.063
6850;69.7;70.8;0.928;1.6;1.7;-0.072
6855;64.6;66.7;0.918;1.85;1.9;-0.082
6860;59.8;61.9;0.905;2.15;2.25;-0.095
6865;55.4;57.4;0.89;2.5;2.6;-0.11
6870;51.8;53.0;0.872;2.8;2.85;-0.128
6875;47.7;48.6;0.851;3.2;3.4;-0.149
6880;43.5;44.0;0.827;3.8;4.0;-0.173
6885;38.9;39.5;0.799;4.6;4.8;-0.201
6890;35.0;35.9;0.768;5.3;5.5;-0.232
6895;31.0;31.7;0.735;6.4;6.6;-0.265
6900;27.5;27.8;0.696;7.4;7.6;-0.304
6905;23.8;24.0;0.653;9.0;9.2;-0.347
6910;20.3;20.6;0.605;10.3;10.5;-0.395
6915;16.7;17.0;0.555;12.5;12.7;-0.445
6920;14.2;14.4;0.501;14.1;14.4;-0.499
6925;11.3;11.5;0.451;16.1;16.3;-0.549
6930;8.9;9.1;0.392;19.0;19.3;-0.608
6935;7.0;7.2;0.33;21.9;22.2;-0.67
6940;5.2;5.4;0.275;25.2;25.6;-0.725
6945;3.9;4.0;0.224;28.7;29.2;-0.776
6950;2.75;2.85;0.178;32.6;33.2;-0.822
6955;1.95;2.0;0.138;36.7;37.3;-0.862
6960;1.3;1.35;0.104;41.1;42.1;-0.896
6965;0.85;0.9;0.079;45.5;46.6;-0.921
6970;0.55;0.6;0.056;50.1;51.2;-0.944
6975;0.35;0.4;0.042;55.2;55.7;-0.958
6980;0.25;0.3;0.027;60.8;61.9;-0.973
6985;0.15;0.2;0.02;65.7;66.9;-0.98
6990;0.15;0.2;0.015;70.6;71.6;-0.985
6995;0.1;0.15;0.012;75.6;76.7;-0.988
7000;0.1;0.15;0.01;80.6;81.6;-0.99
7005;0.05;0.1;0.008;85.5;86.6;-0.992
7010;0.05;0.1;0.007;90.6;91.8;-0.993
7015;0.05;0.1;0.006;95.6;96.7;-0.994
7020;0.05;0.1;0.005;100.6;101.7;-0.995
7025;0.05;0.1;0.004;105.5;106.5;-0.996
7030;0.05;0.1;0.004;110.5;111.5;-0.996
