time;open;high;low;close;RSI;RSI-based MA
2020-10-16 15:30:00 ;26.67;26.91;26.19;26.45;47.40000;51.20000
2020-10-19 15:30:00 ;27.57;28.49;27.53;28.03;58.40000;54.00000
2020-10-20 15:30:00 ;28.79;29.57;28.44;28.49;57.90000;56.10000
2020-10-21 15:30:00 ;29.34;29.88;28.5;29.27;59.50000;58.10000
2020-10-22 15:30:00 ;29.12;29.24;27.94;27.97;48.50000;59.00000
2020-10-23 15:30:00 ;27.7;28.67;27.61;28.18;50.60000;55.80000
2020-11-02 15:30:00 ;37.42;38.78;36.92;38.24;62.20000;69.50000
2020-11-03 15:30:00 ;35.82;35.96;34.47;35.32;49.00000;60.80000
2020-11-04 15:30:00 ;30.87;31.2;28.03;29.21;30.40000;52.70000
2020-11-05 15:30:00 ;26.93;28.1;26.86;27.4;29.30000;42.90000
2020-11-06 15:30:00 ;27.37;27.67;25.22;25.22;27.10000;35.30000
2020-11-09 15:30:00 ;23.86;24.26;22.41;22.71;22.30000;28.70000
2020-11-10 15:30:00 ;25.06;26.77;24.68;25.95;40.70000;30.60000
2020-11-11 15:30:00 ;24.25;24.27;22.78;23.02;32.50000;31.90000
2020-11-12 15:30:00 ;24.23;26.53;23.73;26.47;49.60000;35.70000
2020-11-13 15:30:00 ;24.18;24.42;23.01;23.16;38.30000;39.10000
2020-11-16 15:30:00 ;23.42;23.99;22.84;23.99;43.40000;39.90000
2020-11-17 15:30:00 ;23.31;24.09;22.49;22.6;39.90000;41.40000
2020-11-18 15:30:00 ;22.59;22.59;21.93;22.42;40.60000;40.20000
2020-11-19 15:30:00 ;23.96;24.3;22.96;23.43;46.60000;42.40000
2020-11-20 15:30:00 ;22.64;23.33;22.13;22.31;40.50000;43.10000
2020-11-23 15:30:00 ;23.2;23.96;22.72;22.97;45.70000;45.40000
2020-11-24 15:30:00 ;22.11;22.48;21.98;22.07;40.40000;44.60000
2020-11-25 15:30:00 ;22.08;22.5;21.52;21.66;39.00000;43.10000
2020-11-27 15:30:00 ;21.13;21.35;20.73;20.84;34.40000;40.40000
2020-11-30 15:30:00 ;21.85;22.89;21.14;21.17;40.70000;40.00000
2020-12-01 15:30:00 ;20.16;20.86;20.04;20.31;36.40000;38.90000
2020-12-02 15:30:00 ;21.17;21.22;20.51;20.68;41.30000;39.70000
2020-12-03 15:30:00 ;20.85;21.18;20.79;21.12;46.80000;41.60000
2020-12-04 15:30:00 ;20.69;20.96;20.64;20.86;44.70000;43.30000
2020-12-07 15:30:00 ;22;22;21.5;21.63;52.50000;47.30000
2020-12-08 15:30:00 ;21.72;21.79;20.9;20.9;45.20000;49.20000
2020-12-09 15:30:00 ;20.43;22.22;20.2;22.17;57.10000;49.10000
2020-12-10 15:30:00 ;23.09;23.46;21.78;22.16;54.40000;52.20000
2020-12-11 15:30:00 ;23.49;25.14;22.92;24.24;65.00000;54.70000
2020-12-14 15:30:00 ;22.61;24.38;22.24;24.13;60.70000;57.40000
2020-12-15 15:30:00 ;23.15;23.87;22.89;23.18;53.10000;58.00000
2020-12-16 15:30:00 ;23.23;23.67;22.79;23.2;53.20000;55.60000
2020-12-17 15:30:00 ;22.1;22.27;21.67;21.76;43.60000;51.70000
2020-12-18 15:30:00 ;21.94;23.77;21.94;22.56;51.00000;48.60000
2020-12-21 15:30:00 ;26.71;28.85;24.6;24.6;54.60000;51.30000
2020-12-22 15:30:00 ;24.24;25.07;24.02;24.2;52.60000;52.40000
2020-12-23 15:30:00 ;23.19;23.24;22.54;22.65;45.40000;53.70000
2020-12-24 15:30:00 ;22.64;22.79;21.39;21.53;41.10000;51.50000
2020-12-28 15:30:00 ;21.58;21.82;21.15;21.32;40.50000;47.30000
2020-12-29 15:30:00 ;21.37;23.43;21.35;22.9;51.40000;44.90000
2020-12-30 15:30:00 ;22.68;23.15;22.41;22.96;51.70000;45.70000
2020-12-31 15:30:00 ;23.05;23.25;22.28;22.83;50.80000;47.60000
2021-01-04 15:30:00 ;23.66;29.19;23.66;26.91;73.30000;52.20000
2021-01-05 15:30:00 ;28.1;28.1;25.81;25.88;59.60000;58.70000
2021-01-06 15:30:00 ;24.9;25.18;22.14;22.67;43.00000;58.80000
2021-01-07 15:30:00 ;23.21;23.21;22.36;22.78;44.70000;57.80000
2021-01-08 15:30:00 ;22.21;22.73;21.47;22.35;43.30000;50.40000
2021-01-11 15:30:00 ;24.44;24.56;23.23;23.85;51.50000;47.00000
2021-01-12 15:30:00 ;23.64;25.15;23.27;24.23;53.20000;47.60000
2021-01-13 15:30:00 ;22.98;23.55;22.07;22.2;42.90000;48.50000
2021-01-14 15:30:00 ;22.22;22.41;21.74;22.27;43.60000;48.20000
2021-01-15 15:30:00 ;23.7;25.8;23.08;23.25;49.70000;48.50000
2021-01-19 15:30:00 ;22.92;23.56;22.53;22.72;46.60000;47.90000
2021-01-20 15:30:00 ;22.51;22.68;21.67;21.76;41.50000;48.10000
2021-01-21 15:30:00 ;21.51;22.22;21.49;21.62;41.90000;46.10000
2021-01-22 15:30:00 ;22.55;22.55;21.33;21.52;43.70000;44.80000
2021-01-25 15:30:00 ;22.84;26.63;22.56;23.78;57.30000;46.10000
2021-01-26 15:30:00 ;22.67;23.48;22.59;22.88;51.30000;49.20000
2021-01-27 15:30:00 ;27.22;29.48;25.55;27.2;70.50000;55.30000
2021-01-28 15:30:00 ;30.17;30.31;27.39;27.81;55.00000;60.70000
2021-01-29 15:30:00 ;31.89;37.51;29.24;34.88;65.90000;63.10000
2021-02-01 15:30:00 ;31.16;33.96;29.4;29.43;52.30000;63.40000
2021-02-02 15:30:00 ;27.11;27.11;25.49;25.73;44.30000;56.30000
2021-02-03 15:30:00 ;25.05;25.43;23.34;23.36;39.30000;51.20000
2021-02-04 15:30:00 ;22.46;22.52;22;22.15;36.80000;44.50000
2021-02-05 15:30:00 ;21.59;22.16;20.89;20.95;33.90000;39.50000
2021-02-08 15:30:00 ;21.68;22.07;21.53;21.63;38.70000;37.30000
2021-02-09 15:30:00 ;21.85;22.26;21.35;21.39;39.00000;37.30000
2021-02-10 15:30:00 ;21.59;23.85;21.4;22.35;45.80000;38.80000
2021-02-11 15:30:00 ;21.8;23.25;21.59;22.12;45.50000;41.10000
2021-02-12 15:30:00 ;21.44;21.44;20.46;20.54;37.20000;41.90000
2021-02-16 15:30:00 ;21.61;22.46;21.09;21.1;44.00000;42.40000
2021-02-17 15:30:00 ;22.94;23.44;22;22.18;51.40000;44.30000
2021-02-18 15:30:00 ;23.22;24.23;22.1;22.23;50.60000;47.10000
2021-02-19 15:30:00 ;22.27;22.64;20.84;22.07;49.40000;50.30000
2021-02-22 15:30:00 ;23.9;24.38;22.11;22.11;48.40000;52.90000
2021-02-23 15:30:00 ;24.96;27.01;23.62;23.74;54.20000;54.60000
2021-02-24 15:30:00 ;24.23;25.04;21.92;21.92;45.50000;54.00000
2021-02-25 15:30:00 ;22.42;28.73;21.98;26.77;63.70000;53.70000
2021-02-26 15:30:00 ;27.55;30.82;25.23;26.06;55.70000;55.90000
2021-03-01 15:30:00 ;24.49;24.49;23.31;23.51;46.90000;55.20000
