time;open;high;low;close;Volume
2026-03-12;258.66;258.95;254.18;255.76;40 790 000
2026-03-11;261.09;262.13;259.55;260.81;26 220 000
2026-03-10;257.64;262.48;256.95;260.83;30 590 000
2026-03-09;255.69;261.15;253.68;259.88;38 220 000
2026-03-06;258.63;258.77;254.37;257.46;41 120 000
2026-03-05;260.79;261.55;257.25;260.29;49 660 000
2026-03-04;264.65;266.15;261.42;262.52;39 800 000
2026-03-03;263.48;265.56;260.13;263.75;38 570 000
2026-03-02;262.41;266.53;260.2;264.72;41 830 000
2026-02-27;272.81;272.81;262.89;264.18;72 370 000
2026-02-26;274.95;276.11;270.8;272.95;32 350 000
2026-02-25;271.78;274.94;271.05;274.23;33 710 000
2026-02-24;267.86;274.89;267.71;272.14;47 010 000
2026-02-23;263.49;269.43;263.38;266.18;37 310 000
2026-02-20;258.97;264.75;258.16;264.58;42 070 000
2026-02-19;262.6;264.48;260.05;260.58;30 850 000
2026-02-18;263.6;266.82;262.45;264.35;34 200 000
2026-02-17;258.05;266.29;255.54;263.88;58 470 000
2026-02-13;262.01;262.23;255.45;255.78;56 290 000
2026-02-12;275.59;275.72;260.18;261.73;81 080 000
2026-02-11;274.7;280.18;274.45;275.5;51 930 000
2026-02-10;274.89;275.37;272.94;273.68;34 380 000
2026-02-09;277.9;278.2;271.7;274.62;44 620 000
2026-02-06;277.12;280.9;276.92;278.12;50 450 000
2026-02-05;278.13;279.5;273.23;275.91;52 980 000
2026-02-04;272.29;278.95;272.29;276.49;90 550 000
2026-02-03;269.2;271.88;267.61;269.48;64 390 000
2026-02-02;260.03;270.49;259.2;270.01;73 910 000
2026-01-30;255.16;261.9;252.18;259.48;92 440 000
2026-01-29;258.0;259.65;254.41;258.28;67 250 000
2026-01-28;257.65;258.86;254.51;256.44;41 290 000
2026-01-27;259.17;261.95;258.21;258.27;49 650 000
2026-01-26;251.48;256.56;249.8;255.41;55 970 000
2026-01-23;247.32;249.41;244.68;248.04;41 690 000
2026-01-22;249.2;251.0;248.15;248.35;39 710 000
2026-01-21;248.7;251.56;245.18;247.65;54 640 000
2026-01-20;252.73;254.79;243.42;246.7;80 270 000
2026-01-16;257.9;258.9;254.93;255.53;72 140 000
2026-01-15;260.65;261.04;257.05;258.21;39 390 000
2026-01-14;259.49;261.82;256.71;259.96;40 020 000
2026-01-13;258.72;261.81;258.39;261.05;45 730 000
2026-01-12;259.16;261.3;256.8;260.25;45 260 000
2026-01-09;259.08;260.21;256.22;259.37;40 000 000
2026-01-08;257.02;259.29;255.7;259.04;50 420 000
2026-01-07;263.2;263.68;259.81;260.33;48 310 000
2026-01-06;267.0;267.55;262.12;262.36;52 350 000
2026-01-05;270.64;271.51;266.14;267.26;45 650 000
2026-01-02;272.26;277.84;269.0;271.01;37 840 000
2025-12-31;273.06;273.68;271.75;271.86;27 290 000
2025-12-30;272.81;274.08;272.28;273.08;22 140 000
2025-12-29;272.69;274.36;272.35;273.76;23 720 000
2025-12-26;274.16;275.37;272.86;273.4;21 520 000
2025-12-24;272.34;275.43;272.2;273.81;17 910 000
2025-12-23;270.84;272.5;269.56;272.36;29 640 000
2025-12-22;272.86;273.88;270.51;270.97;36 570 000
2025-12-19;272.14;274.6;269.9;273.67;144 630 000
2025-12-18;273.61;273.63;266.95;272.19;51 630 000
2025-12-17;275.01;276.16;271.64;271.84;50 140 000
2025-12-16;272.82;275.5;271.79;274.61;37 650 000
2025-12-15;280.15;280.15;272.84;274.11;50 410 000
2025-12-12;277.9;279.22;276.82;278.28;39 530 000
2025-12-11;279.1;279.59;273.81;278.03;33 250 000
2025-12-10;277.75;279.75;276.44;278.78;33 040 000
2025-12-09;278.16;280.03;276.92;277.18;32 190 000
2025-12-08;278.13;279.67;276.15;277.89;38 210 000
2025-12-05;280.54;281.14;278.05;278.78;47 270 000
2025-12-04;284.1;284.73;278.59;280.7;43 990 000
2025-12-03;286.2;288.62;283.3;284.15;43 540 000
2025-12-02;283.0;287.4;282.63;286.19;53 670 000
2025-12-01;278.01;283.42;276.14;283.1;46 590 000
2025-11-28;277.26;279.0;275.99;278.85;20 140 000
2025-11-26;276.96;279.53;276.63;277.55;33 430 000
2025-11-25;275.27;280.38;275.25;276.97;46 910 000
2025-11-24;270.9;277.0;270.9;275.92;65 590 000
2025-11-21;265.95;273.33;265.67;271.49;59 030 000
2025-11-20;270.83;275.43;265.92;266.25;45 820 000
2025-11-19;265.52;272.21;265.5;268.56;40 420 000
2025-11-18;269.99;270.71;265.32;267.44;45 680 000
2025-11-17;268.82;270.49;265.73;267.46;45 020 000
2025-11-14;271.05;275.96;269.6;272.41;47 430 000
2025-11-13;274.11;276.7;272.09;272.95;49 600 000
2025-11-12;275.0;275.73;271.7;273.47;48 400 000
2025-11-11;269.81;275.91;269.8;275.25;46 210 000
2025-11-10;268.96;273.73;267.45;269.43;41 310 000
2025-11-07;269.8;272.29;266.77;268.47;48 230 000
2025-11-06;267.89;273.4;267.89;269.77;51 200 000
2025-11-05;268.61;271.7;266.93;270.14;43 680 000
2025-11-04;268.33;271.49;267.61;270.04;49 270 000
2025-11-03;270.42;270.85;266.25;269.05;50 190 000
2025-10-31;276.99;277.32;269.16;270.37;86 170 000
2025-10-30;271.99;274.14;268.48;271.4;69 890 000
2025-10-29;269.27;271.41;267.11;269.7;51 090 000
2025-10-28;268.98;269.89;268.15;269.0;41 530 000
2025-10-27;264.88;269.12;264.65;268.81;44 890 000
2025-10-24;261.19;264.13;259.18;262.82;38 250 000
2025-10-23;259.94;260.62;258.01;259.58;32 750 000
2025-10-22;262.65;262.85;255.43;258.45;45 020 000
2025-10-21;261.88;265.29;261.83;262.77;46 700 000
2025-10-20;255.88;264.38;255.63;262.24;90 480 000
2025-10-17;248.02;253.38;247.27;252.29;49 150 000
2025-10-16;248.25;249.04;245.13;247.45;39 780 000
2025-10-15;249.49;251.82;247.47;249.34;33 890 000
2025-10-14;246.6;248.85;244.7;247.77;35 480 000
2025-10-13;249.38;249.69;245.56;247.66;38 140 000
2025-10-10;254.94;256.38;244.0;245.27;62 000 000
