time;open;high;low;close;Volume
2026-04-17;6.25;6.485;6.1;6.11;28224700
2026-04-16;6.3;6.36;5.915;6.08;25123000
2026-04-15;5.73;6.09;5.73;6.06;26275200
2026-04-14;5.66;5.75;5.56;5.67;22225800
2026-04-13;5.27;5.55;5.23;5.45;17942100
2026-04-10;5.38;5.52;5.34;5.4;14861700
2026-04-09;5.48;5.59;5.32;5.32;23136100
2026-04-08;5.76;5.83;5.47;5.58;28198800
2026-04-07;5.47;5.49;5.22;5.34;32593100
2026-04-06;5.38;5.71;5.38;5.54;24830200
2026-04-02;5.0;5.43;5.0;5.42;21070900
2026-04-01;5.32;5.35;5.16;5.21;24270000
2026-03-31;5.04;5.23;4.93;5.17;33759000
2026-03-30;5.09;5.145;4.8;4.94;33930900
2026-03-27;5.3;5.34;5.07;5.09;28528900
2026-03-26;5.36;5.575;5.3;5.37;18575800
2026-03-25;5.74;5.87;5.46;5.56;28604700
2026-03-24;5.76;5.83;5.47;5.51;28463100
2026-03-23;5.87;5.96;5.75;5.89;26117000
2026-03-20;6.0;6.06;5.67;5.76;34097400
2026-03-19;5.875;6.17;5.79;6.01;21315400
2026-03-18;6.19;6.25;6.01;6.01;27681700
2026-03-17;6.16;6.3;6.06;6.29;29617000
2026-03-16;6.08;6.21;5.965;6.12;34275100
2026-03-13;6.27;6.33;5.97;6.03;23285500
2026-03-12;6.35;6.46;6.15;6.15;24702500
2026-03-11;6.31;6.48;6.23;6.43;23707700
2026-03-10;6.64;6.68;6.285;6.32;23986800
2026-03-09;6.165;6.54;6.07;6.52;30265900
2026-03-06;6.31;6.46;6.22;6.26;30984200
2026-03-05;6.65;6.785;6.31;6.46;38784400
2026-03-04;6.83;7.0;6.602;6.76;26242500
2026-03-03;7.34;7.355;6.51;6.72;44986900
2026-03-02;6.85;7.55;6.8;7.52;38125500
2026-02-27;7.16;7.16;6.91;7.12;29616300
2026-02-26;7.1;7.4;6.96;7.38;37141100
2026-02-25;7.28;7.32;7.09;7.1;30447100
2026-02-24;6.86;7.2;6.695;7.19;39258400
2026-02-23;6.71;6.98;6.66;6.96;32896000
2026-02-20;7.09;7.28;6.874;6.93;28432500
2026-02-19;6.85;7.27;6.78;7.23;37483400
2026-02-18;6.8;7.13;6.75;6.97;24435900
2026-02-17;6.71;6.895;6.57;6.82;30776400
2026-02-13;6.83;6.99;6.68;6.77;25227000
2026-02-12;6.97;6.97;6.61;6.76;28999500
2026-02-11;7.17;7.2;6.79;6.97;33094900
2026-02-10;7.36;7.57;7.155;7.17;30275500
2026-02-09;7.23;7.47;7.13;7.37;29426600
2026-02-06;6.795;7.37;6.7;7.3;50541700
2026-02-05;6.755;6.79;6.36;6.49;52332300
2026-02-04;7.16;7.2;6.73;6.95;33214200
2026-02-03;7.18;7.24;6.9;7.2;33848500
2026-02-02;7.2;7.27;6.97;7.05;36462400
2026-01-30;7.35;7.42;7.11;7.19;32445600
2026-01-29;7.76;7.77;7.29;7.43;38819800
2026-01-28;8.11;8.142;7.68;7.73;35204900
2026-01-27;8.15;8.21;7.93;8.09;26169500
2026-01-26;8.565;8.63;8.0;8.03;31483700
2026-01-23;9.05;9.11;8.48;8.61;32710600
2026-01-22;8.64;9.15;8.55;9.01;53573000
2026-01-21;8.725;8.98;8.11;8.47;50047400
2026-01-20;8.485;8.97;8.45;8.65;44970900
2026-01-16;8.93;9.23;8.78;8.86;37941700
2026-01-15;8.89;9.29;8.723;8.86;55764000
2026-01-14;8.38;9.0;8.3;8.91;60679300
2026-01-13;8.94;9.06;8.15;8.47;52413000
2026-01-12;8.84;9.24;8.68;8.86;59346300
2026-01-09;8.9;8.97;8.55;8.81;60240900
2026-01-08;8.49;9.01;8.44;8.71;50002500
2026-01-07;8.8;8.8;8.4;8.42;27693800
2026-01-06;8.605;8.88;8.47;8.82;41952300
2026-01-05;8.25;8.82;8.18;8.56;61643100
2026-01-02;7.67;8.16;7.505;8.13;45157300
2025-12-31;7.56;7.59;7.4;7.52;33649900
2025-12-30;7.71;7.82;7.54;7.55;17905400
2025-12-29;7.73;7.97;7.65;7.7;17513000
2025-12-26;8.13;8.14;7.865;7.89;18863400
2025-12-24;8.25;8.39;8.07;8.13;12929100
2025-12-23;8.23;8.37;8.1;8.14;32751900
2025-12-22;8.29;8.65;8.26;8.4;35435400
2025-12-19;7.97;8.25;7.855;8.16;31259000
2025-12-18;7.88;8.1;7.76;7.82;40871700
2025-12-17;7.955;8.16;7.55;7.58;44984100
2025-12-16;7.78;8.09;7.73;7.95;41800000
2025-12-15;8.46;8.468;7.82;7.83;36343900
2025-12-12;8.61;8.82;8.22;8.3;38869500
2025-12-11;8.35;8.6;8.16;8.56;28878600
2025-12-10;8.575;8.665;8.32;8.37;34425800
2025-12-09;8.47;8.73;8.38;8.63;24631100
2025-12-08;8.65;8.75;8.4;8.61;33887300
2025-12-05;8.8;8.95;8.57;8.6;40694000
2025-12-04;8.3;9.06;8.23;8.95;66945800
2025-12-03;7.67;8.35;7.55;8.35;47751100
2025-12-02;7.51;7.83;7.46;7.65;45457300
2025-12-01;7.52;7.65;7.38;7.46;37147100
2025-11-28;7.56;7.927;7.47;7.79;23535900
2025-11-26;7.4;7.6;7.365;7.49;28830500
2025-11-25;7.39;7.48;7.16;7.38;37191900
2025-11-24;7.18;7.47;7.1;7.44;34080100
2025-11-21;6.88;7.285;6.55;7.18;59031900
2025-11-20;7.75;7.88;6.86;6.87;71246000
2025-11-19;7.65;7.82;7.365;7.47;62620100
2025-11-18;7.6;7.77;7.25;7.61;57803800
2025-11-17;7.82;7.88;7.24;7.42;68986500
2025-11-14;7.74;8.23;7.62;7.88;76969800
2025-11-13;8.48;8.495;7.81;7.96;90377100
2025-11-12;8.85;9.11;8.305;8.65;95418000
2025-11-11;8.32;9.0;8.19;8.94;121089000
2025-11-10;8.47;8.63;8.28;8.45;69174600
2025-11-07;7.83;8.21;7.2;8.18;153846600
2025-11-06;9.5;9.5;8.85;8.88;63250000
2025-11-05;9.84;9.85;9.43;9.57;63486300
2025-11-04;10.0;10.195;9.54;9.56;69858300
2025-11-03;11.09;11.09;10.1;10.42;73801400
2025-10-31;11.09;11.46;10.76;11.22;73362900
2025-10-30;10.925;11.13;10.78;10.96;39948400
2025-10-29;11.22;11.49;10.86;11.18;51666600
2025-10-28;11.34;11.595;11.03;11.14;49821400
2025-10-27;11.58;11.72;11.29;11.34;41533800
2025-10-24;11.28;11.48;11.04;11.29;40243700
2025-10-23;11.04;11.08;10.65;10.91;41050600
2025-10-22;11.26;11.39;10.38;10.86;64778500
2025-10-21;11.85;11.97;11.33;11.41;45966000
2025-10-20;11.87;12.13;11.41;11.98;80755300
2025-10-17;11.68;11.87;11.08;11.24;56636000
2025-10-16;13.32;14.3;11.82;11.87;85732200
2025-10-15;13.44;14.62;12.83;13.03;92535400
2025-10-14;12.25;13.5;11.47;13.02;77028900
2025-10-13;12.11;12.85;11.9;12.77;58789800
2025-10-10;12.59;12.79;11.68;11.97;48376300
2025-10-09;12.39;12.69;11.74;12.66;50636400
2025-10-08;11.72;12.53;10.95;12.46;88735300
2025-10-07;13.11;13.71;12.34;12.48;129659200
2025-10-06;12.1;13.81;11.86;13.64;160904300
2025-10-03;10.365;11.59;10.25;11.57;108807000
2025-10-02;9.95;10.418;9.82;10.18;56385400
2025-10-01;9.48;10.17;9.47;9.81;51088900
2025-09-30;9.52;9.67;9.17;9.58;39706600
2025-09-29;9.39;9.68;9.17;9.65;45634700
2025-09-26;9.41;9.82;9.28;9.28;33399300
2025-09-25;9.305;9.47;8.92;9.33;44397800
2025-09-24;10.08;10.12;9.63;9.71;43480700
2025-09-23;9.69;10.33;9.58;10.0;65698500
2025-09-22;9.76;9.76;9.2;9.55;40806900
2025-09-19;9.315;9.94;9.24;9.86;75582200
2025-09-18;9.03;9.34;8.965;9.25;35739000
2025-09-17;9.11;9.21;8.77;9.0;42314600
2025-09-16;9.17;9.34;8.9;9.11;31235200
2025-09-15;9.36;9.52;8.98;9.12;38212100
2025-09-12;8.6;8.8;8.53;8.75;30218300
2025-09-11;8.28;8.7;8.215;8.49;27339600
2025-09-10;8.6;8.6;8.23;8.25;19570100
2025-09-09;8.48;8.62;8.36;8.43;15424600
2025-09-08;8.58;8.74;8.4;8.51;15416800
2025-09-05;8.615;8.69;8.165;8.5;18002200
2025-09-04;8.42;8.54;8.29;8.45;17190900
2025-09-03;8.66;8.7;8.37;8.39;19117900
2025-09-02;8.61;8.8;8.39;8.6;26844600
2025-08-29;9.18;9.229;8.86;8.95;21445100
2025-08-28;9.21;9.32;9.15;9.2;17269900
2025-08-27;9.15;9.385;9.06;9.15;27972400
2025-08-26;9.4;9.43;9.15;9.27;23939200
2025-08-25;9.53;9.63;9.35;9.37;17270600
2025-08-22;9.38;9.81;9.17;9.67;25190800
2025-08-21;9.22;9.44;9.125;9.38;19607300
2025-08-20;9.14;9.28;8.86;9.23;23195500
2025-08-19;9.8;9.88;9.25;9.29;28368800
2025-08-18;10.0;10.23;9.61;9.85;27664000
2025-08-15;10.18;10.26;9.81;9.82;21078700
2025-08-14;10.035;10.18;9.73;9.99;26054600
2025-08-13;10.525;10.578;9.983;10.2;32628400
2025-08-12;9.25;10.34;9.12;10.25;65505100
2025-08-11;9.895;9.9;9.46;9.54;42790900
2025-08-08;9.855;9.93;9.55;9.72;22923000
2025-08-07;9.92;10.1;9.62;9.8;27600800
2025-08-06;10.32;10.32;9.77;9.85;26201100
2025-08-05;10.5;10.63;10.1;10.33;28942600
2025-08-04;9.74;10.45;9.63;10.43;32244600
2025-08-01;9.785;9.95;9.56;9.64;29800800
2025-07-31;10.16;10.325;9.91;10.03;24637500
2025-07-30;10.25;10.28;9.98;10.15;22149300
2025-07-29;10.83;10.92;10.13;10.19;31045700
2025-07-28;11.41;11.6;10.67;10.79;30539900
2025-07-25;10.98;11.33;10.875;11.21;31944300
2025-07-24;11.24;11.275;10.91;10.99;28779000
2025-07-23;11.35;11.46;10.9;11.36;39701500
2025-07-22;11.45;11.76;10.68;10.99;51779600
2025-07-21;13.365;13.488;11.765;11.85;57660700
2025-07-18;13.07;13.73;12.88;13.29;55090900
2025-07-17;12.38;13.4;12.13;13.4;74876100
2025-07-16;11.43;12.2;10.99;12.09;66657600
