time;open;high;low;close;Volume
2026-04-24;30.64;30.95;29.92;30.31;785161
2026-04-23;30.33;30.7;29.66;30.13;948199
2026-04-22;30.25;30.95;29.21;30.95;1312054
2026-04-21;29.99;30.18;29.5;30.0;1277095
2026-04-20;29.0;30.0;28.5;30.0;1008383
2026-04-17;28.1;29.12;28.1;28.89;889260
2026-04-16;27.12;27.92;27.05;27.92;786026
2026-04-15;27.17;27.41;26.86;26.92;440773
2026-04-14;27.05;27.49;26.84;27.29;562321
2026-04-13;26.86;27.02;26.41;26.75;582125
2026-04-10;27.23;28.0;26.76;28.0;1161893
2026-04-09;26.13;27.77;25.54;27.35;1050370
2026-04-08;26.94;26.99;25.91;26.5;848140
2026-04-07;25.49;26.02;25.38;26.02;675745
2026-04-06;25.24;25.92;24.86;25.57;645850
2026-04-02;24.76;25.37;24.0;25.37;609875
2026-04-01;24.51;25.39;24.13;25.37;793397
2026-03-31;23.52;24.22;22.86;22.86;1193367
2026-03-30;24.42;24.63;22.57;22.68;1059590
2026-03-27;24.36;24.36;23.66;24.19;878487
2026-03-26;24.79;25.37;24.2;24.2;846172
2026-03-25;25.77;26.09;25.01;25.22;686280
2026-03-24;24.5;25.88;24.11;25.73;866958
2026-03-23;23.2;24.71;22.81;24.52;1101790
2026-03-20;23.46;23.49;22.76;23.35;1900210
2026-03-19;23.13;23.73;22.68;23.45;502526
2026-03-18;23.92;23.92;23.06;23.23;743615
2026-03-17;23.04;23.61;22.91;23.46;445308
2026-03-16;23.53;23.8;22.75;23.5;733086
2026-03-13;23.15;23.35;22.45;22.45;823257
2026-03-12;23.28;23.35;22.6;22.87;747733
2026-03-11;22.98;23.54;22.75;23.25;874088
2026-03-10;22.31;23.41;22.15;23.4;1712151
2026-03-09;19.45;23.02;19.45;22.5;2119132
2026-03-06;20.5;20.74;19.64;19.64;499854
2026-03-05;20.5;21.07;20.36;21.0;1000257
2026-03-04;20.31;20.89;19.95;20.75;772745
2026-03-03;19.76;20.24;19.27;19.88;533854
2026-03-02;20.21;20.64;19.5;20.35;678336
2026-02-27;20.61;20.94;19.89;20.69;943345
2026-02-26;20.8;21.07;20.21;20.85;974069
2026-02-25;20.0;21.08;19.71;20.67;1510403
2026-02-24;19.93;20.12;17.31;19.75;1276224
2026-02-23;19.11;20.06;18.22;19.78;1159626
2026-02-20;18.4;19.1;18.4;19.01;1115541
2026-02-19;18.26;18.53;18.13;18.53;398440
2026-02-18;18.75;19.07;18.5;18.53;547210
2026-02-17;18.65;18.89;18.48;18.73;270507
2026-02-13;18.36;18.95;18.15;18.8;382105
2026-02-12;19.22;19.45;18.18;18.33;485511
2026-02-11;19.24;19.52;18.66;19.03;280337
2026-02-10;19.27;19.6;19.05;19.25;457749
2026-02-09;18.13;19.24;18.11;19.2;395840
2026-02-06;17.2;18.28;17.2;18.1;478180
2026-02-05;17.3;17.64;16.83;17.18;673792
2026-02-04;17.66;17.91;17.21;17.5;778813
2026-02-03;18.8;19.26;17.18;17.66;677976
2026-02-02;18.13;18.9;17.62;18.79;532669
2026-01-30;17.98;18.41;17.95;18.09;710230
2026-01-29;18.22;18.52;17.91;18.11;685466
2026-01-28;18.59;18.75;18.2;18.37;603775
2026-01-27;18.87;19.14;18.06;18.84;494354
2026-01-26;19.32;19.66;18.75;19.0;434582
2026-01-23;19.91;20.0;19.25;19.32;480575
2026-01-22;20.06;20.33;19.79;19.91;896901
2026-01-21;19.49;20.16;19.32;19.88;713114
2026-01-20;19.01;19.86;18.65;19.86;558028
2026-01-16;19.2;19.51;18.96;19.42;484540
2026-01-15;18.95;19.57;18.81;19.17;401687
2026-01-14;18.5;18.98;18.48;18.59;320773
2026-01-13;18.92;19.26;18.69;18.76;343369
2026-01-12;18.54;19.08;18.24;18.91;547755
2026-01-09;18.08;19.0;17.75;18.6;548597
2026-01-08;18.09;18.1;17.68;17.95;397340
2026-01-07;18.09;18.55;17.77;18.04;584363
2026-01-06;18.99;18.99;18.16;18.51;863843
2026-01-05;17.77;19.01;17.59;18.44;1147301
2026-01-02;17.34;17.61;17.14;17.58;553008
2025-12-31;17.62;17.64;17.17;17.25;412077
2025-12-30;17.35;17.88;17.32;17.61;589406
2025-12-29;16.67;17.35;16.59;17.31;801736
2025-12-26;17.5;17.8;16.77;16.94;483506
2025-12-24;17.2;18.03;17.15;17.35;654809
2025-12-23;16.72;18.12;16.53;17.07;1324935
2025-12-22;14.23;17.24;13.13;16.68;2784005
2025-12-19;13.02;13.02;12.66;12.75;1513715
2025-12-18;13.05;13.23;12.92;13.0;487761
2025-12-17;12.98;13.18;12.78;12.83;567876
2025-12-16;12.81;13.09;12.73;12.97;461862
2025-12-15;13.1;13.25;12.82;12.84;474664
2025-12-12;13.75;13.75;13.04;13.1;468366
2025-12-11;13.49;13.62;13.36;13.57;448840
2025-12-10;13.98;13.98;12.71;13.59;906274
2025-12-09;12.88;13.03;12.7;12.8;352110
2025-12-08;12.61;12.83;12.38;12.5;376301
2025-12-05;12.45;12.64;12.32;12.51;405075
2025-12-04;12.5;12.7;12.36;12.44;358297
2025-12-03;12.5;12.62;12.28;12.49;377542
2025-12-02;12.5;12.6;12.39;12.4;342041
2025-12-01;12.32;12.47;12.13;12.39;507525
2025-11-28;12.31;12.39;12.25;12.37;234928
2025-11-26;12.39;12.58;12.28;12.31;813558
2025-11-25;12.25;12.55;12.2;12.35;424131
2025-11-24;12.01;12.29;11.92;12.17;539000
