time;open;high;low;close;Volume
2026-04-17;64.34;69.37;63.06;67.37;6151200
2026-04-16;59.43;64.8;59.39;62.9;5219900
2026-04-15;60.46;60.89;58.2;59.72;3479900
2026-04-14;62.13;62.6;60.7;61.32;3358500
2026-04-13;57.67;60.5;57.28;60.44;3771800
2026-04-10;56.2;58.92;55.39;57.96;3904900
2026-04-09;52.17;55.52;52.04;55.14;3760700
2026-04-08;51.92;53.29;51.12;52.42;3178900
2026-04-07;46.61;47.89;45.89;47.62;1824400
2026-04-06;48.31;48.88;46.81;47.03;1823300
2026-04-02;43.6;47.44;43.51;46.7;1774100
2026-04-01;45.88;47.53;45.81;46.49;2611800
2026-03-31;42.48;45.38;42.0;45.03;3439400
2026-03-30;45.35;45.54;40.69;41.25;2889200
2026-03-27;44.86;46.17;44.22;44.45;3324300
2026-03-26;48.34;48.44;44.92;45.14;3797000
2026-03-25;50.6;51.5;49.26;49.93;2703200
2026-03-24;45.47;50.46;45.3;50.26;3519800
2026-03-23;46.73;47.75;45.46;46.12;4573300
2026-03-20;48.25;48.65;44.47;45.81;5408800
2026-03-19;44.95;48.72;44.4;48.13;3388800
2026-03-18;46.29;48.19;45.54;46.87;3522700
2026-03-17;44.82;46.5;44.55;46.34;3015400
2026-03-16;44.49;45.39;44.38;44.63;3198500
2026-03-13;42.07;43.64;42.07;42.99;2954400
2026-03-12;42.66;43.3;41.14;41.27;3957500
2026-03-11;43.88;45.3;43.59;43.92;2464000
2026-03-10;42.9;44.81;42.67;43.94;4072000
2026-03-09;40.94;43.23;40.22;43.22;5627400
2026-03-06;43.0;43.85;41.3;41.61;3743600
2026-03-05;45.16;45.74;43.04;44.56;4055100
2026-03-04;45.13;45.9;44.34;45.77;3989400
2026-03-03;46.06;46.06;43.9;44.59;4294000
2026-03-02;46.37;48.27;46.37;47.81;2611700
2026-02-27;46.92;47.96;46.05;47.82;4293800
2026-02-26;50.64;51.04;47.04;48.52;4593800
2026-02-25;49.46;51.02;49.25;50.94;5294200
2026-02-24;48.0;49.01;47.36;48.53;4240800
2026-02-23;47.59;47.91;45.91;47.07;3107600
2026-02-20;47.65;48.95;47.4;47.94;3957000
2026-02-19;45.3;48.48;45.28;48.34;5160200
2026-02-18;47.51;49.1;46.14;46.74;5824500
2026-02-17;46.92;47.09;44.29;46.84;6660400
2026-02-13;47.89;49.14;47.08;47.48;12757900
2026-02-12;55.79;55.79;49.63;51.59;6198600
2026-02-11;54.32;57.09;53.49;56.17;5648400
2026-02-10;54.27;54.75;49.63;53.46;8312100
2026-02-09;48.63;53.22;47.97;52.52;8482800
2026-02-06;45.46;49.43;45.46;49.36;4223900
2026-02-05;43.62;45.29;43.02;44.27;4595900
2026-02-04;46.13;47.65;42.14;43.87;5640000
2026-02-03;49.33;49.99;45.4;46.24;4746100
2026-02-02;47.25;49.43;47.25;48.2;2820800
2026-01-30;48.73;50.99;47.79;48.33;3383100
2026-01-29;51.23;52.38;48.4;50.0;3378700
2026-01-28;51.99;52.56;50.51;50.96;2925400
2026-01-27;51.25;51.49;50.3;50.74;2508100
2026-01-26;50.01;51.45;49.36;50.39;2331000
2026-01-23;52.45;52.85;49.0;49.71;3108800
2026-01-22;55.14;55.17;51.84;52.45;4508700
2026-01-21;49.69;54.0;49.69;53.46;5093500
2026-01-20;46.64;49.53;46.48;49.05;4458700
2026-01-16;49.52;50.17;46.77;48.0;3872800
2026-01-15;52.23;54.2;49.1;49.2;5760600
2026-01-14;51.85;51.92;47.67;48.67;5650300
2026-01-13;51.58;52.32;50.4;51.95;2439200
2026-01-12;51.06;52.71;49.88;51.58;4675500
2026-01-09;51.54;52.4;50.32;52.29;2860200
2026-01-08;51.89;52.34;49.11;51.0;4461900
2026-01-07;49.98;53.53;49.88;52.72;6625000
2026-01-06;49.37;53.07;49.18;51.29;8804000
2026-01-05;45.91;48.41;45.45;48.13;7952900
2026-01-02;41.05;43.21;41.05;42.92;4218800
2025-12-31;40.41;40.55;39.47;39.48;1547100
2025-12-30;40.29;41.22;40.23;40.4;2398700
2025-12-29;40.19;40.68;39.86;40.09;1670100
2025-12-26;40.89;40.94;39.89;40.59;1661700
2025-12-24;41.02;41.02;40.47;40.76;718400
2025-12-23;40.51;40.99;40.5;40.86;1554400
2025-12-22;41.8;41.8;40.53;40.79;2024400
2025-12-19;39.4;40.82;39.38;40.39;4884800
2025-12-18;40.78;40.95;39.14;39.3;3146300
2025-12-17;40.98;41.18;38.67;38.87;3795800
2025-12-16;43.65;43.65;39.12;40.28;5390900
2025-12-15;44.87;45.23;43.56;43.91;2521100
2025-12-12;46.24;46.89;43.81;44.31;4626200
2025-12-11;46.32;47.28;45.6;47.04;2662300
2025-12-10;45.48;46.97;45.2;46.85;5540500
2025-12-09;44.06;44.73;43.13;44.61;3421700
2025-12-08;43.56;45.18;43.01;44.71;3638000
2025-12-05;43.9;43.94;42.9;43.23;4110600
2025-12-04;43.36;43.91;42.6;43.18;4590100
2025-12-03;40.76;44.07;40.34;43.93;5742900
2025-12-02;38.44;40.93;37.92;40.65;5122400
2025-12-01;35.86;38.02;35.74;37.74;3329600
2025-11-28;35.32;36.43;35.32;36.39;1901600
2025-11-26;34.0;35.27;33.94;34.92;2461600
2025-11-25;33.0;33.98;32.4;33.8;2622400
2025-11-24;32.45;33.35;32.35;33.14;3213400
2025-11-21;30.25;32.42;30.03;32.05;3650800
2025-11-20;33.49;33.85;30.14;30.19;4138200
2025-11-19;31.12;31.98;30.63;31.43;2333900
2025-11-18;30.36;31.09;29.76;30.69;3073500
2025-11-17;31.09;32.08;30.6;30.89;2270100
2025-11-14;30.52;32.49;30.45;31.68;3138100
2025-11-13;33.72;34.1;31.37;31.95;3383700
2025-11-12;34.75;35.26;34.29;34.47;2074700
2025-11-11;34.79;34.81;34.12;34.26;1647800
2025-11-10;35.9;36.27;34.9;35.21;3665500
2025-11-07;34.15;34.79;33.14;34.78;3550400
2025-11-06;36.66;36.71;34.46;35.15;3538500
2025-11-05;35.69;37.29;35.38;36.55;3113100
2025-11-04;35.66;36.8;35.19;35.25;5389300
2025-11-03;33.94;38.22;33.81;37.84;10475800
2025-10-31;32.16;32.75;31.92;32.28;2409800
2025-10-30;32.41;32.64;31.74;31.92;2582500
2025-10-29;32.3;33.75;32.3;32.69;4759300
2025-10-28;30.61;32.98;29.5;32.16;9760000
2025-10-27;33.6;33.82;32.97;33.18;4820300
2025-10-24;32.95;33.33;32.42;32.77;3169500
2025-10-23;30.5;32.19;30.44;31.98;1613100
2025-10-22;31.67;31.92;30.26;30.77;2310600
2025-10-21;32.13;32.49;31.68;32.15;2078000
2025-10-20;32.15;32.75;31.95;32.28;2009300
2025-10-17;31.04;31.49;30.59;31.29;1919100
2025-10-16;32.92;32.92;31.09;31.5;3730000
2025-10-15;30.57;31.34;30.23;31.28;2395700
2025-10-14;29.41;30.43;29.39;29.91;2393200
2025-10-13;30.05;30.52;29.71;30.46;2394900
2025-10-10;31.09;31.39;28.19;28.26;5046100
2025-10-09;30.62;30.95;30.03;30.63;2209100
2025-10-08;29.76;30.69;29.7;30.61;2907600
2025-10-07;33.54;33.54;29.33;29.75;5731200
2025-10-06;30.44;30.67;30.15;30.57;2468900
2025-10-03;29.76;30.04;29.16;29.38;2045400
2025-10-02;30.17;30.17;29.34;29.64;1395000
2025-10-01;28.24;29.55;28.17;29.47;2005900
2025-09-30;28.47;28.81;28.03;28.4;2088600
2025-09-29;29.31;29.45;28.5;28.52;2412000
2025-09-26;29.19;29.47;28.75;29.03;1642600
2025-09-25;28.78;29.34;28.32;29.16;1729800
2025-09-24;29.39;29.71;28.96;29.36;1725400
2025-09-23;29.67;30.35;29.45;29.58;2542700
2025-09-22;28.49;29.99;28.42;29.53;3021800
2025-09-19;29.31;29.39;28.24;28.31;5206800
2025-09-18;27.88;29.19;27.55;29.16;4287700
2025-09-17;26.85;27.19;26.16;26.62;2250400
2025-09-16;27.92;28.22;26.48;27.04;3734600
2025-09-15;25.87;26.0;25.52;25.68;1539300
2025-09-12;25.34;25.6;24.97;25.46;1630100
2025-09-11;24.9;25.41;24.86;25.38;2527500
2025-09-10;25.37;25.37;24.6;24.79;2847400
2025-09-09;24.99;25.38;24.78;24.87;3273200
2025-09-08;24.64;25.13;24.6;24.83;2371900
2025-09-05;24.6;24.82;24.18;24.64;2369600
2025-09-04;23.62;24.34;23.38;24.29;1352200
2025-09-03;23.89;24.35;23.61;23.8;2376900
2025-09-02;23.44;23.94;23.37;23.9;1412000
2025-08-29;24.54;24.61;23.96;24.19;1501000
2025-08-28;24.59;24.8;24.44;24.66;1460100
2025-08-27;24.47;24.61;24.27;24.58;1557700
2025-08-26;24.17;24.53;24.14;24.36;1768500
2025-08-25;24.03;24.28;23.88;24.15;1279300
2025-08-22;23.23;24.53;23.22;24.09;2201700
2025-08-21;22.89;23.23;22.81;23.21;1369500
2025-08-20;23.64;23.73;22.74;23.0;1969100
2025-08-19;24.1;24.31;23.62;23.74;1557400
2025-08-18;23.79;24.15;23.77;24.05;1544700
2025-08-15;24.26;24.27;23.65;23.76;1816000
2025-08-14;24.65;24.69;24.13;24.52;1655400
