time;open;high;low;close;Volume
2026-04-24;27.88;28.14;27.44;27.92;209810
2026-04-23;27.81;28.25;26.67;27.76;308175
2026-04-22;27.53;28.81;27.09;27.54;301950
2026-04-21;26.91;27.86;26.52;26.8;374070
2026-04-20;25.68;27.0;25.48;26.91;292521
2026-04-17;25.59;26.17;25.41;25.86;296343
2026-04-16;25.75;25.76;24.63;24.97;361501
2026-04-15;25.92;26.0;25.18;25.62;239589
2026-04-14;25.54;26.1;25.05;25.81;385700
2026-04-13;26.13;26.34;24.68;24.82;270269
2026-04-10;26.08;27.25;25.73;26.4;392677
2026-04-09;25.12;26.31;25.12;26.0;295060
2026-04-08;24.87;25.8;24.42;25.35;669172
2026-04-07;24.07;24.49;23.22;24.22;568706
2026-04-06;24.46;24.78;23.75;24.0;343565
2026-04-02;24.42;25.05;23.2;24.59;585567
2026-04-01;24.84;25.7;23.65;24.67;572582
2026-03-31;25.18;25.62;24.03;25.5;727028
2026-03-30;26.82;27.49;24.7;24.77;386197
2026-03-27;27.15;27.57;26.36;26.75;491971
2026-03-26;28.4;29.12;27.04;27.62;422132
2026-03-25;28.87;29.05;27.61;28.77;484593
2026-03-24;27.53;28.64;27.43;28.64;220933
2026-03-23;26.99;28.0;26.99;27.72;386903
2026-03-20;26.86;27.75;25.83;26.16;816478
2026-03-19;26.74;27.25;25.36;26.83;191391
2026-03-18;26.84;26.84;25.52;26.68;285822
2026-03-17;26.1;26.32;25.49;26.32;180259
2026-03-16;25.35;25.85;24.77;25.59;304047
2026-03-13;26.26;26.54;24.6;24.6;473419
2026-03-12;25.31;26.97;25.13;26.28;315176
2026-03-11;26.36;26.9;25.8;25.82;474902
2026-03-10;26.3;26.88;25.61;25.61;342961
2026-03-09;25.14;26.58;24.51;25.91;241439
2026-03-06;27.14;27.14;25.65;25.7;357210
2026-03-05;28.09;28.09;26.65;27.14;256014
2026-03-04;28.73;29.81;28.1;28.1;339039
2026-03-03;31.3;32.0;26.3;27.9;799949
2026-03-02;29.27;32.0;29.21;32.0;294976
2026-02-27;31.13;31.28;29.57;30.46;246696
2026-02-26;32.86;33.0;30.66;32.0;301286
2026-02-25;33.47;33.6;32.67;32.86;234750
2026-02-24;32.75;33.74;31.75;33.24;258738
2026-02-23;33.49;33.85;32.0;32.88;190583
2026-02-20;33.75;34.57;32.96;33.73;321727
2026-02-19;32.9;34.0;32.33;33.98;223751
2026-02-18;32.6;33.9;32.47;33.55;259815
2026-02-17;32.71;33.06;31.15;32.49;349524
2026-02-13;33.45;34.15;32.19;32.68;304138
2026-02-12;34.02;34.12;33.0;33.2;249997
2026-02-11;32.9;33.73;31.32;33.69;417037
2026-02-10;32.26;33.85;31.41;32.75;298717
2026-02-09;31.16;32.76;30.39;32.36;373212
2026-02-06;27.81;31.54;27.43;30.92;670126
2026-02-05;29.25;29.56;26.29;26.63;556740
2026-02-04;31.5;32.76;29.0;30.03;172660
2026-02-03;30.57;32.14;30.12;31.44;260658
2026-02-02;31.0;31.54;29.93;30.57;232366
2026-01-30;32.37;33.21;30.94;31.34;270843
2026-01-29;33.49;33.7;31.64;32.37;290286
2026-01-28;33.12;34.01;32.71;33.31;282348
2026-01-27;31.96;33.83;31.86;33.02;266626
2026-01-26;32.18;32.72;31.85;31.87;174463
2026-01-23;33.6;33.85;32.21;32.51;269331
2026-01-22;32.34;33.3;32.13;32.72;346302
2026-01-21;31.71;32.56;30.89;31.9;443896
2026-01-20;31.69;33.25;30.69;31.16;443880
2026-01-16;31.58;33.82;31.06;33.43;1602798
2026-01-15;30.78;31.71;30.35;31.31;261945
2026-01-14;30.89;31.26;30.07;30.65;483733
2026-01-13;31.62;31.8;31.02;31.58;199717
2026-01-12;30.2;31.82;30.0;31.07;241286
2026-01-09;29.81;30.68;29.66;30.29;180257
2026-01-08;29.22;30.1;28.99;29.28;180902
2026-01-07;30.29;30.29;29.06;29.26;211624
2026-01-06;30.92;30.92;29.51;30.46;373801
2026-01-05;31.31;31.31;29.74;30.92;183807
2026-01-02;29.97;31.12;29.66;30.67;199023
2025-12-31;29.35;29.5;28.72;29.29;375765
2025-12-30;30.24;30.66;29.35;29.41;192868
2025-12-29;29.83;30.9;29.83;29.9;156626
2025-12-26;30.31;30.34;29.72;30.18;108996
2025-12-24;29.85;30.42;29.52;30.34;126092
2025-12-23;30.58;30.59;29.77;30.33;162931
2025-12-22;29.6;31.11;29.6;30.84;310742
2025-12-19;29.51;30.25;29.29;29.62;603919
2025-12-18;29.24;30.51;29.04;29.57;496997
2025-12-17;29.61;30.6;29.05;29.13;292986
2025-12-16;29.78;29.82;28.69;29.6;432209
2025-12-15;30.48;30.79;29.26;29.65;416182
2025-12-12;32.02;32.16;29.78;30.06;272648
2025-12-11;31.31;32.32;30.69;32.11;422166
2025-12-10;32.16;32.42;31.16;31.66;287978
2025-12-09;32.22;33.0;31.84;32.0;343992
2025-12-08;33.57;33.57;32.35;32.5;234239
2025-12-05;33.91;33.97;32.5;33.25;362229
2025-12-04;35.43;36.02;34.0;34.06;279465
2025-12-03;35.28;35.36;33.79;34.98;445130
2025-12-02;34.98;36.4;34.57;35.2;426352
2025-12-01;34.29;35.22;33.5;34.95;283076
2025-11-28;34.66;34.8;34.1;34.71;106177
2025-11-26;33.43;34.72;33.39;34.65;500436
2025-11-25;34.0;34.0;31.84;33.0;163070
2025-11-24;31.85;32.89;31.29;32.55;214066
2025-11-21;31.4;31.75;29.75;30.82;321116
2025-11-20;31.2;34.06;30.24;30.52;246024
2025-11-19;31.09;32.24;30.62;31.03;277006
2025-11-18;30.49;31.8;30.01;31.14;360254
2025-11-17;32.16;32.16;30.59;31.25;233048
2025-11-14;31.0;33.23;30.05;32.8;527910
2025-11-13;33.34;33.94;31.45;32.0;342570
2025-11-12;35.18;35.37;32.95;33.72;364556
2025-11-11;37.98;37.98;34.31;35.09;193907
2025-11-10;36.0;36.96;35.18;35.91;255544
2025-11-07;36.19;36.23;33.42;35.18;500726
2025-11-06;37.39;37.97;33.31;33.32;264089
2025-11-05;35.56;37.75;35.02;37.44;570066
2025-11-04;36.6;38.78;34.19;36.28;1035820
2025-11-03;39.62;40.73;36.0;38.7;267247
2025-10-31;39.38;40.05;38.5;39.55;241257
2025-10-30;39.0;39.9;38.6;38.97;248484
2025-10-29;40.98;41.69;38.57;38.57;268451
2025-10-28;41.45;42.07;40.52;41.94;172859
2025-10-27;42.5;42.83;41.15;41.55;194874
2025-10-24;41.0;42.62;40.76;41.05;291150
2025-10-23;38.19;40.48;37.6;40.36;269058
2025-10-22;38.0;39.0;37.28;38.3;473012
2025-10-21;39.99;39.99;37.19;38.11;571340
2025-10-20;40.0;42.21;39.99;40.57;383167
2025-10-17;41.06;42.14;39.71;41.07;1337624
2025-10-16;43.5;44.59;41.93;42.6;594484
2025-10-15;42.44;44.36;41.74;43.0;724678
2025-10-14;41.74;42.9;40.05;41.54;273645
2025-10-13;39.4;44.93;38.88;41.71;646383
2025-10-10;39.65;40.69;37.3;37.31;442812
2025-10-09;38.56;40.88;38.02;39.9;379708
2025-10-08;38.85;40.0;38.53;39.36;551899
2025-10-07;38.26;39.8;37.76;38.39;357402
2025-10-06;38.0;40.1;37.59;39.5;364091
2025-10-03;36.95;37.63;36.1;37.33;373573
2025-10-02;38.0;38.0;36.23;36.34;587174
2025-10-01;33.6;38.0;33.58;38.0;603896
2025-09-30;34.16;34.38;32.75;33.35;646178
2025-09-29;34.91;35.75;32.81;32.81;465599
2025-09-26;35.2;35.49;34.23;34.79;523511
2025-09-25;32.0;35.31;32.0;35.0;1000307
2025-09-24;31.94;32.68;31.24;31.61;372110
2025-09-23;32.4;33.74;31.0;31.6;622080
2025-09-22;30.5;32.58;30.34;32.15;428928
2025-09-19;31.4;32.54;30.13;30.13;1217802
2025-09-18;29.55;31.41;28.84;31.41;455482
2025-09-17;28.37;30.05;28.37;29.3;350571
2025-09-16;28.79;29.46;28.15;28.37;370948
2025-09-15;27.93;29.22;27.25;28.8;474806
2025-09-12;27.07;27.85;26.84;27.4;497494
2025-09-11;28.17;28.17;26.91;27.25;465718
2025-09-10;25.6;28.46;25.27;28.02;851379
2025-09-09;24.79;31.0;24.51;25.61;497559
2025-09-08;24.96;26.0;23.76;24.3;446836
2025-09-05;26.38;26.68;25.23;25.93;303926
2025-09-04;25.61;26.52;25.45;26.2;220650
2025-09-03;25.45;26.08;24.85;25.65;345911
2025-09-02;25.65;26.73;24.88;25.46;428557
2025-08-29;25.0;25.9;24.98;25.43;274725
2025-08-28;24.54;25.43;24.41;25.29;291229
2025-08-27;24.9;25.53;24.41;24.54;390825
2025-08-26;24.91;25.6;24.67;25.1;362532
2025-08-25;24.3;25.04;23.8;24.78;372893
2025-08-22;23.08;24.52;22.6;23.88;559690
2025-08-21;22.33;22.98;22.04;22.72;225411
2025-08-20;22.19;22.96;22.18;22.5;1044444
2025-08-19;23.22;23.22;22.06;22.06;293825
2025-08-18;21.66;22.89;21.56;22.77;459243
2025-08-15;20.8;22.41;20.07;21.43;440469
2025-08-14;21.03;21.03;19.79;19.96;363609
2025-08-13;19.68;21.06;19.68;21.02;545642
2025-08-12;19.72;20.03;19.26;19.68;315223
2025-08-11;20.51;23.0;19.13;19.17;270169
2025-08-08;20.0;20.6;19.59;20.5;451218
2025-08-07;20.55;21.65;19.84;20.25;471545
2025-08-06;24.65;24.96;19.89;20.3;1201042
2025-08-05;19.3;25.07;19.24;24.76;2491143
2025-08-04;16.08;20.99;15.9;19.49;474458
2025-08-01;16.5;16.5;15.52;15.85;412521
2025-07-31;17.2;17.33;16.61;16.8;336877
2025-07-30;18.13;18.29;16.39;16.71;416596
2025-07-29;17.95;19.42;17.42;18.0;590397
2025-07-28;18.7;18.7;17.74;17.91;235321
2025-07-25;18.65;18.98;18.04;18.12;299552
2025-07-24;19.39;19.59;18.67;18.67;250371
2025-07-23;19.52;19.68;18.96;19.5;291627
2025-07-22;17.75;19.72;17.4;19.26;726758
2025-07-21;18.2;18.81;17.8;18.15;316355
2025-07-18;17.92;18.67;17.7;18.21;2616457
2025-07-17;18.45;18.5;17.81;18.0;750155
2025-07-16;18.0;18.49;17.3;17.3;1002385
2025-07-15;18.87;19.87;17.7;18.0;751711
2025-07-14;18.03;18.95;17.64;18.95;738794
2025-07-11;17.99;18.65;17.1;18.2;1244917
2025-07-10;16.46;18.0;16.28;18.0;397318
2025-07-09;16.76;16.76;16.0;16.44;276882
2025-07-08;16.23;17.1;15.81;17.1;608577
2025-07-07;16.61;16.9;15.99;16.07;280018
2025-07-03;16.42;17.0;16.29;16.81;197746
2025-07-02;16.02;16.89;16.02;16.27;284571
2025-07-01;14.5;16.56;14.5;15.92;283812
2025-06-30;15.28;15.46;14.88;15.19;266661
2025-06-27;15.67;15.67;14.68;15.16;402357
2025-06-26;15.07;15.99;14.99;15.56;263165
2025-06-25;14.92;15.15;14.43;14.81;316674
2025-06-24;14.73;15.31;14.47;14.89;338061
2025-06-23;14.73;15.04;14.08;14.37;463805
2025-06-20;16.31;16.31;14.98;15.46;929781
2025-06-18;16.09;16.62;15.94;16.1;293706
2025-06-17;16.08;16.56;15.64;16.05;265964
2025-06-16;16.29;16.9;16.16;16.21;304665
2025-06-13;15.65;16.11;15.45;15.85;255496
2025-06-12;15.5;16.2;15.39;16.0;144444
2025-06-11;15.63;16.09;15.52;15.87;248071
2025-06-10;16.1;16.27;15.29;15.6;268153
2025-06-09;16.28;16.38;15.64;16.03;323400
2025-06-06;15.33;15.73;15.03;15.51;268156
2025-06-05;14.78;15.13;14.58;14.85;157988
2025-06-04;15.5;15.55;14.68;14.83;208833
2025-06-03;13.45;15.49;13.36;15.49;412079
2025-06-02;13.6;13.83;12.96;13.53;271330
2025-05-30;14.22;14.31;13.76;13.78;410833
2025-05-29;14.37;14.47;13.82;14.36;471496
2025-05-28;13.48;14.44;13.48;14.06;247366
2025-05-27;13.98;14.33;13.54;14.0;227941
2025-05-23;13.12;13.82;12.81;13.65;162954
2025-05-22;13.7;13.79;12.95;13.65;382763
2025-05-21;15.0;15.0;14.14;14.16;256867
