time;open;high;low;close;Volume
2026-04-24;46.8;50.78;45.5;49.48;1638206
2026-04-23;52.0;53.39;44.4678;47.4494;1970410
2026-04-22;43.6602;52.9752;42.72;51.5;1863614
2026-04-21;41.2;43.8085;40.75;42.99;1102275
2026-04-20;38.86;40.9157;38.75;40.73;476553
2026-04-17;39.5;40.7486;38.06;39.9;789378
2026-04-16;37.74;38.585;36.89;38.0;657496
2026-04-15;39.7;40.7148;37.2101;37.6;975844
2026-04-14;38.84;39.8;37.25;39.8;695410
2026-04-13;37.67;38.11;36.5401;38.1;542582
2026-04-10;36.39;39.25;36.18;37.93;900363
2026-04-09;32.87;36.61;32.87;36.0106;1046102
2026-04-08;33.2;34.28;32.6625;32.88;681691
2026-04-07;32.25;33.2;30.87;32.99;370239
2026-04-06;31.74;32.99;31.74;32.68;249265
2026-04-02;32.46;32.89;30.955;32.42;414962
2026-04-01;33.98;35.05;32.6001;32.65;410473
2026-03-31;32.68;34.275;32.0;33.98;828736
2026-03-30;34.0;34.36;31.36;32.4946;1508244
2026-03-27;32.46;34.035;31.636;33.383;721926
2026-03-26;32.73;34.2699;32.1917;32.5;1121393
2026-03-25;32.74;34.65;32.573;33.4276;648933
2026-03-24;30.71;32.9416;30.0;32.8204;635531
2026-03-23;27.88;30.95;27.51;30.6;1211818
2026-03-20;30.85;30.93;28.55;29.0;933697
2026-03-19;29.62;31.2;28.6852;30.85;296834
2026-03-18;31.57;31.6674;29.6741;29.737;414202
2026-03-17;30.6;31.55;30.35;31.0;319658
2026-03-16;31.47;32.5;30.11;30.35;435958
2026-03-13;29.44;31.19;29.03;31.1708;635194
2026-03-12;30.26;30.26;28.82;29.2101;465278
2026-03-11;29.73;30.9194;29.33;30.4;538381
2026-03-10;29.25;30.225;28.6;29.33;691742
2026-03-09;26.56;29.11;26.0;28.8;976011
2026-03-06;31.02;31.32;27.69;27.8652;1199019
2026-03-05;31.89;32.75;30.01;30.88;436753
2026-03-04;31.73;32.55;30.36;31.84;291609
2026-03-03;32.5;32.6;30.082;30.85;492200
2026-03-02;32.0;33.38;30.08;33.05;563648
2026-02-27;34.13;34.45;32.38;32.4227;556023
2026-02-26;34.93;34.9899;33.2;34.1773;401215
2026-02-25;33.98;35.81;33.7976;34.5101;494530
2026-02-24;32.7;34.24;32.05;33.6836;576325
2026-02-23;33.99;34.3463;32.011;32.41;559202
2026-02-20;34.05;35.53;32.5;33.97;854249
2026-02-19;35.35;35.93;33.0;33.63;720231
2026-02-18;38.0;40.0;34.0;35.3;1256964
2026-02-17;33.69;37.8;32.62;37.43;1204953
2026-02-13;32.04;34.53;31.05;34.5;1056740
2026-02-12;34.92;36.0;31.6001;31.6001;1093083
2026-02-11;32.25;34.82;31.21;34.5;1944284
2026-02-10;29.02;32.36;28.065;32.0;2422454
2026-02-09;28.06;30.125;27.68;29.2;756355
2026-02-06;25.79;28.6321;25.2798;28.6321;1406974
2026-02-05;33.01;33.01;24.87;25.37;2718273
2026-02-04;30.02;34.88;26.92;33.8636;1355801
2026-02-03;30.25;31.24;28.75;30.31;698865
2026-02-02;29.7;30.8999;29.04;30.36;1052977
2026-01-30;30.62;31.67;29.6;29.92;490383
2026-01-29;31.88;32.11;30.22;31.45;541621
2026-01-28;32.59;32.88;31.3;31.79;412192
2026-01-27;31.9;32.42;31.36;32.25;290641
2026-01-26;33.02;33.935;31.36;31.51;621208
2026-01-23;33.5;34.5;32.13;33.22;766062
2026-01-22;32.29;33.8;30.68;33.7;567230
2026-01-21;31.42;32.2;30.04;32.1;618998
2026-01-20;31.86;32.05;30.28;31.5;500498
2026-01-16;31.32;32.7;30.94;32.31;562270
2026-01-15;31.39;32.0;30.868;31.4385;461278
2026-01-14;31.32;31.63;30.1;30.9;465328
2026-01-13;30.7;31.78;30.59;31.76;504480
2026-01-12;30.04;31.115;29.5;30.69;408486
2026-01-09;31.24;31.3;29.92;30.66;408743
2026-01-08;30.91;31.05;29.95;30.55;466395
2026-01-07;30.8;31.38;30.16;30.75;489488
2026-01-06;33.23;33.53;29.97;30.85;883742
2026-01-05;31.8;33.86;31.75;33.21;834795
2026-01-02;29.22;31.77;29.22;31.58;770401
2025-12-31;29.0;29.18;28.68;28.8;639522
2025-12-30;29.31;29.5503;28.8;28.95;862216
2025-12-29;30.36;30.638;29.21;29.36;592655
2025-12-26;31.34;31.45;30.0;30.42;350591
2025-12-24;31.61;31.71;30.9045;31.42;191194
2025-12-23;31.86;32.175;31.24;31.24;390712
2025-12-22;31.68;32.43;30.7307;32.2738;682583
2025-12-19;30.84;31.61;30.29;30.501;602153
2025-12-18;29.48;31.4;28.98;30.59;511073
2025-12-17;31.46;32.4305;28.84;28.84;865061
2025-12-16;31.13;32.5899;30.99;31.11;382421
2025-12-15;31.49;31.8824;30.6701;31.37;451913
2025-12-12;32.39;32.6;30.27;30.9;568449
2025-12-11;32.45;33.3;31.405;32.45;554746
2025-12-10;32.5;33.59;31.67;33.51;619770
2025-12-09;32.4453;32.89;31.75;32.89;399137
2025-12-08;33.11;33.26;32.02;32.3;345164
2025-12-05;33.22;33.5616;31.95;32.76;529074
2025-12-04;32.19;33.849;31.7;33.14;512676
2025-12-03;30.9;32.5;29.9;32.04;467612
2025-12-02;30.46;31.64;30.45;30.82;565714
2025-12-01;30.69;30.95;29.645;30.15;655479
2025-11-28;30.86;31.41;30.58;31.1687;430382
2025-11-26;30.88;31.5;30.27;30.69;768886
2025-11-25;31.21;31.58;29.53;30.44;702882
2025-11-24;31.08;32.3;30.38;32.3;639506
2025-11-21;29.8;30.98;28.7;30.38;861708
2025-11-20;32.36;33.42;29.5;29.7;787918
2025-11-19;31.49;32.64;30.81;32.51;417899
2025-11-18;31.15;32.57;30.69;31.59;714243
2025-11-17;34.43;34.5;31.69;31.8;644411
2025-11-14;32.69;34.8499;30.89;34.25;513567
2025-11-13;35.5;35.68;32.82;33.5;882337
2025-11-12;35.51;36.3999;34.43;35.15;542016
2025-11-11;36.91;37.1;34.16;35.0125;1004576
2025-11-10;40.82;41.39;36.7;37.25;1516443
2025-11-07;36.92;39.75;33.81;39.27;2176606
2025-11-06;49.13;50.94;36.0;36.64;3968639
2025-11-05;56.19;60.65;45.04;46.8;713891
2025-11-04;58.09;59.84;55.26;56.0;440133
2025-11-03;59.68;61.7988;58.51;60.5;408711
2025-10-31;59.09;61.2;58.1;59.93;477811
2025-10-30;62.91;63.2;58.11;59.9;586672
2025-10-29;58.74;64.72;57.97;64.25;869647
2025-10-28;57.82;59.36;56.69;58.26;433783
2025-10-27;61.41;62.95;56.96;57.95;639125
2025-10-24;57.85;61.94;57.36;60.0;793833
2025-10-23;55.54;57.6831;54.01;57.4;618711
2025-10-22;59.0;59.49;52.0672;54.1663;1254034
2025-10-21;60.7;61.3;58.0101;58.65;410609
2025-10-20;62.43;63.6999;59.0;61.4;629423
2025-10-17;60.58;63.0399;57.8;60.29;658067
2025-10-16;67.1;68.77;61.6682;62.055;547161
2025-10-15;68.09;70.4857;63.8438;67.44;935732
2025-10-14;59.87;67.3978;57.011;66.59;1420209
