time;open;high;low;close;Volume
2026-04-17;37.26;38.045;36.865;37.11;4272100
2026-04-16;36.52;36.655;35.88;36.02;2768200
2026-04-15;36.49;36.88;35.82;36.41;2204400
2026-04-14;35.81;36.67;35.41;36.3;3660300
2026-04-13;34.85;35.42;34.54;35.25;2459500
2026-04-10;35.88;36.0;34.95;35.22;2913000
2026-04-09;34.54;36.185;34.53;35.77;3650400
2026-04-08;35.31;37.93;34.76;35.07;6936800
2026-04-07;33.3;33.43;32.02;32.67;4985400
2026-04-06;33.68;34.05;33.1;33.9;3257800
2026-04-02;32.84;33.92;32.305;33.4;2811100
2026-04-01;33.52;34.4;32.97;33.86;5444200
2026-03-31;31.69;33.4;31.63;32.92;5530500
2026-03-30;31.66;31.87;30.895;31.01;4916000
2026-03-27;31.37;31.6;30.65;31.43;4415600
2026-03-26;33.13;33.78;31.78;31.82;3799100
2026-03-25;33.85;34.43;33.26;33.62;7312700
2026-03-24;32.1;33.47;32.03;33.09;4535600
2026-03-23;31.47;33.31;31.47;32.71;6073700
2026-03-20;32.48;32.66;30.55;30.74;5350900
2026-03-19;32.6;33.0;31.655;32.67;4310600
2026-03-18;33.64;34.34;33.27;33.36;4475900
2026-03-17;33.94;34.77;33.49;33.66;2344700
2026-03-16;33.07;33.96;32.75;33.55;3385000
2026-03-13;32.73;32.78;32.04;32.34;3709600
2026-03-12;32.85;33.37;32.33;32.35;4246200
2026-03-11;34.49;34.74;33.24;33.4;4341900
2026-03-10;34.45;35.3;33.79;34.69;6724900
2026-03-09;33.0;34.15;32.63;34.08;6689700
2026-03-06;34.59;35.178;33.77;33.98;5713200
2026-03-05;36.51;36.845;34.675;35.35;8542300
2026-03-04;37.1;37.5;36.405;36.97;6601800
2026-03-03;36.74;37.0;35.21;36.92;18491700
2026-03-02;36.95;38.35;36.4;37.89;3813600
2026-02-27;37.72;38.345;37.02;37.98;3677500
2026-02-26;38.69;39.26;37.72;38.69;4211100
2026-02-25;38.19;38.62;36.25;37.85;7694400
2026-02-24;38.69;40.67;38.0;38.24;11081500
2026-02-23;41.75;42.09;40.11;40.49;6225300
2026-02-20;41.51;42.76;41.12;41.96;4120500
2026-02-19;41.31;41.565;40.68;41.51;1879800
2026-02-18;40.02;41.84;40.0;41.31;3900300
2026-02-17;39.85;40.83;39.28;40.26;3213600
2026-02-13;38.74;39.9;38.18;39.81;3338800
2026-02-12;40.265;40.61;38.0;38.52;5539800
2026-02-11;40.62;41.31;39.7;39.81;5373500
2026-02-10;40.34;41.23;39.8;40.2;8216100
2026-02-09;37.9;39.79;37.9;39.54;8386100
2026-02-06;36.23;37.68;36.22;37.51;4106100
2026-02-05;36.13;36.64;34.82;35.73;5418000
2026-02-04;36.38;36.58;35.28;36.34;4094100
2026-02-03;38.15;38.21;35.18;35.95;6892100
2026-02-02;36.6;38.015;36.454;37.97;4001000
2026-01-30;37.0;37.63;36.36;36.63;4137000
2026-01-29;37.33;37.81;36.75;37.34;3485500
2026-01-28;38.37;38.91;36.84;37.2;4465100
2026-01-27;38.1;38.363;37.48;38.08;2524800
2026-01-26;38.24;38.88;37.75;37.87;4064700
2026-01-23;36.37;37.74;36.09;37.72;4522100
2026-01-22;35.98;36.71;35.82;36.49;4295300
2026-01-21;36.94;36.94;35.54;35.87;4487900
2026-01-20;36.12;37.21;35.868;36.46;4124700
2026-01-16;37.26;37.49;36.84;37.03;2888300
2026-01-15;36.95;37.93;36.895;37.29;3278700
2026-01-14;38.21;38.375;36.455;36.74;3764500
2026-01-13;38.0;38.405;37.7;38.26;1883700
2026-01-12;37.92;38.73;37.56;37.99;1988900
2026-01-09;38.95;39.58;37.86;38.53;2592800
2026-01-08;38.87;40.0;38.7;39.12;4038400
2026-01-07;38.69;39.1;38.125;38.39;2281200
2026-01-06;37.05;38.9;37.0;38.64;3260200
2026-01-05;37.48;37.59;36.24;37.09;5104800
2026-01-02;37.63;37.97;37.24;37.5;2150900
2025-12-31;37.63;37.65;36.8;37.35;3267100
2025-12-30;37.75;38.1;37.33;37.75;1814400
2025-12-29;38.05;38.36;37.555;37.84;2803800
2025-12-26;37.97;38.43;37.825;38.37;2016900
2025-12-24;37.97;38.094;37.75;37.84;825600
2025-12-23;38.13;38.25;37.39;37.93;1638100
2025-12-22;38.465;38.465;37.77;38.12;2975900
2025-12-19;38.2;38.74;37.91;38.21;2499000
2025-12-18;38.54;38.868;38.18;38.18;3234300
2025-12-17;38.9;39.0;37.7;37.91;4327000
2025-12-16;38.91;39.49;38.45;38.9;2271900
2025-12-15;38.66;39.43;38.3;39.04;3530400
2025-12-12;39.29;39.315;37.964;38.36;3525800
2025-12-11;39.21;39.87;39.0;39.36;3303100
2025-12-10;38.74;39.84;38.195;39.47;4440100
2025-12-09;37.6;39.2;37.24;38.68;6935800
2025-12-08;36.31;37.28;36.25;37.19;4120900
2025-12-05;36.24;36.615;35.77;35.81;3276700
2025-12-04;36.37;36.94;35.925;35.98;3579600
2025-12-03;37.13;37.455;36.77;36.96;4359000
2025-12-02;37.25;37.64;37.0;37.02;3248700
2025-12-01;36.8;37.815;36.62;37.03;3569600
2025-11-28;36.71;37.48;36.52;37.13;1542500
2025-11-26;36.98;37.46;36.5;36.66;4346100
2025-11-25;35.89;36.92;35.8;36.6;5416800
2025-11-24;34.26;36.09;34.26;36.05;4844200
2025-11-21;34.76;35.48;33.7;34.06;3919000
2025-11-20;35.34;35.71;34.165;34.35;5107500
2025-11-19;34.07;35.82;34.0;34.76;7410500
2025-11-18;33.02;34.035;31.25;33.36;13868400
2025-11-17;30.18;31.0;30.18;30.76;10767100
2025-11-14;29.89;30.75;29.72;30.37;5721900
2025-11-13;31.1;31.635;30.38;30.41;3442100
2025-11-12;31.11;32.19;30.75;31.38;5647100
2025-11-11;30.24;30.74;29.982;30.18;2982900
2025-11-10;30.04;30.47;29.57;30.14;4194900
2025-11-07;29.5;29.7;28.92;29.54;5712900
2025-11-06;31.19;31.19;29.57;29.67;5400500
2025-11-05;31.31;31.72;30.945;31.27;4299900
2025-11-04;31.02;31.98;30.985;31.4;2491400
2025-11-03;31.5;31.78;30.87;31.47;5807100
2025-10-31;32.09;32.09;31.18;31.23;4183300
2025-10-30;32.14;32.82;31.63;31.93;3455700
2025-10-29;32.5;32.64;31.87;32.14;3635000
2025-10-28;32.41;33.145;31.68;32.82;5613400
2025-10-27;32.69;33.09;32.3;32.56;5370200
2025-10-24;32.0;32.13;31.36;31.76;4089400
2025-10-23;30.96;31.96;30.96;31.64;4514000
2025-10-22;31.11;31.8;30.634;31.05;6252900
2025-10-21;30.83;31.37;30.51;30.88;4882700
2025-10-20;30.9;31.41;30.37;30.86;4137700
2025-10-17;30.33;31.06;30.22;30.83;5187200
2025-10-16;32.25;32.43;30.47;30.64;4794900
2025-10-15;31.47;33.0;31.2;32.04;7347200
2025-10-14;30.0;31.57;29.53;30.92;8400800
2025-10-13;31.73;31.99;30.355;30.95;7715600
2025-10-10;32.53;32.765;30.875;30.94;10491400
2025-10-09;34.55;34.77;32.39;32.44;8830400
2025-10-08;34.36;34.74;34.235;34.53;3927400
2025-10-07;34.0;34.49;33.43;34.16;3350100
2025-10-06;34.51;34.85;33.81;34.12;3960500
2025-10-03;35.34;35.62;34.295;34.36;5538300
2025-10-02;35.0;35.3;34.545;35.19;2375300
2025-10-01;34.63;35.155;33.88;34.95;4944900
2025-09-30;35.08;35.28;34.275;34.75;5471400
2025-09-29;35.38;35.7;34.36;34.61;5983500
2025-09-26;34.28;34.6;33.695;34.48;3426400
2025-09-25;33.4;34.6;33.26;34.28;6509200
2025-09-24;34.14;34.62;33.71;34.14;6132700
2025-09-23;35.45;35.64;33.66;34.3;5935400
2025-09-22;35.35;37.265;34.61;35.27;13732800
2025-09-19;38.61;39.0;37.14;37.45;4391600
2025-09-18;39.09;39.29;37.04;37.88;5927100
