time;open;high;low;close;Volume
2026-04-24;76.08;79.34;74.58;78.93;35338
2026-04-23;75.25;76.22;72.66;76.22;39133
2026-04-22;72.75;75.83;72.41;75.83;75596
2026-04-21;73.09;75.25;71.04;72.5;25137
2026-04-20;69.95;73.27;69.95;72.98;35846
2026-04-17;68.76;72.24;68.76;70.9463;33270
2026-04-16;67.72;68.25;66.54;66.96;21161
2026-04-15;68.28;69.6;67.77;68.36;15641
2026-04-14;66.72;69.135;66.72;68.18;39084
2026-04-13;63.02;67.575;62.71;67.09;40019
2026-04-10;63.67;63.9;62.4;63.39;44700
2026-04-09;60.65;64.48;60.03;64.0;46801
2026-04-08;58.0;61.16;58.0;60.76;50515
2026-04-07;55.21;57.56;54.4;57.56;43082
2026-04-06;53.69;55.52;53.635;55.35;36272
2026-04-02;53.0;54.64;51.24;53.45;26798
2026-04-01;53.09;56.32;52.0;54.08;35612
2026-03-31;52.25;53.15;50.67;52.47;29830
2026-03-30;52.78;52.81;50.75;51.32;17969
2026-03-27;52.77;53.17;50.82;52.7;36701
2026-03-26;53.29;54.4089;52.71;53.14;17499
2026-03-25;56.81;57.31;53.845;54.13;36864
2026-03-24;56.02;57.15;55.6211;55.97;25490
2026-03-23;54.5;58.08;54.5;56.95;39976
2026-03-20;53.84;55.87;53.36;55.87;69296
2026-03-19;52.7;54.655;52.7;53.84;26411
2026-03-18;53.26;54.16;52.5;53.02;35970
2026-03-17;48.5;54.34;48.5;53.86;53198
2026-03-16;50.0;50.735;47.5;48.93;65680
2026-03-13;54.5;56.0;47.6332;49.25;72410
2026-03-12;53.86;55.18;51.65;55.18;44130
2026-03-11;55.92;56.775;54.21;55.13;20490
2026-03-10;55.71;58.32;54.71;56.47;58826
2026-03-09;53.52;55.77;50.69;55.43;50794
2026-03-06;56.26;56.29;53.76;54.81;49560
2026-03-05;56.35;59.08;53.99;58.57;75796
2026-03-04;54.18;57.46;54.07;57.23;23736
2026-03-03;52.01;54.6;51.53;53.98;15140
2026-03-02;51.0;53.73;51.0;53.03;20710
2026-02-27;52.77;53.42;51.0;52.31;42298
2026-02-26;54.2;55.51;53.27;54.13;28781
2026-02-25;53.14;54.615;52.75;54.475;15451
2026-02-24;52.56;53.34;52.21;52.65;38073
2026-02-23;54.43;54.43;50.855;52.56;55307
2026-02-20;54.58;55.705;53.94;54.47;17135
2026-02-19;54.1;55.1199;53.15;54.74;37249
2026-02-18;52.37;54.89;52.37;54.84;20083
2026-02-17;52.1;53.8;51.85;52.83;25082
2026-02-13;54.595;55.415;51.7;51.87;22120
2026-02-12;55.83;57.37;53.88;54.92;42248
2026-02-11;56.67;57.305;54.2;55.15;27509
