time;open;high;low;close;Volume
2026-04-17;5.37;5.54;5.26;5.27;29211500
2026-04-16;5.39;5.425;5.155;5.17;23641100
2026-04-15;4.729;5.325;4.72;5.3;28837100
2026-04-14;4.36;4.7;4.35;4.67;17590500
2026-04-13;4.09;4.345;4.08;4.33;17984500
2026-04-10;4.055;4.165;4.0;4.15;14230000
2026-04-09;4.19;4.23;4.015;4.03;12434500
2026-04-08;4.35;4.42;4.15;4.23;16288300
2026-04-07;4.15;4.17;3.95;4.09;13823000
2026-04-06;4.15;4.37;4.15;4.2;12612800
2026-04-02;3.99;4.26;3.99;4.15;12291500
2026-04-01;4.17;4.25;4.12;4.18;18239600
2026-03-31;3.99;4.16;3.885;4.12;19246200
2026-03-30;4.18;4.18;3.82;3.88;20773600
2026-03-27;4.143;4.205;4.1;4.12;17996000
2026-03-26;4.26;4.44;4.21;4.22;13593200
2026-03-25;4.35;4.43;4.25;4.32;12264500
2026-03-24;4.31;4.395;4.2;4.22;16704400
2026-03-23;4.21;4.49;4.09;4.38;22890900
2026-03-20;4.16;4.245;4.09;4.13;30992700
2026-03-19;3.99;4.2;3.97;4.18;15744600
2026-03-18;4.15;4.2;4.05;4.06;16758000
2026-03-17;4.23;4.41;4.195;4.22;17704200
2026-03-16;4.14;4.31;4.12;4.23;18607600
2026-03-13;4.31;4.39;4.07;4.08;34190700
2026-03-12;4.38;4.42;4.22;4.25;15725800
2026-03-11;4.41;4.48;4.27;4.45;16938300
2026-03-10;4.61;4.65;4.33;4.37;18547800
2026-03-09;4.39;4.66;4.29;4.61;22604800
2026-03-06;4.41;4.525;4.325;4.49;23802200
2026-03-05;4.42;4.5;4.2;4.47;15855300
2026-03-04;4.65;4.705;4.45;4.49;18667800
2026-03-03;4.57;4.78;4.49;4.6;17152100
2026-03-02;4.495;4.77;4.48;4.75;17264900
2026-02-27;4.58;4.92;4.57;4.68;25752400
2026-02-26;4.88;4.88;4.56;4.71;16996400
2026-02-25;4.89;4.97;4.82;4.88;14661200
2026-02-24;4.73;4.89;4.63;4.85;13001700
2026-02-23;4.7;4.84;4.54;4.74;16703000
2026-02-20;4.755;4.93;4.73;4.77;17561900
2026-02-19;4.69;4.897;4.645;4.86;18667100
2026-02-18;4.55;4.88;4.49;4.74;26719600
2026-02-17;4.45;4.575;4.34;4.53;12923500
2026-02-13;4.25;4.52;4.18;4.48;19674500
2026-02-12;4.46;4.58;3.98;4.22;23055400
2026-02-11;4.5;4.5;4.27;4.36;19894500
2026-02-10;4.42;4.5;4.36;4.46;9830300
2026-02-09;4.25;4.43;4.181;4.4;13511600
2026-02-06;3.94;4.3;3.9;4.28;14135700
2026-02-05;4.06;4.09;3.75;3.78;21607900
2026-02-04;4.12;4.25;3.95;4.17;19784700
2026-02-03;4.12;4.18;3.915;4.12;15167600
2026-02-02;4.17;4.2;4.06;4.07;16375800
2026-01-30;4.43;4.5;4.18;4.2;16351900
2026-01-29;4.44;4.54;4.305;4.51;20198400
2026-01-28;4.385;4.55;4.27;4.5;14526200
2026-01-27;4.44;4.48;4.32;4.36;13429100
2026-01-26;4.6;4.61;4.325;4.42;14959800
2026-01-23;4.88;4.88;4.541;4.58;17591000
2026-01-22;4.74;5.08;4.71;4.88;21077900
2026-01-21;4.55;4.68;4.47;4.66;15054100
2026-01-20;4.49;4.66;4.43;4.49;13153100
2026-01-16;4.59;4.76;4.565;4.67;12875600
2026-01-15;4.65;4.68;4.543;4.57;11299200
2026-01-14;4.58;4.62;4.495;4.62;10358200
2026-01-13;4.76;4.76;4.48;4.59;13843700
2026-01-12;4.77;4.83;4.59;4.76;15419300
2026-01-09;4.72;4.82;4.65;4.79;21578200
2026-01-08;4.53;4.7;4.43;4.67;19160600
2026-01-07;4.52;4.82;4.42;4.59;29072900
2026-01-06;4.04;4.42;3.995;4.4;25067000
2026-01-05;3.95;4.06;3.9;3.99;31046200
2026-01-02;3.86;3.95;3.79;3.87;22506400
2025-12-31;3.86;3.9;3.79;3.84;14045100
