time;open;high;low;close;Volume
2026-04-24;5.23;5.41;4.96;5.09;14264516
2026-04-23;5.34;5.39;5.14;5.29;17943472
2026-04-22;5.6;5.79;5.36;5.43;17123526
2026-04-21;5.82;5.83;5.23;5.65;33088621
2026-04-20;4.83;5.76;4.68;5.75;54778938
2026-04-17;4.69;4.94;4.51;4.8;21088996
2026-04-16;4.12;4.72;4.09;4.67;20989183
2026-04-15;3.99;4.14;3.95;4.14;8130681
2026-04-14;3.89;4.05;3.88;3.97;10170141
2026-04-13;3.84;3.89;3.76;3.88;13629023
2026-04-10;3.82;3.92;3.73;3.85;19888324
2026-04-09;3.68;4.04;3.59;3.83;22490283
2026-04-08;3.6;3.69;3.51;3.6;7758257
2026-04-07;3.5;3.6;3.44;3.6;9468811
2026-04-06;3.49;3.59;3.43;3.55;7195272
2026-04-02;3.31;3.48;3.27;3.48;7565725
2026-04-01;3.24;3.39;3.22;3.36;6209758
2026-03-31;3.19;3.27;3.13;3.25;8416889
2026-03-30;3.14;3.22;3.12;3.15;8606032
2026-03-27;3.24;3.25;3.13;3.16;9361690
2026-03-26;3.27;3.38;3.24;3.28;6503326
2026-03-25;3.26;3.36;3.24;3.3;11531526
2026-03-24;3.33;3.36;3.21;3.26;10962904
2026-03-23;3.13;3.37;3.11;3.3;8617510
2026-03-20;3.25;3.31;3.2;3.22;19576268
2026-03-19;3.31;3.39;3.24;3.39;9526152
2026-03-18;3.38;3.39;3.28;3.31;6582556
2026-03-17;3.3;3.43;3.27;3.33;11106124
2026-03-16;3.51;3.51;3.28;3.32;8011963
2026-03-13;3.41;3.47;3.32;3.39;5105192
2026-03-12;3.46;3.51;3.41;3.43;6040803
2026-03-11;3.45;3.53;3.42;3.46;4551181
2026-03-10;3.48;3.51;3.44;3.44;5817002
2026-03-09;3.39;3.52;3.32;3.49;5554446
2026-03-06;3.53;3.53;3.42;3.42;5203519
2026-03-05;3.4;3.59;3.38;3.53;5398558
2026-03-04;3.4;3.55;3.35;3.49;6287003
2026-03-03;3.31;3.45;3.23;3.43;6595418
2026-03-02;3.35;3.42;3.3;3.38;5447948
2026-02-27;3.47;3.57;3.36;3.4;5332639
2026-02-26;3.42;3.53;3.35;3.45;5019870
2026-02-25;3.39;3.44;3.35;3.43;3240741
2026-02-24;3.32;3.43;3.28;3.39;6314298
2026-02-23;3.43;3.45;3.31;3.35;5646377
2026-02-20;3.43;3.49;3.4;3.45;5288605
2026-02-19;3.44;3.47;3.38;3.44;4171612
2026-02-18;3.42;3.5;3.38;3.47;3831615
2026-02-17;3.45;3.5;3.38;3.41;4266554
2026-02-13;3.39;3.52;3.39;3.44;6169929
2026-02-12;3.5;3.52;3.36;3.4;5786496
2026-02-11;3.5;3.58;3.4;3.46;5554108
2026-02-10;3.49;3.59;3.44;3.52;4342281
2026-02-09;3.48;3.49;3.42;3.49;5141812
2026-02-06;3.42;3.52;3.37;3.48;6067453
2026-02-05;3.43;3.49;3.35;3.35;10119406
2026-02-04;3.38;3.48;3.34;3.46;11167165
2026-02-03;3.57;3.61;3.36;3.37;8394284
2026-02-02;3.54;3.6;3.47;3.56;4922002
2026-01-30;3.64;3.67;3.55;3.55;7568133
2026-01-29;3.76;3.78;3.59;3.66;5673642
2026-01-28;3.77;3.84;3.74;3.75;4474004
2026-01-27;3.75;3.85;3.75;3.79;6736893
2026-01-26;3.82;3.86;3.78;3.8;3503137
2026-01-23;3.82;3.91;3.8;3.82;5303656
2026-01-22;3.81;3.88;3.8;3.83;4918577
2026-01-21;3.69;3.87;3.69;3.81;7623246
2026-01-20;3.87;3.89;3.78;3.82;7247689
2026-01-16;3.93;3.96;3.86;3.9;4998690
2026-01-15;3.87;3.96;3.85;3.9;5864525
2026-01-14;3.95;3.96;3.81;3.86;8207164
2026-01-13;3.97;4.09;3.9;3.92;7582640
2026-01-12;3.94;4.03;3.78;3.97;9208361
2026-01-09;3.86;3.89;3.81;3.84;5619882
2026-01-08;3.9;3.92;3.78;3.86;10853847
2026-01-07;3.94;4.0;3.82;3.9;11714478
2026-01-06;3.88;3.94;3.84;3.91;6300880
2026-01-05;3.8;3.95;3.79;3.87;9784589
2026-01-02;3.82;3.86;3.77;3.8;5041923
2025-12-31;3.79;3.87;3.76;3.77;7736364
2025-12-30;3.87;3.91;3.78;3.78;6920999
2025-12-29;3.96;3.99;3.85;3.88;5036280
2025-12-26;3.98;3.98;3.89;3.97;4602355
2025-12-24;3.99;4.0;3.93;3.97;2045532
2025-12-23;3.95;4.11;3.9;4.0;7991823
2025-12-22;3.87;3.99;3.76;3.94;12900777
2025-12-19;4.19;4.22;3.71;3.78;41809520
2025-12-18;4.26;4.54;4.0;4.09;20114149
2025-12-17;4.41;4.44;4.2;4.28;13881384
2025-12-16;4.22;4.44;4.2;4.4;9369753
2025-12-15;4.33;4.45;4.25;4.25;9238934
2025-12-12;4.34;4.42;4.2;4.24;5466854
2025-12-11;4.38;4.42;4.29;4.36;3663205
2025-12-10;4.41;4.44;4.34;4.36;3957293
2025-12-09;4.39;4.45;4.36;4.39;6127050
2025-12-08;4.27;4.43;4.27;4.38;4054875
2025-12-05;4.26;4.36;4.23;4.34;4782585
2025-12-04;4.18;4.26;4.11;4.26;5556405
2025-12-03;4.06;4.18;4.02;4.17;3700478
2025-12-02;4.0;4.1;3.99;4.04;4594298
2025-12-01;4.07;4.08;3.94;4.0;6573328
2025-11-28;4.09;4.14;4.06;4.08;3180991
2025-11-26;4.04;4.12;4.0;4.07;7792421
2025-11-25;4.13;4.14;3.98;4.0;9354105
2025-11-24;4.19;4.29;4.1;4.11;9643746
2025-11-21;4.13;4.21;4.04;4.2;8337238
2025-11-20;4.27;4.35;4.12;4.13;8043318
2025-11-19;4.3;4.37;4.19;4.28;6096772
2025-11-18;4.15;4.35;4.07;4.3;7990837
2025-11-17;4.31;4.4;4.13;4.14;6577666
2025-11-14;4.36;4.36;4.19;4.34;13712259
2025-11-13;4.48;4.49;4.28;4.31;8157333
2025-11-12;4.6;4.6;4.46;4.5;7084339
2025-11-11;4.61;4.68;4.52;4.54;5057824
2025-11-10;4.68;4.73;4.56;4.62;5821484
2025-11-07;4.61;4.63;4.44;4.58;10214684
2025-11-06;4.73;4.78;4.57;4.62;6601265
2025-11-05;4.65;4.77;4.46;4.71;8798725
2025-11-04;4.79;4.85;4.57;4.62;11834104
2025-11-03;4.95;4.95;4.71;4.82;10189528
2025-10-31;4.8;4.91;4.77;4.87;7733010
2025-10-30;4.7;4.94;4.7;4.8;7657266
2025-10-29;4.87;4.94;4.74;4.84;9942538
2025-10-28;4.82;4.91;4.72;4.84;12341391
2025-10-27;4.81;4.88;4.72;4.83;7150988
2025-10-24;4.61;4.86;4.58;4.78;8435704
2025-10-23;4.57;4.66;4.5;4.63;5579087
2025-10-22;4.78;5.09;4.45;4.5;23286359
2025-10-21;4.55;4.67;4.51;4.67;8557864
2025-10-20;4.44;4.64;4.44;4.59;6634125
2025-10-17;4.4;4.54;4.4;4.49;8112085
2025-10-16;4.48;4.72;4.4;4.45;10361114
2025-10-15;4.47;4.6;4.42;4.48;8664596
2025-10-14;4.59;4.59;4.33;4.52;8198318
2025-10-13;4.53;4.72;4.44;4.51;5301817
2025-10-10;4.85;4.96;4.4;4.49;12473950
2025-10-09;4.76;4.88;4.69;4.84;8204083
2025-10-08;4.65;4.79;4.63;4.77;8857784
2025-10-07;4.79;4.84;4.61;4.63;8983666
2025-10-06;4.53;4.81;4.46;4.8;12108190
2025-10-03;4.7;4.71;4.46;4.5;16676761
2025-10-02;4.82;4.88;4.65;4.69;9502758
2025-10-01;4.81;4.86;4.72;4.8;12251169
2025-09-30;4.82;5.0;4.74;4.86;13090905
2025-09-29;5.01;5.08;4.92;4.96;20089849
2025-09-26;4.59;5.07;4.52;4.97;30665512
2025-09-25;4.35;4.69;3.98;4.6;36290723
2025-09-24;4.3;4.38;4.18;4.3;11846991
2025-09-23;4.41;4.47;4.2;4.4;14619516
2025-09-22;4.22;4.43;4.17;4.43;13720841
2025-09-19;4.24;4.29;4.18;4.22;10660959
2025-09-18;4.04;4.25;4.01;4.23;12940577
2025-09-17;4.0;4.07;3.94;4.02;7916570
2025-09-16;4.0;4.05;3.92;4.01;5420981
2025-09-15;3.93;4.05;3.86;4.0;7951157
2025-09-12;3.85;3.91;3.82;3.9;5309103
2025-09-11;3.84;3.88;3.76;3.86;3943220
2025-09-10;3.81;3.86;3.69;3.82;4656294
2025-09-09;3.88;3.88;3.71;3.76;5088162
2025-09-08;3.88;3.91;3.8;3.89;4150822
2025-09-05;3.68;3.9;3.68;3.88;10393552
2025-09-04;3.77;3.81;3.7;3.77;4466902
2025-09-03;3.79;3.87;3.72;3.78;3728247
2025-09-02;3.83;3.84;3.69;3.8;6396259
2025-08-29;3.86;3.95;3.79;3.82;10758855
2025-08-28;3.83;3.89;3.78;3.89;4985796
2025-08-27;3.81;3.96;3.81;3.82;6780513
2025-08-26;3.76;3.84;3.72;3.82;6751796
2025-08-25;3.74;3.81;3.65;3.77;2875814
2025-08-22;3.63;3.79;3.63;3.76;4588419
2025-08-21;3.66;3.67;3.58;3.64;3870262
2025-08-20;3.66;3.7;3.56;3.66;8607857
2025-08-19;3.72;3.77;3.65;3.68;6009914
2025-08-18;3.66;3.78;3.63;3.78;6357015
2025-08-15;3.79;3.79;3.65;3.67;3585177
2025-08-14;3.8;3.8;3.64;3.7;5400923
2025-08-13;3.7;3.8;3.64;3.76;6247132
2025-08-12;3.6;3.76;3.57;3.68;5699571
2025-08-11;3.61;3.69;3.56;3.6;5486437
2025-08-08;3.63;3.67;3.58;3.64;4958740
2025-08-07;3.78;3.78;3.57;3.65;9587558
2025-08-06;3.74;3.78;3.66;3.71;10345297
2025-08-05;3.8;3.81;3.67;3.7;9785226
2025-08-04;3.6;3.83;3.6;3.8;12536998
2025-08-01;3.61;3.69;3.55;3.59;8372043
2025-07-31;3.8;3.8;3.66;3.68;6475627
2025-07-30;3.74;3.8;3.67;3.75;6718891
2025-07-29;3.85;3.88;3.72;3.77;8117847
2025-07-28;3.91;3.95;3.83;3.83;4663506
2025-07-25;3.98;3.98;3.87;3.89;4917716
2025-07-24;4.13;4.2;3.94;3.98;9633614
2025-07-23;4.01;4.14;3.96;4.1;15740101
2025-07-22;3.89;4.02;3.83;3.94;10766116
2025-07-21;4.21;4.21;3.87;3.89;6912257
2025-07-18;4.0;4.03;3.89;3.9;5522470
2025-07-17;4.06;4.07;3.98;4.02;5741901
2025-07-16;4.06;4.12;3.98;4.03;6960858
2025-07-15;4.04;4.13;3.97;4.07;9127320
