time;open;high;low;close;Volume
2026-04-24;3.78;3.83;3.61;3.71;19701068
2026-04-23;3.91;3.97;3.64;3.78;30769870
2026-04-22;3.93;4.05;3.79;3.94;34749314
2026-04-21;3.86;4.07;3.77;3.86;36635730
2026-04-20;3.8;3.87;3.7;3.8599;23564499
2026-04-17;3.81;4.13;3.76;3.9099;43729747
2026-04-16;3.93;3.98;3.71;3.77;35087717
2026-04-15;3.545;3.9;3.52;3.89;36963480
2026-04-14;3.41;3.62;3.38;3.5387;22300178
2026-04-13;3.29;3.4;3.2101;3.3887;16904029
2026-04-10;3.32;3.4;3.27;3.3399;16591904
2026-04-09;3.49;3.5;3.28;3.3;20773533
2026-04-08;3.71;3.79;3.43;3.48;23122573
2026-04-07;3.54;3.73;3.35;3.67;18390355
2026-04-06;3.56;3.65;3.5;3.5;16490259
2026-04-02;3.3;3.61;3.23;3.5789;21359451
2026-04-01;3.61;3.73;3.4;3.42;28457537
2026-03-31;3.11;3.56;3.06;3.5487;32069684
2026-03-30;3.17;3.2;3.0;3.0;30802310
2026-03-27;3.27;3.39;3.12;3.1297;23873511
2026-03-26;3.57;3.57;3.3;3.3302;22660794
2026-03-25;3.59;3.703;3.45;3.5397;28596777
2026-03-24;3.69;3.71;3.49;3.58;24102405
2026-03-23;3.49;3.77;3.38;3.69;25817493
2026-03-20;3.77;3.8;3.5;3.6;30196269
2026-03-19;3.81;3.83;3.62;3.75;23957343
2026-03-18;4.05;4.05;3.78;3.8001;28114783
2026-03-17;3.95;4.1;3.925;3.96;29793746
2026-03-16;3.96;4.1;3.9;3.95;42008753
2026-03-13;4.03;4.19;3.9;3.9383;33481456
2026-03-12;4.11;4.2;4.01;4.03;32134789
2026-03-11;4.08;4.27;4.05;4.09;39106900
2026-03-10;4.19;4.29;4.01;4.0795;26056701
2026-03-09;4.23;4.265;3.97;4.16;33602028
2026-03-06;4.1;4.42;3.93;4.24;66106591
2026-03-05;3.83;4.05;3.73;4.0297;50869157
2026-03-04;3.79;3.955;3.74;3.83;29266481
2026-03-03;3.82;4.02;3.7;3.79;48601525
2026-03-02;3.77;4.3;3.65;3.9;50245440
2026-02-27;4.12;4.14;3.83;3.98;28299949
2026-02-26;3.93;4.15;3.93;4.11;38491981
2026-02-25;3.94;4.06;3.88;3.93;25455261
2026-02-24;3.75;3.97;3.69;3.9085;35096358
2026-02-23;3.88;3.91;3.67;3.73;35431618
2026-02-20;4.23;4.27;3.82;3.8883;37793358
2026-02-19;4.11;4.2;3.96;4.2;34970013
