time;open;high;low;close;Volume
2026-04-17;215.69;215.69;200.23;207.86;11297100
2026-04-16;213.5;215.43;202.27;210.06;8893300
2026-04-15;218.995;229.55;211.16;213.84;14200200
2026-04-14;202.78;219.27;197.4;219.03;25038700
2026-04-13;164.72;177.54;163.22;176.67;9354100
2026-04-10;161.88;170.88;160.35;166.7;9105300
2026-04-09;146.88;163.29;145.53;160.13;10312400
2026-04-08;149.4;156.79;144.54;146.78;10713100
2026-04-07;134.95;139.42;130.5;135.91;5799700
2026-04-06;136.18;140.3;133.57;135.0;4953900
2026-04-02;124.84;137.28;123.16;135.63;5639200
2026-04-01;135.1;141.56;132.14;132.45;12365700
2026-03-31;123.44;135.64;122.0;135.49;11520100
2026-03-30;133.325;133.76;116.505;119.51;13266700
2026-03-27;132.99;149.27;129.05;133.24;8421800
2026-03-26;145.0;149.51;131.5;133.52;11103400
2026-03-25;147.62;153.703;145.44;150.22;7160100
2026-03-24;140.515;146.67;136.96;145.88;11845800
2026-03-23;155.99;157.39;141.25;141.33;12643400
2026-03-20;167.35;169.09;148.06;150.12;15966000
2026-03-19;151.5;167.97;148.53;166.69;9643800
2026-03-18;161.43;164.49;156.33;156.58;8579000
2026-03-17;152.89;161.5;151.18;160.05;6361100
2026-03-16;159.4;162.27;149.27;153.68;10967000
2026-03-13;160.18;163.55;151.62;154.51;7664400
2026-03-12;158.85;165.41;155.651;157.17;9228800
2026-03-11;153.71;164.65;153.0;159.21;9360000
2026-03-10;150.8;159.65;150.745;154.0;10774600
2026-03-09;134.55;153.75;132.5;151.32;12964500
2026-03-06;153.0;155.75;135.11;135.19;14852800
2026-03-05;161.0;165.88;151.8;159.99;9596300
2026-03-04;155.7;165.0;150.15;164.78;9851100
2026-03-03;156.0;158.29;147.56;153.02;10771900
2026-03-02;153.41;166.28;148.19;166.0;8368900
2026-02-27;164.49;167.45;151.8;155.67;11523500
2026-02-26;172.6;172.6;158.84;168.57;10828600
2026-02-25;169.33;180.9;167.54;174.77;10984600
2026-02-24;157.4;173.07;154.69;166.2;11074000
2026-02-23;147.7;161.25;145.84;160.28;10049000
2026-02-20;155.83;159.11;144.06;147.55;10179300
2026-02-19;154.13;160.08;150.7;159.0;8551300
2026-02-18;146.65;158.4;145.5;157.27;10069800
