time;open;high;low;close;Volume
2026-04-24;5.13;5.39;5.121;5.33;5524827
2026-04-23;5.5;5.53;5.09;5.2;6134235
2026-04-22;5.36;5.72;5.36;5.46;4056950
2026-04-21;5.45;5.68;5.29;5.48;6247409
2026-04-20;5.34;5.54;5.2102;5.51;4419831
2026-04-17;5.29;5.605;5.27;5.4787;5572680
2026-04-16;4.84;5.62;4.76;5.3191;13495170
2026-04-15;4.34;4.87;4.34;4.86;4442971
2026-04-14;4.27;4.49;4.27;4.48;2893662
2026-04-13;4.03;4.3;3.96;4.28;3143454
2026-04-10;4.22;4.22;4.0841;4.12;1978316
2026-04-09;4.1;4.2;3.95;4.1;2699878
2026-04-08;4.28;4.37;4.06;4.1;2689009
2026-04-07;4.12;4.25;3.96;4.21;2664214
2026-04-06;4.1;4.2;4.02;4.06;2901353
2026-04-02;4.0;4.265;3.885;4.1008;3414820
2026-04-01;4.05;4.32;4.05;4.1695;3517077
2026-03-31;3.93;4.09;3.79;4.0895;3922333
2026-03-30;3.84;4.03;3.69;3.7;4680538
2026-03-27;4.14;4.15;3.84;3.8407;3163623
2026-03-26;4.19;4.35;4.095;4.15;3800961
2026-03-25;4.3713;4.4281;4.13;4.14;4824946
2026-03-24;4.12;4.38;4.07;4.2665;3879864
2026-03-23;3.95;4.3399;3.77;4.2;4557987
2026-03-20;3.94;4.1;3.85;4.0;4764814
2026-03-19;3.95;4.035;3.81;3.9309;2625439
2026-03-18;4.35;4.47;3.91;3.9387;3712363
2026-03-17;3.89;4.34;3.79;4.2421;6023927
2026-03-16;3.79;3.95;3.77;3.9;3092535
2026-03-13;3.6404;3.82;3.6;3.751;2868373
2026-03-12;3.74;3.815;3.58;3.6487;3672188
2026-03-11;3.71;3.9;3.68;3.75;3259039
2026-03-10;3.72;3.8;3.615;3.71;3183488
2026-03-09;3.63;3.82;3.42;3.7;6595588
2026-03-06;3.74;3.83;3.52;3.65;4267930
2026-03-05;4.04;4.04;3.62;3.75;4900816
2026-03-04;3.67;4.08;3.67;4.07;4668641
2026-03-03;3.7;3.82;3.57;3.68;6620294
