date;quarter;type
2026-05-07;Q2-2026;earnings
2026-02-18;Q1-2026;earnings
2025-10-27;Q4-2025;earnings
2025-07-29;Q3-2025;earnings
2025-05-07;Q2-2025;earnings
2025-02-11;Q1-2025;earnings
2024-10-31;Q4-2024;earnings
2024-08-05;Q3-2024;earnings
2024-05-01;Q2-2024;earnings
2024-02-12;Q1-2024;earnings
2023-11-01;Q4-2023;earnings
2023-07-31;Q3-2023;earnings
2023-05-01;Q2-2023;earnings
2023-02-13;Q1-2023;earnings
2022-10-31;Q4-2022;earnings
2022-08-01;Q3-2022;earnings
2022-05-02;Q2-2022;earnings
2022-02-14;Q1-2022;earnings
2021-11-01;Q4-2021;earnings
2021-08-03;Q3-2021;earnings
2021-05-03;Q2-2021;earnings
2021-02-16;Q1-2021;earnings
2020-10-29;Q4-2020;earnings
2020-07-28;Q3-2020;earnings
2020-05-04;Q2-2020;earnings
2020-02-19;Q1-2020;earnings
