time;open;high;low;close;Volume
2026-04-24;26.63;27.3;26.37;27.13;12646163
2026-04-23;26.8;27.33;26.18;26.71;18174023
2026-04-22;27.68;28.0;26.71;26.98;14964118
2026-04-21;29.08;29.13;27.21;27.91;26152021
2026-04-20;28.5;29.07;28.38;29.02;16347796
2026-04-17;27.42;30.16;27.42;29.33;33170992
2026-04-16;28.95;29.13;27.16;27.45;28138018
2026-04-15;28.81;29.13;28.27;28.85;17505861
2026-04-14;27.75;28.93;27.72;28.8;16931431
2026-04-13;27.01;27.81;26.7;27.74;17456407
2026-04-10;27.86;28.51;27.44;27.97;16700472
2026-04-09;27.7;28.12;26.89;27.84;22128215
2026-04-08;27.66;28.99;26.75;27.88;45033012
2026-04-07;25.59;26.97;24.74;26.69;21387039
2026-04-06;25.7;25.99;25.28;25.9;14187175
2026-04-02;25.63;26.06;24.94;25.71;22927626
2026-04-01;26.23;26.74;25.96;26.65;22950359
2026-03-31;24.4;25.95;24.18;25.95;28136069
2026-03-30;24.35;24.84;23.79;23.89;21821547
2026-03-27;25.23;25.59;23.66;24.3;37111183
2026-03-26;25.74;25.88;25.09;25.42;19216248
2026-03-25;25.98;26.39;25.51;25.7;21569061
2026-03-24;25.57;26.15;24.61;25.94;20266177
2026-03-23;24.08;26.22;23.51;25.5;29622291
2026-03-20;24.89;25.14;23.91;24.48;40142497
2026-03-19;24.64;25.1;23.88;25.09;26708706
2026-03-18;25.43;25.61;24.03;24.16;22145636
2026-03-17;24.64;25.41;24.17;25.12;17702282
2026-03-16;24.1;25.09;23.74;24.67;20215840
2026-03-13;23.94;24.83;23.6;24.0;19629220
2026-03-12;25.57;25.57;23.77;23.9;34182401
2026-03-11;26.3;26.57;25.47;25.52;19819547
2026-03-10;26.7;27.01;25.28;26.18;29884614
2026-03-09;24.69;26.39;23.47;26.23;46401868
2026-03-06;27.46;27.5;25.44;25.75;28222350
2026-03-05;27.89;28.43;26.71;27.16;25043875
2026-03-04;28.13;28.95;27.88;28.11;18704961
2026-03-03;28.43;29.02;27.1;28.47;26217073
2026-03-02;29.11;31.55;27.9;29.2;33199733
2026-02-27;32.36;32.49;31.21;31.51;15778583
2026-02-26;31.68;32.99;31.64;32.49;12903639
2026-02-25;31.62;31.94;31.19;31.69;11501195
2026-02-24;30.59;31.65;30.08;31.62;13330358
2026-02-23;31.92;32.37;29.95;30.41;17940524
2026-02-20;31.63;32.36;31.4;31.98;13888659
2026-02-19;32.65;32.69;31.47;31.59;16052273
2026-02-18;32.8;33.17;31.84;32.54;13628018
2026-02-17;31.75;33.21;31.66;32.57;16527655
2026-02-13;32.48;32.68;31.36;31.7;15547921
2026-02-12;33.2;33.75;32.11;32.55;18268685
2026-02-11;33.59;33.64;32.54;33.12;16129329
2026-02-10;32.71;33.65;32.5;33.25;16892422
2026-02-09;33.67;34.23;32.72;32.86;14786023
2026-02-06;31.47;34.03;31.33;33.99;19655715
2026-02-05;32.04;32.61;31.13;31.28;14430283
2026-02-04;32.08;32.46;31.14;32.0;18540765
2026-02-03;32.32;33.15;31.64;31.93;22631690
2026-02-02;29.81;32.69;29.56;32.49;26455014
2026-01-30;30.74;31.07;29.58;29.94;17345704
2026-01-29;28.73;31.44;28.53;30.92;34761386
2026-01-28;28.7;29.31;28.43;28.66;16665269
2026-01-27;28.53;28.75;28.34;28.68;8321390
2026-01-26;28.54;28.89;28.32;28.65;13414295
2026-01-23;28.6;28.87;28.19;28.49;16266880
2026-01-22;28.68;28.97;28.35;28.46;14038166
2026-01-21;28.26;28.53;28.02;28.26;12986556
2026-01-20;28.16;28.69;27.76;28.08;16425547
2026-01-16;29.69;29.69;28.79;28.93;13371159
2026-01-15;30.05;30.56;29.37;29.44;17324136
2026-01-14;30.85;30.93;29.58;30.1;20318924
2026-01-13;31.63;31.67;30.3;30.94;16472396
2026-01-12;31.76;32.0;31.4;31.57;12031981
2026-01-09;31.7;32.2;31.35;32.19;12493675
2026-01-08;31.85;32.47;31.45;31.74;17120519
2026-01-07;32.1;32.41;31.38;32.03;14879674
2026-01-06;31.4;32.8;31.32;32.34;19442628
2026-01-05;30.88;31.79;30.41;31.49;18406297
2026-01-02;30.7;31.22;30.37;30.95;11451974
2025-12-31;30.77;30.9;30.51;30.58;7043262
2025-12-30;30.69;31.01;30.52;30.79;7915593
2025-12-29;30.54;30.74;30.27;30.72;12913481
2025-12-26;31.2;31.45;30.61;30.67;8715247
2025-12-24;31.71;31.78;31.12;31.25;6093278
2025-12-23;32.16;32.89;31.32;31.65;21557336
2025-12-22;31.17;32.36;31.0;32.17;25261341
2025-12-19;28.5;31.49;26.97;31.15;71569425
2025-12-18;28.22;28.61;27.98;28.49;18771660
2025-12-17;28.2;28.9;28.01;28.15;15612997
2025-12-16;28.57;29.04;28.15;28.29;18574159
2025-12-15;27.96;28.81;27.9;28.56;17508041
2025-12-12;27.84;28.16;27.57;27.65;14208008
2025-12-11;26.1;28.09;25.99;27.86;20913500
2025-12-10;25.61;26.56;25.55;26.25;15630605
2025-12-09;26.0;26.0;25.27;25.5;14235500
2025-12-08;25.96;26.15;25.55;26.05;12208251
2025-12-05;25.98;26.06;25.66;25.85;8776573
2025-12-04;26.12;26.19;25.59;25.8;13697013
2025-12-03;26.03;26.15;25.52;25.95;16249132
2025-12-02;25.98;26.2;25.41;25.96;13833680
2025-12-01;25.67;25.98;25.41;25.9;12877946
2025-11-28;26.04;26.15;25.51;25.77;10880661
2025-11-26;25.87;26.11;25.4;25.45;25928684
2025-11-25;25.0;26.36;24.6;25.68;27103717
2025-11-24;26.99;26.99;24.6;25.01;36075572
2025-11-21;25.59;26.82;25.22;26.66;15072298
2025-11-20;26.42;26.63;25.13;25.43;16387503
2025-11-19;25.76;26.39;25.65;26.21;10542010
2025-11-18;25.34;26.01;25.1;25.74;13824386
2025-11-17;26.12;26.26;25.12;25.42;13384285
2025-11-14;26.1;26.22;25.29;26.1;12035902
2025-11-13;27.25;27.41;25.97;26.3;14363526
2025-11-12;26.88;27.82;26.83;27.13;14066676
2025-11-11;26.9;27.19;26.69;26.81;13847918
2025-11-10;26.88;27.43;26.67;26.99;18216881
2025-11-07;26.54;27.13;26.01;26.76;16234879
2025-11-06;26.84;27.03;26.28;26.45;14202585
2025-11-05;26.47;27.28;26.18;26.87;17943538
2025-11-04;28.24;28.55;25.91;26.19;34886842
2025-11-03;28.83;28.96;28.13;28.62;18968423
2025-10-31;28.56;28.98;28.02;28.8;19841377
2025-10-30;27.96;28.93;27.55;28.42;20144707
2025-10-29;27.93;28.41;27.66;27.87;27244737
2025-10-28;29.36;29.42;27.78;27.85;32521698
2025-10-27;29.55;29.9;29.05;29.47;17342737
2025-10-24;29.58;30.15;29.33;29.36;17439976
2025-10-23;29.96;30.14;29.24;29.42;17073024
2025-10-22;29.87;30.37;29.63;29.97;16892751
2025-10-21;28.7;30.02;28.66;29.95;16821647
2025-10-20;28.4;29.06;28.36;28.87;13456830
2025-10-17;27.75;28.57;27.5;28.36;14454237
2025-10-16;28.75;29.12;28.02;28.22;15324955
2025-10-15;29.0;29.4;28.72;28.87;11011777
2025-10-14;27.67;29.27;27.47;29.01;15322434
2025-10-13;28.34;28.52;27.86;28.06;11669984
2025-10-10;28.48;28.79;27.29;27.53;14356443
2025-10-09;28.98;29.26;28.31;28.52;11578368
2025-10-08;28.59;29.26;28.47;28.93;13042096
2025-10-07;29.1;29.15;27.94;28.69;15406254
2025-10-06;28.53;29.15;28.02;29.08;16960398
2025-10-03;29.15;29.24;28.47;28.56;21223147
2025-10-02;28.56;29.0;28.34;28.82;17034633
2025-10-01;28.77;29.11;28.32;28.46;21242999
2025-09-30;29.65;30.15;28.59;28.79;29133336
2025-09-29;31.08;32.55;28.82;29.4;62833394
2025-09-26;30.5;30.75;30.23;30.65;18611373
2025-09-25;30.39;30.73;29.89;30.5;17498452
2025-09-24;30.68;30.91;30.18;30.41;12884825
2025-09-23;30.89;31.67;30.56;30.72;14592366
2025-09-22;30.55;30.89;30.36;30.78;12219863
2025-09-19;31.4;31.72;30.28;30.56;29595777
2025-09-18;31.27;31.7;31.04;31.42;13615293
2025-09-17;31.19;31.58;30.75;31.3;14614903
2025-09-16;31.25;31.33;30.55;31.19;16301346
2025-09-15;31.62;31.79;30.71;31.24;22470575
2025-09-12;32.35;32.47;31.51;31.62;11414761
2025-09-11;31.32;32.8;31.15;32.49;18560026
2025-09-10;31.54;31.88;30.56;31.38;16167610
2025-09-09;31.52;32.07;31.08;31.55;11469467
