time;open;high;low;close;Volume
2026-04-24;335.35;344.5;326.34;336.09;3309522
2026-04-23;348.27;356.88;326.22;342.91;3747909
2026-04-22;349.0;364.8;338.1;348.99;3665578
2026-04-21;351.6;362.67;340.71;349.43;3171550
2026-04-20;348.48;350.0;335.0;348.3;2610818
2026-04-17;329.93;348.9;327.8;347.6;3673335
2026-04-16;309.96;332.0;308.0;328.0;4995152
2026-04-15;308.81;322.48;303.69;308.0;3166505
2026-04-14;312.5;320.0;299.0;312.4;3001563
2026-04-13;304.19;313.0;301.0;310.48;2995104
2026-04-10;292.63;310.99;275.69;308.79;5298690
2026-04-09;278.65;301.0;276.72;284.08;4081529
2026-04-08;276.25;284.98;265.72;279.26;5250191
2026-04-07;250.03;275.04;246.0;270.8;2757358
2026-04-06;263.22;269.0;249.72;253.79;2676370
2026-04-02;237.7;261.9;231.6;257.88;3698092
2026-04-01;240.5;256.88;238.0;247.95;4904870
2026-03-31;221.66;241.8;216.0;241.8;4480310
2026-03-30;244.06;249.55;214.83;215.7;5795635
2026-03-27;248.61;254.9;236.3;241.8;3461124
2026-03-26;265.01;271.41;243.0;247.85;4528620
2026-03-25;281.8;284.99;262.0;269.5;3534482
2026-03-24;262.54;282.9;252.62;281.5;6997909
2026-03-23;242.78;267.67;240.5;256.54;6711184
2026-03-20;280.0;283.0;241.01;255.0;31168908
2026-03-19;253.84;279.57;243.88;279.57;6678722
2026-03-18;252.06;266.91;247.0;256.62;7068429
2026-03-17;239.24;252.49;230.2;249.5;5262060
2026-03-16;248.25;262.79;242.76;243.5;4480554
2026-03-13;238.2;251.66;237.27;243.0;2480803
2026-03-12;250.0;253.9;239.08;242.6;4137376
2026-03-11;263.65;268.31;242.82;246.51;4520520
2026-03-10;256.75;272.59;256.12;264.7;5395080
2026-03-09;232.5;257.01;224.01;254.91;6668233
2026-03-06;256.6;259.56;230.09;237.0;5776971
2026-03-05;268.4;275.34;246.57;253.77;5833023
2026-03-04;279.28;300.2;260.65;268.15;7267291
2026-03-03;289.83;295.77;271.68;280.0;5316167
2026-03-02;250.79;304.0;246.0;300.87;7131207
2026-02-27;255.08;260.91;241.56;258.99;11035783
2026-02-26;271.85;276.0;246.69;250.0;5698789
2026-02-25;257.0;276.5;256.4;266.0;4128012
2026-02-24;251.06;261.33;247.93;258.0;3065446
2026-02-23;242.8;255.0;242.8;250.95;3244034
2026-02-20;234.99;252.49;228.5;249.7;4514158
