time;open;high;low;close;Volume
2026-04-24;38.31;39.0;37.94;38.93;508519
2026-04-23;38.59;38.75;37.64;38.48;493515
2026-04-22;38.42;38.6;37.56;37.94;487753
2026-04-21;37.9;38.49;37.64;37.89;542950
2026-04-20;36.88;37.97;36.84;37.85;602064
2026-04-17;36.47;37.85;35.83;37.09;725139
2026-04-16;35.26;35.96;35.2;35.32;614371
2026-04-15;36.35;36.41;34.66;35.37;466344
2026-04-14;36.13;36.99;36.13;36.58;525751
2026-04-13;36.39;36.7;35.8;36.2;463864
2026-04-10;36.39;36.67;35.98;36.46;552308
2026-04-09;35.28;36.5;35.12;36.5;738420
2026-04-08;34.5;35.88;34.5;35.43;648918
2026-04-07;32.9;35.0;32.9;35.0;675419
2026-04-06;33.4;33.85;33.0;33.31;623697
2026-04-02;33.0;33.92;32.87;33.74;579000
2026-04-01;34.0;34.78;33.65;34.33;539898
2026-03-31;32.38;33.72;32.3;33.65;654842
2026-03-30;32.72;33.24;31.62;31.82;704607
2026-03-27;33.11;33.5;32.37;32.55;697830
2026-03-26;32.94;33.55;32.21;32.21;953344
2026-03-25;32.95;35.46;32.95;33.66;1076305
2026-03-24;32.48;33.86;32.48;33.86;761112
2026-03-23;31.12;33.21;31.12;32.68;852438
2026-03-20;31.48;32.11;31.01;31.41;3242583
2026-03-19;32.15;32.3;31.05;31.88;1022186
2026-03-18;33.26;33.26;32.23;32.28;1003928
2026-03-17;32.32;32.97;31.96;32.79;849595
2026-03-16;32.25;32.79;31.61;31.83;508296
2026-03-13;31.99;32.32;30.99;31.38;1023744
2026-03-12;31.59;31.92;30.84;31.89;1052784
2026-03-11;32.11;32.71;31.73;31.99;653784
2026-03-10;32.82;33.58;31.95;32.75;1042857
2026-03-09;31.88;32.84;29.1;32.6;1194919
2026-03-06;33.8;33.81;31.88;31.89;855823
2026-03-05;33.71;34.47;33.43;33.92;1014351
2026-03-04;33.92;34.25;33.49;34.21;777693
2026-03-03;33.36;34.35;32.14;33.67;885722
2026-03-02;33.56;34.86;32.95;34.66;1077625
2026-02-27;34.01;34.54;33.58;34.06;1175998
2026-02-26;35.95;36.28;34.69;34.88;839095
2026-02-25;35.96;36.1;35.36;35.78;816391
2026-02-24;35.0;35.81;34.84;35.74;981507
2026-02-23;36.9;36.9;34.01;34.84;1158712
2026-02-20;34.15;34.95;33.17;34.95;871182
2026-02-19;34.85;34.85;33.15;34.27;1070386
2026-02-18;33.25;35.71;33.25;35.47;2239078
2026-02-17;32.99;33.33;32.66;32.87;936124
2026-02-13;33.16;34.04;32.74;33.33;763318
2026-02-12;33.42;33.85;32.15;33.67;815208
2026-02-11;31.0;34.17;31.0;34.17;1207062
2026-02-10;32.65;32.66;31.66;32.07;532933
2026-02-09;31.7;32.46;31.19;32.1;744910
2026-02-06;30.47;31.81;30.47;31.59;856878
2026-02-05;30.31;30.97;29.68;30.35;610650
2026-02-04;30.22;31.01;29.95;30.31;851609
2026-02-03;29.54;30.5;29.36;30.15;891843
2026-02-02;28.63;29.5;28.6;29.48;775827
2026-01-30;28.55;29.01;28.3;28.9;853533
2026-01-29;29.35;29.61;28.64;29.0;829195
2026-01-28;30.01;30.01;28.33;29.15;964144
2026-01-27;30.5;30.76;29.87;30.16;891233
2026-01-26;31.01;31.18;30.18;30.54;1188498
2026-01-23;31.24;31.28;30.44;31.27;1154291
2026-01-22;30.81;31.74;30.5;30.97;2184091
2026-01-21;27.25;30.5;26.79;30.21;2531195
2026-01-20;27.01;27.43;26.59;26.74;1353811
2026-01-16;27.76;28.07;27.51;27.53;1159811
2026-01-15;27.42;28.24;27.23;27.71;1555755
2026-01-14;27.31;27.68;26.94;27.06;1313047
2026-01-13;27.27;27.76;27.01;27.39;1671684
2026-01-12;26.49;27.5;26.42;27.49;1328691
2026-01-09;26.87;26.87;26.07;26.69;1330556
2026-01-08;25.63;26.88;25.62;26.68;1479706
2026-01-07;25.94;26.0;25.41;25.8;823007
2026-01-06;24.82;25.95;24.76;25.88;916020
2026-01-05;24.9;25.35;24.78;25.03;1161851
2026-01-02;23.79;25.03;23.79;24.95;1019029
2025-12-31;24.08;24.08;23.76;23.76;699283
2025-12-30;23.91;24.24;23.72;24.1;918768
2025-12-29;23.64;24.0;23.64;23.98;677011
2025-12-26;23.61;23.99;23.53;23.89;662490
2025-12-24;23.47;23.74;22.63;22.63;439297
2025-12-23;23.6;23.7;23.28;23.49;764035
2025-12-22;23.73;24.07;23.65;23.73;728840
2025-12-19;23.58;23.92;23.4;23.73;6901673
2025-12-18;22.9;23.75;22.9;23.7;1460037
2025-12-17;22.81;23.12;22.56;22.82;1383248
2025-12-16;22.57;22.98;22.39;22.86;1456039
2025-12-15;22.9;23.18;22.44;22.56;1096658
2025-12-12;23.21;23.25;22.61;22.74;707818
2025-12-11;22.35;23.4;22.35;23.4;1059847
2025-12-10;21.75;22.91;21.58;22.68;1612278
2025-12-09;21.16;22.2;21.11;21.64;1349319
2025-12-08;21.1;21.46;21.0;21.28;2198005
2025-12-05;22.03;22.08;21.0;21.0;1144427
2025-12-04;22.4;22.56;21.66;21.91;932011
2025-12-03;22.49;22.88;22.31;22.51;1118939
2025-12-02;22.68;22.79;22.17;22.39;1065429
2025-12-01;22.31;22.74;22.05;22.48;1255544
2025-11-28;22.33;22.69;22.21;22.41;548321
2025-11-26;22.16;22.91;22.16;22.4;1444691
2025-11-25;22.04;22.66;21.92;22.45;1208509
2025-11-24;20.78;21.94;20.78;21.91;1433169
2025-11-21;19.59;20.86;19.46;20.85;1728776
2025-11-20;20.25;20.67;18.95;19.45;2049674
2025-11-19;20.06;20.6;19.8;20.05;1113646
2025-11-18;19.92;20.09;19.7;20.0;738860
2025-11-17;20.69;20.84;19.87;20.05;1091574
2025-11-14;21.0;21.28;20.56;20.81;628416
2025-11-13;21.69;21.88;21.01;21.09;930063
2025-11-12;22.03;22.1;21.63;21.75;1093622
2025-11-11;21.46;21.81;21.34;21.48;972855
2025-11-10;21.99;22.0;21.37;21.39;1829667
2025-11-07;21.86;21.86;20.89;21.71;1116011
2025-11-06;21.99;21.99;21.16;21.44;1253769
2025-11-05;20.59;21.54;20.52;21.49;1610563
2025-11-04;20.26;20.8;20.0;20.54;1526927
2025-11-03;20.4;20.88;20.25;20.25;1656273
2025-10-31;20.86;21.12;20.19;20.3;1506913
2025-10-30;21.14;21.68;20.85;20.85;2262607
2025-10-29;20.5;22.13;20.03;22.0;3549994
2025-10-28;19.75;20.22;19.46;19.63;1688116
2025-10-27;20.06;20.06;19.63;19.79;1522325
2025-10-24;20.48;20.48;19.34;19.88;1902143
2025-10-23;19.57;20.12;19.46;19.85;1283692
2025-10-22;19.83;20.0;19.41;19.67;1592449
2025-10-21;19.44;20.08;18.55;19.85;1270573
2025-10-20;19.11;19.99;19.06;19.85;1283558
2025-10-17;19.69;19.69;18.65;18.89;1252407
2025-10-16;19.02;19.04;18.61;19.04;1151930
2025-10-15;18.76;19.9;18.76;19.9;2008751
2025-10-14;18.03;18.68;17.62;18.56;1213438
2025-10-13;18.52;18.53;17.99;18.28;1066798
2025-10-10;18.54;18.96;18.02;18.13;2070476
2025-10-09;18.55;18.55;17.74;18.19;1934018
2025-10-08;18.75;18.96;18.56;18.59;1841833
2025-10-07;19.55;19.55;18.59;18.63;2588527
2025-10-06;20.09;20.22;19.5;19.5;1332558
2025-10-03;20.05;20.24;19.79;19.93;1249830
2025-10-02;19.94;20.13;19.85;20.02;960131
2025-10-01;19.9;20.04;19.56;19.85;1361340
2025-09-30;19.88;20.08;19.67;20.04;1001858
2025-09-29;20.28;20.44;19.7;19.92;1176509
2025-09-26;19.87;20.11;19.7;20.04;970137
