time;open;high;low;close;Volume
2026-04-17;6.5;6.715;6.445;6.67;805700
2026-04-16;6.27;6.38;6.22;6.31;622100
2026-04-15;6.16;6.298;6.11;6.25;709600
2026-04-14;5.99;6.19;5.98;6.15;652900
2026-04-13;5.84;6.07;5.775;5.99;818800
2026-04-10;6.0;6.005;5.84;5.91;816000
2026-04-09;5.92;6.03;5.82;5.99;1056900
2026-04-08;6.03;6.15;5.95;5.99;1299000
2026-04-07;5.82;5.91;5.69;5.71;870100
2026-04-06;5.87;5.95;5.82;5.85;820700
2026-04-02;5.83;5.99;5.705;5.91;842600
2026-04-01;6.02;6.05;5.84;5.93;669100
2026-03-31;6.08;6.15;5.8;5.99;1075300
2026-03-30;6.01;6.085;5.945;5.99;931600
2026-03-27;6.09;6.09;5.882;5.99;1080000
2026-03-26;6.09;6.34;5.94;6.2;1059000
2026-03-25;6.16;6.18;5.815;6.08;916800
2026-03-24;6.07;6.125;5.88;6.04;1374900
2026-03-23;6.05;6.285;5.95;6.17;1298400
2026-03-20;6.11;6.123;5.81;5.91;3261500
2026-03-19;6.12;6.29;6.06;6.2;1028900
2026-03-18;6.08;6.305;6.012;6.2;1110500
2026-03-17;6.0;6.27;5.94;6.19;1399400
2026-03-16;5.8;5.94;5.73;5.92;1067100
2026-03-13;5.9;5.955;5.66;5.72;967500
2026-03-12;5.9;6.147;5.84;5.88;1108000
2026-03-11;6.01;6.07;5.82;6.01;1531700
2026-03-10;6.35;6.37;6.01;6.07;1591400
2026-03-09;6.33;6.383;6.04;6.36;956600
2026-03-06;6.65;6.69;6.45;6.49;1032800
2026-03-05;6.84;7.0;6.7;6.78;1080000
2026-03-04;7.03;7.09;6.82;6.84;692700
2026-03-03;6.71;7.119;6.68;7.02;1151100
2026-03-02;6.8;6.955;6.72;6.88;1096100
2026-02-27;7.21;7.24;6.94;6.97;1646900
2026-02-26;7.35;7.5;7.175;7.32;1407000
2026-02-25;7.15;7.44;6.93;7.3;1787700
2026-02-24;7.3;7.566;7.25;7.47;1464100
2026-02-23;7.41;7.459;7.21;7.29;1479100
2026-02-20;7.4;7.57;7.316;7.51;1076400
2026-02-19;7.42;7.47;7.28;7.46;904200
2026-02-18;7.51;7.63;7.36;7.5;1042500
2026-02-17;7.55;7.615;7.3;7.5;954800
2026-02-13;7.7;7.73;7.48;7.55;765500
2026-02-12;7.63;7.671;7.24;7.58;1246300
2026-02-11;8.43;8.455;7.585;7.71;1189900
2026-02-10;8.58;8.74;8.525;8.54;613400
2026-02-09;8.62;8.64;8.37;8.5;654000
2026-02-06;8.4;8.7;8.33;8.66;976000
2026-02-05;8.45;8.62;8.385;8.43;1191700
2026-02-04;8.57;8.72;8.28;8.47;1086200
2026-02-03;8.85;8.955;8.38;8.47;1131300
2026-02-02;8.98;9.143;8.81;8.91;862300
2026-01-30;8.99;9.1;8.82;9.04;1045400
2026-01-29;9.26;9.27;8.96;9.03;821400
2026-01-28;9.09;9.27;8.98;9.2;842000
2026-01-27;9.01;9.085;8.86;9.06;652300
2026-01-26;9.2;9.23;9.0;9.02;635700
2026-01-23;9.32;9.36;9.145;9.23;614600
2026-01-22;9.3;9.52;9.3;9.35;737600
2026-01-21;9.26;9.31;9.04;9.3;840900
2026-01-20;9.24;9.41;9.11;9.17;1074000
2026-01-16;9.29;9.57;9.246;9.54;1264500
2026-01-15;9.18;9.32;9.02;9.28;656900
2026-01-14;9.31;9.355;9.105;9.15;809200
2026-01-13;9.59;9.59;9.3;9.33;717800
2026-01-12;9.6;9.69;9.35;9.56;601000
2026-01-09;9.7;9.89;9.58;9.61;800100
2026-01-08;9.29;9.62;9.16;9.58;944200
2026-01-07;9.45;9.75;9.34;9.43;1342400
2026-01-06;9.09;9.436;8.87;9.35;1314200
2026-01-05;9.03;9.4;9.01;9.19;1534500
2026-01-02;9.11;9.2;8.99;9.1;1230500
2025-12-31;9.0;9.07;8.94;9.05;1005500
2025-12-30;9.23;9.24;9.04;9.06;1193700
2025-12-29;9.45;9.5;9.215;9.26;796900
2025-12-26;9.45;9.535;9.35;9.44;657600
2025-12-24;9.55;9.59;9.463;9.52;400400
2025-12-23;9.75;9.79;9.505;9.56;758600
2025-12-22;9.85;9.94;9.755;9.81;848400
2025-12-19;9.86;9.91;9.55;9.87;2372900
2025-12-18;10.13;10.2;9.88;9.97;1446000
2025-12-17;9.94;10.18;9.92;10.0;1134400
2025-12-16;10.06;10.25;9.99;10.04;1215900
2025-12-15;10.545;10.545;9.767;10.02;1193800
2025-12-12;10.53;10.707;10.46;10.6;819700
2025-12-11;10.64;10.71;10.29;10.6;1028800
2025-12-10;10.4;10.6;10.159;10.58;1418400
2025-12-09;10.53;10.73;10.42;10.43;730300
2025-12-08;10.98;11.02;10.52;10.61;1161500
2025-12-05;11.04;11.17;10.83;10.94;841200
2025-12-04;11.3;11.366;11.02;11.12;823700
2025-12-03;11.19;11.39;11.19;11.31;572500
2025-12-02;11.14;11.34;11.025;11.26;645300
2025-12-01;11.09;11.29;11.03;11.13;859100
2025-11-28;11.49;11.575;11.17;11.35;551400
2025-11-26;11.62;11.68;11.42;11.5;1327300
2025-11-25;11.87;12.226;11.79;11.8;1925100
2025-11-24;11.1;11.88;11.075;11.73;1899100
2025-11-21;10.23;11.11;10.23;11.09;1276600
2025-11-20;10.64;10.86;10.195;10.23;7247000
2025-11-19;10.79;10.83;10.44;10.58;1873400
2025-11-18;10.48;10.87;10.37;10.78;893200
2025-11-17;10.73;10.74;10.435;10.49;2182700
2025-11-14;10.71;10.83;10.57;10.79;992200
2025-11-13;10.71;10.985;10.531;10.9;1029100
2025-11-12;11.04;11.09;10.58;10.8;1364200
2025-11-11;10.65;11.165;10.65;11.07;6957200
2025-11-10;10.96;10.99;10.345;10.59;1433900
2025-11-07;10.82;11.45;9.85;10.8;3208800
2025-11-06;10.01;10.1;9.6;9.7;1807700
2025-11-05;9.91;10.105;9.85;10.05;1382100
2025-11-04;10.08;10.216;9.885;9.89;1087800
2025-11-03;10.06;10.175;9.96;10.01;1146100
2025-10-31;10.06;10.25;9.9;10.24;1106600
2025-10-30;10.34;10.43;10.05;10.06;936900
2025-10-29;11.03;11.05;10.41;10.44;1068300
2025-10-28;11.25;11.31;11.025;11.09;719300
2025-10-27;11.33;11.5;11.214;11.29;910500
2025-10-24;11.24;11.557;11.134;11.33;1136000
2025-10-23;11.09;11.29;10.99;11.07;566800
2025-10-22;10.94;11.08;10.85;11.04;723000
2025-10-21;10.9;11.16;10.85;10.97;663300
2025-10-20;10.82;11.0;10.73;10.96;746800
2025-10-17;10.75;10.805;10.64;10.71;918700
2025-10-16;10.92;11.082;10.79;10.82;894400
2025-10-15;11.11;11.23;10.9;10.91;692400
2025-10-14;10.42;11.056;10.42;10.98;916500
2025-10-13;10.59;10.66;10.42;10.51;652400
2025-10-10;10.68;10.81;10.41;10.42;1452300
2025-10-09;10.88;10.99;10.605;10.63;957300
2025-10-08;10.89;10.89;10.645;10.89;679000
2025-10-07;10.8;10.875;10.615;10.8;1109400
2025-10-06;10.77;11.01;10.46;10.81;998700
2025-10-03;10.71;11.11;10.675;10.74;1230800
2025-10-02;10.42;10.67;10.21;10.64;948800
2025-10-01;10.51;10.795;10.17;10.41;1747600
2025-09-30;11.11;11.11;10.62;10.66;1545700
2025-09-29;11.12;11.33;10.945;11.12;1141000
2025-09-26;11.0;11.155;10.91;11.07;689000
2025-09-25;10.82;11.085;10.758;10.99;851900
2025-09-24;10.85;11.105;10.79;10.99;867600
2025-09-23;10.7;10.985;10.67;10.86;1109800
2025-09-22;10.93;10.95;10.615;10.7;1005000
2025-09-19;11.66;11.66;11.0;11.06;3103200
2025-09-18;11.18;11.605;11.1;11.59;1078300
2025-09-17;11.16;11.791;11.097;11.15;1477700
2025-09-16;11.46;11.52;11.025;11.06;876400
2025-09-15;11.15;11.46;11.1;11.45;884400
2025-09-12;11.31;11.365;11.11;11.15;650500
2025-09-11;11.39;11.7;11.285;11.36;1167200
2025-09-10;11.22;11.425;10.905;11.18;895200
2025-09-09;11.23;11.299;11.005;11.08;662400
2025-09-08;11.21;11.415;11.127;11.31;971500
2025-09-05;11.13;11.6;11.02;11.22;1191100
2025-09-04;10.83;11.01;10.77;10.91;856600
2025-09-03;10.485;10.77;10.46;10.76;1064900
2025-09-02;10.64;10.705;10.455;10.53;817800
2025-08-29;10.7;10.86;10.62;10.83;747300
2025-08-28;10.86;10.86;10.52;10.72;804900
2025-08-27;10.8;11.0;10.705;10.77;796400
2025-08-26;11.09;11.15;10.8;10.9;2414100
2025-08-25;10.88;11.235;10.87;11.08;1163400
2025-08-22;10.24;11.04;10.115;11.01;1232500
2025-08-21;10.04;10.215;9.995;10.12;475300
2025-08-20;10.18;10.255;10.0;10.14;914400
2025-08-19;10.34;10.645;10.19;10.22;693000
2025-08-18;10.44;10.7;10.285;10.31;829400
2025-08-15;10.49;10.53;10.315;10.44;927800
2025-08-14;10.2;10.5;10.12;10.42;774800
2025-08-13;10.2;10.555;10.06;10.5;1000500
2025-08-12;9.83;10.155;9.76;10.1;715100
2025-08-11;10.05;10.23;9.74;9.75;805300
2025-08-08;10.24;10.27;9.87;9.96;841000
2025-08-07;10.39;10.405;10.035;10.24;892500
2025-08-06;10.23;10.35;10.1;10.27;979500
2025-08-05;10.14;10.38;9.98;10.25;1312100
2025-08-04;9.44;10.24;9.44;10.105;1272500
2025-08-01;10.25;10.46;9.02;9.42;2347700
2025-07-31;10.74;11.03;10.645;10.78;1623700
2025-07-30;11.11;11.3;10.795;10.84;1163800
2025-07-29;11.19;11.375;11.061;11.21;905500
2025-07-28;11.14;11.23;11.03;11.18;994000
2025-07-25;10.99;11.145;10.86;11.135;786400
2025-07-24;11.16;11.33;10.915;10.94;839000
2025-07-23;11.26;11.305;11.05;11.23;1329400
2025-07-22;10.12;11.285;10.08;11.19;2151100
2025-07-21;10.02;10.279;9.957;10.01;1030600
2025-07-18;10.28;10.305;9.785;9.91;858100
2025-07-17;10.37;10.57;10.13;10.19;968500
2025-07-16;10.2;10.365;10.09;10.31;953100
2025-07-15;10.4;10.44;10.04;10.06;712400
2025-07-14;10.18;10.34;10.0;10.32;829500
2025-07-11;10.34;10.61;10.105;10.12;1081300
2025-07-10;9.95;10.57;9.95;10.47;1028100
2025-07-09;9.66;9.98;9.6;9.95;1116700
2025-07-08;9.32;9.745;9.31;9.57;662200
2025-07-07;9.41;9.545;9.3;9.32;1003600
2025-07-03;9.52;9.59;9.44;9.51;453400
2025-07-02;9.49;9.69;9.395;9.52;897900
2025-07-01;9.1;9.87;9.09;9.5;1532000
