time;open;high;low;close;Volume
2026-04-24;50.66;54.98;50.05;54.42;356576
2026-04-23;52.19;53.21;49.17;51.2;366924
2026-04-22;51.32;52.79;50.5;52.6;274877
2026-04-21;50.59;53.21;49.58;51.88;365102
2026-04-20;51.49;51.92;50.17;51.18;212806
2026-04-17;49.5;52.44;49.5;51.51;454142
2026-04-16;50.03;50.61;47.76;49.37;329927
2026-04-15;50.11;51.82;49.0;49.94;427014
2026-04-14;48.02;50.96;47.65;50.08;377366
2026-04-13;44.26;48.66;44.26;47.88;366233
2026-04-10;48.15;48.15;44.06;45.6;924128
2026-04-09;50.91;50.91;47.41;48.0;671095
2026-04-08;51.25;53.9;48.48;50.38;975680
2026-04-07;51.24;51.5;47.17;49.75;677907
2026-04-06;54.61;55.12;51.24;51.61;538638
2026-04-02;51.5;55.27;50.57;55.15;568799
2026-04-01;51.5;55.36;51.5;53.6;434760
2026-03-31;48.3;51.93;47.5;51.65;989696
2026-03-30;47.0;49.26;45.79;46.85;478857
2026-03-27;51.4;52.29;47.55;48.49;465061
2026-03-26;50.73;53.44;50.7;52.18;375478
2026-03-25;49.36;52.4;48.25;52.36;467965
2026-03-24;48.5;49.4;46.85;48.25;298447
2026-03-23;46.2;50.6;46.2;49.09;480799
2026-03-20;48.76;48.76;45.9;47.29;865154
2026-03-19;48.34;49.76;46.6;48.47;474652
2026-03-18;48.08;51.49;48.08;48.51;865311
2026-03-17;45.69;47.92;45.69;47.05;330753
2026-03-16;43.06;46.32;43.06;45.59;760769
2026-03-13;44.33;44.95;41.53;42.7;1177639
2026-03-12;46.03;46.32;43.48;44.24;755358
2026-03-11;48.13;48.64;45.54;45.75;789159
2026-03-10;49.81;51.15;47.94;48.8;613304
2026-03-09;51.8;51.8;46.62;49.3;1120980
2026-03-06;49.77;51.15;49.0;50.18;771973
2026-03-05;54.25;55.15;50.31;51.24;786995
2026-03-04;51.0;56.15;50.8;53.5;639560
2026-03-03;50.03;53.5;49.26;52.2;722453
2026-03-02;52.5;53.09;48.07;52.34;1175490
2026-02-27;56.54;56.87;52.56;53.25;1418025
2026-02-26;51.59;58.28;50.43;56.88;1086210
2026-02-25;49.23;53.42;47.76;51.49;1528036
2026-02-24;42.49;52.0;42.11;50.06;2597706
2026-02-23;48.57;49.61;41.5;41.69;4307204
2026-02-20;54.0;58.78;45.03;49.36;11951571
