time;open;high;low;close;Volume
2026-04-24;28.72;31.33;28.0;30.53;36215441
2026-04-23;28.5;32.4;27.03;28.18;38296661
2026-04-22;30.32;30.61;28.05;28.65;29436879
2026-04-21;31.44;32.15;27.85;30.19;53483785
2026-04-20;28.03;31.86;27.5;31.04;60026908
2026-04-17;26.7;29.78;26.43;28.66;51795840
2026-04-16;26.86;27.81;24.76;26.68;71309913
2026-04-15;21.56;27.25;21.26;26.78;39566369
2026-04-14;21.46;21.96;20.92;21.39;16815621
2026-04-13;19.25;21.8;19.0;21.32;21494679
2026-04-10;19.77;20.15;19.18;19.43;13493281
2026-04-09;19.34;19.77;18.86;19.55;12073050
2026-04-08;20.7;21.08;19.04;19.33;17297329
2026-04-07;20.04;20.65;18.96;20.48;18680318
2026-04-06;19.2;20.43;19.13;20.27;17010067
2026-04-02;19.6;19.6;18.75;19.12;20465496
2026-04-01;20.99;21.62;19.7;19.75;23277309
2026-03-31;18.82;21.0;18.64;20.85;30710834
2026-03-30;19.01;19.67;18.42;18.5;16554103
2026-03-27;20.95;21.13;19.05;19.1;19347214
2026-03-26;20.68;21.22;20.02;20.95;22904209
2026-03-25;21.63;22.0;20.57;20.66;19299683
2026-03-24;22.43;22.54;21.09;21.61;21835387
2026-03-23;21.92;23.1;21.1;22.53;18120910
2026-03-20;24.01;24.27;21.7;22.1;29553003
2026-03-19;23.0;24.39;22.07;24.16;25907561
2026-03-18;24.77;25.04;22.85;22.96;31516090
2026-03-17;24.79;25.24;23.99;24.65;31409310
2026-03-16;24.8;25.17;23.52;24.7;33590836
2026-03-13;23.46;24.85;23.25;24.54;38431562
2026-03-12;27.16;28.1;23.76;23.99;58586118
2026-03-11;23.2;27.54;22.81;26.29;97544857
2026-03-10;22.22;26.03;22.01;23.22;104980793
2026-03-09;21.5;24.64;18.88;22.05;154500137
2026-03-06;15.98;22.4;15.21;22.0;17839584
2026-03-05;16.57;16.84;15.59;15.98;16450836
2026-03-04;15.8;16.74;15.58;16.61;18107373
2026-03-03;15.85;16.91;15.27;15.79;24028727
2026-03-02;14.13;16.6;14.1;16.46;29035311
2026-02-27;15.56;15.65;14.48;14.55;20851161
2026-02-26;15.73;16.36;14.98;15.45;26321057
2026-02-25;15.45;16.46;15.06;15.73;35499209
2026-02-24;14.23;16.06;13.74;15.38;58463706
2026-02-23;15.71;16.11;14.0;14.18;38422404
2026-02-20;16.0;16.3;15.29;15.8;22521206
2026-02-19;16.0;17.52;15.36;15.94;28959739
2026-02-18;16.35;16.6;15.57;15.88;14138438
2026-02-17;16.44;16.92;15.79;16.27;18745726
2026-02-13;15.81;16.87;15.7;16.15;21640366
2026-02-12;16.77;16.96;15.63;15.79;27810919
2026-02-11;17.2;17.63;16.6;16.66;30429628
2026-02-10;19.12;19.38;17.1;17.45;47573290
2026-02-09;19.35;19.98;16.35;19.42;132729648
2026-02-06;21.32;23.62;19.36;19.37;40903585
2026-02-05;24.32;29.6;20.1;21.05;62826562
2026-02-04;25.58;27.4;23.99;24.51;26990196
2026-02-03;27.02;27.02;24.64;25.5;17474492
2026-02-02;26.5;27.4;25.69;26.46;11289641
2026-01-30;29.4;30.27;26.87;27.11;18668264
2026-01-29;28.75;30.7;28.46;29.56;18563274
2026-01-28;29.8;29.98;28.32;28.53;12019848
2026-01-27;30.54;30.58;28.93;29.78;14190603
2026-01-26;29.6;30.95;29.4;30.33;10620041
2026-01-23;30.66;30.99;29.4;29.6;12153986
2026-01-22;29.2;30.77;29.0;30.46;11531160
2026-01-21;30.57;30.85;27.96;29.1;23349228
