time;open;high;low;close;Volume
2026-04-24;84.21;85.55;82.82;84.7;16503135
2026-04-23;86.77;87.69;81.74;84.13;27801890
2026-04-22;89.44;90.2;87.0;87.69;23023003
2026-04-21;92.1;92.69;85.72;88.47;29370570
2026-04-20;89.16;92.38;86.19;91.0;28430278
2026-04-17;86.09;93.32;85.1;90.75;40360935
2026-04-16;89.37;90.46;83.87;86.01;42369548
2026-04-15;82.8;91.18;80.95;90.25;58726177
2026-04-14;73.28;83.35;72.76;82.78;35486451
2026-04-13;68.0;73.4;67.35;72.95;16969494
2026-04-10;70.36;70.87;68.28;69.36;17624575
2026-04-09;71.48;72.46;68.78;70.15;21370489
2026-04-08;75.0;77.87;71.31;71.45;27194838
2026-04-07;69.0;74.97;66.62;74.57;20039575
2026-04-06;69.53;71.0;68.71;69.67;19819558
2026-04-02;68.0;70.15;65.57;68.84;19007489
2026-04-01;70.15;71.66;69.14;70.01;19070452
2026-03-31;66.38;69.96;64.88;69.96;29299309
2026-03-30;66.51;67.89;63.51;64.45;20814773
2026-03-27;70.52;71.32;65.5;65.51;24505136
2026-03-26;72.33;73.24;69.7;70.74;17119492
2026-03-25;71.3;74.59;70.91;72.28;21772879
2026-03-24;72.5;72.97;68.57;70.9;23247015
2026-03-23;69.51;73.6;67.99;72.98;19852896
2026-03-20;74.44;74.7;69.9;71.45;26767511
2026-03-19;74.12;75.2;71.7;74.45;17485913
2026-03-18;77.7;78.48;74.34;74.6;17887596
2026-03-17;75.7;77.7;74.89;77.21;16007337
2026-03-16;74.77;75.81;74.11;75.56;18017939
2026-03-13;76.59;77.63;72.79;73.13;27899245
2026-03-12;77.79;78.16;75.01;75.5;17744734
2026-03-11;78.78;79.77;76.73;77.67;18944566
2026-03-10;80.34;81.5;77.66;78.6;18475357
2026-03-09;75.57;79.8;74.35;78.8;20341664
2026-03-06;80.99;81.43;76.38;76.49;23155405
2026-03-05;82.1;85.69;78.55;80.92;32370497
2026-03-04;77.0;84.0;73.9;83.85;31188425
2026-03-03;76.0;77.4;72.25;75.66;22084293
2026-03-02;73.99;79.54;72.7;78.4;21731573
2026-02-27;79.16;79.53;74.82;75.42;18630093
2026-02-26;77.0;79.6;76.45;78.53;18737617
2026-02-25;73.99;78.12;73.7;76.82;25983399
2026-02-24;71.55;73.88;69.22;73.25;18578652
2026-02-23;75.21;75.29;71.42;71.93;24392812
2026-02-20;76.55;78.08;75.04;75.95;25141277
2026-02-19;75.54;76.14;73.53;75.73;16755610
2026-02-18;75.69;78.27;74.06;75.21;21403269
2026-02-17;75.32;76.72;72.87;74.92;24218254
2026-02-13;70.92;77.08;70.25;76.07;35387831
2026-02-12;78.14;79.5;70.43;70.8;46923218
2026-02-11;78.95;80.64;74.25;78.0;56325420
2026-02-10;86.57;88.22;77.45;79.04;33675204
2026-02-09;85.15;88.6;81.5;86.7;32933237
2026-02-06;74.4;84.95;72.56;84.4;44057919
2026-02-05;79.98;79.98;68.67;70.65;45446944
2026-02-04;87.0;87.49;77.62;80.18;48766106
2026-02-03;91.16;91.56;84.93;86.25;28283437
2026-02-02;96.27;97.2;88.67;90.23;48293672
2026-01-30;101.74;104.3;98.37;98.97;18784410
2026-01-29;104.1;106.1;99.28;103.1;22120747
2026-01-28;105.85;107.25;103.0;103.75;17605012
2026-01-27;108.02;109.05;104.66;105.5;14262681
2026-01-26;105.75;108.49;104.83;107.33;8955829
2026-01-23;106.07;111.46;105.5;106.61;14255968
2026-01-22;107.51;108.08;105.1;106.6;11888249
2026-01-21;106.04;108.5;104.25;106.75;15968068
2026-01-20;104.76;108.35;102.56;105.41;17524795
2026-01-16;112.95;113.0;106.88;108.71;22444426
2026-01-15;119.54;119.98;110.13;112.15;26764467
2026-01-14;120.99;121.0;116.61;118.5;13796111
2026-01-13;117.1;121.57;116.0;121.05;13711612
2026-01-12;113.66;119.62;112.95;117.04;13600279
2026-01-09;115.24;118.23;114.88;115.63;14648965
2026-01-08;116.6;117.32;113.87;115.4;14466557
2026-01-07;121.65;122.0;116.55;117.48;15502644
2026-01-06;123.1;124.35;118.04;121.75;15920005
2026-01-05;116.76;123.67;116.59;123.1;21564900
2026-01-02;115.0;116.41;110.41;115.78;20812951
2025-12-31;114.36;115.91;112.05;112.53;12735348
2025-12-30;117.39;118.64;114.72;115.15;13471385
2025-12-29;118.0;118.95;115.7;117.01;11967328
2025-12-26;121.0;121.45;117.5;117.51;10087973
2025-12-24;119.71;120.67;118.6;120.48;6438004
2025-12-23;121.79;122.28;116.75;120.2;13381044
2025-12-22;123.35;124.55;121.07;122.45;11755104
2025-12-19;120.18;122.96;118.2;122.2;19946881
2025-12-18;118.84;124.25;117.05;117.95;18681321
2025-12-17;120.15;124.7;115.5;117.6;25776416
2025-12-16;113.6;120.7;112.41;119.84;17049967
2025-12-15;120.0;120.95;113.97;114.35;20357292
2025-12-12;124.6;126.27;117.83;119.01;25263930
2025-12-11;132.95;134.49;122.53;124.14;36243867
2025-12-10;135.71;137.46;133.43;134.25;13583442
2025-12-09;136.0;139.75;133.57;135.71;15632922
2025-12-08;134.09;138.09;132.0;136.66;16271623
2025-12-05;137.18;137.58;129.96;131.95;18614471
2025-12-04;133.43;137.4;132.28;137.0;15817058
2025-12-03;127.36;134.34;124.4;133.45;19736641
2025-12-02;123.68;129.18;123.15;126.46;19877905
2025-12-01;125.2;125.88;118.86;123.18;25330318
2025-11-28;130.19;131.1;127.15;128.6;10121024
2025-11-26;117.8;128.91;116.88;128.8;34688252
2025-11-25;114.5;116.81;109.19;116.2;17362595
2025-11-24;111.0;116.5;108.07;115.23;20864972
2025-11-21;104.51;109.99;101.89;108.9;31883460
2025-11-20;123.61;124.33;102.8;106.35;34830767
2025-11-19;113.78;123.4;112.18;122.38;19669563
2025-11-18;112.76;116.98;111.6;113.7;22847005
2025-11-17;122.14;124.7;112.42;114.9;31891847
2025-11-14;119.64;126.5;112.89;123.44;25252702
2025-11-13;133.11;134.1;119.47;122.2;28241839
2025-11-12;132.28;133.95;128.33;131.74;17538063
2025-11-11;134.5;135.58;130.9;132.0;13551934
2025-11-10;135.8;138.99;131.65;135.84;23047267
2025-11-07;128.52;132.2;120.7;131.75;35792370
2025-11-06;139.63;143.83;126.15;129.15;38694248
2025-11-05;137.0;144.77;134.01;139.55;24502521
2025-11-04;142.94;144.4;133.8;134.0;17800497
2025-11-03;147.0;149.41;142.5;145.26;12624076
2025-10-31;141.57;150.47;140.8;147.32;19792034
2025-10-30;145.0;145.88;137.25;141.0;13331850
2025-10-29;146.33;147.72;142.74;143.95;13287822
2025-10-28;145.41;148.11;144.6;145.8;9828410
2025-10-27;144.5;149.2;143.18;146.7;19192934
2025-10-24;136.0;142.2;135.36;139.75;19067706
2025-10-23;128.5;135.57;126.45;135.1;19154805
2025-10-22;131.17;132.36;120.88;126.5;28690003
2025-10-21;135.97;137.01;129.8;130.1;14645988
2025-10-20;133.85;140.2;132.9;137.24;20567925
2025-10-17;127.13;131.51;123.43;131.0;18999891
2025-10-16;135.16;137.48;128.7;128.74;17777661
2025-10-15;136.86;139.65;133.53;134.87;17569702
2025-10-14;136.9;141.21;133.05;135.78;24558175
2025-10-13;143.28;146.56;136.52;141.09;21478817
2025-10-10;152.4;153.56;131.9;139.66;32216875
2025-10-09;150.86;153.08;147.3;152.2;15365508
2025-10-08;144.0;151.35;144.0;151.23;18148521
2025-10-07;145.25;147.12;141.26;144.24;18947983
2025-10-06;150.12;153.86;144.11;145.38;22104579
2025-10-03;146.66;150.21;145.23;148.81;27524622
2025-10-02;140.22;146.7;139.88;145.88;28533935
2025-10-01;141.6;143.17;137.78;139.85;27193576
2025-09-30;135.99;143.62;134.35;142.49;41992778
2025-09-29;122.62;137.75;122.62;136.9;52230117
2025-09-26;122.29;125.06;120.46;121.82;20667309
2025-09-25;126.88;127.45;120.62;122.19;25525367
2025-09-24;126.25;130.07;125.0;126.98;21332404
2025-09-23;124.7;127.78;124.07;125.81;23541881
2025-09-22;123.36;126.64;122.2;124.46;25967895
2025-09-19;121.23;125.18;120.99;124.64;126952204
2025-09-18;119.87;124.36;119.4;121.5;28764143
2025-09-17;116.99;119.47;114.89;119.35;27377513
2025-09-16;114.75;118.13;113.79;117.33;29586714
2025-09-15;115.87;116.53;112.42;114.61;30051720
2025-09-12;118.3;118.67;114.05;115.25;31201510
2025-09-11;118.39;121.69;113.49;118.13;30435490
2025-09-10;120.56;123.44;116.69;117.69;38440864
2025-09-09;117.18;118.88;113.76;118.38;42677267
2025-09-08;108.46;117.49;108.01;117.42;85158768
2025-09-05;104.19;110.97;95.66;107.33;53094582
2025-09-04;100.82;104.75;100.25;102.9;25064941
2025-09-03;100.92;102.69;99.41;100.48;19754172
2025-09-02;103.63;104.2;97.9;101.03;33610250
2025-08-29;103.16;104.4;101.93;103.69;18030820
2025-08-28;103.88;105.4;102.78;103.58;21212448
2025-08-27;108.66;109.27;101.64;102.72;29311560
2025-08-26;107.16;109.36;105.12;108.93;22248681
2025-08-25;108.8;109.85;105.95;107.4;24450129
2025-08-22;105.96;111.89;103.8;109.46;33972224
2025-08-21;105.75;108.21;103.22;105.99;28418625
2025-08-20;106.8;107.98;99.0;105.75;46834485
2025-08-19;114.2;117.46;105.4;105.7;43420832
2025-08-18;113.38;115.2;109.78;114.78;30205873
2025-08-15;110.38;114.36;108.61;113.83;27289115
2025-08-14;109.75;111.46;106.31;109.85;28784426
2025-08-13;114.94;116.4;107.28;109.49;44442350
2025-08-12;113.5;117.7;112.95;114.53;24963098
2025-08-11;116.88;118.45;113.19;113.4;30780397
2025-08-08;112.0;117.0;110.9;115.04;35721101
2025-08-07;105.34;112.64;105.15;111.5;37962852
2025-08-06;105.46;105.9;101.18;105.34;27472015
2025-08-05;106.3;107.3;103.22;104.79;27761967
2025-08-04;100.91;106.92;97.15;106.3;39119974
2025-08-01;100.85;104.59;93.36;99.2;64252540
2025-07-31;106.1;109.06;100.5;100.91;49138583
2025-07-30;103.72;111.35;103.14;105.5;32679847
2025-07-29;106.46;107.42;102.9;103.77;24938746
2025-07-28;107.28;107.77;104.66;106.74;24898332
2025-07-25;101.0;106.39;100.56;105.24;30528561
2025-07-24;103.17;103.34;100.32;101.99;20854843
2025-07-23;102.9;104.07;100.54;102.99;28784796
2025-07-22;105.35;107.77;98.75;102.5;37387693
2025-07-21;110.42;110.7;104.05;105.56;38850351
2025-07-18;107.55;113.44;106.7;108.43;63766913
2025-07-17;104.57;106.64;102.72;106.35;33541934
2025-07-16;99.55;104.62;98.75;103.35;47219609
2025-07-15;99.25;101.26;97.16;98.59;39994764
2025-07-14;99.1;101.89;98.01;99.25;40313104
2025-07-11;98.7;101.5;96.8;97.63;52555693
2025-07-10;94.41;99.31;93.54;97.23;43448402
2025-07-09;92.0;94.7;91.19;94.42;35845446
2025-07-08;94.1;98.04;90.7;91.59;49992065
2025-07-07;94.16;95.7;91.27;93.48;42868273
2025-07-03;97.04;97.45;92.11;94.04;48370922
2025-07-02;92.12;100.88;90.1;96.66;99660811
2025-07-01;96.87;99.18;89.7;91.23;103928332
2025-06-30;85.03;97.6;85.01;96.55;88047400
2025-06-27;84.89;85.0;81.92;82.9;28485381
2025-06-26;83.1;84.8;82.53;84.65;21581999
2025-06-25;82.88;85.74;81.9;83.05;33197175
2025-06-24;78.55;82.85;76.83;82.5;36431989
2025-06-23;77.19;79.05;74.39;78.0;29208686
2025-06-20;78.13;79.38;75.79;78.34;31118804
2025-06-18;75.1;78.74;74.54;78.57;29633996
2025-06-17;75.35;77.05;72.86;74.18;22844725
2025-06-16;73.15;76.88;73.15;75.55;23166975
2025-06-13;71.06;74.82;70.86;72.33;23245632
2025-06-12;74.45;75.59;73.05;73.45;19567306
2025-06-11;72.0;75.39;71.89;74.31;29283736
2025-06-10;74.1;74.67;70.75;72.35;33137022
2025-06-09;71.09;74.2;68.56;73.97;55905604
2025-06-06;73.15;80.87;69.42;70.2;56821863
2025-06-05;73.07;76.75;70.7;72.18;56154551
2025-06-04;72.2;74.68;71.13;72.6;27238222
2025-06-03;68.61;72.72;68.05;71.9;35945609
2025-06-02;65.53;68.69;65.0;68.59;25276009
2025-05-30;63.15;66.49;62.7;65.78;28861595
2025-05-29;67.12;67.83;63.05;63.1;17711614
2025-05-28;66.03;66.65;64.81;66.5;15121884
2025-05-27;64.07;67.13;63.83;66.19;25254806
2025-05-23;65.0;65.3;61.95;62.79;23146732
2025-05-22;64.5;65.88;63.5;64.77;22529235
2025-05-21;64.8;66.89;62.75;63.33;34375537
2025-05-20;63.98;65.28;63.35;64.63;26390499
2025-05-19;58.88;64.9;58.24;64.5;28653871
2025-05-16;61.67;62.14;58.5;58.9;20064909
2025-05-15;60.62;61.35;57.68;60.67;30082083
2025-05-14;63.36;63.78;60.3;60.35;33602282
2025-05-13;57.73;63.42;56.99;62.78;47124768
2025-05-12;56.72;59.6;55.88;57.92;35493230
2025-05-09;54.88;56.32;53.74;54.2;37874253
2025-05-08;51.15;54.84;50.85;54.62;41729511
2025-05-07;49.6;50.51;48.32;49.98;33929540
2025-05-06;47.29;49.68;45.82;49.54;25475939
2025-05-05;47.73;48.34;45.56;47.45;31679713
2025-05-02;46.7;50.07;46.51;48.49;50046389
2025-05-01;51.0;51.75;45.81;45.86;77513115
2025-04-30;49.15;51.25;46.0;49.82;42067206
2025-04-29;49.28;49.88;48.46;48.9;24756072
2025-04-28;49.75;51.07;47.74;48.98;30451015
2025-04-25;49.41;49.99;47.9;49.55;29897777
2025-04-24;44.55;49.25;43.66;49.1;37201362
2025-04-23;44.97;47.22;44.27;44.85;42053868
2025-04-22;40.55;45.35;40.09;45.15;33215295
2025-04-21;41.98;41.98;39.21;40.04;23512108
2025-04-17;41.51;41.85;40.12;41.1;21083971
2025-04-16;41.88;43.14;40.07;40.68;36399095
2025-04-15;44.23;45.56;41.85;42.4;27061952
2025-04-14;45.0;45.55;42.51;43.27;39338619
2025-04-11;40.79;43.79;39.76;43.69;45131174
2025-04-10;42.41;42.74;37.78;40.19;55304835
2025-04-09;33.2;43.56;31.75;42.8;77184903
2025-04-08;36.86;37.85;32.13;32.74;55720432
2025-04-07;30.28;37.11;28.79;36.72;71707073
2025-04-04;38.1;38.37;31.59;33.45;71272518
2025-04-03;39.16;40.21;37.4;38.47;50157757
2025-04-02;41.9;45.89;37.58;38.09;39472020
2025-04-01;41.88;43.37;40.61;42.21;38188710
2025-03-31;40.0;41.95;38.8;41.27;35660674
2025-03-28;43.9;43.93;40.57;41.18;38177830
2025-03-27;45.53;46.75;43.24;43.92;45229826
2025-03-26;47.71;48.47;43.01;43.46;38667960
2025-03-25;48.16;49.88;46.96;48.05;37715399
2025-03-24;45.53;48.99;45.32;48.22;43729955
2025-03-21;43.5;44.73;41.5;44.4;38401630
2025-03-20;44.19;44.25;41.69;43.15;43077837
2025-03-19;40.21;44.02;40.08;43.9;46732096
2025-03-18;42.23;42.67;38.84;40.01;39487322
2025-03-17;39.0;42.92;38.15;42.66;39996322
2025-03-14;37.08;39.46;36.6;39.21;33042842
2025-03-13;38.5;39.35;35.91;36.32;39523334
2025-03-12;37.08;39.68;36.36;39.55;44918910
2025-03-11;35.26;38.35;34.84;36.72;60300604
2025-03-10;42.84;42.84;33.46;33.9;79330657
2025-03-07;44.62;45.63;40.95;43.34;43014059
2025-03-06;48.26;49.16;43.5;43.77;35041180
2025-03-05;47.55;48.4;44.92;48.0;29660281
2025-03-04;46.21;48.27;42.14;47.25;53248292
2025-03-03;53.03;55.22;46.68;46.91;45765018
2025-02-28;47.75;51.17;47.15;50.75;39163656
2025-02-27;50.2;52.93;48.42;49.28;41204942
2025-02-26;46.98;50.52;46.38;48.82;37980171
2025-02-25;47.47;48.84;44.02;47.1;50150961
2025-02-24;52.52;53.55;47.97;48.31;34394423
2025-02-21;56.51;58.2;51.4;51.8;27545113
2025-02-20;58.29;59.23;54.23;56.1;29812206
2025-02-19;61.07;61.92;57.94;58.04;20639606
2025-02-18;64.8;65.68;59.91;61.06;33627968
2025-02-14;64.01;66.08;61.72;65.16;33406866
2025-02-13;64.25;66.91;61.2;63.17;66389582
2025-02-12;55.05;66.23;52.3;64.47;41772628
2025-02-11;56.8;56.99;53.2;55.0;17676311
2025-02-10;57.52;57.99;55.55;56.7;18557084
2025-02-07;53.45;56.29;53.21;56.29;21227923
2025-02-06;54.72;55.05;52.16;53.39;12525429
2025-02-05;52.55;54.4;52.16;54.31;13784236
2025-02-04;52.2;53.31;51.17;52.36;13462842
2025-02-03;49.44;53.37;47.63;53.1;15679242
2025-01-31;53.65;53.9;51.0;51.14;11939090
2025-01-30;51.68;53.51;51.06;53.28;14203458
2025-01-29;49.8;51.71;48.6;51.39;13488327
2025-01-28;48.95;49.8;47.01;49.3;14495888
2025-01-27;49.39;50.15;45.91;47.93;24880137
2025-01-24;51.05;52.06;50.6;50.94;16798766
2025-01-23;49.46;50.91;48.55;50.59;13770468
2025-01-22;50.34;51.09;49.5;49.59;17134464
2025-01-21;49.94;50.64;48.15;50.19;24611587
2025-01-17;46.52;49.27;46.23;48.45;29852578
2025-01-16;45.95;46.85;45.25;45.78;16122671
