time;open;high;low;close;Volume
2026-04-17;6.89;7.755;6.67;7.43;22107600
2026-04-16;6.46;7.18;6.28;6.98;15501900
2026-04-15;6.84;6.88;6.22;6.56;16972800
2026-04-14;6.61;7.12;6.42;6.99;13709400
2026-04-13;6.21;6.735;6.06;6.61;12394900
2026-04-10;6.611;6.76;6.01;6.32;16312400
2026-04-09;5.97;6.69;5.96;6.57;16936800
2026-04-08;6.05;6.26;5.84;5.97;16012300
2026-04-07;5.3;5.96;5.28;5.88;24464500
2026-04-06;5.01;5.32;5.0;5.31;6293100
2026-04-02;5.05;5.19;4.91;5.11;8124200
2026-04-01;4.68;5.2;4.58;5.18;10915300
2026-03-31;4.55;4.73;4.41;4.61;7499100
2026-03-30;4.53;4.65;4.41;4.48;6060900
2026-03-27;4.44;4.74;4.43;4.6;6514100
2026-03-26;4.34;5.085;4.26;4.77;19172600
2026-03-25;4.35;4.38;4.205;4.37;4599400
2026-03-24;4.115;4.3;4.08;4.24;4098300
2026-03-23;4.01;4.28;3.99;4.13;5004800
2026-03-20;3.93;4.01;3.85;3.95;5809700
2026-03-19;4.14;4.22;3.775;3.98;8282500
2026-03-18;4.25;4.375;4.14;4.18;9423000
2026-03-17;4.0;4.29;4.0;4.21;4890900
2026-03-16;3.95;4.03;3.93;3.97;4638700
2026-03-13;3.94;3.99;3.82;3.89;4048300
2026-03-12;4.04;4.11;3.865;3.89;5498600
2026-03-11;4.04;4.16;3.995;4.12;3297100
2026-03-10;4.15;4.155;4.0;4.01;3551000
2026-03-09;4.0;4.17;3.89;4.16;7905300
2026-03-06;4.15;4.21;4.06;4.12;6555500
2026-03-05;4.3;4.45;4.2;4.3;4594800
2026-03-04;4.36;4.48;4.26;4.34;5113300
2026-03-03;4.21;4.39;4.16;4.34;4465300
2026-03-02;4.25;4.59;4.21;4.33;7447400
2026-02-27;4.42;4.67;4.35;4.54;9434500
2026-02-26;4.23;4.59;4.2;4.5;11792500
2026-02-25;4.46;4.54;4.31;4.42;7853000
2026-02-24;4.43;4.53;4.375;4.44;4976700
2026-02-23;4.59;4.59;4.29;4.43;7732300
2026-02-20;4.65;4.76;4.44;4.665;7865600
2026-02-19;5.1;5.12;4.515;4.68;14572100
2026-02-18;5.02;5.32;4.99;5.3;5744400
2026-02-17;5.03;5.065;4.88;4.92;3994200
2026-02-13;5.25;5.26;5.0;5.04;4161300
2026-02-12;5.31;5.4;5.02;5.12;5440600
2026-02-11;5.2;5.37;5.145;5.27;5228600
2026-02-10;5.28;5.345;5.17;5.2;3052900
2026-02-09;5.3;5.36;5.145;5.28;3463800
2026-02-06;5.01;5.305;5.01;5.29;5801700
2026-02-05;5.15;5.22;4.865;4.94;6221200
2026-02-04;5.28;5.51;5.205;5.22;6802200
2026-02-03;5.0;5.185;4.932;5.16;5522900
2026-02-02;4.88;5.07;4.85;4.96;4724500
2026-01-30;5.01;5.08;4.84;4.9;6919600
2026-01-29;5.19;5.22;5.04;5.08;3463100
2026-01-28;5.39;5.41;5.12;5.19;3539100
2026-01-27;5.4;5.4;5.2;5.3;4753300
2026-01-26;5.51;5.51;5.305;5.4;5248600
2026-01-23;5.68;5.73;5.46;5.53;4088000
2026-01-22;5.93;6.135;5.67;5.68;5190700
2026-01-21;5.47;5.95;5.45;5.88;8386000
2026-01-20;5.42;5.61;5.33;5.39;5595100
2026-01-16;5.58;5.66;5.44;5.585;5075200
2026-01-15;5.44;5.735;5.44;5.59;4280900
2026-01-14;5.31;5.48;5.22;5.41;4930300
2026-01-13;5.43;5.52;5.3;5.32;4807500
2026-01-12;5.71;5.71;5.385;5.47;5659600
2026-01-09;5.71;5.775;5.48;5.66;3807100
2026-01-08;5.605;5.815;5.59;5.6;5261700
2026-01-07;5.61;5.835;5.47;5.61;5259400
2026-01-06;5.27;5.69;5.265;5.64;7982000
2026-01-05;5.22;5.42;5.17;5.24;6702900
2026-01-02;5.18;5.375;5.17;5.22;5791200
2025-12-31;5.19;5.225;5.13;5.14;5206200
2025-12-30;5.27;5.28;5.16;5.24;3926200
2025-12-29;5.37;5.38;5.22;5.28;4835300
2025-12-26;5.26;5.375;5.13;5.36;5197500
2025-12-24;5.48;5.5;5.25;5.33;2815400
2025-12-23;5.68;5.73;5.4;5.48;6258600
2025-12-22;5.32;5.87;5.235;5.74;14029400
2025-12-19;5.08;5.225;5.02;5.15;10158600
2025-12-18;5.1;5.2;5.0;5.06;4715700
2025-12-17;5.1;5.145;5.0;5.03;3217200
2025-12-16;5.05;5.14;4.98;5.1;4500000
2025-12-15;5.21;5.22;5.03;5.04;4894400
2025-12-12;5.19;5.26;5.09;5.15;5058200
2025-12-11;5.5;5.5;5.175;5.19;5267000
2025-12-10;5.38;5.68;5.341;5.49;6511000
2025-12-09;5.09;5.525;5.08;5.34;7851800
2025-12-08;5.14;5.18;5.06;5.09;4071400
2025-12-05;5.12;5.39;5.045;5.06;7259100
2025-12-04;5.2;5.22;5.03;5.14;5024300
2025-12-03;5.17;5.27;5.08;5.22;4568000
2025-12-02;4.91;5.21;4.88;5.13;5549500
2025-12-01;5.13;5.13;4.93;4.98;8972500
2025-11-28;5.12;5.24;5.09;5.24;3596900
2025-11-26;5.18;5.27;5.11;5.12;5395800
2025-11-25;5.08;5.3;5.05;5.26;7835000
2025-11-24;5.13;5.13;4.912;5.08;9994600
2025-11-21;4.77;5.12;4.67;5.09;10276700
2025-11-20;5.15;5.18;4.77;4.85;12566300
2025-11-19;5.21;5.28;5.03;5.11;11320800
2025-11-18;5.2;5.28;5.02;5.22;9493300
2025-11-17;5.59;5.59;5.185;5.26;13751800
2025-11-14;5.89;5.98;5.64;5.65;11152400
2025-11-13;6.18;6.279;5.8;6.07;13069100
2025-11-12;6.43;6.85;6.27;6.34;13993300
2025-11-11;6.21;6.4;6.005;6.38;7059200
2025-11-10;6.78;6.94;6.245;6.28;10555100
2025-11-07;6.065;6.695;6.01;6.58;14516300
2025-11-06;6.64;6.84;6.11;6.185;15048900
2025-11-05;6.5;6.7;5.62;6.675;32220000
2025-11-04;5.74;7.15;5.6;6.73;129775800
2025-11-03;5.2;5.209;4.87;4.94;14498100
2025-10-31;5.005;5.14;4.79;5.13;10741500
2025-10-30;5.24;5.24;4.94;4.99;11144000
2025-10-29;5.26;5.46;5.18;5.27;11953300
2025-10-28;5.19;5.285;5.065;5.11;8795500
2025-10-27;5.27;5.465;5.11;5.17;8951500
2025-10-24;5.3;5.37;5.08;5.18;6180200
2025-10-23;4.87;5.2;4.86;5.19;8505400
2025-10-22;5.125;5.28;4.86;4.95;8062300
2025-10-21;4.88;5.3;4.71;5.11;12703300
2025-10-20;5.31;5.31;4.86;5.01;12902600
2025-10-17;5.78;5.78;5.2;5.215;10139900
2025-10-16;5.6;5.98;5.51;5.78;11821200
2025-10-15;5.59;5.66;5.43;5.57;9100400
2025-10-14;5.39;5.71;5.16;5.52;11263000
2025-10-13;5.65;5.72;5.36;5.49;6050500
2025-10-10;5.68;5.82;5.53;5.6;7407000
2025-10-09;5.84;5.875;5.64;5.65;5495900
2025-10-08;5.55;5.945;5.42;5.79;13269400
2025-10-07;5.65;5.875;5.452;5.58;10512300
2025-10-06;6.2;6.2;5.5;5.605;22630500
2025-10-03;6.72;6.76;6.235;6.25;9466700
2025-10-02;6.81;6.94;6.66;6.67;5774200
2025-10-01;6.73;7.12;6.69;6.77;9882300
2025-09-30;6.94;7.11;6.68;6.8;9642000
2025-09-29;6.835;6.945;6.49;6.84;6884000
2025-09-26;7.02;7.04;6.72;6.77;9289400
2025-09-25;6.975;7.54;6.72;7.03;30557100
2025-09-24;7.04;7.18;6.87;6.97;6175500
2025-09-23;6.85;7.24;6.843;6.96;5945700
2025-09-22;6.84;6.89;6.61;6.79;4672300
2025-09-19;6.77;7.11;6.59;6.8;11632000
2025-09-18;6.23;6.83;6.131;6.74;7838300
2025-09-17;6.22;6.62;6.175;6.19;7173400
2025-09-16;6.23;6.23;5.98;6.11;4991300
2025-09-15;6.46;6.53;6.12;6.19;5820700
2025-09-12;6.31;6.49;6.065;6.4;9278500
2025-09-11;5.85;6.275;5.83;6.21;6743700
2025-09-10;6.12;6.23;5.76;5.85;4911000
2025-09-09;5.96;6.15;5.78;6.09;8275100
2025-09-08;5.44;6.0;5.41;5.98;8010600
2025-09-05;5.55;5.635;5.43;5.47;3925000
2025-09-04;5.49;5.5;5.29;5.43;3484400
2025-09-03;5.59;5.63;5.36;5.41;4873400
2025-09-02;5.51;5.775;5.46;5.62;4008400
2025-08-29;5.71;5.915;5.665;5.73;4274600
2025-08-28;5.9;5.96;5.66;5.73;4407900
2025-08-27;5.66;5.91;5.615;5.85;5121300
2025-08-26;5.555;5.69;5.355;5.68;6477700
2025-08-25;5.805;5.86;5.5;5.57;6212800
2025-08-22;5.44;5.995;5.425;5.83;13762900
2025-08-21;5.445;5.505;5.13;5.37;12538200
2025-08-20;5.84;6.1;5.32;5.51;42259500
2025-08-19;5.25;5.29;5.08;5.2;10549500
2025-08-18;5.1;5.415;5.05;5.22;7041300
2025-08-15;5.25;5.275;5.1;5.11;4768400
2025-08-14;5.28;5.31;5.135;5.24;6042000
2025-08-13;5.28;5.459;5.16;5.38;5511800
2025-08-12;5.49;5.53;5.28;5.34;6558200
