time;open;high;low;close;Volume
2026-04-24;8.6;8.73;8.25;8.55;21771958
2026-04-23;9.01;9.17;8.32;8.64;21205772
2026-04-22;9.16;9.49;8.87;9.09;21706240
2026-04-21;9.23;9.46;8.88;9.07;19784673
2026-04-20;9.15;9.23;8.93;9.18;15806296
2026-04-17;9.41;9.89;9.2;9.3;23230951
2026-04-16;9.25;9.48;9.03;9.29;17815960
2026-04-15;8.84;9.25;8.78;9.2;24446551
2026-04-14;8.58;8.93;8.55;8.85;17753622
2026-04-13;8.25;8.57;8.03;8.53;18716446
2026-04-10;8.33;8.57;8.28;8.36;14855659
2026-04-09;8.63;8.64;8.24;8.35;15011751
2026-04-08;8.95;9.2;8.53;8.65;18288534
2026-04-07;8.69;8.9;8.16;8.81;18207134
2026-04-06;8.45;9.0;8.44;8.69;18611685
2026-04-02;8.12;8.51;7.86;8.5;21800480
2026-04-01;8.35;8.57;8.2;8.3;20139439
2026-03-31;8.1;8.35;7.88;8.34;29930375
2026-03-30;8.11;8.2;7.75;7.87;22369602
2026-03-27;8.58;8.62;7.96;8.1;23957985
2026-03-26;8.96;9.0;8.39;8.55;18878267
2026-03-25;9.22;9.42;8.93;8.99;14721706
2026-03-24;9.36;9.37;8.89;9.13;17434747
2026-03-23;9.12;9.53;8.74;9.32;15168587
2026-03-20;9.71;9.75;9.11;9.33;23935567
2026-03-19;9.61;9.94;9.21;9.69;16416199
2026-03-18;10.0;10.05;9.53;9.53;16337759
2026-03-17;9.77;10.05;9.67;9.91;15649467
2026-03-16;9.8;10.04;9.49;9.84;29663133
2026-03-13;9.84;10.12;9.53;9.71;20851552
2026-03-12;10.12;10.32;9.74;9.79;22815817
2026-03-11;9.98;10.27;9.8;10.12;22911911
2026-03-10;10.49;10.69;9.82;9.93;28533168
2026-03-09;9.33;10.88;9.1;10.4;25963569
2026-03-06;9.7;9.78;9.33;9.57;12541107
2026-03-05;9.85;10.08;9.33;9.66;16434994
2026-03-04;9.7;10.1;9.52;9.92;12995153
2026-03-03;10.02;10.1;9.55;9.76;30969295
2026-03-02;9.69;10.45;9.37;10.2;26623726
2026-02-27;10.28;10.32;9.81;10.01;23756556
2026-02-26;10.0;10.96;9.92;10.18;37767084
2026-02-25;9.79;10.58;9.75;9.88;30689446
2026-02-24;9.58;9.82;9.3;9.72;17878127
2026-02-23;9.8;9.84;9.31;9.55;19454071
2026-02-20;10.28;10.33;9.79;9.88;17784285
2026-02-19;10.19;10.29;9.77;10.26;12858846
2026-02-18;10.09;10.39;9.78;10.19;21200284
2026-02-17;9.98;10.15;9.62;10.03;14124212
2026-02-13;9.93;10.22;9.68;9.98;15101384
2026-02-12;10.1;10.28;9.61;9.93;16297648
2026-02-11;10.26;10.41;9.67;10.1;19919075
2026-02-10;10.71;10.77;10.18;10.28;18118820
2026-02-09;10.84;10.84;10.3;10.65;22629135
2026-02-06;9.31;10.6;9.2;10.55;30513018
2026-02-05;10.3;10.39;9.02;9.15;32897815
2026-02-04;10.82;10.89;9.81;10.32;28870488
2026-02-03;11.0;11.05;10.16;10.7;39999975
2026-02-02;10.6;10.85;10.16;10.74;31457144
2026-01-30;11.36;11.36;10.49;10.64;47658133
2026-01-29;12.45;12.49;10.8;11.29;123269172
2026-01-28;13.6;13.88;11.47;11.93;13740490
2026-01-27;13.45;13.63;13.15;13.53;11497294
2026-01-26;14.16;14.48;13.25;13.38;12505982
2026-01-23;14.68;14.76;13.81;14.0;13485899
2026-01-22;14.57;15.04;14.35;14.69;18345708
2026-01-21;15.0;15.45;13.73;14.48;24713192
2026-01-20;15.03;15.74;14.39;14.75;21936457
2026-01-16;15.47;16.01;15.17;15.48;23035384
2026-01-15;15.04;15.93;14.89;15.35;21357899
2026-01-14;14.8;15.13;14.23;14.99;19281450
2026-01-13;15.44;15.96;14.15;14.85;30002381
2026-01-12;15.31;15.69;14.9;15.37;20751164
2026-01-09;15.36;16.01;14.96;15.46;32241050
2026-01-08;15.56;16.28;15.17;15.34;30187221
2026-01-07;16.2;16.58;15.51;15.59;22117477
2026-01-06;15.77;16.59;15.61;16.27;27768813
2026-01-05;14.45;16.38;14.29;15.83;33974412
2026-01-02;13.4;14.46;13.19;14.37;19406506
2025-12-31;13.25;13.34;12.99;13.22;14643578
2025-12-30;13.6;13.7;13.16;13.25;15335299
2025-12-29;13.88;14.11;13.48;13.51;15012508
2025-12-26;14.3;14.35;13.74;13.88;9762427
2025-12-24;14.29;14.55;14.12;14.29;6976610
2025-12-23;14.86;14.91;14.1;14.33;15132113
2025-12-22;14.58;15.4;14.4;14.84;16413757
2025-12-19;14.01;14.44;13.7;14.28;19330231
2025-12-18;13.36;14.2;13.34;13.86;19631916
2025-12-17;14.15;14.58;13.18;13.33;15516731
2025-12-16;14.05;14.54;13.82;14.13;12505539
2025-12-15;14.85;15.08;14.08;14.11;13961161
2025-12-12;15.44;15.98;14.73;14.91;17194029
2025-12-11;15.0;15.66;14.5;15.52;14485899
2025-12-10;15.43;15.44;14.92;15.03;11832761
2025-12-09;15.4;15.53;15.11;15.49;8746869
2025-12-08;15.4;15.54;14.94;15.5;13221409
2025-12-05;15.73;15.75;15.14;15.28;16122263
2025-12-04;14.5;15.87;14.45;15.65;18774634
2025-12-03;13.88;14.66;13.59;14.5;13188646
2025-12-02;13.5;14.18;13.32;13.85;15835327
2025-12-01;14.2;14.2;13.28;13.51;16652093
2025-11-28;14.25;14.59;14.04;14.43;5441678
2025-11-26;14.0;14.32;13.94;14.16;9759154
2025-11-25;13.9;14.04;13.26;13.94;10902121
2025-11-24;13.2;14.04;13.05;13.96;14287755
2025-11-21;13.1;13.33;12.14;13.16;26154383
2025-11-20;14.27;14.64;12.75;13.1;24191218
2025-11-19;14.0;14.26;13.51;14.05;12733972
2025-11-18;13.81;14.16;13.42;13.88;19436600
2025-11-17;14.8;14.84;13.55;13.86;20320280
2025-11-14;14.62;14.97;13.99;14.58;17949928
2025-11-13;16.32;16.47;14.69;14.92;24296121
2025-11-12;16.3;17.1;15.6;16.21;25996740
2025-11-11;15.62;16.41;15.12;16.29;31995602
2025-11-10;15.2;16.16;15.2;15.77;41387152
2025-11-07;14.5;15.14;13.23;15.04;49569250
2025-11-06;15.46;15.53;14.16;14.46;35867769
2025-11-05;14.6;15.79;14.6;15.39;31512796
2025-11-04;16.0;16.1;14.6;14.6;37682322
2025-11-03;17.2;17.52;15.6;16.16;39726042
2025-10-31;16.72;17.51;16.38;17.25;41349789
2025-10-30;16.98;17.08;16.27;16.7;25214790
2025-10-29;16.86;17.37;15.98;16.84;52695105
2025-10-28;16.25;17.25;15.59;16.79;49034727
2025-10-27;16.6;16.82;16.01;16.37;42662851
2025-10-24;15.86;16.56;15.81;16.12;38713529
2025-10-23;15.69;15.97;15.33;15.81;43669983
2025-10-22;16.0;16.25;14.9;15.48;40779074
2025-10-21;17.25;17.53;15.75;16.05;65849512
2025-10-20;16.2;17.6;15.85;17.39;58623712
2025-10-17;15.99;16.27;14.89;15.87;44759638
2025-10-16;17.69;18.77;15.98;16.11;33411904
2025-10-15;17.95;18.6;17.44;17.65;46818666
2025-10-14;16.97;18.44;15.81;17.83;103153890
2025-10-13;16.74;17.35;16.25;16.82;97218555
2025-10-10;17.09;17.41;15.06;15.95;41975681
2025-10-09;17.45;17.72;16.49;17.06;37132947
2025-10-08;17.3;17.9;16.65;17.51;108448358
2025-10-07;19.56;19.98;16.82;17.25;28832238
2025-10-06;18.25;19.7;18.25;19.66;30465546
2025-10-03;17.95;18.59;17.55;18.2;32482340
2025-10-02;16.3;17.9;16.18;17.85;36914880
2025-10-01;16.0;16.8;15.61;16.24;36442277
2025-09-30;16.0;16.38;15.33;16.02;27512211
2025-09-29;16.38;16.97;15.7;15.96;26505137
2025-09-26;15.8;16.38;15.39;16.14;29406355
2025-09-25;15.9;16.11;14.91;15.87;33092329
2025-09-24;16.77;17.18;15.8;16.03;41094295
