time;open;high;low;close;Volume
2026-04-17;70.91;71.558;68.0;70.43;1081300
2026-04-16;65.96;69.65;64.6;69.48;833900
2026-04-15;66.75;68.37;64.59;66.42;936700
2026-04-14;70.66;71.385;66.03;66.87;1132600
2026-04-13;64.66;70.97;64.0;69.86;1880400
2026-04-10;62.8;66.4;57.8;65.37;1901300
2026-04-09;60.42;63.99;60.42;62.72;1479800
2026-04-08;63.25;64.13;59.44;60.32;1301300
2026-04-07;57.5;58.33;55.09;57.72;956500
2026-04-06;60.36;61.16;57.25;58.2;917000
2026-04-02;54.84;60.99;54.5;60.12;1285400
2026-04-01;58.88;61.28;57.665;58.3;1540600
2026-03-31;55.4;57.72;53.4;57.02;2915200
2026-03-30;65.68;65.94;53.25;54.0;2885900
2026-03-27;62.99;65.095;61.1;64.32;2171500
2026-03-26;69.0;69.65;63.68;63.86;1557600
2026-03-25;73.0;74.1;70.76;71.75;1303700
2026-03-24;68.915;72.33;68.265;71.56;1420200
2026-03-23;66.5;70.79;66.365;69.95;1851600
2026-03-20;70.88;71.52;64.66;65.76;3984300
2026-03-19;65.76;71.62;63.58;70.88;1849100
2026-03-18;71.26;72.9;68.23;68.54;1830200
2026-03-17;68.3;71.35;65.12;71.14;2080600
2026-03-16;64.725;69.827;64.0;68.5;2942500
2026-03-13;63.28;64.87;61.87;62.6;1059700
2026-03-12;64.42;65.65;61.84;62.77;1798600
2026-03-11;62.03;67.724;61.25;66.49;1635000
2026-03-10;62.0;66.39;61.92;63.79;2982400
2026-03-09;56.89;61.685;56.42;61.0;1716900
2026-03-06;60.135;63.99;58.22;58.64;2405800
2026-03-05;67.02;67.87;59.188;62.56;2606100
2026-03-04;66.77;69.517;64.0;67.02;2512200
2026-03-03;67.64;68.5;61.401;63.07;3407000
2026-03-02;67.51;68.2;60.04;67.69;4909000
2026-02-27;56.0;59.35;53.5;56.19;3712200
2026-02-26;60.515;62.98;58.81;62.95;2453000
2026-02-25;58.3;61.8;58.3;60.6;2007400
2026-02-24;56.47;60.755;56.47;57.64;2496900
2026-02-23;55.5;56.66;53.52;54.7;1102700
2026-02-20;53.96;59.0;53.96;56.01;1432800
2026-02-19;53.71;56.2;53.23;55.68;1303100
2026-02-18;51.01;56.43;50.65;54.35;1961900
2026-02-17;51.515;52.02;49.103;50.89;726900
2026-02-13;52.07;53.03;49.5;52.28;1127400
2026-02-12;55.0;55.92;51.67;52.43;1774200
2026-02-11;54.0;55.17;51.51;54.84;1587500
2026-02-10;55.0;55.31;52.57;52.92;889500
2026-02-09;51.2;54.895;50.94;54.59;1432200
2026-02-06;47.59;51.34;47.21;51.12;1481000
2026-02-05;42.09;46.73;42.01;46.09;2346000
2026-02-04;48.74;48.75;41.51;43.86;5335200
