date;quarter;type
2026-04-29;Q2-2026;earnings
2026-02-19;Q1-2026;earnings
2025-11-05;Q4-2025;earnings
2025-08-05;Q3-2025;earnings
2025-05-06;Q2-2025;earnings
2025-02-25;Q1-2025;earnings
2024-10-30;Q4-2024;earnings
2024-07-30;Q3-2024;earnings
2024-05-01;Q2-2024;earnings
2024-02-27;Q1-2024;earnings
2023-11-01;Q4-2023;earnings
2023-08-02;Q3-2023;earnings
2023-05-03;Q2-2023;earnings
2023-02-22;Q1-2023;earnings
2022-11-08;Q4-2022;earnings
2022-08-08;Q3-2022;earnings
2022-05-09;Q2-2022;earnings
2022-02-23;Q1-2022;earnings
2021-11-08;Q4-2021;earnings
2021-08-04;Q3-2021;earnings
2021-05-12;Q2-2021;earnings
2021-02-28;Q1-2021;earnings
2020-11-10;Q4-2020;earnings
2020-08-12;Q3-2020;earnings
