time;open;high;low;close;Volume
2026-04-17;55.72;57.18;55.31;55.66;1751000
2026-04-16;53.49;54.14;52.59;52.97;693600
2026-04-15;54.28;54.5;53.505;53.57;896600
2026-04-14;53.41;54.94;53.41;54.09;925900
2026-04-13;52.034;52.82;51.49;52.75;769500
2026-04-10;53.56;54.31;52.66;53.2;856800
2026-04-09;51.81;53.79;51.37;53.1;784000
2026-04-08;52.0;53.85;52.0;52.61;2650700
2026-04-07;47.71;48.08;47.0;47.71;1022400
2026-04-06;48.99;49.82;48.06;48.1;470300
2026-04-02;48.18;49.7;47.865;49.19;856100
2026-04-01;50.965;51.73;50.365;50.8;1600000
2026-03-31;47.4;49.83;47.37;49.44;1486000
2026-03-30;47.77;48.3;45.97;46.22;1569000
2026-03-27;48.69;49.65;47.81;47.99;493800
2026-03-26;49.29;50.285;48.428;48.69;779000
2026-03-25;50.46;50.46;49.56;49.64;447900
2026-03-24;48.61;50.2;48.51;49.03;660800
2026-03-23;49.41;50.28;48.79;49.62;1565700
2026-03-20;48.23;48.71;46.67;47.71;1705400
2026-03-19;47.76;49.75;47.54;49.31;866000
2026-03-18;49.51;49.95;48.303;48.58;935000
2026-03-17;50.94;51.22;49.62;50.15;1039000
2026-03-16;49.04;49.6;48.735;49.51;917000
2026-03-13;48.16;48.45;47.33;47.62;1145700
2026-03-12;48.53;48.54;46.75;47.05;1204600
2026-03-11;50.52;50.665;49.81;50.34;1141600
2026-03-10;50.25;51.97;49.66;50.94;2275500
2026-03-09;46.08;48.92;45.57;48.76;1950900
2026-03-06;47.09;48.93;46.63;48.07;1627600
2026-03-05;49.7;50.12;47.55;48.58;1801700
2026-03-04;52.49;52.59;50.82;51.67;1963000
2026-03-03;47.87;50.655;47.11;49.94;2487800
2026-03-02;52.97;53.96;51.68;51.9;2122300
2026-02-27;57.37;57.56;55.97;56.16;1198500
2026-02-26;58.33;58.58;57.13;58.25;1084800
2026-02-25;59.11;59.338;57.97;58.37;2026100
2026-02-24;57.06;58.135;56.59;58.01;1032400
2026-02-23;57.71;58.26;56.32;56.7;1340000
2026-02-20;57.32;58.53;56.56;57.62;1719400
2026-02-19;59.61;59.67;58.13;58.14;1082900
2026-02-18;60.48;60.82;59.94;60.23;1101400
2026-02-17;59.7;60.605;58.91;60.52;2588700
2026-02-13;60.32;60.32;58.785;59.71;1718600
2026-02-12;62.04;62.2;60.79;61.23;3400900
2026-02-11;61.83;62.32;61.245;61.37;3081300
2026-02-10;61.96;62.4;60.9;61.16;6877300
2026-02-09;65.49;66.66;64.55;64.85;1215300
2026-02-06;65.59;65.69;64.3;64.84;1269300
2026-02-05;65.1;65.55;62.616;64.37;1691600
2026-02-04;67.71;67.71;63.39;64.14;2244900
2026-02-03;69.04;70.42;67.04;67.74;1650900
2026-02-02;65.66;69.33;65.66;68.46;3263400
2026-01-30;63.6;66.16;63.45;65.81;1943300
2026-01-29;66.75;66.77;64.161;65.44;981000
2026-01-28;67.3;67.44;65.69;66.13;868200
2026-01-27;65.17;66.89;64.82;66.46;1293500
2026-01-26;63.44;65.01;63.205;64.49;1303500
2026-01-23;62.58;63.903;61.83;63.62;597300
2026-01-22;61.66;63.39;61.532;62.42;822100
2026-01-21;59.6;61.84;59.47;61.73;916800
2026-01-20;57.83;59.57;57.75;59.4;820100
2026-01-16;58.35;59.1;57.084;59.08;713500
2026-01-15;57.53;59.37;57.34;58.88;1341500
2026-01-14;58.39;58.738;56.4;56.64;1490300
2026-01-13;57.89;59.31;57.63;58.47;951700
2026-01-12;58.16;58.17;56.97;57.72;734000
2026-01-09;58.19;58.35;56.77;56.88;551200
2026-01-08;56.88;58.56;56.88;57.59;962100
2026-01-07;56.21;57.48;55.71;57.2;626700
2026-01-06;57.01;57.82;56.365;56.53;843000
2026-01-05;54.77;57.36;54.77;56.77;1175500
2026-01-02;54.4;54.755;53.97;54.58;980200
2025-12-31;53.78;54.285;53.51;54.01;323800
2025-12-30;54.22;54.68;53.845;54.23;371500
2025-12-29;53.89;54.18;53.37;53.68;600300
2025-12-26;54.2;54.4;53.74;54.0;436600
2025-12-24;53.68;54.17;53.47;54.1;136600
2025-12-23;54.84;54.85;53.94;54.1;391500
2025-12-22;54.96;55.205;54.36;54.85;428000
2025-12-19;54.03;55.085;54.0;54.9;805600
2025-12-18;52.45;53.865;52.37;53.57;767700
2025-12-17;52.34;52.415;51.53;51.85;1268900
2025-12-16;53.29;53.97;52.566;52.9;731400
2025-12-15;53.87;54.4;52.89;53.24;699400
2025-12-12;53.21;54.01;52.63;53.91;1230600
2025-12-11;52.21;53.575;52.15;52.68;847400
2025-12-10;51.14;52.71;51.05;52.1;725900
2025-12-09;50.48;51.14;50.48;50.98;586500
2025-12-08;50.71;52.16;50.71;51.15;573500
2025-12-05;51.97;52.72;50.71;50.83;865900
2025-12-04;52.1;52.49;51.09;51.6;895200
2025-12-03;49.76;50.39;49.47;50.06;505900
2025-12-02;48.67;49.44;48.43;49.21;645100
2025-12-01;47.92;48.845;47.9;48.15;526200
2025-11-28;48.28;48.47;47.66;48.23;431200
2025-11-26;47.64;48.46;47.39;48.01;646300
2025-11-25;46.11;47.23;46.11;47.16;931700
2025-11-24;45.79;46.23;44.623;45.67;1141900
2025-11-21;46.32;46.47;45.15;45.33;1015600
2025-11-20;48.3;49.33;46.34;46.37;1110100
2025-11-19;46.11;48.3;45.98;48.11;1667500
2025-11-18;44.35;46.125;43.565;45.87;1235700
2025-11-17;46.74;47.355;44.34;44.43;2138100
2025-11-14;44.58;45.29;44.36;44.47;1055100
2025-11-13;45.43;45.955;44.93;45.21;947400
2025-11-12;45.06;45.71;44.82;44.98;728400
2025-11-11;43.84;44.97;43.65;44.9;669200
2025-11-10;44.22;44.51;43.8;43.87;576700
2025-11-07;43.85;44.12;43.0;44.02;870000
2025-11-06;44.71;44.775;43.53;43.62;811100
2025-11-05;44.1;44.86;43.92;44.57;613400
2025-11-04;44.65;44.735;43.37;43.44;783100
2025-11-03;45.84;45.97;44.785;45.09;680700
2025-10-31;44.91;45.36;44.51;44.99;390300
2025-10-30;44.82;45.6;44.61;45.3;679700
2025-10-29;44.59;44.83;44.22;44.65;545600
2025-10-28;44.44;45.16;44.01;44.46;951300
2025-10-27;45.11;45.3;44.46;44.58;410100
2025-10-24;45.15;45.51;44.55;44.72;676600
2025-10-23;44.47;45.275;44.315;45.02;641600
2025-10-22;44.59;45.147;43.82;44.47;679500
2025-10-21;45.1;45.51;44.36;44.47;880700
2025-10-20;45.05;45.42;44.79;45.09;621600
2025-10-17;44.28;45.07;44.09;44.58;918000
2025-10-16;45.19;45.55;44.045;44.27;1286900
2025-10-15;44.59;45.2;44.37;44.73;832100
2025-10-14;42.09;44.11;41.925;44.0;990200
2025-10-13;42.36;42.67;41.69;42.08;892300
2025-10-10;43.27;43.45;41.41;41.58;1125900
2025-10-09;44.22;44.32;42.25;42.91;1607400
2025-10-08;43.4;43.74;42.94;43.4;989800
