time;open;high;low;close;Volume
2026-04-17;11.66;12.12;11.45;11.6;52216200
2026-04-16;10.57;11.69;10.31;11.55;56410900
2026-04-15;10.61;10.61;10.11;10.47;38864400
2026-04-14;10.62;11.01;10.42;10.49;46138000
2026-04-13;9.27;10.42;9.18;10.36;50103300
2026-04-10;9.74;9.89;9.39;9.54;36746400
2026-04-09;9.35;10.02;9.3;9.67;50414800
2026-04-08;9.51;9.77;9.18;9.5;50071900
2026-04-07;8.66;8.98;8.2;8.96;42383900
2026-04-06;8.81;9.14;8.76;8.85;36599100
2026-04-02;7.78;8.77;7.63;8.71;50528900
2026-04-01;8.22;8.33;8.0;8.04;31162800
2026-03-31;7.83;8.2;7.63;8.16;47427000
2026-03-30;8.17;8.28;7.64;7.8;36120400
2026-03-27;8.31;8.41;7.71;8.02;50702400
2026-03-26;8.58;9.4;8.46;8.58;106517600
2026-03-25;8.58;8.73;8.06;8.28;38872400
2026-03-24;8.83;8.98;8.15;8.25;41068500
2026-03-23;8.6;9.25;8.57;8.91;47208500
2026-03-20;9.09;9.14;8.42;8.46;50901300
2026-03-19;8.64;9.36;8.37;9.22;42849900
2026-03-18;9.04;9.33;8.89;8.92;40559700
2026-03-17;9.21;9.46;9.05;9.24;35673200
2026-03-16;9.76;9.84;9.14;9.23;47904200
2026-03-13;9.18;10.03;9.14;9.32;73339000
2026-03-12;8.44;8.78;8.3;8.76;37631600
2026-03-11;8.6;8.78;8.23;8.55;38141200
2026-03-10;8.7;8.87;8.51;8.57;42957000
2026-03-09;8.06;8.74;7.96;8.66;42397700
2026-03-06;8.46;8.53;7.89;8.01;36530700
2026-03-05;9.09;9.09;8.5;8.77;49553100
2026-03-04;9.11;9.55;8.87;9.29;61220700
2026-03-03;9.02;9.16;8.61;8.66;51493600
2026-03-02;8.61;9.84;8.44;9.45;70189900
2026-02-27;9.68;9.84;8.93;8.94;102354900
2026-02-26;8.43;8.65;8.14;8.45;51112000
2026-02-25;8.39;8.84;8.16;8.57;57452200
2026-02-24;7.78;8.17;7.59;8.05;37255100
2026-02-23;7.75;8.13;7.58;7.88;33052500
2026-02-20;7.88;8.31;7.75;7.97;37531000
2026-02-19;7.42;8.08;7.31;7.96;36294000
2026-02-18;7.48;7.78;7.33;7.5;31304600
2026-02-17;7.68;7.88;7.33;7.51;41177900
2026-02-13;7.5;8.08;7.32;7.92;50848000
2026-02-12;7.56;7.67;7.14;7.25;38590500
2026-02-11;7.63;7.9;7.28;7.56;49265200
2026-02-10;8.0;8.15;7.64;7.66;45953200
2026-02-09;7.85;8.47;7.78;8.06;67741600
2026-02-06;7.23;8.39;7.12;8.24;82353100
2026-02-05;7.8;8.04;6.66;6.73;80158300
2026-02-04;8.92;8.99;7.9;8.28;54008100
2026-02-03;9.23;9.55;8.51;9.05;53722600
2026-02-02;9.18;9.44;8.91;9.12;48414800
2026-01-30;9.75;9.83;9.32;9.5;37390600
2026-01-29;10.11;10.27;9.6;9.86;39218800
2026-01-28;10.71;10.79;10.24;10.37;36791300
2026-01-27;10.05;10.6;9.9;10.52;38581200
2026-01-26;10.38;10.39;9.88;9.98;39545100
2026-01-23;10.26;10.99;9.99;10.5;46881200
2026-01-22;10.61;10.81;10.14;10.29;42011200
2026-01-21;10.51;11.22;10.23;10.56;43023400
2026-01-20;10.81;10.95;10.22;10.37;45896100
2026-01-16;10.69;11.57;10.59;11.36;51948100
2026-01-15;11.12;11.25;10.64;10.66;47808200
2026-01-14;11.18;11.46;10.89;11.11;56484300
2026-01-13;10.9;11.07;10.61;10.95;43133400
2026-01-12;10.22;10.85;10.16;10.65;38514000
2026-01-09;10.53;10.58;10.07;10.22;32172700
2026-01-08;9.9;10.68;9.83;10.44;31093100
2026-01-07;10.29;10.32;9.82;10.08;32215400
2026-01-06;10.63;10.69;9.97;10.31;34062500
2026-01-05;10.37;10.73;10.21;10.59;40202100
2026-01-02;9.19;9.99;9.03;9.91;45408000
2025-12-31;9.35;9.38;8.95;8.98;30543600
2025-12-30;9.52;9.67;9.31;9.33;28454800
2025-12-29;9.47;9.85;9.37;9.49;29561200
2025-12-26;9.97;9.97;9.43;9.59;28503100
2025-12-24;9.81;9.94;9.69;9.94;13168600
2025-12-23;9.99;10.06;9.69;9.86;32302300
2025-12-22;10.41;10.69;10.0;10.13;35379800
2025-12-19;9.9;10.22;9.89;10.18;57068100
2025-12-18;10.2;10.37;9.61;9.69;46078300
2025-12-17;10.78;10.95;9.92;9.93;49404000
2025-12-16;10.77;11.05;10.5;10.69;39827400
2025-12-15;11.48;11.51;10.58;10.7;44712700
2025-12-12;11.81;12.26;11.36;11.52;42717300
2025-12-11;11.59;11.86;11.17;11.84;44290800
2025-12-10;12.06;12.34;11.77;11.92;37825600
2025-12-09;11.87;12.87;11.76;12.25;42518200
2025-12-08;12.03;12.12;11.56;12.05;33653800
2025-12-05;12.2;12.2;11.63;11.74;37605500
2025-12-04;12.33;12.59;12.12;12.44;32405800
2025-12-03;12.06;12.54;11.8;12.47;42574500
2025-12-02;11.98;12.42;11.7;11.91;46125200
2025-12-01;11.08;11.65;10.62;11.52;47151600
2025-11-28;11.74;11.98;11.54;11.81;31835100
2025-11-26;11.32;11.52;10.9;11.11;49739500
