time;open;high;low;close;Volume
2026-04-17;16.29;16.79;16.29;16.46;164200
2026-04-16;16.11;16.26;15.9;16.09;229500
2026-04-15;15.48;15.89;15.48;15.75;315600
2026-04-14;14.48;14.67;14.38;14.61;239100
2026-04-13;14.85;14.85;14.33;14.7;300400
2026-04-10;14.93;15.28;14.85;15.0;201500
2026-04-09;14.17;15.0;14.1;14.55;344700
2026-04-08;14.09;14.41;13.79;13.92;345000
2026-04-07;13.88;13.99;13.3;13.69;448000
2026-04-06;14.81;15.07;14.76;14.87;102800
2026-04-02;15.0;15.27;14.74;14.81;173200
2026-04-01;15.78;16.5;15.77;15.8;464900
2026-03-31;14.72;15.41;14.72;15.38;209300
2026-03-30;14.73;14.84;14.31;14.37;178600
2026-03-27;14.63;14.63;14.26;14.36;177100
2026-03-26;15.56;15.56;14.75;14.86;124700
2026-03-25;15.06;15.89;15.06;15.65;318100
2026-03-24;14.08;14.42;14.07;14.32;239700
2026-03-23;14.8;14.93;14.02;14.02;1236000
2026-03-20;14.7;14.89;14.23;14.36;259300
2026-03-19;14.42;14.81;14.33;14.78;145200
2026-03-18;14.65;14.8;14.55;14.63;311500
2026-03-17;14.56;14.68;14.39;14.53;174200
2026-03-16;14.57;14.83;14.49;14.63;144700
2026-03-13;14.94;15.07;14.5;14.55;253800
2026-03-12;15.32;15.33;15.02;15.07;130800
2026-03-11;15.56;15.77;15.4;15.63;91000
2026-03-10;15.51;16.03;15.45;15.74;258100
2026-03-09;15.19;15.49;14.91;15.43;214900
2026-03-06;15.86;16.34;15.66;15.85;296400
2026-03-05;15.16;15.72;15.0;15.68;664800
2026-03-04;14.54;14.75;14.41;14.58;332800
2026-03-03;13.96;14.61;13.45;14.55;892900
2026-03-02;14.8;14.97;14.37;14.51;592800
2026-02-27;15.8;16.09;15.4;15.85;366600
2026-02-26;17.15;17.25;16.36;16.92;206300
2026-02-25;16.74;17.16;16.74;16.91;204000
2026-02-24;16.3;16.55;16.27;16.52;165300
2026-02-23;16.59;16.74;16.38;16.68;146500
2026-02-20;16.89;16.98;16.7;16.88;168400
2026-02-19;16.88;16.96;16.71;16.91;72000
2026-02-18;17.09;17.3;16.98;17.04;183700
2026-02-17;16.67;16.91;16.57;16.85;171000
2026-02-13;17.03;17.05;16.5;16.67;144400
2026-02-12;17.63;17.63;16.8;16.89;254100
2026-02-11;18.38;18.38;17.92;18.3;214300
2026-02-10;17.51;18.33;17.51;17.99;338000
2026-02-09;16.68;16.91;16.55;16.78;218000
2026-02-06;15.74;16.07;15.55;15.95;284000
2026-02-05;16.61;16.64;16.01;16.08;292200
2026-02-04;17.35;17.37;16.6;16.99;136800
2026-02-03;17.32;17.61;17.08;17.34;129800
2026-02-02;17.25;17.36;17.0;17.19;152100
2026-01-30;17.71;18.0;17.23;17.25;242200
2026-01-29;18.34;18.49;17.67;17.96;179700
2026-01-28;19.19;19.21;18.48;18.7;119500
2026-01-27;18.78;19.34;18.63;19.17;180700
2026-01-26;18.38;18.72;18.38;18.68;92300
2026-01-23;18.7;18.7;18.27;18.38;107900
2026-01-22;18.09;19.0;18.09;18.77;203300
2026-01-21;16.81;17.38;16.79;17.36;284700
2026-01-20;17.1;17.15;16.67;16.83;326300
2026-01-16;17.56;17.67;17.34;17.45;148300
2026-01-15;17.96;18.02;17.69;17.73;182000
2026-01-14;17.64;17.82;17.51;17.64;181000
2026-01-13;18.46;18.46;17.38;17.76;417400
2026-01-12;19.35;19.35;18.19;18.67;560200
2026-01-09;20.12;21.5;20.12;20.96;312000
2026-01-08;19.77;20.39;19.74;19.87;284600
2026-01-07;18.47;19.5;18.47;19.26;181200
2026-01-06;18.31;18.65;18.31;18.57;124800
2026-01-05;18.26;18.73;18.08;18.29;149600
2026-01-02;18.29;18.46;17.9;18.16;196500
2025-12-31;18.24;18.62;17.93;18.04;246000
2025-12-30;19.05;19.05;18.55;18.58;143400
2025-12-29;19.0;19.06;18.73;18.96;145300
2025-12-26;19.44;19.6;19.23;19.5;115400
2025-12-24;19.33;19.52;19.3;19.4;36300
2025-12-23;19.33;19.45;19.0;19.19;104400
2025-12-22;19.43;19.52;19.15;19.42;149600
2025-12-19;18.95;19.9;18.95;19.48;437200
2025-12-18;18.73;19.07;18.49;18.6;158800
2025-12-17;18.42;19.18;18.42;18.7;603200
2025-12-16;18.09;18.42;17.96;18.29;164300
2025-12-15;18.13;18.13;17.48;17.71;259000
2025-12-12;18.44;18.51;17.86;18.07;259500
2025-12-11;18.47;18.63;18.1;18.4;291800
2025-12-10;18.82;19.28;18.72;19.05;294900
2025-12-09;18.66;19.28;18.48;18.76;314600
2025-12-08;18.1;18.36;18.0;18.11;181200
2025-12-05;17.56;18.15;17.56;17.87;247900
2025-12-04;16.98;17.52;16.8;17.19;212000
2025-12-03;16.49;17.22;16.49;16.93;138500
2025-12-02;16.67;16.95;16.43;16.57;202800
2025-12-01;17.2;17.65;16.85;17.0;241200
2025-11-28;17.55;17.57;17.07;17.23;191900
2025-11-26;17.52;17.79;17.35;17.37;451900
2025-11-25;16.19;16.31;15.87;16.06;213500
2025-11-24;15.31;16.0;15.13;15.62;260200
2025-11-21;14.72;15.62;14.69;15.37;200900
2025-11-20;15.07;15.24;14.32;14.32;170800
2025-11-19;14.79;14.94;14.56;14.85;75900
2025-11-18;14.87;15.03;14.56;14.89;106300
2025-11-17;15.05;15.61;15.05;15.09;142600
2025-11-14;14.49;15.03;14.42;14.77;130000
2025-11-13;15.38;15.38;14.7;14.92;206900
2025-11-12;15.71;15.75;15.33;15.7;113500
2025-11-11;15.22;15.57;15.19;15.53;180500
2025-11-10;15.03;15.34;15.02;15.21;141500
2025-11-07;14.57;14.62;14.1;14.61;268600
2025-11-06;15.2;15.29;14.8;14.93;228000
2025-11-05;15.53;15.83;15.46;15.54;136000
2025-11-04;15.67;15.93;15.58;15.59;117900
2025-11-03;16.36;16.36;15.71;16.11;281300
2025-10-31;16.5;16.91;16.38;16.66;146200
2025-10-30;16.36;16.52;16.1;16.43;83500
2025-10-29;16.73;16.73;16.28;16.36;120800
2025-10-28;16.74;17.0;16.66;16.73;92200
2025-10-27;16.87;17.01;16.5;16.71;166200
2025-10-24;17.03;17.18;16.79;16.81;136900
2025-10-23;16.86;17.42;16.86;17.1;171200
2025-10-22;17.63;17.66;16.9;17.18;212000
2025-10-21;18.55;18.94;18.19;18.37;377300
2025-10-20;17.24;17.82;17.23;17.65;201900
2025-10-17;17.26;17.29;16.79;17.07;272800
2025-10-16;18.26;18.5;17.98;18.09;156800
2025-10-15;17.8;18.09;17.71;17.95;131900
2025-10-14;17.79;17.98;17.55;17.79;255700
2025-10-13;18.32;18.56;17.81;18.14;226700
2025-10-10;19.09;19.17;18.1;18.32;262400
2025-10-09;19.75;20.18;19.47;19.53;245700
2025-10-08;19.33;19.98;19.28;19.75;693800
2025-10-07;17.79;18.4;17.79;18.09;370900
2025-10-06;17.44;17.65;17.08;17.32;314400
2025-10-03;18.23;18.98;18.11;18.41;487100
2025-10-02;16.8;17.07;16.66;17.02;199800
2025-10-01;15.95;16.46;15.87;16.27;201600
2025-09-30;15.73;16.15;15.6;16.11;185800
2025-09-29;15.95;16.19;15.9;16.02;138200
2025-09-26;15.79;15.99;15.6;15.86;124200
2025-09-25;16.3;16.5;16.1;16.31;132200
2025-09-24;16.22;16.53;16.22;16.26;172900
2025-09-23;16.5;16.57;16.25;16.31;281200
2025-09-22;16.53;17.14;16.44;16.85;328500
2025-09-19;15.93;17.13;15.81;17.01;1303800
2025-09-18;15.54;16.0;15.46;15.75;320300
2025-09-17;15.35;15.53;14.97;15.07;182000
2025-09-16;15.47;15.66;15.35;15.6;211000
2025-09-15;15.55;15.55;15.12;15.46;163300
2025-09-12;14.67;14.98;14.67;14.82;185600
2025-09-11;15.4;15.46;15.2;15.37;165000
2025-09-10;15.33;15.67;15.23;15.56;373600
2025-09-09;14.7;15.08;14.56;15.0;296300
2025-09-08;14.39;15.0;14.15;14.55;312500
2025-09-05;14.0;14.5;13.99;14.39;379200
2025-09-04;13.1;13.64;13.1;13.52;318000
2025-09-03;13.06;13.06;12.66;12.88;366300
2025-09-02;13.06;13.27;12.81;13.12;334900
2025-08-29;14.22;14.23;13.52;13.83;457800
2025-08-28;16.06;16.19;15.86;15.95;98200
2025-08-27;16.0;16.27;15.91;16.12;181500
2025-08-26;15.86;16.0;15.78;16.0;77300
2025-08-25;15.89;16.0;15.61;15.71;112400
2025-08-22;15.24;15.91;15.14;15.81;162200
2025-08-21;15.2;15.38;14.98;15.17;110300
2025-08-20;15.03;15.1;14.68;15.01;150000
2025-08-19;15.4;15.54;15.1;15.14;193800
2025-08-18;16.05;16.23;15.7;15.93;115800
2025-08-15;16.29;16.38;16.05;16.25;226100
2025-08-14;15.65;16.15;15.65;15.86;287200
2025-08-13;15.02;15.38;15.02;15.19;87200
2025-08-12;14.87;15.19;14.78;14.85;126300
2025-08-11;14.86;15.0;14.65;14.7;109200
2025-08-08;15.13;15.21;14.93;15.03;86800
2025-08-07;15.4;15.54;15.2;15.29;177400
2025-08-06;15.95;15.95;15.55;15.66;76200
2025-08-05;15.49;15.72;15.13;15.59;93000
2025-08-04;15.33;15.49;15.16;15.43;56700
2025-08-01;15.11;15.48;14.89;15.17;166300
2025-07-31;15.48;15.6;15.18;15.26;115900
2025-07-30;15.9;16.0;15.4;15.61;173000
2025-07-29;16.09;16.23;15.82;15.94;278700
2025-07-28;16.18;16.22;15.9;15.93;178300
2025-07-25;16.58;16.6;16.26;16.36;213400
