time;open;high;low;close;Volume
2026-04-17;13.82;14.04;13.66;13.71;2485000
2026-04-16;13.45;13.75;13.39;13.64;1828100
2026-04-15;12.46;13.41;12.46;13.25;2061100
2026-04-14;12.14;12.85;12.14;12.46;1106200
2026-04-13;11.8;12.22;11.8;12.09;1722100
2026-04-10;11.98;12.19;11.59;11.98;1701400
2026-04-09;12.1;12.12;11.56;11.82;2252300
2026-04-08;12.67;12.79;12.02;12.16;1740200
2026-04-07;12.02;12.24;11.87;12.05;1917200
2026-04-06;11.93;12.36;11.89;12.16;1378400
2026-04-02;11.41;12.02;11.41;11.89;1522200
2026-04-01;12.12;12.12;11.57;11.79;1981800
2026-03-31;11.74;12.09;11.62;11.88;2311600
2026-03-30;11.72;11.86;11.5;11.57;2939900
2026-03-27;11.77;11.82;11.36;11.65;1906100
2026-03-26;12.0;12.26;11.82;11.85;2029600
2026-03-25;12.29;12.44;11.9;12.11;1831900
2026-03-24;12.37;12.52;12.03;12.03;1170500
2026-03-23;12.67;12.75;12.22;12.45;1720000
2026-03-20;12.55;12.58;12.2;12.38;2633100
2026-03-19;12.53;13.04;12.35;12.49;2116500
2026-03-18;12.12;12.89;12.05;12.72;2682500
2026-03-17;12.26;12.87;12.24;12.34;1506900
2026-03-16;12.01;12.4;11.93;12.18;2127500
2026-03-13;12.29;12.29;11.81;11.88;1627900
2026-03-12;12.88;13.09;12.28;12.29;1283700
2026-03-11;13.09;13.25;12.71;13.03;1865900
2026-03-10;13.6;13.6;12.96;13.0;1660800
2026-03-09;13.63;13.67;13.06;13.53;1473000
2026-03-06;13.91;14.11;13.75;14.0;1803000
2026-03-05;13.99;14.48;13.89;14.16;2268100
2026-03-04;13.63;14.26;13.19;13.83;2203600
2026-03-03;13.17;13.97;12.89;13.77;2525500
2026-03-02;12.92;13.65;12.88;13.56;2506400
2026-02-27;13.43;13.74;13.05;13.62;3353200
2026-02-26;12.44;13.68;12.22;13.48;7480800
2026-02-25;11.77;12.04;11.52;11.97;3769000
2026-02-24;11.33;11.84;11.33;11.7;2287900
2026-02-23;12.01;12.23;11.25;11.32;2630200
2026-02-20;12.15;12.65;11.91;12.23;1331700
2026-02-19;11.87;12.26;11.72;12.21;1508600
2026-02-18;11.95;12.09;11.5;12.0;1822300
2026-02-17;11.53;11.79;11.05;11.57;1430100
2026-02-13;11.32;11.76;11.21;11.7;1365200
2026-02-12;11.73;11.81;10.82;11.2;2823800
2026-02-11;12.13;12.18;11.59;11.8;2141300
2026-02-10;11.88;12.59;11.83;11.97;2741800
2026-02-09;11.38;11.75;11.18;11.67;1752900
2026-02-06;11.38;11.56;11.06;11.29;2257000
2026-02-05;11.68;12.22;11.16;11.28;2184200
2026-02-04;11.56;12.12;11.04;11.91;4325200
2026-02-03;14.03;14.03;11.28;11.5;9158100
2026-02-02;14.32;14.72;14.05;14.06;1488200
2026-01-30;14.83;15.01;14.3;14.47;1590300
2026-01-29;14.75;15.02;14.48;15.02;1154500
2026-01-28;15.07;15.28;14.79;14.86;1545400
2026-01-27;15.37;15.4;14.71;15.05;2176100
2026-01-26;15.43;15.43;15.0;15.37;1396600
2026-01-23;15.04;15.95;15.01;15.41;2583400
2026-01-22;14.68;15.15;14.38;15.08;1853300
2026-01-21;14.86;14.94;13.95;14.29;2501400
2026-01-20;13.89;14.81;13.8;14.8;2683600
2026-01-16;14.93;15.1;14.32;14.38;3122700
2026-01-15;15.43;15.95;14.86;14.9;3548100
2026-01-14;16.03;16.24;15.27;15.3;2562300
2026-01-13;16.32;16.73;16.03;16.09;1297900
2026-01-12;16.16;16.78;15.76;16.32;1838500
2026-01-09;16.81;16.81;16.0;16.17;3174500
2026-01-08;16.8;16.82;16.25;16.6;1343700
2026-01-07;16.88;17.04;16.36;16.8;1708900
2026-01-06;16.62;17.41;16.44;16.88;3916000
2026-01-05;16.19;17.15;16.19;16.77;2109700
2026-01-02;16.28;16.38;15.77;16.06;1775900
2025-12-31;16.46;16.66;16.17;16.23;1714200
2025-12-30;16.4;16.62;16.32;16.46;1266700
2025-12-29;16.37;16.53;16.29;16.45;872500
2025-12-26;16.5;16.92;16.33;16.45;1185200
2025-12-24;16.46;16.7;16.29;16.52;869500
2025-12-23;16.32;16.59;16.08;16.5;1395500
2025-12-22;16.5;16.86;16.34;16.44;1788800
2025-12-19;16.71;16.83;16.3;16.4;2446300
2025-12-18;16.96;17.15;16.51;16.58;1847000
2025-12-17;16.72;17.21;16.54;16.7;3221200
2025-12-16;15.79;16.68;15.78;16.54;3526800
2025-12-15;16.27;16.46;15.77;15.84;2637400
2025-12-12;15.99;16.73;15.97;16.3;4864700
2025-12-11;15.69;16.09;15.4;16.01;3413400
2025-12-10;15.4;15.94;14.9;15.78;3141800
2025-12-09;14.78;15.68;14.78;15.51;1896900
2025-12-08;14.87;15.11;14.68;14.91;1872400
2025-12-05;14.34;15.01;14.24;14.65;2100200
2025-12-04;14.43;14.49;14.1;14.38;1426000
2025-12-03;14.44;14.56;14.18;14.38;1549800
2025-12-02;14.78;14.78;14.32;14.4;1420500
2025-12-01;14.31;15.25;14.24;14.78;2723700
2025-11-28;14.85;14.93;14.66;14.69;1657400
2025-11-26;14.89;15.1;14.53;14.68;2650000
2025-11-25;14.74;15.14;14.53;14.84;3003400
2025-11-24;13.92;14.81;13.89;14.74;4571200
2025-11-21;13.32;14.37;13.23;14.08;4524800
2025-11-20;13.87;13.98;13.08;13.13;2999300
2025-11-19;13.4;13.62;13.27;13.53;1739000
2025-11-18;13.22;13.58;13.07;13.4;1420800
2025-11-17;14.04;14.11;13.32;13.36;2027900
2025-11-14;13.87;14.43;13.82;14.15;2046100
2025-11-13;14.01;14.43;13.75;14.23;2337400
2025-11-12;14.78;15.01;14.14;14.21;1976300
2025-11-11;14.56;14.97;14.46;14.78;1613000
2025-11-10;15.43;15.55;14.44;14.56;3197100
2025-11-07;14.52;15.22;14.45;15.1;4562700
2025-11-06;15.0;15.53;13.43;14.87;12374200
2025-11-05;16.76;17.97;16.42;17.1;6155200
2025-11-04;17.31;17.55;16.65;16.73;3312600
2025-11-03;18.15;18.41;17.63;17.74;2715900
2025-10-31;17.46;18.23;17.44;17.88;3233500
2025-10-30;18.6;18.85;17.28;17.31;3745700
2025-10-29;19.82;20.02;18.54;18.64;3309000
2025-10-28;20.07;20.27;19.6;19.89;1604900
2025-10-27;20.09;20.36;19.93;20.09;1575300
2025-10-24;19.64;20.28;19.5;19.94;2280300
2025-10-23;18.77;19.4;18.77;19.14;1442800
2025-10-22;18.97;19.32;18.45;18.94;1677000
2025-10-21;18.6;19.07;18.59;18.95;1742400
2025-10-20;18.18;18.95;18.18;18.67;1992700
2025-10-17;18.21;18.31;17.65;17.88;2295500
2025-10-16;18.69;19.4;18.09;18.31;2588900
2025-10-15;18.12;18.74;18.11;18.73;2863500
2025-10-14;17.11;17.97;16.74;17.96;2325700
2025-10-13;18.12;18.15;17.2;17.5;3087800
2025-10-10;18.55;18.69;17.45;17.5;2482300
2025-10-09;18.96;19.27;18.13;18.55;2994900
2025-10-08;19.06;19.35;18.67;19.09;2109700
2025-10-07;19.4;19.71;18.92;19.1;2144800
2025-10-06;20.16;20.28;18.35;19.27;4807000
2025-10-03;20.18;20.79;20.05;20.3;2564200
2025-10-02;20.47;20.63;19.83;20.12;2969700
2025-10-01;21.57;22.14;20.36;20.39;4652500
2025-09-30;22.35;22.67;21.42;21.78;2452100
2025-09-29;22.25;22.63;22.1;22.28;2043600
2025-09-26;22.51;22.78;22.12;22.14;1847100
2025-09-25;22.22;22.96;22.1;22.42;2668900
2025-09-24;23.51;23.6;22.78;22.81;1854200
2025-09-23;24.18;24.3;23.01;23.45;3966700
2025-09-22;25.96;26.19;23.84;24.16;4916500
2025-09-19;23.85;26.12;23.6;25.92;8334300
2025-09-18;23.92;24.08;23.41;23.88;2003500
2025-09-17;23.07;24.2;22.56;23.85;2710300
2025-09-16;23.6;23.6;22.23;23.07;3981500
2025-09-15;23.94;24.24;23.33;23.73;1953300
2025-09-12;24.0;24.5;23.65;23.87;1808000
2025-09-11;24.05;24.28;23.35;24.14;2024000
2025-09-10;24.34;24.34;22.62;23.89;4507400
2025-09-09;25.57;25.68;24.37;24.39;2848900
2025-09-08;24.92;25.88;24.89;25.35;3544700
2025-09-05;25.01;25.16;24.05;24.85;2438300
2025-09-04;24.55;25.1;24.2;24.85;3461700
2025-09-03;25.37;25.92;24.51;24.54;2783000
2025-09-02;24.81;25.58;23.68;25.57;3221400
2025-08-29;26.63;26.63;25.65;25.95;2850700
2025-08-28;25.6;26.65;25.6;26.52;3582500
2025-08-27;25.04;25.84;25.04;25.57;3320500
2025-08-26;25.33;26.02;25.06;25.14;3428500
2025-08-25;24.0;26.09;23.97;25.33;4890600
2025-08-22;22.47;24.32;22.33;24.16;2630200
2025-08-21;22.0;22.8;21.91;22.52;2208000
2025-08-20;21.73;21.9;21.03;21.84;2427700
2025-08-19;24.1;24.1;21.82;21.84;3220800
2025-08-18;23.5;24.54;23.3;24.32;3345600
2025-08-15;23.62;24.15;23.22;23.7;2904700
2025-08-14;22.42;24.03;22.23;23.59;3809300
2025-08-13;22.55;22.85;21.99;22.84;2242900
2025-08-12;22.04;22.57;21.78;22.26;2221000
2025-08-11;22.28;22.72;21.96;22.09;2499700
2025-08-08;21.31;23.03;20.95;22.47;4302900
2025-08-07;22.53;23.18;20.72;21.75;5401100
2025-08-06;22.63;22.65;22.16;22.48;3440800
2025-08-05;22.86;22.86;22.11;22.37;2572800
2025-08-04;22.64;22.76;22.36;22.68;2158500
2025-08-01;21.97;22.52;21.4;22.19;2310300
2025-07-31;23.0;23.48;22.7;23.01;2308500
2025-07-30;22.58;23.06;22.46;22.81;2298200
2025-07-29;23.7;23.7;22.41;22.44;1804300
2025-07-28;23.68;24.03;23.48;23.58;1814400
2025-07-25;23.27;23.71;23.19;23.52;1900700
2025-07-24;22.83;23.63;22.74;22.95;2763200
2025-07-23;23.15;23.19;22.14;22.55;4565400
2025-07-22;24.59;24.6;22.91;23.1;4369200
2025-07-21;24.56;24.88;24.23;24.42;1727600
2025-07-18;24.45;24.82;24.17;24.48;1848300
2025-07-17;24.27;24.73;24.14;24.27;2683600
2025-07-16;23.77;24.17;23.22;24.05;2436700
2025-07-15;23.26;24.06;23.01;23.55;2432500
2025-07-14;22.49;23.11;22.49;23.11;4011100
2025-07-11;23.04;23.41;22.43;22.57;2783900
2025-07-10;23.62;23.76;23.18;23.45;2743700
2025-07-09;23.96;24.37;23.53;23.69;5380100
2025-07-08;24.46;24.46;23.25;23.53;7309700
2025-07-07;24.4;24.78;24.06;24.29;3866300
2025-07-03;24.9;25.27;24.46;24.53;3274900
2025-07-02;24.03;24.8;23.39;24.67;3014000
2025-07-01;23.85;24.25;23.26;24.12;3689200
2025-06-30;22.0;24.46;21.91;24.12;6808800
2025-06-27;20.99;21.16;20.66;21.1;4738400
2025-06-26;20.75;20.99;20.13;20.97;1940100
2025-06-25;20.41;20.85;20.26;20.71;2975100
2025-06-24;19.23;20.11;19.08;20.05;3719300
2025-06-23;18.42;18.92;17.9;18.89;1621000
2025-06-20;19.2;19.35;18.7;18.72;2166900
2025-06-18;18.2;19.07;18.06;18.82;2461200
2025-06-17;17.95;18.44;17.7;18.23;2199500
2025-06-16;17.5;18.63;17.29;18.58;2618900
2025-06-13;17.23;17.51;16.99;17.1;1986800
2025-06-12;17.53;17.88;17.48;17.62;1901500
2025-06-11;17.54;17.86;17.38;17.68;1808200
2025-06-10;17.56;17.69;17.23;17.44;1045300
2025-06-09;17.68;17.82;17.41;17.53;1293100
2025-06-06;17.7;17.75;17.3;17.6;1896700
2025-06-05;16.91;17.7;16.81;17.46;4314100
2025-06-04;16.6;16.81;16.58;16.68;1150100
2025-06-03;16.79;16.84;16.39;16.6;1863900
2025-06-02;16.3;16.74;16.05;16.68;2156300
2025-05-30;16.2;16.45;15.95;16.36;2379500
2025-05-29;16.56;16.6;15.96;16.23;1855400
2025-05-28;16.11;16.49;15.99;16.48;1898000
2025-05-27;15.68;16.26;15.58;16.1;1650300
2025-05-23;15.03;15.61;15.02;15.36;1056700
2025-05-22;15.54;15.84;15.37;15.6;1345300
2025-05-21;15.85;16.13;15.31;15.51;1622600
2025-05-20;16.99;17.1;15.91;16.04;3252300
2025-05-19;14.99;15.42;14.95;15.32;1192900
2025-05-16;15.86;15.88;15.46;15.54;1708900
2025-05-15;16.31;16.54;15.75;15.88;1690700
2025-05-14;16.06;16.86;16.06;16.59;2126700
2025-05-13;16.13;16.43;15.88;16.31;1992800
2025-05-12;16.27;16.59;15.85;16.13;3077600
2025-05-09;15.3;16.25;14.89;15.1;5343500
2025-05-08;14.0;15.13;13.77;14.89;6612300
2025-05-07;12.33;12.6;12.28;12.43;2817300
2025-05-06;12.04;12.52;11.89;12.33;1902900
2025-05-05;11.8;12.27;11.8;12.16;1786100
2025-05-02;11.97;12.53;11.96;12.11;2094500
2025-05-01;12.07;12.29;11.92;11.94;1740500
2025-04-30;11.79;11.96;11.47;11.89;2263000
2025-04-29;12.51;12.6;12.22;12.3;1265700
2025-04-28;12.47;12.55;12.06;12.35;1349000
2025-04-25;12.28;12.56;12.16;12.38;1559900
2025-04-24;11.93;12.27;11.66;12.22;1753900
2025-04-23;11.95;12.29;11.6;11.9;3360500
2025-04-22;11.15;11.74;11.1;11.39;2870200
2025-04-21;10.98;11.07;10.63;11.01;3923300
2025-04-17;9.93;11.55;9.65;11.13;9054400
2025-04-16;9.88;10.0;9.64;9.9;1904600
2025-04-15;9.73;10.15;9.73;10.14;2173600
2025-04-14;10.03;10.26;9.54;9.68;1801700
2025-04-11;9.66;9.83;9.29;9.68;2030600
2025-04-10;11.0;11.0;9.59;9.74;2307800
2025-04-09;8.89;11.4;8.8;10.84;4779000
2025-04-08;9.7;10.04;8.83;9.0;3036200
2025-04-07;8.6;9.64;8.22;9.15;3779300
2025-04-04;9.03;9.43;8.54;9.08;3670400
2025-04-03;10.65;10.82;9.65;9.7;4069700
2025-04-02;11.15;11.73;11.14;11.51;2001700
2025-04-01;11.23;11.48;11.15;11.4;2243700
2025-03-31;11.2;11.48;10.86;11.41;2891300
2025-03-28;12.25;12.25;11.45;11.6;3311600
2025-03-27;12.71;12.99;12.27;12.3;2037400
2025-03-26;13.49;13.59;12.6;12.74;2316300
2025-03-25;13.39;13.71;13.23;13.53;1929400
2025-03-24;13.58;13.68;13.18;13.28;1781800
2025-03-21;13.18;13.62;12.93;13.3;3168700
2025-03-20;13.18;13.54;13.11;13.41;1515300
2025-03-19;12.76;13.57;12.76;13.37;2141200
2025-03-18;13.06;13.07;12.57;12.7;2019700
2025-03-17;12.56;13.5;12.45;13.17;3212600
2025-03-14;12.44;12.89;12.18;12.6;3418200
2025-03-13;12.89;13.12;12.05;12.08;2991000
2025-03-12;12.48;13.07;12.48;13.04;3621600
2025-03-11;12.25;12.97;12.25;12.42;2420700
2025-03-10;13.07;13.16;12.21;12.3;4094700
2025-03-07;13.52;13.86;12.75;13.1;3312800
2025-03-06;14.1;14.27;13.5;13.63;2740300
2025-03-05;14.6;14.71;14.31;14.49;2004800
2025-03-04;14.2;15.02;13.82;14.65;4252400
2025-03-03;15.75;16.17;14.54;14.69;3696400
