time;open;high;low;close;Volume
2026-04-24;175.75;178.13;169.01;170.98;11259147
2026-04-23;177.7;180.92;171.54;176.0;16178122
2026-04-22;172.0;183.25;170.5;177.7;24896646
2026-04-21;172.81;175.2;162.92;168.09;18758255
2026-04-20;158.45;171.74;157.2;170.64;17699615
2026-04-17;148.23;173.15;146.66;166.25;42926140
2026-04-16;145.0;149.52;139.33;148.29;14845090
2026-04-15;137.19;144.8;135.49;143.37;11731902
2026-04-14;135.2;143.7;134.21;138.49;16752351
2026-04-13;125.46;136.4;124.34;134.86;10653233
2026-04-10;128.9;132.28;127.4;128.76;10943277
2026-04-09;128.0;132.21;125.8;128.67;12096391
2026-04-08;131.09;134.5;126.13;127.31;14591057
2026-04-07;125.2;132.0;121.14;130.7;12501120
2026-04-06;122.4;128.46;122.12;126.49;15754536
2026-04-02;119.1;122.65;116.4;120.23;14924226
2026-04-01;128.4;128.61;121.44;122.7;13150399
2026-03-31;122.4;126.0;117.75;125.87;17991050
2026-03-30;128.0;130.34;120.8;121.56;13430473
2026-03-27;134.51;135.0;123.98;125.75;18419631
2026-03-26;136.94;139.08;132.61;133.13;13265445
2026-03-25;139.0;143.85;136.8;139.47;16271869
2026-03-24;138.63;140.05;134.28;138.4;16555985
2026-03-23;131.17;140.54;130.1;138.54;18396942
2026-03-20;139.29;141.4;134.13;136.65;22882204
2026-03-19;139.47;140.9;132.99;138.37;16536748
2026-03-18;149.52;151.49;139.04;140.57;18741023
2026-03-17;148.14;152.27;145.23;149.75;16131808
2026-03-16;144.41;148.87;142.88;148.24;19807329
2026-03-13;139.2;147.26;138.1;138.4;21061301
2026-03-12;136.78;138.8;133.38;137.59;13429732
2026-03-11;138.52;142.67;135.14;136.78;13882029
2026-03-10;142.0;143.9;133.94;138.18;16336764
2026-03-09;132.3;140.19;130.51;137.5;18213295
2026-03-06;140.7;141.4;131.77;132.83;16868196
2026-03-05;146.0;149.41;137.21;139.89;18265067
2026-03-04;138.9;149.54;131.49;145.77;32654445
2026-03-03;132.76;136.46;127.8;132.51;15641294
2026-03-02;127.71;140.14;127.62;137.0;21105630
2026-02-27;135.0;135.53;127.86;129.72;12037928
2026-02-26;134.12;136.13;128.64;132.4;15464403
2026-02-25;127.6;137.86;125.7;135.02;20813171
2026-02-24;122.4;126.74;118.4;124.4;13426149
2026-02-23;127.5;130.38;122.83;124.19;16407399
2026-02-20;130.75;136.14;127.61;131.0;15440182
2026-02-19;127.0;130.04;121.87;129.13;13416208
2026-02-18;129.67;132.25;123.61;125.28;15103194
2026-02-17;131.55;132.24;125.91;128.0;14298294
2026-02-13;124.2;135.25;122.61;134.2;21321071
2026-02-12;126.76;128.99;120.64;122.75;17920448
2026-02-11;129.3;134.94;123.91;125.99;22370287
2026-02-10;134.0;139.16;130.83;133.7;19352060
2026-02-09;132.87;139.58;125.13;136.3;30396866
2026-02-06;110.7;137.68;108.85;135.15;51488432
2026-02-05;124.62;125.8;100.01;105.95;52088963
2026-02-04;132.79;133.46;121.18;127.15;22311179
2026-02-03;142.14;142.46;126.74;131.3;22157980
2026-02-02;140.0;147.88;136.52;141.82;23210826
2026-01-30;140.0;151.15;137.57;149.5;20245693
2026-01-29;157.96;158.31;139.36;143.0;29493996
2026-01-28;162.15;165.72;157.0;158.1;11854821
2026-01-27;161.72;162.71;156.98;161.63;11920887
2026-01-26;161.19;163.92;158.62;161.04;12606186
2026-01-23;161.0;168.97;158.72;163.11;12605580
2026-01-22;164.2;164.64;159.44;160.56;9462384
2026-01-21;160.3;165.72;156.01;164.38;15366303
2026-01-20;165.08;166.85;158.11;159.35;21567112
2026-01-16;173.16;174.37;167.59;174.27;15323965
2026-01-15;177.9;182.15;169.7;172.44;18452796
2026-01-14;176.85;190.2;175.36;176.4;34975779
2026-01-13;162.53;178.0;159.93;177.0;24083513
2026-01-12;157.49;163.82;154.69;161.71;13858284
2026-01-09;164.45;167.52;155.46;157.76;23803183
2026-01-08;160.2;170.62;156.17;167.4;22277421
2026-01-07;167.46;170.16;158.45;161.98;24534866
2026-01-06;165.33;172.5;154.05;168.4;19397065
2026-01-05;162.9;167.7;160.96;164.9;19599020
2026-01-02;155.13;160.79;149.75;158.5;17401327
2025-12-31;155.62;157.49;151.42;151.92;13591379
2025-12-30;156.29;159.38;154.13;155.4;11068270
2025-12-29;160.24;163.0;154.83;154.99;12181075
2025-12-26;162.5;162.5;154.12;158.04;10692804
2025-12-24;156.95;159.28;155.1;158.96;5650737
2025-12-23;163.3;164.18;156.5;157.5;13866500
2025-12-22;167.91;170.79;163.69;165.37;12365809
2025-12-19;164.0;167.75;160.91;165.04;18096992
2025-12-18;161.91;169.51;157.43;159.22;15301493
2025-12-17;165.78;171.17;159.5;160.54;15994314
2025-12-16;161.58;171.49;160.59;166.78;18142539
2025-12-15;176.5;177.57;160.54;161.04;20744444
2025-12-12;183.42;185.25;175.44;176.66;12186592
2025-12-11;179.6;186.4;171.41;182.0;16721481
2025-12-10;189.1;191.4;181.0;181.89;17700804
2025-12-09;182.61;198.4;179.92;188.31;21110736
2025-12-08;182.77;185.59;178.0;182.6;13029096
2025-12-05;186.94;187.0;176.3;178.39;16090212
2025-12-04;188.16;191.0;182.35;186.17;13442485
2025-12-03;184.8;190.44;177.82;188.25;19494688
2025-12-02;172.5;188.37;170.5;181.9;27143231
2025-12-01;171.18;175.31;155.61;173.12;35652108
2025-11-28;180.6;187.29;175.05;178.4;13073563
2025-11-26;173.31;180.63;167.0;176.96;17143326
2025-11-25;175.85;178.48;166.78;172.62;16148304
2025-11-24;177.37;180.35;166.01;176.9;19286828
2025-11-21;172.71;181.19;166.0;172.82;24530549
2025-11-20;195.11;195.12;171.47;177.35;23448470
2025-11-19;203.61;206.14;181.73;194.0;23295149
2025-11-18;194.5;213.83;187.4;203.4;17833532
2025-11-17;202.15;208.4;189.53;195.8;15496340
2025-11-14;205.2;208.84;193.51;200.76;18750515
