time;open;high;low;close;Volume
2026-04-24;158.5;165.25;145.81;147.4;13462929
2026-04-23;155.01;165.81;153.27;159.0;10212714
2026-04-22;161.5;167.43;155.35;156.47;9065056
2026-04-21;160.9;163.25;155.4;159.0;7465896
2026-04-20;154.21;161.75;152.0;159.0;9781717
2026-04-17;162.41;167.2;154.73;156.2;11207939
2026-04-16;169.41;170.03;160.09;164.03;9766062
2026-04-15;159.1;166.81;154.2;165.51;10737798
2026-04-14;156.0;166.1;155.83;161.06;16430046
2026-04-13;142.45;159.5;140.2;156.85;17018759
2026-04-10;135.96;149.82;131.72;145.3;19199515
2026-04-09;122.35;137.59;121.21;134.9;15434082
2026-04-08;123.13;128.22;119.35;123.74;13626994
2026-04-07;110.99;125.88;109.26;124.15;10287543
2026-04-06;109.12;113.84;107.45;112.05;8532475
2026-04-02;98.04;108.96;95.79;108.51;10548775
2026-04-01;106.0;107.87;101.35;102.0;10782231
2026-03-31;94.2;105.0;92.21;104.99;15941401
2026-03-30;101.92;102.96;89.65;90.44;12330556
2026-03-27;107.15;108.2;99.9;99.97;8871752
2026-03-26;114.5;114.62;105.41;106.49;10053553
2026-03-25;116.5;118.8;113.33;114.68;9512661
2026-03-24;114.99;117.8;112.01;116.53;8991780
2026-03-23;114.07;122.16;112.57;114.4;10024461
2026-03-20;121.0;123.73;112.63;118.68;13638923
2026-03-19;116.7;121.92;114.01;121.85;11416732
2026-03-18;117.79;122.78;112.6;117.6;21395230
2026-03-17;129.28;129.99;113.11;115.9;45528929
2026-03-16;114.39;133.0;114.39;130.12;26856453
2026-03-13;107.04;116.57;106.0;112.66;11977739
2026-03-12;110.11;112.0;106.52;108.44;10235427
2026-03-11;98.73;114.08;97.5;109.01;26161911
2026-03-10;95.55;98.4;93.81;98.31;5474341
2026-03-09;86.8;95.4;85.1;94.5;7861683
2026-03-06;95.98;96.5;88.8;89.19;6088678
2026-03-05;96.5;99.25;91.62;95.49;6951450
2026-03-04;86.86;98.48;84.85;98.15;9967767
2026-03-03;86.03;89.87;83.53;87.1;7941435
2026-03-02;86.58;91.39;85.69;90.01;8993463
2026-02-27;102.0;103.1;88.4;90.87;18642684
2026-02-26;105.0;108.32;101.88;102.18;6573062
2026-02-25;102.5;108.2;102.11;105.25;6779225
2026-02-24;100.42;103.75;97.74;102.53;5847328
2026-02-23;96.54;101.17;94.8;100.01;6977642
2026-02-20;107.2;108.48;97.01;97.21;13192590
2026-02-19;102.49;107.98;99.55;107.28;11243912
2026-02-18;98.23;104.4;96.85;101.65;10472433
2026-02-17;95.8;99.29;93.5;96.98;9285429
2026-02-13;88.13;100.32;87.32;97.17;15911970
2026-02-12;88.48;92.9;79.69;88.5;20991545
2026-02-11;91.8;94.75;87.14;88.01;11360806
2026-02-10;92.88;95.56;91.3;91.8;8028271
2026-02-09;87.9;93.68;80.5;92.8;10536511
2026-02-06;72.2;86.66;70.57;86.5;13756181
2026-02-05;83.25;83.25;68.12;70.0;13841531
2026-02-04;89.96;90.2;78.44;83.5;12646462
2026-02-03;90.34;91.39;84.75;89.78;7522146
2026-02-02;83.3;89.72;80.66;89.7;7513913
2026-01-30;92.84;94.18;84.12;85.72;14269132
2026-01-29;100.15;100.86;91.16;94.75;10595345
2026-01-28;99.98;101.85;96.44;99.2;9546181
2026-01-27;93.55;99.54;93.21;98.99;8799326
2026-01-26;94.3;100.88;91.34;92.6;11569617
2026-01-23;97.0;98.89;93.53;94.3;7744092
2026-01-22;101.27;103.98;96.37;96.99;8083232
2026-01-21;100.32;102.4;93.1;100.9;12228881
2026-01-20;103.0;104.79;98.34;98.92;13120785
2026-01-16;105.71;110.5;100.71;108.93;11467281
2026-01-15;101.51;108.13;101.1;104.99;8882002
2026-01-14;105.48;106.7;99.38;101.67;8206080
2026-01-13;107.3;108.45;103.92;105.9;7329574
2026-01-12;97.0;108.68;96.11;106.53;12669239
2026-01-09;97.69;104.97;97.1;98.95;9328725
2026-01-08;96.45;102.54;94.8;97.3;9595766
2026-01-07;99.7;102.35;95.56;96.31;7887037
2026-01-06;93.5;100.73;90.94;100.35;14650285
2026-01-05;91.45;95.44;90.89;93.29;7733230
2026-01-02;85.74;90.76;85.29;90.5;7019168
2025-12-31;84.8;86.47;82.9;83.46;4813276
2025-12-30;86.2;87.06;84.56;85.0;4582272
2025-12-29;86.0;88.61;84.2;85.66;6321878
2025-12-26;91.98;92.3;86.74;87.24;4947926
2025-12-24;90.46;91.86;88.65;91.36;2558740
2025-12-23;92.02;93.26;88.31;90.28;6815453
2025-12-22;91.9;95.9;90.73;93.3;8477126
2025-12-19;81.35;90.69;80.15;90.69;13307949
2025-12-18;76.5;80.5;75.75;80.01;8059800
2025-12-17;81.55;84.3;75.19;75.92;13849547
2025-12-16;79.75;81.9;76.88;80.73;10822486
2025-12-15;88.03;89.29;80.0;80.1;12852438
2025-12-12;93.93;95.65;86.2;87.29;11651555
2025-12-11;91.0;95.45;86.7;93.73;8917636
2025-12-10;96.6;97.09;90.88;91.13;7773202
2025-12-09;99.53;100.89;96.07;96.47;8070682
2025-12-08;97.5;100.75;95.3;100.1;6535561
2025-12-05;103.5;103.73;96.2;97.66;9829254
2025-12-04;98.76;103.84;97.47;102.9;8580163
2025-12-03;97.4;99.5;91.0;98.4;7990574
2025-12-02;99.94;102.95;95.83;97.16;8796680
2025-12-01;92.7;101.6;89.01;99.75;10096135
2025-11-28;95.67;98.15;93.44;95.0;4579938
2025-11-26;89.57;95.64;88.8;94.95;10367355
2025-11-25;91.1;92.38;84.72;88.9;12064812
2025-11-24;87.0;93.63;84.37;92.88;38255298
2025-11-21;84.2;88.74;78.21;85.2;29029367
2025-11-20;102.01;103.45;80.42;84.2;28265247
2025-11-19;90.71;104.49;88.72;103.5;17826037
2025-11-18;85.4;93.69;81.71;89.9;21168640
2025-11-17;86.6;89.65;83.59;85.3;18825118
2025-11-14;85.4;89.0;80.0;85.9;25456152
2025-11-13;94.86;95.13;84.5;87.4;29261886
2025-11-12;103.8;105.65;91.71;93.68;28432834
2025-11-11;111.0;118.53;99.62;102.75;35861337
