time;open;high;low;close;Volume
2026-04-17;27.735;28.61;26.99;27.15;48500
2026-04-16;27.38;28.7;27.38;27.8;27000
2026-04-15;28.895;29.022;26.0;27.5;32900
2026-04-14;28.875;29.95;28.55;28.84;35700
2026-04-13;27.5;29.64;27.314;28.54;22500
2026-04-10;26.775;27.56;26.157;27.1;10000
2026-04-09;26.75;27.1;25.5;26.85;48300
2026-04-08;27.5;28.0;25.5;26.94;22200
2026-04-07;25.8;27.99;25.8;27.37;25300
2026-04-06;26.4;26.47;25.36;26.145;15700
2026-04-02;25.445;26.57;25.445;25.85;26100
2026-04-01;26.42;27.49;25.0;25.71;37900
2026-03-31;25.8;26.525;23.22;25.69;21200
2026-03-30;24.32;27.49;23.1;24.61;58700
2026-03-27;23.26;25.095;23.26;23.92;28800
2026-03-26;24.77;24.77;23.2;23.2;27500
2026-03-25;23.96;24.98;22.179;23.76;17200
2026-03-24;22.97;23.6;22.11;23.19;29500
2026-03-23;22.79;23.97;22.63;22.87;20300
2026-03-20;20.64;23.8;20.64;23.54;26800
2026-03-19;21.15;21.55;21.15;21.515;10000
2026-03-18;21.15;23.0;20.501;20.94;36200
2026-03-17;22.99;22.99;20.98;21.5;25100
2026-03-16;21.032;22.0;21.032;21.82;23200
2026-03-13;21.51;22.25;20.1;20.51;40500
2026-03-12;22.5;23.0;20.964;22.54;48600
2026-03-11;21.42;22.55;20.91;21.91;78500
2026-03-10;22.99;24.24;20.58;20.93;44500
2026-03-09;22.17;22.64;21.63;22.21;37700
2026-03-06;21.79;23.53;21.21;22.89;54500
2026-03-05;23.97;23.97;21.8;21.8;29200
2026-03-04;23.48;24.74;23.13;24.22;31500
2026-03-03;22.91;23.95;22.3;23.11;48600
2026-03-02;24.91;26.0;22.8;22.91;69900
2026-02-27;27.67;30.49;25.6;25.76;167500
2026-02-26;25.305;28.62;24.731;27.55;33800
2026-02-25;24.56;26.5;23.84;25.96;68900
2026-02-24;24.62;25.29;24.18;24.47;53200
2026-02-23;25.5;25.9;24.6;24.62;53300
2026-02-20;25.5;25.879;24.05;24.7;28000
2026-02-19;26.44;26.47;25.17;25.47;26700
2026-02-18;22.81;27.31;22.81;26.19;40500
2026-02-17;24.0;24.89;22.41;23.5;57400
2026-02-13;24.41;26.93;24.2;24.2;130500
2026-02-12;27.17;27.49;24.85;25.23;106200
2026-02-11;24.02;28.0;23.436;27.16;75900
2026-02-10;22.6;25.8;22.6;24.9;72100
2026-02-09;25.0;25.5;21.089;23.26;140300
2026-02-06;24.0;26.0;23.05;25.65;31900
2026-02-05;23.04;26.77;23.04;24.06;48500
2026-02-04;27.33;29.85;22.1;23.03;55900
2026-02-03;24.48;33.0;24.39;27.22;162500
2026-02-02;22.64;34.0;20.48;24.66;218900
2026-01-30;23.97;24.558;20.0;21.91;81200
2026-01-29;20.01;44.44;19.65;25.75;358700
2026-01-28;20.89;21.0;19.28;19.29;10800
2026-01-27;24.46;25.5;18.5;21.51;61600
2026-01-26;29.52;31.52;22.3;22.67;85500
2026-01-23;29.01;30.44;29.01;30.12;11600
2026-01-22;32.24;33.96;28.61;28.61;18600
2026-01-21;31.85;33.59;30.905;33.59;55500
2026-01-20;32.86;34.519;30.08;30.81;21000
2026-01-16;34.59;35.381;32.2;32.53;33700
2026-01-15;40.55;40.6;33.3;34.59;45000
2026-01-14;41.15;43.0;38.1;39.23;72900
2026-01-13;35.89;42.79;32.93;41.11;53900
2026-01-12;34.99;35.69;34.7;35.69;12800
2026-01-09;32.85;35.22;31.6;34.99;26800
2026-01-08;35.4;35.4;30.15;32.48;44000
2026-01-07;32.42;35.05;32.2;34.25;54900
2026-01-06;34.82;34.82;32.07;32.09;15300
2026-01-05;29.88;35.45;29.88;34.2;11900
2026-01-02;28.7;31.5;27.32;29.48;22300
2025-12-31;29.46;30.705;28.5;30.07;19900
2025-12-30;31.5;31.835;29.5;29.99;42800
2025-12-29;33.49;34.0;31.72;32.39;27800
2025-12-26;38.0;38.0;32.6;33.5;72800
2025-12-24;32.165;37.02;32.165;35.84;47200
2025-12-23;34.07;34.99;31.175;34.61;43400
2025-12-22;31.29;35.55;31.29;33.51;34900
2025-12-19;30.75;32.35;29.0;32.35;7600
2025-12-18;32.63;36.12;28.38;30.25;59300
2025-12-17;28.57;34.5;28.067;31.5;47300
2025-12-16;28.66;29.3;27.02;28.01;23300
2025-12-15;27.5;28.4;26.06;28.4;25000
2025-12-12;28.09;29.4;27.529;28.9;15600
2025-12-11;34.27;34.27;26.89;29.21;29000
2025-12-10;34.7;36.05;30.25;31.875;33000
2025-12-09;41.59;41.59;31.36;33.75;35500
2025-12-08;36.53;44.0;36.53;38.62;24800
2025-12-05;38.94;44.73;36.0;37.0;48500
2025-12-04;37.4;42.99;36.488;40.83;84700
2025-12-03;27.01;39.95;26.94;34.52;64300
2025-12-02;26.97;28.97;25.377;27.7;9500
2025-12-01;21.13;28.109;21.13;26.75;27500
2025-11-28;22.0;24.2;21.61;23.43;22300
2025-11-26;21.11;22.935;20.533;22.59;5100
2025-11-25;22.31;22.891;20.86;21.75;20000
2025-11-24;22.86;24.15;20.0;24.15;5400
2025-11-21;25.63;26.215;23.74;23.74;11700
2025-11-20;29.38;29.38;26.6;26.6;8200
2025-11-19;27.44;29.0;26.8;27.57;16600
2025-11-18;28.192;32.94;25.0;26.51;36900
2025-11-17;27.62;28.27;24.659;27.24;17700
2025-11-14;23.61;27.69;23.24;26.02;21600
2025-11-13;22.45;24.54;21.0;23.31;14900
2025-11-12;22.52;23.895;20.995;22.42;23600
2025-11-11;18.06;25.2;17.415;23.13;28800
2025-11-10;16.45;17.997;16.4;17.39;6900
2025-11-07;15.34;18.49;14.0;17.1;39100
2025-11-06;21.2;21.48;12.93;16.36;70800
2025-11-05;14.4;22.0;13.466;22.0;52900
2025-11-04;11.88;15.5;10.5;13.97;191100
2025-11-03;16.82;16.82;12.29;12.29;73000
2025-10-31;20.25;21.17;15.885;16.85;40900
2025-10-30;21.97;22.17;20.2;20.89;13300
2025-10-29;22.83;22.96;21.328;21.65;23700
2025-10-28;23.527;24.46;22.42;23.34;18100
