time;open;high;low;close;Volume
2026-04-24;15.83;16.21;13.42;14.36;6453712
2026-04-23;16.45;16.97;15.56;15.99;4391090
2026-04-22;15.75;16.6;15.46;16.38;2987939
2026-04-21;15.44;15.92;15.21;15.36;3386771
2026-04-20;14.66;15.4;14.53;15.34;2151294
2026-04-17;14.28;15.14;14.06;14.84;2488780
2026-04-16;14.93;15.1;13.88;14.16;3075221
2026-04-15;14.74;15.28;14.46;14.92;2232246
2026-04-14;14.2;15.15;14.2;14.76;2489472
2026-04-13;13.33;14.47;13.22;14.4;2804431
2026-04-10;13.88;13.89;13.27;13.5;1335912
2026-04-09;13.54;13.98;13.44;13.7;1014642
2026-04-08;14.32;14.49;13.57;13.85;2359546
2026-04-07;13.31;14.0;12.85;13.99;1779197
2026-04-06;13.0;13.72;12.95;13.37;1510017
2026-04-02;12.99;13.27;12.47;13.06;2107138
2026-04-01;12.95;13.65;12.79;13.13;2284639
2026-03-31;11.87;12.99;11.72;12.85;3266818
2026-03-30;12.36;12.5;11.49;11.5;2787993
2026-03-27;13.16;13.39;12.12;12.35;2835498
2026-03-26;13.1;14.03;12.82;13.31;4809218
2026-03-25;13.16;13.67;12.86;13.25;2287890
2026-03-24;12.95;13.18;12.63;13.12;2767339
2026-03-23;12.58;13.59;12.51;13.01;2395079
2026-03-20;13.09;13.58;12.8;13.0;4009840
2026-03-19;13.11;13.46;12.66;13.2;2063034
2026-03-18;13.63;13.65;13.13;13.33;1988358
2026-03-17;13.37;13.66;13.22;13.49;1644142
2026-03-16;12.83;13.66;12.77;13.25;2907380
2026-03-13;12.81;13.33;12.55;12.75;2107317
2026-03-12;12.98;13.08;12.56;12.9;2545647
2026-03-11;13.68;13.69;12.8;12.85;2428205
2026-03-10;14.0;14.15;13.34;13.58;2007183
2026-03-09;13.0;14.15;12.88;13.85;3056622
2026-03-06;13.35;13.54;12.55;13.28;2475986
2026-03-05;13.7;14.27;12.98;13.23;3376382
2026-03-04;13.55;14.4;13.32;13.83;4388655
2026-03-03;14.71;15.1;13.6;13.61;7098154
2026-03-02;12.9;15.9;12.6;15.11;12044592
2026-02-27;14.13;14.29;13.57;13.77;2539896
2026-02-26;13.42;14.3;12.7;13.91;3927921
2026-02-25;13.58;13.93;13.32;13.4;1766749
2026-02-24;13.1;13.84;12.91;13.54;2209572
2026-02-23;12.6;13.2;12.4;13.15;1847718
2026-02-20;13.05;13.14;12.51;12.61;1963576
2026-02-19;12.7;13.11;12.0;13.08;1541464
2026-02-18;12.25;12.7;12.0;12.46;1917716
2026-02-17;11.67;12.47;11.62;12.25;1905211
2026-02-13;11.6;12.32;11.4;11.89;2082105
2026-02-12;12.01;12.21;11.21;11.62;2327494
2026-02-11;11.97;12.1;11.36;12.0;2969074
2026-02-10;12.44;12.65;11.75;12.08;2482379
2026-02-09;12.49;12.55;11.76;12.36;2654290
2026-02-06;11.17;12.34;10.84;12.3;3889939
2026-02-05;12.33;12.54;10.61;10.76;4859406
2026-02-04;13.08;13.2;11.96;12.31;4118435
2026-02-03;13.24;13.76;12.51;12.97;2766081
2026-02-02;12.51;13.44;12.13;13.04;2459178
2026-01-30;13.7;13.97;12.93;13.12;4430580
2026-01-29;13.86;14.67;13.67;13.85;4104534
2026-01-28;14.83;15.0;13.59;13.84;5022865
2026-01-27;14.16;17.5;13.8;14.81;12102483
2026-01-26;14.45;14.7;13.64;13.92;4057752
2026-01-23;15.91;16.14;14.5;14.55;5614181
2026-01-22;14.25;15.95;13.75;15.94;7867202
2026-01-21;12.94;14.49;12.81;14.22;7758800
2026-01-20;11.56;13.17;11.56;12.84;7986470
2026-01-16;12.08;12.75;11.7;12.5;4764984
2026-01-15;12.09;12.35;11.34;11.98;4404306
2026-01-14;11.92;12.34;11.66;12.1;4620951
2026-01-13;11.54;12.3;11.19;11.75;6618754
2026-01-12;10.56;11.56;10.14;11.5;5690085
2026-01-09;10.66;10.98;10.13;10.42;5760805
2026-01-08;10.78;10.83;10.32;10.62;5579560
2026-01-07;9.79;10.65;9.75;10.5;4275631
2026-01-06;9.48;10.17;9.31;9.8;3592638
2026-01-05;9.31;9.7;8.98;9.44;4712712
2026-01-02;8.99;9.36;8.99;9.29;2175026
2025-12-31;9.09;9.14;8.94;9.03;2518100
2025-12-30;9.22;9.25;8.99;9.06;1824780
2025-12-29;9.3;9.4;8.98;9.15;2931775
2025-12-26;9.55;9.58;9.16;9.43;1420985
2025-12-24;9.52;9.62;9.26;9.58;1172701
2025-12-23;9.65;9.91;9.34;9.4;2174263
2025-12-22;9.45;9.85;9.19;9.72;2306743
2025-12-19;9.03;9.54;8.9;9.37;5583916
