time;open;high;low;close;Volume
2026-04-24;8.27;8.38;8.07;8.22;1432883
2026-04-23;8.47;8.5;7.97;8.1;3097825
2026-04-22;8.65;8.67;8.4;8.49;2330732
2026-04-21;8.75;8.8;8.41;8.54;3571455
2026-04-20;8.75;8.85;8.59;8.66;2446380
2026-04-17;8.8;8.99;8.71;8.88;2048506
2026-04-16;8.77;8.8;8.46;8.57;1728393
2026-04-15;8.41;8.79;8.35;8.65;2533501
2026-04-14;8.17;8.4;8.13;8.37;2680170
2026-04-13;8.08;8.32;7.94;8.13;2393629
2026-04-10;8.6;8.63;8.02;8.16;2954520
2026-04-09;8.47;8.6;8.32;8.6;1934598
2026-04-08;8.33;8.73;8.17;8.35;3257260
2026-04-07;7.88;8.28;7.71;8.28;1957099
2026-04-06;7.81;8.14;7.77;8.0;2206309
2026-04-02;7.87;7.98;7.56;7.75;3510621
2026-04-01;8.23;8.34;7.99;8.06;2392082
2026-03-31;8.2;8.39;7.71;8.17;5244742
2026-03-30;8.47;8.65;7.94;8.07;3453762
2026-03-27;8.94;9.06;8.43;8.5;3417445
2026-03-26;9.36;9.37;8.76;8.9;2475324
2026-03-25;9.41;9.6;9.22;9.35;2293734
2026-03-24;9.68;9.73;9.25;9.33;2776148
2026-03-23;9.56;10.0;9.32;9.71;4029746
2026-03-20;9.7;10.0;9.42;9.73;4331168
2026-03-19;9.98;10.11;9.38;9.72;3329594
2026-03-18;10.67;10.82;10.0;10.1;3405223
2026-03-17;10.05;10.94;10.03;10.6;5233874
2026-03-16;10.36;10.47;9.95;10.13;2752401
2026-03-13;10.38;10.61;10.12;10.24;2361309
2026-03-12;10.72;10.85;10.27;10.35;3019558
2026-03-11;10.64;11.05;10.44;10.78;4410125
2026-03-10;10.6;10.82;10.35;10.66;3022853
2026-03-09;9.67;10.72;9.6;10.43;4911176
2026-03-06;10.09;10.09;9.53;10.02;3161263
2026-03-05;9.96;10.03;9.52;9.9;3818986
2026-03-04;9.44;10.11;9.13;9.95;4410396
2026-03-03;9.92;10.19;9.4;9.49;4256123
2026-03-02;9.87;10.34;9.58;10.01;3636704
2026-02-27;11.17;11.35;9.81;10.06;8476606
2026-02-26;9.6;11.97;8.09;11.12;20698541
2026-02-25;9.48;9.74;9.29;9.67;3683026
2026-02-24;9.33;9.77;9.25;9.46;2505434
2026-02-23;9.12;9.6;9.06;9.36;2417732
2026-02-20;9.16;9.53;9.04;9.17;2858859
2026-02-19;8.7;9.31;8.53;9.11;3398919
2026-02-18;8.67;8.85;8.56;8.65;1479790
2026-02-17;8.7;8.85;8.49;8.67;1942587
2026-02-13;8.42;8.91;8.32;8.62;2710224
2026-02-12;8.97;9.19;8.25;8.36;3513049
2026-02-11;8.78;9.28;8.54;8.98;4428523
2026-02-10;8.67;9.02;8.6;8.84;3137093
2026-02-09;8.27;8.73;8.02;8.68;3455909
2026-02-06;7.92;8.31;7.84;8.25;2718474
2026-02-05;8.27;8.32;7.8;7.8;3588245
2026-02-04;8.4;8.62;8.16;8.34;2935998
2026-02-03;8.75;8.85;8.09;8.38;3123346
2026-02-02;8.55;8.87;8.43;8.67;2784414
2026-01-30;9.35;9.39;8.65;8.84;4353612
2026-01-29;9.25;9.6;9.2;9.35;3869884
2026-01-28;9.91;9.99;9.16;9.23;4708075
2026-01-27;9.77;10.2;9.61;9.86;6093470
2026-01-26;9.33;10.02;9.09;9.63;5483416
2026-01-23;9.67;9.73;9.15;9.22;5033455
2026-01-22;9.84;10.13;9.49;9.74;8374768
2026-01-21;8.37;9.98;8.15;9.95;15245613
2026-01-20;7.87;9.16;7.65;8.19;10687118
2026-01-16;7.83;8.33;7.73;8.01;4812240
2026-01-15;8.1;8.18;7.75;7.85;5195191
2026-01-14;8.51;8.57;7.89;8.01;6771881
2026-01-13;7.74;8.81;7.7;8.62;10081722
2026-01-12;7.26;7.81;7.15;7.79;3326138
2026-01-09;7.36;7.55;7.25;7.39;2502886
2026-01-08;7.62;7.64;7.31;7.33;2444633
2026-01-07;7.44;7.76;7.41;7.6;3300316
2026-01-06;7.21;7.67;7.15;7.49;3788825
2026-01-05;7.17;7.36;6.92;7.21;2685599
2026-01-02;6.77;7.2;6.73;7.15;3486261
2025-12-31;6.72;6.74;6.59;6.68;2417295
2025-12-30;6.81;6.85;6.68;6.71;2378045
2025-12-29;6.85;6.87;6.71;6.78;2633817
2025-12-26;6.9;6.93;6.77;6.81;1729319
2025-12-24;6.8;7.0;6.7;6.95;1619131
2025-12-23;6.85;6.9;6.73;6.79;2323180
2025-12-22;6.69;6.98;6.65;6.9;2644787
2025-12-19;6.69;6.87;6.64;6.69;6122433
2025-12-18;6.54;6.72;6.5;6.68;2788054
2025-12-17;6.52;6.76;6.5;6.54;3164321
2025-12-16;6.6;6.6;6.36;6.55;2578417
2025-12-15;6.59;6.61;6.49;6.55;2597909
2025-12-12;6.71;6.73;6.43;6.58;2643919
2025-12-11;6.64;6.84;6.64;6.72;2335980
2025-12-10;6.69;6.79;6.57;6.74;2464692
2025-12-09;6.87;6.87;6.6;6.67;2600089
2025-12-08;6.91;7.04;6.65;6.76;2743982
2025-12-05;6.84;6.93;6.77;6.91;3459270
2025-12-04;6.81;6.9;6.73;6.84;1739044
2025-12-03;6.61;6.85;6.56;6.74;3094618
2025-12-02;6.7;6.73;6.56;6.64;2179759
2025-12-01;6.93;7.0;6.68;6.7;2384656
2025-11-28;7.06;7.08;6.9;7.04;1317792
2025-11-26;6.76;6.98;6.71;6.94;2407943
2025-11-25;6.56;6.78;6.52;6.68;2208474
2025-11-24;6.52;6.66;6.41;6.62;3101283
2025-11-21;6.23;6.54;6.18;6.5;3460185
2025-11-20;6.45;6.6;6.2;6.38;3386251
2025-11-19;6.59;6.8;6.27;6.42;5956712
2025-11-18;6.74;6.77;6.51;6.57;3597073
2025-11-17;7.04;7.1;6.7;6.79;4962944
2025-11-14;7.16;7.18;6.88;7.0;3080669
2025-11-13;7.23;7.35;7.02;7.12;5088886
2025-11-12;7.48;7.59;7.13;7.29;4370105
2025-11-11;7.2;7.53;7.09;7.45;3259463
2025-11-10;7.63;7.7;7.08;7.13;5783673
2025-11-07;7.59;7.68;7.28;7.45;4379707
2025-11-06;7.7;8.14;7.38;7.6;4781505
2025-11-05;7.55;7.9;7.46;7.83;4427958
2025-11-04;7.84;7.89;7.45;7.45;4288100
2025-11-03;8.44;8.66;7.88;7.9;3816076
2025-10-31;8.43;8.54;8.27;8.4;2993097
2025-10-30;8.38;8.66;8.25;8.41;2576538
2025-10-29;8.53;8.58;8.28;8.36;2299327
2025-10-28;8.75;8.75;8.4;8.58;1827601
2025-10-27;8.56;8.76;8.52;8.7;2315687
2025-10-24;8.4;8.66;8.3;8.52;2401812
2025-10-23;8.47;8.59;8.24;8.32;2631677
2025-10-22;8.67;8.8;8.19;8.46;3431972
2025-10-21;8.71;8.82;8.56;8.58;2546487
2025-10-20;8.22;8.83;8.11;8.82;5315315
2025-10-17;8.4;8.51;8.02;8.14;5386862
2025-10-16;9.0;9.1;8.45;8.5;4575875
2025-10-15;8.95;9.34;8.85;8.95;4284127
2025-10-14;8.7;9.04;8.41;8.95;4839982
2025-10-13;8.32;8.75;8.32;8.65;3791577
2025-10-10;8.81;8.81;8.23;8.27;3990344
2025-10-09;9.04;9.04;8.49;8.61;4163829
2025-10-08;9.23;9.6;8.8;8.94;4395036
2025-10-07;9.0;9.51;8.95;9.2;3659851
2025-10-06;9.63;9.74;9.01;9.09;3433382
2025-10-03;9.46;9.75;9.24;9.43;4370679
2025-10-02;9.51;9.75;9.3;9.53;3672971
2025-10-01;8.5;9.63;8.34;9.45;7962786
2025-09-30;8.45;8.99;8.28;8.61;2761747
2025-09-29;8.68;8.73;8.47;8.55;2073830
2025-09-26;8.4;8.64;8.16;8.53;2850324
2025-09-25;8.53;8.64;8.18;8.38;3907283
2025-09-24;8.69;8.95;8.6;8.62;2235443
2025-09-23;8.94;9.04;8.65;8.74;3405692
2025-09-22;8.73;9.05;8.61;8.88;3943661
2025-09-19;8.69;8.86;8.52;8.75;4644000
2025-09-18;8.53;8.64;8.35;8.56;2780894
2025-09-17;8.46;8.78;8.32;8.4;3862875
2025-09-16;8.03;8.67;8.0;8.56;5499282
2025-09-15;8.11;8.18;7.87;8.04;3971978
2025-09-12;8.23;8.33;7.83;7.96;5000196
2025-09-11;7.98;8.31;7.9;8.25;3755674
2025-09-10;8.03;8.19;7.89;7.98;2650924
2025-09-09;7.73;8.09;7.66;8.03;4101104
2025-09-08;7.87;7.95;7.63;7.75;2968060
2025-09-05;7.85;7.96;7.66;7.87;4793084
2025-09-04;7.35;7.84;7.23;7.77;6273797
2025-09-03;7.59;7.71;7.38;7.44;3488952
2025-09-02;7.47;7.66;7.34;7.57;4491180
2025-08-29;7.57;7.79;7.43;7.47;5388548
2025-08-28;7.74;8.09;7.42;7.57;5664732
2025-08-27;7.6;7.77;7.36;7.63;10313806
2025-08-26;7.54;7.56;7.39;7.51;5515770
2025-08-25;8.05;8.09;7.43;7.53;6930348
2025-08-22;7.7;8.08;7.49;7.92;7585200
2025-08-21;8.75;8.8;7.57;7.65;18095611
2025-08-20;9.41;9.44;8.55;8.76;5949863
2025-08-19;9.9;9.9;9.39;9.47;3924225
2025-08-18;9.85;10.65;9.6;9.86;8440106
2025-08-15;9.5;9.89;9.27;9.63;6385975
2025-08-14;8.9;9.65;8.59;9.44;7768215
2025-08-13;8.5;9.1;8.45;8.81;6306064
2025-08-12;7.99;8.51;7.82;8.48;5416762
2025-08-11;8.46;8.68;7.76;8.0;6187101
2025-08-08;8.61;9.13;8.28;8.37;8828826
2025-08-07;7.59;8.88;7.58;8.75;15504683
2025-08-06;6.85;8.23;6.23;7.58;21258735
2025-08-05;6.75;6.98;6.67;6.85;6360745
2025-08-04;6.62;6.81;6.54;6.75;3571287
2025-08-01;6.66;6.67;6.0;6.6;4800738
2025-07-31;7.01;7.01;6.63;6.66;3968274
2025-07-30;6.95;7.12;6.53;6.9;3485021
2025-07-29;7.37;7.39;6.98;7.05;4380422
2025-07-28;7.42;7.58;7.25;7.3;3500463
2025-07-25;7.77;7.77;7.36;7.48;4272471
2025-07-24;7.76;8.46;7.55;7.67;10080129
2025-07-23;7.2;7.98;7.18;7.75;11265573
2025-07-22;7.16;7.24;6.92;7.23;5054518
2025-07-21;7.02;7.18;6.96;7.15;3206508
2025-07-18;6.98;7.08;6.9;6.96;2278753
2025-07-17;6.94;7.06;6.84;7.0;3780053
2025-07-16;6.85;7.04;6.76;6.97;2826724
