time;open;high;low;close;Volume
2026-04-24;15.71;15.77;15.0;15.53;435099
2026-04-23;16.03;16.53;15.09;15.65;493852
2026-04-22;16.63;16.99;15.915;15.95;667992
2026-04-21;16.6;17.12;16.18;16.63;526482
2026-04-20;16.85;17.465;16.3;16.56;854414
2026-04-17;16.45;17.4243;16.38;17.4243;522000
2026-04-16;16.1;16.74;16.1;16.48;416220
2026-04-15;16.2;16.77;15.9;16.0;445774
2026-04-14;16.3;16.51;15.83;16.3;521166
2026-04-13;16.1;16.55;15.4292;15.74;524926
2026-04-10;16.3;16.9;15.3659;15.98;916158
2026-04-09;15.44;16.99;15.36;16.6401;748506
2026-04-08;15.95;16.33;15.595;16.0993;637879
2026-04-07;15.5;15.5;14.5;15.5;450584
2026-04-06;15.45;15.5;14.93;15.0;626906
2026-04-02;15.1;15.12;14.616;15.06;641679
2026-04-01;14.7;15.99;14.7;15.12;824838
2026-03-31;13.15;14.92;13.15;14.91;1016269
2026-03-30;13.6;13.85;13.21;13.42;690597
2026-03-27;13.8;14.22;13.34;13.41;905032
2026-03-26;13.94;14.59;13.7;14.0;536728
2026-03-25;13.9;14.63;13.86;13.9;1046887
2026-03-24;14.0;14.23;13.11;13.93;954169
2026-03-23;14.4;14.91;13.93;13.9433;1045354
2026-03-20;14.95;15.01;14.04;14.07;7145109
2026-03-19;14.89;15.05;14.35;14.82;1120592
2026-03-18;15.37;15.4699;14.28;14.28;978815
2026-03-17;16.55;16.59;14.7174;15.0136;1169021
2026-03-16;14.9;16.795;14.7047;16.41;1627859
2026-03-13;14.95;15.5;14.36;14.8;884963
2026-03-12;15.54;15.695;14.62;14.91;1117198
2026-03-11;15.62;16.2481;15.26;15.5;1452337
2026-03-10;16.03;17.23;15.2218;15.93;2976713
2026-03-09;20.55;20.55;11.57;16.25;11940572
2026-03-06;22.22;22.56;21.2;21.55;763742
2026-03-05;24.11;24.4;22.32;22.5965;1303849
2026-03-04;23.57;24.705;23.53;24.34;972218
2026-03-03;23.86;23.955;22.88;23.43;772114
2026-03-02;23.9;24.39;23.39;24.37;593220
2026-02-27;24.5552;25.17;23.995;24.2;1120547
2026-02-26;24.17;24.71;23.57;24.71;526545
2026-02-25;24.65;25.31;23.75;24.1;717479
2026-02-24;24.1;25.2;23.66;24.69;1354160
2026-02-23;24.16;24.525;23.38;24.36;974093
2026-02-20;23.65;24.65;23.39;24.08;813726
2026-02-19;22.03;24.0;22.03;23.6;1373935
2026-02-18;23.07;23.07;22.25;22.41;821638
2026-02-17;22.33;23.28;22.01;22.62;684757
2026-02-13;23.66;24.03;22.42;23.04;602730
2026-02-12;23.8;24.315;22.79;23.3;1018023
2026-02-11;23.75;24.18;22.4;23.65;1356112
2026-02-10;24.87;25.05;23.028;23.5901;1935805
2026-02-09;25.31;26.25;24.29;24.95;539685
2026-02-06;25.0;26.48;25.0;25.86;688022
2026-02-05;26.01;27.13;24.52;25.0;789164
2026-02-04;26.21;26.79;25.125;26.07;1801928
2026-02-03;25.4;27.59;24.95;26.49;1135043
2026-02-02;24.51;26.32;23.0433;24.84;2778773
2026-01-30;26.11;26.39;24.96;25.0;895657
2026-01-29;24.5871;26.61;24.36;26.34;922111
2026-01-28;26.06;26.36;24.26;24.26;573294
2026-01-27;25.5;26.23;24.87;25.65;587147
2026-01-26;25.15;26.06;24.7094;24.98;413854
2026-01-23;26.56;26.56;25.1;25.2;538618
2026-01-22;25.61;27.8599;25.61;26.65;1093655
2026-01-21;26.62;26.8;25.825;26.29;496604
2026-01-20;27.0;27.14;25.9;26.47;599011
2026-01-16;29.1;29.5;27.04;27.15;621711
2026-01-15;28.0;29.22;27.77;29.19;861859
2026-01-14;26.37;29.47;26.37;28.77;989474
2026-01-13;28.3573;28.5132;26.93;27.89;732060
2026-01-12;28.1;29.3844;27.55;28.78;1654122
2026-01-09;25.9;28.29;25.78;28.29;2074663
2026-01-08;27.3;27.47;24.6;26.0;1005551
2026-01-07;25.39;27.45;24.95;27.3494;1342871
2026-01-06;25.08;25.7;23.85;25.15;859604
2026-01-05;25.5;25.75;24.51;25.1;1157929
2026-01-02;25.25;25.64;24.45;25.28;675729
2025-12-31;24.95;25.76;24.87;24.95;600916
2025-12-30;25.96;25.99;24.97;25.294;470098
2025-12-29;26.29;26.29;25.39;25.64;747399
2025-12-26;27.21;27.6599;26.1;26.8083;546686
2025-12-24;27.45;27.86;25.85;27.59;800764
2025-12-23;28.91;28.91;27.17;27.5;1100959
2025-12-22;27.96;28.9799;26.402;28.31;1766809
2025-12-19;30.81;32.0;27.06;28.14;4229087
2025-12-18;32.36;33.105;30.47;30.94;1754812
2025-12-17;34.79;35.13;31.93;32.6;2357043
2025-12-16;35.95;36.2591;33.37;34.27;2547674
2025-12-15;33.07;36.13;32.53;35.99;2765016
2025-12-12;32.0;33.5053;31.32;33.35;2755671
2025-12-11;30.07;33.4982;29.68;31.93;2635137
2025-12-10;26.3;41.25;26.01;30.62;6568613
2025-12-09;27.98;28.14;25.62;26.3792;2017496
2025-12-08;26.66;28.82;26.3317;27.9408;1950863
2025-12-05;27.47;28.25;25.94;27.12;1669235
2025-12-04;27.01;28.4463;26.93;27.38;2327232
2025-12-03;26.99;27.85;26.3696;26.7383;2407165
2025-12-02;27.99;28.29;26.2;26.95;2150192
2025-12-01;27.91;28.66;27.4;28.21;1805904
2025-11-28;28.73;28.9298;27.44;28.29;864041
2025-11-26;26.19;29.51;25.8;28.22;3489926
2025-11-25;24.81;26.57;24.7;26.15;3090830
2025-11-24;23.11;25.0819;22.57;24.9;4452795
2025-11-21;22.19;23.85;20.03;23.45;4105488
2025-11-20;19.99;24.83;19.5;22.07;10703688
2025-11-19;19.11;23.84;18.02;19.75;16464511
2025-11-18;8.83;38.69;8.83;19.3825;66334645
2025-11-17;8.17;8.762;8.17;8.52;480849
2025-11-14;7.8968;8.8;7.82;8.4;544249
2025-11-13;8.06;8.28;7.9;7.94;845752
2025-11-12;8.16;8.55;8.02;8.06;905615
2025-11-11;8.34;8.64;7.9;8.19;677056
2025-11-10;8.35;8.83;8.3;8.51;541784
2025-11-07;8.5;8.5;7.89;8.35;426930
2025-11-06;8.02;8.41;7.76;8.2;711072
2025-11-05;8.2;8.28;7.76;7.77;806691
2025-11-04;8.13;8.85;8.01;8.01;1004440
2025-11-03;9.24;9.24;8.335;8.42;621054
2025-10-31;9.88;10.0;8.9;8.95;1053318
2025-10-30;8.68;12.39;8.53;9.8;1023891
2025-10-29;8.24;8.775;8.12;8.12;590394
2025-10-28;8.85;9.0467;8.51;8.72;674370
2025-10-27;8.0;8.84;8.0;8.7;951854
2025-10-24;8.24;8.33;7.91;7.91;928615
2025-10-23;8.28;8.44;7.8;8.09;509514
2025-10-22;8.77;8.77;7.835;8.19;719114
2025-10-21;7.9;8.48;7.6;8.29;1008832
2025-10-20;10.31;10.31;5.89;7.9;5037502
2025-10-17;9.31;11.0;8.91;10.8;1825366
2025-10-16;10.37;10.7613;9.48;9.5;1600883
2025-10-15;10.73;11.32;10.055;10.4046;1019304
2025-10-14;10.86;11.06;10.2;10.72;1046886
2025-10-13;10.12;10.94;9.5;10.75;442170
2025-10-10;11.01;11.3387;9.57;10.14;1338625
2025-10-09;10.94;10.9898;10.43;10.9898;826137
2025-10-08;10.64;11.09;10.51;10.73;702587
2025-10-07;11.18;11.22;10.235;10.56;886915
2025-10-06;11.14;11.6;10.99;11.0;890965
2025-10-03;11.16;11.5439;10.88;11.32;588741
2025-10-02;11.27;11.65;10.11;11.14;996822
2025-10-01;9.79;11.5;9.6;11.45;1858442
2025-09-30;9.54;9.92;9.445;9.79;1425448
2025-09-29;9.78;9.9;9.2572;9.54;907728
2025-09-26;8.28;9.55;8.19;9.3001;1139293
2025-09-25;8.52;8.61;8.0;8.03;405403
2025-09-24;8.81;9.09;8.32;8.51;716651
2025-09-23;8.34;8.98;8.34;8.98;963957
2025-09-22;8.17;8.9;7.66;8.74;887212
2025-09-19;8.29;8.77;8.01;8.17;1356935
