date;quarter;type
2026-05-12;Q2-2026;earnings
2026-03-03;Q1-2026;earnings
2025-11-12;Q4-2025;earnings
2025-08-12;Q3-2025;earnings
2025-05-13;Q2-2025;earnings
2025-03-04;Q1-2025;earnings
2024-11-12;Q4-2024;earnings
2024-08-13;Q3-2024;earnings
2024-05-14;Q2-2024;earnings
2024-03-12;Q1-2024;earnings
2023-11-14;Q4-2023;earnings
2023-08-15;Q3-2023;earnings
2023-05-16;Q2-2023;earnings
2023-03-21;Q1-2023;earnings
2022-11-16;Q4-2022;earnings
2022-08-16;Q3-2022;earnings
2022-05-17;Q2-2022;earnings
2022-03-18;Q1-2022;earnings
2021-11-16;Q4-2021;earnings
