time;open;high;low;close;Volume
2026-04-17;5.37;5.52;5.22;5.29;43320800
2026-04-16;4.995;5.3;4.95;5.27;59708400
2026-04-15;4.51;4.85;4.49;4.82;31707300
2026-04-14;4.46;4.59;4.38;4.51;27223900
2026-04-13;4.275;4.38;4.12;4.36;25632600
2026-04-10;4.37;4.59;4.3;4.32;26305000
2026-04-09;4.61;4.63;4.3;4.31;30760400
2026-04-08;4.95;5.01;4.63;4.64;26835600
2026-04-07;4.55;4.58;4.38;4.55;24048200
2026-04-06;4.73;4.85;4.55;4.61;20019700
2026-04-02;4.38;4.76;4.362;4.74;29245000
2026-04-01;4.73;4.8;4.55;4.57;27373000
2026-03-31;4.555;4.73;4.45;4.68;28873100
2026-03-30;4.77;4.77;4.395;4.43;33053900
2026-03-27;4.81;4.82;4.65;4.8;27253000
2026-03-26;5.01;5.19;4.89;4.9;20230100
2026-03-25;5.34;5.47;5.05;5.1;26900400
2026-03-24;5.1;5.22;5.04;5.18;30289200
2026-03-23;5.0;5.37;5.0;5.21;47842500
2026-03-20;5.09;5.12;4.8;4.91;32002700
2026-03-19;5.12;5.21;4.97;5.14;27827200
2026-03-18;5.45;5.49;5.26;5.28;28267300
2026-03-17;5.2;5.67;5.2;5.56;50181400
2026-03-16;5.04;5.24;4.99;5.18;58381300
2026-03-13;4.925;5.085;4.745;4.95;43498900
2026-03-12;5.19;5.22;4.795;4.84;53222200
2026-03-11;5.02;5.3;4.94;5.27;53183400
2026-03-10;5.11;5.23;4.97;5.01;42875800
2026-03-09;4.845;5.15;4.73;5.08;51303000
2026-03-06;5.05;5.15;4.9;5.0;45992700
2026-03-05;4.83;5.18;4.82;5.18;55757200
2026-03-04;5.05;5.18;4.82;4.88;28979100
2026-03-03;4.825;4.98;4.66;4.97;30418600
2026-03-02;5.16;5.21;4.97;5.05;39474800
2026-02-27;5.23;5.495;5.16;5.42;38254700
2026-02-26;5.0;5.445;5.0;5.41;53584700
2026-02-25;5.14;5.27;4.91;4.98;34177900
2026-02-24;4.66;5.11;4.62;5.11;40262000
2026-02-23;4.91;5.39;4.615;4.78;60781700
2026-02-20;5.5;5.59;4.74;5.0;132316800
2026-02-19;4.54;4.84;4.48;4.65;75318600
