time;open;high;low;close;Volume
2026-04-17;7.01;7.1;6.625;6.77;4247600
2026-04-16;6.79;6.88;6.52;6.82;2591400
2026-04-15;6.71;6.92;6.58;6.69;3327800
2026-04-14;6.22;6.855;6.22;6.73;4928400
2026-04-13;5.83;6.255;5.73;6.2;3161600
2026-04-10;5.53;5.98;5.515;5.94;3442300
2026-04-09;5.47;5.59;5.36;5.45;3518900
2026-04-08;5.73;5.9;5.28;5.52;4459600
2026-04-07;5.37;5.485;5.06;5.44;3520200
2026-04-06;5.44;5.83;5.28;5.47;4661700
2026-04-02;5.32;5.49;5.07;5.42;5341200
2026-04-01;5.33;5.4;5.075;5.11;2697400
2026-03-31;5.09;5.25;4.93;5.19;4774400
2026-03-30;5.24;5.44;4.97;5.06;4694400
2026-03-27;5.32;5.53;5.21;5.28;3878000
2026-03-26;5.37;5.71;5.36;5.47;2932700
2026-03-25;5.39;5.76;5.33;5.6;4224600
2026-03-24;5.77;5.865;5.15;5.29;6974600
2026-03-23;5.81;6.225;5.78;5.89;4328900
2026-03-20;6.08;6.218;5.65;5.79;5030800
2026-03-19;5.37;6.12;5.26;6.1;6424300
2026-03-18;5.37;5.819;5.34;5.48;5736600
2026-03-17;5.76;5.85;5.12;5.42;13140700
2026-03-16;5.85;5.97;5.7;5.81;3324200
2026-03-13;5.76;6.015;5.61;5.76;4259300
2026-03-12;5.51;5.737;5.41;5.68;4425000
2026-03-11;5.83;5.99;5.51;5.62;5962400
2026-03-10;5.85;6.25;5.78;5.85;4359600
2026-03-09;5.9;5.95;5.625;5.88;4180500
2026-03-06;5.76;6.14;5.73;6.09;3935900
2026-03-05;6.1;6.29;5.74;6.0;5451700
2026-03-04;6.13;6.48;5.94;6.2;4459400
2026-03-03;6.18;6.245;5.8;6.035;5571600
2026-03-02;6.11;6.63;6.019;6.45;6403400
2026-02-27;7.5;7.5;6.02;6.31;22205400
2026-02-26;8.86;8.89;8.015;8.12;6460700
2026-02-25;8.8;9.04;8.64;8.87;2517900
