time;open;high;low;close;Volume
2026-04-17;26.67;27.47;26.22;26.74;1219700
2026-04-16;26.82;27.07;25.77;26.09;1391700
2026-04-15;25.74;26.57;25.51;26.5;1552100
2026-04-14;24.48;26.14;24.48;25.72;2153000
2026-04-13;22.87;24.63;22.8;24.38;1915200
2026-04-10;23.0;23.39;22.75;23.02;963500
2026-04-09;21.94;22.93;21.89;22.85;971300
2026-04-08;21.7;22.23;21.25;22.12;1650600
2026-04-07;20.09;20.65;19.648;20.63;1124600
2026-04-06;20.56;20.756;19.65;20.27;1608600
2026-04-02;19.69;21.25;18.71;20.69;4448500
2026-04-01;18.06;18.39;17.88;18.25;3095800
2026-03-31;16.61;17.64;16.42;17.6;958200
2026-03-30;16.76;16.87;16.04;16.24;935200
2026-03-27;17.4;17.54;16.64;16.69;912100
2026-03-26;18.32;18.4;17.65;17.66;491500
2026-03-25;18.15;18.48;17.85;18.44;608300
2026-03-24;17.68;18.25;17.68;17.8;586500
2026-03-23;18.045;18.51;17.62;17.89;783300
2026-03-20;17.66;17.865;17.26;17.52;1487600
2026-03-19;17.13;18.0;17.0;17.67;468500
2026-03-18;17.48;17.81;17.43;17.51;466000
2026-03-17;17.7;17.93;17.23;17.62;1806900
2026-03-16;18.31;18.31;17.515;17.54;662200
2026-03-13;18.0;18.26;17.82;17.98;715000
2026-03-12;18.22;18.22;17.62;17.77;712500
2026-03-11;18.71;18.885;18.25;18.48;878900
2026-03-10;18.44;18.86;18.35;18.59;1591400
2026-03-09;17.84;18.53;17.5;18.45;709600
2026-03-06;18.43;18.68;18.12;18.26;654700
2026-03-05;18.86;19.72;18.7;18.98;749500
2026-03-04;19.14;19.4;18.723;19.2;723300
2026-03-03;19.27;19.41;18.51;18.95;848900
2026-03-02;20.27;20.62;19.7;20.05;846200
2026-02-27;20.14;21.03;20.095;20.78;1068200
2026-02-26;20.57;20.87;19.925;20.49;2139100
2026-02-25;20.48;21.08;20.328;20.68;1693500
2026-02-24;19.49;20.33;19.455;20.23;1647900
2026-02-23;19.11;19.46;18.8;19.25;942100
2026-02-20;18.565;19.31;18.52;19.12;1169900
2026-02-19;19.08;19.33;18.61;18.81;623800
2026-02-18;19.54;19.655;18.99;19.24;1407900
2026-02-17;19.14;19.65;18.95;19.35;566500
2026-02-13;18.6;19.55;18.49;19.37;768400
2026-02-12;19.03;19.46;18.44;18.71;721900
