date;quarter;type
2026-07-01;Q3-2026;earnings
2026-04-01;Q2-2026;earnings
2026-01-06;Q1-2026;earnings
2025-10-07;Q4-2025;earnings
2025-07-08;Q3-2025;earnings
2025-04-02;Q2-2025;earnings
2025-01-08;Q1-2025;earnings
2024-10-15;Q4-2024;earnings
2024-07-09;Q3-2024;earnings
2024-04-09;Q2-2024;earnings
2024-01-09;Q1-2024;earnings
2023-10-12;Q4-2023;earnings
2023-06-29;Q2-2023;earnings
2023-04-04;Q2-2023;earnings
2023-01-03;Q1-2023;earnings
2022-10-04;Q4-2022;earnings
2022-06-29;Q2-2022;earnings
2022-04-05;Q2-2022;earnings
2022-01-04;Q1-2022;earnings
2021-10-12;Q4-2021;earnings
2021-07-06;Q3-2021;earnings
2021-04-06;Q2-2021;earnings
2021-01-05;Q1-2021;earnings
2020-10-01;Q4-2020;earnings
2020-07-07;Q3-2020;earnings
2020-04-07;Q2-2020;earnings
