time;open;high;low;close;Volume
2026-04-17;326.26;346.345;324.87;342.5;425200
2026-04-16;336.02;340.42;314.145;320.39;479000
2026-04-15;348.04;350.0;330.0;339.93;514400
2026-04-14;325.95;352.78;325.95;343.6;703400
2026-04-13;320.0;332.99;316.5;317.0;269400
2026-04-10;325.17;327.56;312.89;316.14;254100
2026-04-09;320.0;323.11;312.73;320.24;293400
2026-04-08;323.58;327.0;311.01;320.22;328500
2026-04-07;309.41;310.0;300.57;306.69;310500
2026-04-06;318.76;323.69;306.36;310.11;304200
2026-04-02;308.97;321.94;308.505;310.38;300200
2026-04-01;329.15;338.31;318.78;319.28;439500
2026-03-31;289.2;325.2;279.27;322.19;640200
2026-03-30;291.59;296.05;271.945;276.44;533900
2026-03-27;302.68;305.94;288.59;290.1;398700
2026-03-26;311.92;315.0;300.91;302.69;419900
2026-03-25;296.81;314.0;296.81;311.92;352700
2026-03-24;289.98;299.295;285.55;294.65;489900
2026-03-23;298.4;312.29;293.57;294.11;644400
2026-03-20;295.67;306.575;294.56;298.31;966700
2026-03-19;285.04;302.46;285.0;297.5;430100
2026-03-18;299.21;302.36;288.27;288.79;409000
2026-03-17;304.04;313.0;302.04;303.38;218400
2026-03-16;301.46;311.0;301.291;305.0;264600
2026-03-13;303.37;316.06;290.805;293.95;500700
2026-03-12;292.5;305.27;288.0;303.37;329600
2026-03-11;306.48;318.72;296.25;296.97;282300
2026-03-10;305.79;323.87;305.49;309.91;417300
2026-03-09;313.03;327.54;291.17;309.01;478900
2026-03-06;303.32;316.46;303.01;310.71;222100
2026-03-05;319.79;320.71;303.45;310.58;388700
2026-03-04;321.78;332.57;319.278;325.11;338900
2026-03-03;318.5;329.53;314.64;318.22;441200
2026-03-02;325.3;342.51;325.0;330.59;425100
2026-02-27;334.93;341.16;331.531;336.75;363400
2026-02-26;347.55;354.871;334.76;340.47;429400
2026-02-25;343.4;354.43;341.0;347.55;326500
2026-02-24;345.48;356.0;338.805;342.71;497500
2026-02-23;335.0;348.673;332.31;342.46;273600
2026-02-20;332.52;349.32;314.385;335.28;648700
2026-02-19;315.0;333.84;293.01;331.61;611900
2026-02-18;329.25;334.61;326.57;328.93;367100
2026-02-17;315.22;330.09;314.35;328.04;340300
2026-02-13;332.74;333.525;315.42;317.25;332300
2026-02-12;323.99;335.75;317.825;332.92;419300
2026-02-11;321.83;324.79;302.0;323.29;463400
2026-02-10;325.4;326.88;315.42;320.48;348500
2026-02-09;317.73;328.6;310.528;319.54;376300
2026-02-06;310.84;321.57;309.26;319.57;450800
2026-02-05;301.51;311.54;297.265;305.62;623400
2026-02-04;311.75;313.0;288.57;303.34;491600
2026-02-03;311.5;325.22;306.0;310.52;525300
2026-02-02;307.43;318.18;304.03;309.11;597200
