time;open;high;low;close;Volume
2026-04-24;9.2;9.35;8.59;8.98;11794296
2026-04-23;9.72;10.42;8.88;9.21;17540619
2026-04-22;9.69;10.17;9.54;9.83;15123509
2026-04-21;9.86;10.1;9.28;9.6599;16577379
2026-04-20;9.28;9.94;9.1;9.83;18024063
2026-04-17;9.2;9.905;9.15;9.5052;20481287
2026-04-16;9.75;10.379;9.01;9.24;30223600
2026-04-15;8.31;9.71;8.2;9.71;40429189
2026-04-14;7.35;8.33;7.29;8.29;21414885
2026-04-13;6.92;7.3;6.78;7.2891;6499097
2026-04-10;6.85;7.28;6.75;7.069;7255001
2026-04-09;6.9;6.9499;6.75;6.8;4815864
2026-04-08;7.21;7.48;6.845;6.91;7609954
2026-04-07;6.66;7.18;6.535;7.12;7366373
2026-04-06;6.84;7.0791;6.7803;6.8;5618409
2026-04-02;6.42;6.95;6.33;6.84;6598744
2026-04-01;6.99;7.04;6.61;6.6973;7295493
2026-03-31;6.35;6.94;6.35;6.88;12472144
2026-03-30;6.69;6.8;6.18;6.27;7241575
2026-03-27;7.18;7.23;6.61;6.6252;8996156
2026-03-26;7.33;7.39;7.09;7.17;6239033
2026-03-25;7.56;7.71;7.14;7.27;7845990
2026-03-24;7.33;7.57;7.07;7.52;7882532
2026-03-23;6.8;7.39;6.7;7.33;10990608
2026-03-20;7.18;7.23;6.85;7.03;8301957
2026-03-19;7.21;7.3675;6.88;7.22;8849254
2026-03-18;7.6;7.65;7.195;7.27;7709347
2026-03-17;7.33;7.6;7.25;7.5103;7344896
2026-03-16;7.37;7.67;7.19;7.38;9364413
2026-03-13;7.21;7.69;7.18;7.2982;8388936
2026-03-12;7.55;7.59;7.23;7.3624;10334442
2026-03-11;7.64;7.855;7.43;7.52;8580480
2026-03-10;7.71;7.95;7.56;7.6439;10756401
2026-03-09;7.29;7.77;7.2213;7.5901;10979204
2026-03-06;7.75;8.05;7.41;7.5907;11228060
2026-03-05;8.1;8.15;7.58;7.7;12709821
2026-03-04;7.77;8.25;7.6;8.1395;11510773
2026-03-03;8.17;8.285;7.65;7.82;13321085
2026-03-02;7.96;9.1185;7.9;8.35;11058349
2026-02-27;8.94;9.0;8.11;8.3999;11190965
2026-02-26;8.92;9.26;8.605;8.9703;15740253
2026-02-25;8.14;8.935;8.0901;8.67;13464941
2026-02-24;7.91;8.235;7.75;8.12;7889862
2026-02-23;7.89;7.98;7.63;7.87;7427959
2026-02-20;8.24;8.2999;7.83;7.93;8371690
2026-02-19;8.25;8.31;7.951;8.1799;6657166
2026-02-18;8.18;8.45;7.8;8.2201;7853495
2026-02-17;8.5;8.5;7.91;8.0099;9520642
2026-02-13;8.19;8.585;7.96;8.46;10102034
2026-02-12;8.6;8.67;7.92;8.2;11305994
2026-02-11;9.025;9.24;8.23;8.53;12429464
2026-02-10;9.48;9.68;8.87;9.03;9776009
2026-02-09;9.52;9.7;8.97;9.41;11509024
2026-02-06;7.67;9.665;7.53;9.55;19398009
2026-02-05;9.06;9.09;7.2;7.43;17730993
2026-02-04;9.64;9.68;8.62;9.0799;13547043
2026-02-03;9.59;9.725;9.13;9.5;13819491
2026-02-02;9.19;9.49;8.88;9.48;10459468
2026-01-30;10.18;10.24;9.0;9.2899;18416020
2026-01-29;11.22;11.24;10.11;10.2899;15776361
2026-01-28;11.36;11.53;10.97;11.0601;10730942
2026-01-27;11.1;11.43;10.82;11.3499;9920714
2026-01-26;11.52;11.55;10.74;10.92;13129071
2026-01-23;12.11;12.15;11.15;11.55;16297797
2026-01-22;11.82;12.49;11.7;12.1493;16810335
2026-01-21;12.04;12.62;10.8249;11.79;25698040
2026-01-20;11.9;12.95;11.81;12.04;19321384
2026-01-16;12.45;13.195;12.07;12.7108;19394308
2026-01-15;12.7;13.3069;12.08;12.43;21284100
2026-01-14;11.74;12.65;11.48;12.46;16756709
2026-01-13;12.08;12.4;11.46;11.72;13595737
2026-01-12;11.62;12.24;11.37;12.05;13607216
2026-01-09;11.98;12.685;11.64;11.73;16081144
2026-01-08;11.62;12.34;11.38;11.95;13681358
2026-01-07;12.07;12.175;11.53;11.6692;12410202
2026-01-06;11.99;12.2703;11.46;12.1399;18590803
2026-01-05;11.19;12.4301;11.01;11.92;20625566
2026-01-02;10.55;11.065;10.23;11.01;15247759
2025-12-31;10.44;10.5855;10.15;10.25;13068622
2025-12-30;10.58;10.88;10.36;10.41;10449190
