time;open;high;low;close;Volume
2026-04-17;24.95;25.44;24.54;25.0;10064500
2026-04-16;23.21;24.39;23.21;24.25;9022300
2026-04-15;23.56;23.56;22.93;23.22;12046200
2026-04-14;22.48;23.5;22.48;23.34;8771500
2026-04-13;21.44;22.26;21.18;22.2;8744200
2026-04-10;21.46;22.14;21.46;21.93;8860200
2026-04-09;20.3;21.3;20.3;21.18;8701800
2026-04-08;20.37;21.14;20.13;20.52;12183800
2026-04-07;18.7;18.9;18.05;18.82;6822900
2026-04-06;18.84;19.25;18.67;19.02;5140700
2026-04-02;18.65;19.72;18.43;19.03;6552600
2026-04-01;19.73;20.0;19.24;19.3;10614300
2026-03-31;18.88;19.78;18.81;19.42;7950400
2026-03-30;19.18;19.46;18.06;18.21;7858700
2026-03-27;19.37;19.62;18.92;18.96;5873100
2026-03-26;20.14;20.83;19.65;19.66;6278400
2026-03-25;20.59;20.73;20.05;20.46;5183100
2026-03-24;19.99;20.66;19.76;20.19;5535000
2026-03-23;19.31;20.4;19.08;20.3;10419100
2026-03-20;20.1;20.28;18.48;18.64;14418200
2026-03-19;19.55;20.62;19.53;20.28;6757400
2026-03-18;20.68;21.1;19.99;20.13;5081400
2026-03-17;20.51;21.21;20.43;20.86;4630400
2026-03-16;20.82;21.32;20.51;20.7;9339700
2026-03-13;19.85;20.61;19.11;20.18;8325300
2026-03-12;20.85;21.25;19.43;19.5;8966000
2026-03-11;21.52;21.69;20.97;21.12;4837100
2026-03-10;21.8;22.02;21.4;21.57;3523900
2026-03-09;21.5;21.99;20.75;21.69;6557000
2026-03-06;22.25;22.42;21.75;21.8;5132200
2026-03-05;22.89;23.37;22.28;22.86;5260600
2026-03-04;22.36;23.44;22.03;23.26;7471200
2026-03-03;22.3;22.4;21.53;21.95;6732700
2026-03-02;23.36;23.62;22.71;22.92;7157100
2026-02-27;23.55;23.97;22.76;23.95;7188600
2026-02-26;24.4;24.51;23.37;23.88;5973900
2026-02-25;25.32;25.4;24.08;24.2;4060100
2026-02-24;24.73;25.71;24.72;25.14;4383900
2026-02-23;25.32;25.5;24.43;24.72;4544700
2026-02-20;25.96;26.3;25.49;25.54;5549600
2026-02-19;26.43;26.55;25.85;26.22;5533500
2026-02-18;26.69;27.61;26.54;26.63;6623100
2026-02-17;27.09;27.51;26.43;26.82;7734900
2026-02-13;25.78;27.1;25.48;27.07;8224800
2026-02-12;26.92;27.55;25.8;25.92;9387200
2026-02-11;24.53;27.14;24.38;27.06;17213400
2026-02-10;23.36;23.64;23.02;23.21;8822000
2026-02-09;23.0;23.45;22.82;23.31;5027300
2026-02-06;21.5;23.13;21.49;23.01;8623300
2026-02-05;22.72;23.07;20.91;21.04;8530800
2026-02-04;22.84;23.56;22.28;23.13;7188000
2026-02-03;22.25;23.22;22.12;22.84;8561200
2026-02-02;22.0;22.46;21.59;22.08;6470200
2026-01-30;22.52;22.78;21.98;22.18;6120500
2026-01-29;23.16;23.24;22.52;22.84;6620200
2026-01-28;23.83;23.9;23.11;23.24;5111600
2026-01-27;23.95;24.25;23.45;23.63;5490900
2026-01-26;23.82;24.02;23.55;23.94;6248700
2026-01-23;24.1;24.12;23.36;23.91;8812300
2026-01-22;24.12;24.49;23.91;24.12;10515600
2026-01-21;23.55;23.73;23.03;23.47;9949900
2026-01-20;23.47;24.0;23.21;23.52;9065000
2026-01-16;23.59;24.38;23.5;23.81;29424900
2026-01-15;25.58;25.91;25.0;25.02;7374800
2026-01-14;25.0;25.58;24.52;25.52;7669000
2026-01-13;25.06;25.57;24.39;25.16;9581600
2026-01-12;26.2;26.24;24.59;24.8;10235500
2026-01-09;24.54;25.05;24.19;25.0;7204000
2026-01-08;23.4;25.02;23.21;24.65;9860800
2026-01-07;24.08;24.54;23.3;23.38;10904900
2026-01-06;23.05;24.18;22.81;23.98;8904500
2026-01-05;20.47;23.8;20.4;23.3;25201900
2026-01-02;19.25;19.92;19.01;19.72;6940000
2025-12-31;20.98;21.03;19.22;19.29;16012200
2025-12-30;21.0;21.14;20.94;21.04;5580300
2025-12-29;21.05;21.47;20.97;21.05;2998800
2025-12-26;21.62;21.65;21.23;21.24;2451100
2025-12-24;21.73;21.73;21.46;21.55;1548400
2025-12-23;21.77;21.88;21.48;21.64;4931100
2025-12-22;22.0;22.19;21.74;21.96;6186500
2025-12-19;21.72;22.09;21.59;21.8;9181200
2025-12-18;21.25;21.98;21.19;21.88;5554300
2025-12-17;21.16;21.56;20.79;20.79;5512500
2025-12-16;21.26;21.64;21.18;21.35;4599800
2025-12-15;21.29;21.4;20.93;21.31;6101200
2025-12-12;22.3;22.31;21.31;21.38;7904600
2025-12-11;21.63;22.22;21.48;22.12;8411400
2025-12-10;20.95;21.94;20.89;21.71;8877700
2025-12-09;21.19;21.41;20.71;20.95;7715000
2025-12-08;20.9;21.41;20.79;21.27;7771500
2025-12-05;20.66;21.07;20.39;20.82;7084200
2025-12-04;19.86;20.73;19.86;20.58;7678600
2025-12-03;19.17;20.35;19.0;20.0;9775200
2025-12-02;18.47;19.39;18.44;19.33;7263500
2025-12-01;18.53;18.78;18.3;18.33;6958400
2025-11-28;18.37;18.74;18.27;18.73;2979100
2025-11-26;17.65;18.48;17.6;18.26;5343400
2025-11-25;16.99;17.81;16.86;17.69;7018300
2025-11-24;17.0;17.5;16.76;16.81;7471800
2025-11-21;16.12;17.53;16.1;16.98;6693800
2025-11-20;16.62;17.11;15.99;16.1;6270800
2025-11-19;16.7;16.91;16.25;16.3;7250100
2025-11-18;16.67;17.12;16.53;16.69;5242900
2025-11-17;17.5;17.55;16.66;16.96;5517500
2025-11-14;17.06;17.79;17.01;17.48;5183800
2025-11-13;18.64;18.72;17.47;17.49;6098900
2025-11-12;19.05;19.37;18.4;18.79;6449700
2025-11-11;18.59;19.19;18.03;19.02;8125900
2025-11-10;17.25;18.6;16.9;18.4;9996800
2025-11-07;16.0;17.4;15.5;17.19;13205500
2025-11-06;16.46;16.6;15.83;16.14;13444600
2025-11-05;17.0;17.08;16.47;16.49;12118100
2025-11-04;17.07;17.25;16.85;16.87;6990900
2025-11-03;17.75;17.85;17.05;17.29;7938400
2025-10-31;17.83;17.93;17.51;17.67;7434900
2025-10-30;18.51;18.51;17.73;17.76;7406100
2025-10-29;18.06;18.85;17.64;18.49;8581800
2025-10-28;18.1;18.81;17.98;18.1;7210800
2025-10-27;18.66;18.68;18.03;18.08;5773900
2025-10-24;18.6;18.86;18.38;18.39;5131300
2025-10-23;18.49;18.57;18.09;18.3;6240800
2025-10-22;19.37;19.7;18.31;18.36;8580500
2025-10-21;19.1;19.99;19.1;19.54;6738300
2025-10-20;19.14;19.25;18.77;19.0;4505000
2025-10-17;19.0;19.31;18.5;18.99;5117600
2025-10-16;19.5;19.55;18.61;18.93;6891900
2025-10-15;19.78;19.9;19.12;19.47;7242700
2025-10-14;18.23;19.56;18.08;19.53;9716200
2025-10-13;18.7;19.01;18.36;18.5;8600900
2025-10-10;19.89;19.89;18.58;18.58;9008400
2025-10-09;19.68;20.27;19.59;19.73;5303600
2025-10-08;19.52;19.92;19.42;19.9;6827000
2025-10-07;19.79;19.95;19.45;19.5;5945500
2025-10-06;20.54;20.61;19.63;19.77;8919000
2025-10-03;20.17;21.14;19.97;20.23;15172900
2025-10-02;18.79;20.11;18.73;19.91;13216200
2025-10-01;18.89;19.08;18.5;18.67;10854700
2025-09-30;18.92;19.07;18.27;19.06;10279200
2025-09-29;19.05;19.21;18.73;18.74;7111800
2025-09-26;18.98;19.09;18.67;18.79;5652100
2025-09-25;18.92;19.28;18.69;18.93;8678300
2025-09-24;19.91;20.09;19.21;19.24;7497700
2025-09-23;20.02;20.27;19.6;19.82;10908500
2025-09-22;20.7;20.78;19.92;19.94;8980100
2025-09-19;20.95;21.0;20.4;20.62;13219700
2025-09-18;21.12;21.64;20.89;21.02;8416300
2025-09-17;21.05;21.53;20.64;20.94;7238800
2025-09-16;21.23;21.42;20.3;20.95;10449700
2025-09-15;20.85;21.23;20.69;21.23;5351500
2025-09-12;21.26;21.37;20.75;20.77;6255500
2025-09-11;21.33;21.95;21.19;21.26;6062800
2025-09-10;21.36;22.05;21.25;21.48;7273800
2025-09-09;21.8;21.99;21.04;21.48;7315000
2025-09-08;22.26;22.35;21.65;21.96;7396700
2025-09-05;20.87;22.06;20.87;22.05;10069900
2025-09-04;20.48;20.8;19.97;20.64;6781000
2025-09-03;21.25;21.62;20.47;20.53;7041100
2025-09-02;20.13;21.65;20.02;21.13;11764800
2025-08-29;21.17;21.17;20.11;20.13;5381900
2025-08-28;20.9;21.14;20.8;21.03;4393600
2025-08-27;21.08;21.55;20.88;20.9;6897500
2025-08-26;21.05;21.22;20.67;20.93;7459600
2025-08-25;20.99;21.05;19.86;20.89;11427300
2025-08-22;19.07;20.64;18.75;20.39;14482500
2025-08-21;19.3;19.35;18.7;18.82;9030500
2025-08-20;20.35;20.43;19.05;19.28;11644900
2025-08-19;20.56;20.56;19.99;20.3;6710200
2025-08-18;20.51;21.05;20.23;20.63;6279300
2025-08-15;20.48;21.06;19.73;20.5;9676200
2025-08-14;21.02;21.38;19.49;21.02;8902800
2025-08-13;20.15;21.39;20.14;21.06;7057400
2025-08-12;19.13;20.05;19.08;19.96;6229400
2025-08-11;19.33;19.43;18.91;19.27;7317100
2025-08-08;19.49;19.49;18.9;19.28;4027100
2025-08-07;19.12;19.43;18.76;19.38;5709000
2025-08-06;19.72;19.8;19.0;19.15;4939400
2025-08-05;20.09;20.15;19.42;19.42;5711400
2025-08-04;19.62;19.87;19.23;19.62;7991200
2025-08-01;19.7;19.75;19.23;19.33;6204200
2025-07-31;20.64;20.77;19.66;20.06;6429000
2025-07-30;21.05;21.35;20.41;20.64;5304000
2025-07-29;21.7;21.77;20.97;21.0;5068100
2025-07-28;22.24;22.26;21.73;21.78;3676300
2025-07-25;22.0;22.2;21.65;22.19;4353000
2025-07-24;22.15;22.2;21.69;21.9;5255500
2025-07-23;22.24;22.28;22.04;22.13;6055000
2025-07-22;22.0;22.27;21.78;22.24;7434500
2025-07-21;22.1;22.26;21.8;21.83;8877600
2025-07-18;22.03;22.28;21.39;21.63;7363800
2025-07-17;21.32;21.93;21.21;21.79;6249700
2025-07-16;21.88;22.05;20.69;21.19;5838600
2025-07-15;21.13;21.7;21.04;21.15;6149300
2025-07-14;21.1;21.24;20.86;21.05;8290600
2025-07-11;21.31;21.6;21.0;21.17;5046000
2025-07-10;22.0;22.05;21.28;21.43;5638900
2025-07-09;21.62;22.14;21.44;22.03;7262200
2025-07-08;21.88;21.91;21.53;21.65;5276500
2025-07-07;21.82;21.98;21.31;21.68;4988100
2025-07-03;21.7;22.03;21.56;21.98;6105900
2025-07-02;21.09;21.78;20.95;21.59;10082000
2025-07-01;21.55;21.71;20.76;21.18;12290700
2025-06-30;20.96;21.69;20.52;21.54;11165800
2025-06-27;21.75;21.87;20.52;20.73;56303900
2025-06-26;21.81;22.07;21.68;21.72;20569400
2025-06-25;21.74;22.13;21.64;21.81;43086900
2025-06-24;24.28;24.69;23.4;23.51;7072900
2025-06-23;23.75;24.5;23.3;24.12;7371200
2025-06-20;23.04;24.58;22.7;23.79;18748300
2025-06-18;20.73;23.52;20.5;22.5;16802300
2025-06-17;20.23;20.39;19.9;20.15;5137600
2025-06-16;19.83;20.1;19.3;20.09;6104800
2025-06-13;19.91;20.0;19.43;19.66;5100300
2025-06-12;20.52;20.63;19.73;20.1;5913400
2025-06-11;20.43;20.73;19.89;19.95;10525400
2025-06-10;20.35;20.56;19.88;20.16;10683300
2025-06-09;19.25;20.31;19.05;20.13;8774300
2025-06-06;18.16;19.45;17.75;19.0;15794000
2025-06-05;17.19;17.36;16.58;16.75;4506100
2025-06-04;16.59;17.25;16.52;17.19;4146100
2025-06-03;16.6;16.95;16.36;16.64;3553700
2025-06-02;16.86;17.02;16.16;16.55;4852000
2025-05-30;17.0;17.28;16.83;17.0;7128300
2025-05-29;16.84;17.2;16.81;17.11;6431000
2025-05-28;16.39;17.32;16.39;16.98;7730000
2025-05-27;16.88;17.03;16.33;16.38;7698600
2025-05-23;16.75;17.04;16.55;16.8;11427300
2025-05-22;17.01;17.59;16.46;16.82;33050200
2025-05-21;16.75;17.28;15.96;17.06;12707700
2025-05-20;17.67;19.02;17.32;18.35;9406700
2025-05-19;16.5;17.85;16.46;17.51;4281100
2025-05-16;16.44;16.93;16.33;16.79;4710400
2025-05-15;16.11;16.3;15.74;16.27;2620800
2025-05-14;15.73;16.11;15.27;16.04;5720000
2025-05-13;14.5;15.9;14.41;15.73;7635900
2025-05-12;14.18;14.47;13.87;14.45;4791600
2025-05-09;14.0;14.24;13.72;13.87;3285300
2025-05-08;13.57;13.99;13.3;13.89;2622900
2025-05-07;13.39;13.65;13.3;13.34;6396300
2025-05-06;13.66;13.82;13.09;13.39;3072100
2025-05-05;14.17;14.24;13.81;13.86;2393100
2025-05-02;13.35;14.33;13.31;14.26;7963200
2025-05-01;13.61;13.65;13.21;13.22;2560800
2025-04-30;13.01;13.39;12.76;13.34;2476700
2025-04-29;13.45;13.56;13.07;13.23;4136600
2025-04-28;12.99;13.67;12.91;13.42;4575400
2025-04-25;12.75;13.0;12.5;12.88;4977600
2025-04-24;12.51;13.03;12.3;12.75;7988500
2025-04-23;12.51;12.77;12.16;12.46;4144300
2025-04-22;12.85;13.0;11.97;12.2;11492900
2025-04-21;13.03;13.25;12.57;12.72;10282900
2025-04-17;12.99;13.32;12.56;13.15;20581800
2025-04-16;14.35;14.7;14.08;14.26;2515200
2025-04-15;14.44;14.87;14.31;14.52;4277300
2025-04-14;14.08;14.65;13.7;14.46;2967000
2025-04-11;13.2;13.95;13.1;13.91;1679200
2025-04-10;13.29;13.6;12.81;13.2;2562700
2025-04-09;12.79;13.78;12.11;13.75;6076800
2025-04-08;13.9;13.96;12.3;12.35;3355300
2025-04-07;13.23;14.09;13.0;13.55;3699100
2025-04-04;13.36;14.16;12.71;14.0;4322900
2025-04-03;14.18;14.36;13.37;13.79;3255900
2025-04-02;13.99;14.77;13.96;14.72;2937500
2025-04-01;13.58;14.35;13.25;14.18;3129400
2025-03-31;13.51;13.69;13.2;13.54;1641500
2025-03-28;14.01;14.28;13.71;13.76;2815400
2025-03-27;13.48;14.04;13.48;14.01;1568700
2025-03-26;13.82;13.96;13.4;13.56;1562600
2025-03-25;13.83;13.98;13.54;13.86;5173100
2025-03-24;12.76;13.87;12.76;13.8;6880200
2025-03-21;13.31;13.6;12.66;12.67;8635100
2025-03-20;13.42;14.2;13.05;13.43;10660300
2025-03-19;12.81;13.24;12.8;13.05;5293600
2025-03-18;12.92;13.57;12.74;12.99;2482700
2025-03-17;12.96;13.29;12.62;13.0;2135700
2025-03-14;12.74;12.96;12.5;12.82;1758400
2025-03-13;12.83;12.98;12.38;12.64;1316500
2025-03-12;13.32;13.47;12.56;12.58;2163700
2025-03-11;13.1;13.31;12.54;13.26;2751000
2025-03-10;13.75;14.27;13.09;13.26;3951200
2025-03-07;13.06;13.4;12.91;13.38;1856300
2025-03-06;13.1;13.33;12.97;13.12;1757800
2025-03-05;13.11;13.5;12.89;13.33;1685900
2025-03-04;12.65;13.06;12.15;12.81;2354400
2025-03-03;12.7;12.81;12.23;12.35;2626400
2025-02-28;12.3;12.88;12.04;12.74;3221700
2025-02-27;12.3;12.42;12.12;12.31;1467100
2025-02-26;11.98;12.35;11.95;12.22;1748200
2025-02-25;12.11;12.34;11.85;12.01;2147000
2025-02-24;12.8;12.86;12.13;12.27;1396700
2025-02-21;13.15;13.22;12.46;12.51;1694700
2025-02-20;13.0;13.2;12.85;13.08;1125200
2025-02-19;13.26;13.44;13.01;13.04;1516500
2025-02-18;13.17;13.68;13.13;13.35;4439700
2025-02-14;13.1;13.42;13.07;13.16;1398900
2025-02-13;13.5;13.65;13.11;13.25;1610300
2025-02-12;13.26;13.57;13.23;13.4;1006000
2025-02-11;13.27;13.7;13.17;13.47;1133500
2025-02-10;13.46;13.69;13.27;13.47;1569600
2025-02-07;13.49;13.79;13.17;13.28;1663100
2025-02-06;14.5;14.73;13.48;13.55;2522000
2025-02-05;14.71;15.24;14.09;14.42;2907800
2025-02-04;13.37;14.38;13.3;14.19;1757700
2025-02-03;12.85;13.45;12.76;13.44;2002500
2025-01-31;13.4;13.53;13.2;13.29;2021000
2025-01-30;13.4;13.57;13.2;13.42;1934600
2025-01-29;13.36;13.59;13.16;13.4;1376500
2025-01-28;13.32;13.6;13.12;13.4;1504800
2025-01-27;13.8;14.0;12.91;13.22;3360400
2025-01-24;13.79;15.08;13.65;13.73;2166400
2025-01-23;13.9;14.12;13.71;13.98;1240200
2025-01-22;13.79;14.14;13.61;13.98;1102700
2025-01-21;14.14;14.39;13.68;13.68;2290400
2025-01-17;14.0;14.23;13.63;13.99;2341800
2025-01-16;15.03;15.12;13.62;13.71;3958900
2025-01-15;15.37;15.83;14.73;15.02;4130600
2025-01-14;15.73;15.73;15.03;15.37;906800
2025-01-13;15.71;15.71;15.18;15.36;571200
2025-01-10;15.28;15.78;15.07;15.65;847400
2025-01-08;15.8;15.96;15.25;15.28;945700
2025-01-07;16.26;16.39;15.77;15.88;1093200
2025-01-06;16.07;16.3;15.82;16.1;1649500
2025-01-03;15.13;16.0;15.13;15.95;5340000
2025-01-02;16.0;16.05;15.25;15.37;1114000
2024-12-31;15.38;15.92;15.35;15.9;1681400
2024-12-30;15.54;15.62;14.98;15.34;1027500
2024-12-27;15.8;16.05;15.47;15.56;1063900
2024-12-26;15.55;15.93;15.47;15.88;899000
2024-12-24;15.3;15.7;15.15;15.68;707500
2024-12-23;15.49;15.74;14.99;15.13;2019000
2024-12-20;16.06;16.3;15.22;15.44;7661300
2024-12-19;16.26;16.45;15.99;16.12;1877000
2024-12-18;16.29;16.63;15.94;15.99;2240500
2024-12-17;16.84;17.0;16.24;16.28;1267700
2024-12-16;16.15;17.05;16.1;16.96;1835500
2024-12-13;15.99;16.32;15.99;16.14;912900
2024-12-12;16.25;16.53;15.9;15.99;1581400
2024-12-11;16.3;16.47;16.12;16.4;1180200
2024-12-10;16.1;16.5;16.05;16.3;1579100
2024-12-09;17.59;17.59;16.0;16.16;3000100
2024-12-06;17.28;17.5;17.0;17.39;3275300
2024-12-05;17.75;17.75;16.92;17.1;3411500
2024-12-04;16.91;17.5;16.8;17.44;1860500
2024-12-03;17.38;17.62;16.99;17.15;1952000
2024-12-02;16.64;17.33;16.51;17.32;2206400
2024-11-29;16.99;17.18;16.63;16.64;912000
2024-11-27;18.0;18.07;16.76;16.78;1959800
2024-11-26;17.59;18.18;17.48;17.99;2086200
2024-11-25;17.34;17.68;16.84;17.46;8368700
2024-11-22;16.65;17.17;16.3;17.04;2497500
2024-11-21;16.17;17.0;15.96;16.64;2892000
2024-11-20;16.15;16.16;15.5;15.99;1932200
2024-11-19;15.37;16.09;14.9;15.9;5619100
2024-11-18;15.52;17.81;15.04;15.5;8182500
2024-11-15;15.23;15.59;14.88;15.4;2336900
2024-11-14;15.61;16.39;15.2;15.23;1547300
2024-11-13;15.66;16.28;15.26;15.26;1492000
2024-11-12;16.34;17.08;16.16;16.22;2010500
2024-11-11;16.42;16.42;15.61;16.14;2887900
2024-11-08;15.7;16.5;15.37;16.05;3453300
2024-11-07;15.28;16.1;15.2;15.65;5167500
2024-11-06;15.87;16.01;15.05;15.25;9291800
2024-11-05;15.4;15.51;15.09;15.39;646200
2024-11-04;15.25;15.38;15.01;15.21;487000
2024-11-01;15.39;15.5;15.13;15.25;893500
2024-10-31;14.98;15.35;14.89;15.22;738300
2024-10-30;15.29;15.51;15.05;15.07;698100
2024-10-29;15.5;15.51;15.11;15.34;531800
2024-10-28;15.26;15.5;15.06;15.5;661100
2024-10-25;14.86;15.28;14.57;15.09;633500
2024-10-24;15.14;15.5;14.64;14.88;793500
2024-10-23;15.35;15.36;14.81;15.05;722300
2024-10-22;15.44;15.72;15.15;15.25;599400
2024-10-21;15.42;15.65;15.07;15.43;587900
2024-10-18;15.48;15.53;15.19;15.4;752200
2024-10-17;15.26;15.53;14.99;15.42;574300
2024-10-16;15.58;15.72;15.26;15.41;916200
2024-10-15;15.91;16.16;15.3;15.34;850600
2024-10-14;15.7;16.12;15.39;15.95;1678400
2024-10-11;14.82;15.69;14.82;15.59;1132500
2024-10-10;14.9;15.11;14.63;14.97;839600
2024-10-09;14.71;15.23;14.58;14.76;1290600
2024-10-08;13.66;14.85;13.38;14.77;1924800
2024-10-07;14.26;14.27;13.52;13.67;1554500
2024-10-04;13.96;14.06;13.7;13.98;1734300
2024-10-03;14.26;14.46;13.93;13.95;1117200
2024-10-02;14.86;14.97;14.2;14.35;1082100
2024-10-01;15.63;15.99;14.59;14.64;1849400
2024-09-30;15.75;16.0;15.35;15.77;1712800
2024-09-27;15.06;15.82;15.06;15.73;1113600
2024-09-26;15.19;15.57;15.03;15.2;1059800
2024-09-25;15.75;15.86;15.01;15.1;1222400
2024-09-24;15.76;15.94;15.32;15.72;2021700
2024-09-23;15.3;16.2;14.94;15.53;2815200
2024-09-20;14.74;15.31;14.36;15.08;21230100
2024-09-19;15.0;15.32;14.65;14.87;2555600
2024-09-18;14.7;15.17;14.42;14.65;2621900
2024-09-17;14.15;14.75;13.84;14.54;1513300
2024-09-16;14.79;14.91;13.26;13.75;3290900
2024-09-13;15.14;15.14;14.45;14.7;2497700
2024-09-12;15.72;16.01;14.62;14.95;3139400
2024-09-11;15.29;15.96;15.18;15.48;3358700
2024-09-10;15.03;15.68;14.87;15.2;3308000
2024-09-09;14.08;15.98;14.08;14.88;5609500
2024-09-06;13.66;14.47;13.39;14.3;1346500
2024-09-05;12.88;13.99;12.78;13.71;1340600
2024-09-04;13.21;13.49;12.77;12.87;1654700
2024-09-03;13.95;13.95;13.13;13.29;1478000
2024-08-30;13.67;14.48;13.55;13.81;2355700
2024-08-29;14.16;14.39;13.34;13.45;1748300
2024-08-28;14.7;14.81;13.81;14.07;2105300
2024-08-27;14.9;15.0;14.35;14.86;2233800
2024-08-26;14.16;15.45;14.1;14.76;6032500
2024-08-23;14.11;14.6;13.06;13.9;3165300
2024-08-22;13.64;15.61;13.64;14.0;6843700
2024-08-21;12.5;14.57;12.5;13.51;5657500
2024-08-20;12.45;12.85;12.06;12.4;3397100
2024-08-19;12.42;13.0;12.14;12.26;2386100
2024-08-16;11.19;12.88;11.16;12.62;3800200
2024-08-15;10.98;11.44;10.62;11.35;3254300
2024-08-14;11.27;11.29;10.65;10.75;2766300
2024-08-13;10.95;11.14;10.71;10.95;1666200
2024-08-12;11.4;11.4;10.76;10.76;1304400
2024-08-09;11.35;11.5;10.92;11.16;3446700
2024-08-08;11.39;11.5;10.8;11.15;1889800
2024-08-07;11.38;11.77;10.61;10.99;2238400
2024-08-06;11.9;12.0;11.21;11.37;3506400
2024-08-05;11.25;11.96;11.05;11.45;3462300
2024-08-02;11.8;12.47;11.28;11.99;3455500
2024-08-01;12.5;12.7;12.01;12.35;4673600
2024-07-31;12.29;12.7;11.99;12.5;6733700
2024-07-30;10.9;12.5;10.75;12.05;19249800
2024-07-29;77.0;77.0;59.0;60.5;2022800
2024-07-26;87.37;87.37;74.0;78.69;81900
2024-07-25;113.97;113.97;80.0;83.83;57600
2024-07-24;81.35;157.28;80.0;123.96;218100
2024-07-23;63.87;89.0;62.0;79.3;86500
2024-07-22;59.0;62.99;57.6;60.1;40500
2024-07-19;66.72;66.72;55.03;58.61;46100
2024-07-18;75.0;75.5;63.03;67.11;16800
2024-07-17;55.77;79.0;55.77;71.7;87700
2024-07-16;56.39;62.24;52.61;54.5;19400
2024-07-15;51.98;69.0;50.04;52.95;35000
2024-07-12;41.37;56.75;41.25;49.51;24400
2024-07-11;44.63;44.79;40.81;41.74;23700
2024-07-10;46.99;47.0;42.86;42.98;27600
2024-07-09;46.14;49.91;45.45;46.0;36800
2024-07-08;59.3;59.3;49.09;49.09;41300
2024-07-05;67.81;67.81;60.01;61.0;21800
2024-07-03;65.71;66.49;61.0;63.65;11200
2024-07-02;62.5;66.99;62.5;65.71;18200
2024-07-01;69.03;73.58;62.26;62.26;19900
2024-06-28;75.94;77.67;71.0;71.76;16500
2024-06-27;78.99;78.99;73.98;73.98;14300
2024-06-26;76.8;76.8;73.5;73.55;21400
