time;open;high;low;close;Volume
2026-04-17;11.15;11.38;10.3;10.34;24833200
2026-04-16;10.22;11.3;9.93;11.22;34253400
2026-04-15;9.84;9.94;9.45;9.91;16841100
2026-04-14;10.5;10.54;9.46;9.81;22540700
2026-04-13;9.18;10.15;9.06;9.99;15945000
2026-04-10;9.45;9.71;9.06;9.29;14313400
2026-04-09;9.53;9.76;9.1;9.22;12846600
2026-04-08;10.38;10.57;9.29;9.61;22496900
2026-04-07;9.79;9.96;9.01;9.65;17314300
2026-04-06;9.64;10.06;9.6;9.91;17241800
2026-04-02;8.68;9.94;8.61;9.73;28421000
2026-04-01;8.75;9.48;8.71;9.08;18512500
2026-03-31;7.855;8.63;7.825;8.5;15963700
2026-03-30;8.19;8.25;7.43;7.71;17349000
2026-03-27;8.74;8.84;8.11;8.16;17435900
2026-03-26;8.9;9.315;8.74;8.87;17919600
2026-03-25;9.35;10.02;9.0;9.16;36576500
2026-03-24;9.35;9.79;9.0;9.05;20970400
2026-03-23;9.05;9.65;8.715;9.38;18930900
2026-03-20;9.67;10.05;8.935;9.2;21993800
2026-03-19;9.36;9.895;9.02;9.63;13069200
2026-03-18;9.88;10.07;9.545;9.55;12233000
2026-03-17;9.58;10.31;9.54;10.13;18435800
2026-03-16;9.97;10.18;9.21;9.54;14194100
2026-03-13;9.6;10.01;9.34;9.59;14567100
2026-03-12;9.32;9.71;9.04;9.48;15612400
2026-03-11;9.35;9.825;9.15;9.46;14496700
2026-03-10;9.5;9.7;9.16;9.23;12206700
2026-03-09;8.71;9.68;8.64;9.65;20812800
2026-03-06;8.79;9.45;8.48;8.55;17902400
2026-03-05;9.2;9.519;8.67;9.07;13822200
2026-03-04;9.05;9.365;8.825;9.28;13699100
2026-03-03;9.16;9.37;8.56;8.95;16467300
2026-03-02;9.04;10.4;9.04;9.52;24244000
2026-02-27;9.27;9.536;8.53;9.07;16101200
2026-02-26;8.6;9.8;8.51;9.55;30025600
2026-02-25;8.36;8.68;8.16;8.62;15219100
2026-02-24;8.04;8.45;7.79;8.42;9855400
2026-02-23;7.77;8.15;7.67;8.12;10316200
2026-02-20;8.49;8.85;7.97;7.99;13508700
2026-02-19;8.16;8.63;7.97;8.6;12455000
2026-02-18;8.14;8.68;8.03;8.4;15398500
2026-02-17;7.77;8.14;7.525;8.0;14217400
2026-02-13;8.13;8.495;7.65;8.02;16668400
2026-02-12;8.875;8.89;7.81;7.89;23187000
2026-02-11;9.48;9.48;8.59;9.01;20920900
2026-02-10;9.94;10.03;9.37;9.38;17245700
2026-02-09;9.86;10.4;9.81;10.09;22784800
2026-02-06;9.21;10.145;8.815;10.04;26432200
2026-02-05;9.605;10.05;8.65;8.8;28095200
2026-02-04;11.2;11.203;9.57;10.03;29368600
2026-02-03;11.445;11.45;10.6;11.26;29904800
2026-02-02;11.71;11.73;10.83;10.88;28840700
2026-01-30;13.0;14.09;11.41;11.75;42743200
