time;open;high;low;close;Volume
2026-04-24;12.59;12.8;12.06;12.28;1573289
2026-04-23;12.22;12.74;11.71;12.74;2165260
2026-04-22;11.75;12.28;11.75;12.25;1810584
2026-04-21;11.78;12.51;11.53;11.7857;2031653
2026-04-20;12.0;12.35;11.53;11.83;1708263
2026-04-17;11.35;12.465;11.28;12.08;2978852
2026-04-16;10.57;11.5;10.57;11.2;2389742
2026-04-15;10.56;10.83;10.33;10.49;1168049
2026-04-14;10.45;10.8;10.41;10.5;1327651
2026-04-13;9.55;10.5985;9.41;10.5985;1913882
2026-04-10;9.7;9.875;9.63;9.75;1405629
2026-04-09;10.15;10.18;9.57;9.69;1415896
2026-04-08;9.88;10.5602;9.83;10.16;2807612
2026-04-07;9.25;9.93;8.995;9.79;2338827
2026-04-06;9.1;9.64;9.1;9.6322;1864565
2026-04-02;8.91;9.32;8.77;9.12;1565993
2026-04-01;9.28;9.415;9.02;9.28;2547400
2026-03-31;8.28;9.23;8.27;9.23;3525142
2026-03-30;8.75;8.75;8.05;8.11;5002502
2026-03-27;9.05;9.08;8.475;8.68;2185525
2026-03-26;9.11;9.27;8.945;9.0;1322643
2026-03-25;9.05;9.22;8.725;9.1835;2211003
2026-03-24;9.4;9.4;8.78;9.07;2056116
2026-03-23;8.86;9.61;8.85;9.36;2525403
2026-03-20;9.17;9.29;8.57;8.86;3940942
2026-03-19;9.35;9.46;9.123;9.3;2304359
2026-03-18;9.89;9.905;9.26;9.35;1792160
2026-03-17;10.0;10.23;9.72;9.94;1359840
2026-03-16;9.6;10.69;9.6;10.0;1873276
2026-03-13;9.94;10.205;9.44;9.63;2211360
2026-03-12;10.04;10.1437;9.635;9.95;2687817
2026-03-11;10.75;10.75;9.81;9.9;4220402
2026-03-10;10.9;11.095;10.64;10.8057;2132839
2026-03-09;11.05;11.05;10.27;10.9;2340648
2026-03-06;11.47;11.47;10.88;11.31;1401738
2026-03-05;12.06;12.11;11.01;11.37;2368183
2026-03-04;11.72;12.4;11.1;11.9;2492204
2026-03-03;11.42;11.705;10.77;11.55;3321882
2026-03-02;11.88;12.26;11.35;11.87;4291072
2026-02-27;13.96;14.4;11.88;12.27;9519853
2026-02-26;12.13;14.13;11.94;13.71;6264307
2026-02-25;11.66;12.26;11.4;12.1014;3220239
2026-02-24;11.07;11.86;10.85;11.71;3123837
2026-02-23;11.0;11.09;10.55;11.0;2480551
2026-02-20;11.26;11.44;10.72;11.02;1975024
2026-02-19;11.5;11.51;10.865;11.25;1284524
2026-02-18;10.94;11.58;10.87;11.44;2650945
2026-02-17;11.5;11.5;10.58;10.9013;2637678
2026-02-13;10.6;11.61;10.6;11.3343;2807204
2026-02-12;11.83;11.92;10.68;10.76;3540240
2026-02-11;12.89;12.89;11.77;12.16;2110980
2026-02-10;12.79;12.98;12.29;12.383;1302113
2026-02-09;13.25;13.25;12.35;13.15;1272956
2026-02-06;12.45;13.26;12.4;13.0;1707240
2026-02-05;13.26;13.57;12.35;12.5;3354966
2026-02-04;14.47;14.55;12.9408;12.9408;2738174
2026-02-03;14.75;15.16;14.1685;14.45;1663263
2026-02-02;14.46;14.75;14.01;14.48;3229162
2026-01-30;15.17;15.55;14.535;14.88;2073273
2026-01-29;15.21;15.655;15.19;15.513;1168199
2026-01-28;16.1754;16.5;15.14;15.29;2033844
2026-01-27;15.85;16.14;15.4;16.09;1383944
2026-01-26;15.2;15.92;15.05;15.8797;1889631
2026-01-23;16.3;16.36;15.2;15.22;1971512
2026-01-22;16.62;17.3922;16.2014;16.3;1638547
2026-01-21;15.9651;16.71;15.9587;16.58;2234500
2026-01-20;16.46;16.8;15.82;15.9502;1580771
2026-01-16;16.45;16.66;15.9;16.63;1457632
2026-01-15;16.42;16.97;16.2646;16.45;1753244
2026-01-14;16.88;17.25;16.28;16.6;2318027
2026-01-13;16.7;16.99;16.48;16.7573;1429223
2026-01-12;16.25;16.9;15.96;16.7278;1683129
2026-01-09;16.3;16.51;15.67;16.49;1850230
2026-01-08;16.31;16.71;16.16;16.25;3351301
2026-01-07;16.37;16.66;16.02;16.25;1757377
2026-01-06;15.71;16.715;15.445;16.5623;2263408
2026-01-05;15.66;16.22;15.2;15.9;1714452
2026-01-02;15.47;16.1;15.19;15.8;1596134
2025-12-31;15.97;16.05;15.605;15.621;1572692
2025-12-30;16.4;16.7399;16.02;16.02;2052900
2025-12-29;16.14;16.48;15.805;15.9;1651068
2025-12-26;16.3;16.41;15.9075;16.41;1158803
2025-12-24;15.56;16.33;15.41;16.23;946798
2025-12-23;15.74;15.89;15.13;15.57;1338071
2025-12-22;15.56;15.87;15.41;15.74;1384667
2025-12-19;15.94;16.07;15.3437;15.53;4188484
2025-12-18;14.77;16.08;14.76;15.96;3268496
2025-12-17;14.7;15.45;14.29;14.74;3487945
2025-12-16;13.91;14.99;13.81;14.5014;1879970
2025-12-15;14.6;15.0;13.98;14.0;2047747
2025-12-12;14.2;14.99;14.12;14.12;2696617
2025-12-11;14.65;14.88;14.15;14.26;1485495
2025-12-10;14.2;14.79;14.02;14.66;1673598
2025-12-09;13.88;14.5;13.88;14.1925;1404873
2025-12-08;13.99;14.49;13.91;14.05;1686053
2025-12-05;14.27;14.5;13.89;13.98;1659277
2025-12-04;13.78;14.54;13.77;14.28;1432595
2025-12-03;14.25;14.5799;14.0276;14.05;1539648
2025-12-02;14.25;14.31;13.96;14.2;1424554
2025-12-01;14.1;14.5;13.84;14.15;1601585
2025-11-28;14.49;14.73;14.24;14.32;991268
2025-11-26;14.48;14.92;14.36;14.51;2058825
2025-11-25;13.41;14.66;13.3;14.32;3387455
2025-11-24;13.52;13.805;13.22;13.4;2029001
2025-11-21;13.14;13.64;12.44;13.52;3732233
2025-11-20;13.28;14.29;12.905;13.08;1881789
2025-11-19;13.68;13.8182;13.085;13.1752;3080632
2025-11-18;14.13;14.58;13.5368;13.5386;3275937
2025-11-17;13.95;14.58;13.62;14.23;2775258
2025-11-14;14.28;14.48;13.6016;13.99;2054727
2025-11-13;14.75;15.29;13.92;14.4;3390519
2025-11-12;15.51;16.24;14.47;14.8;5769142
2025-11-11;12.96;15.56;12.66;15.45;18635287
2025-11-10;11.2795;13.25;11.06;12.63;6586764
2025-11-07;10.81;11.255;10.49;10.93;2963208
2025-11-06;11.56;11.66;10.59;10.59;2377788
2025-11-05;11.74;12.22;11.47;12.0;2598362
2025-11-04;11.75;11.8988;11.16;11.19;2577971
