date;quarter;type
2026-05-07;Q2-2026;earnings
2026-02-26;Q1-2026;earnings
2025-11-10;Q4-2025;earnings
2025-08-07;Q3-2025;earnings
2025-05-08;Q2-2025;earnings
2025-02-20;Q1-2025;earnings
2024-11-04;Q4-2024;earnings
2024-08-06;Q3-2024;earnings
2024-05-07;Q2-2024;earnings
2024-02-29;Q1-2024;earnings
2023-11-07;Q4-2023;earnings
2023-08-08;Q3-2023;earnings
2023-05-09;Q2-2023;earnings
2023-02-28;Q1-2023;earnings
2022-11-08;Q4-2022;earnings
2022-08-09;Q3-2022;earnings
2022-05-10;Q2-2022;earnings
2022-02-23;Q1-2022;earnings
2021-11-08;Q4-2021;earnings
2021-08-08;Q3-2021;earnings
2021-05-10;Q2-2021;earnings
2021-02-22;Q1-2021;earnings
2020-11-09;Q4-2020;earnings
2020-08-06;Q3-2020;earnings
2020-05-06;Q2-2020;earnings
2020-02-25;Q1-2020;earnings
