time;open;high;low;close;Volume
2026-04-17;17.48;18.48;17.05;18.11;20533700
2026-04-16;17.58;17.69;16.155;16.92;23724500
2026-04-15;17.735;17.945;16.6;17.42;31416300
2026-04-14;18.048;18.91;17.8;18.12;17906900
2026-04-13;16.202;17.44;15.94;17.37;14040300
2026-04-10;16.74;17.15;16.565;16.6;13953800
2026-04-09;16.0;17.175;15.965;16.69;18245200
2026-04-08;15.49;16.315;15.33;16.11;28412100
2026-04-07;13.3;14.2;13.24;14.19;14780900
2026-04-06;12.96;13.71;12.95;13.52;12020400
2026-04-02;11.914;13.0;11.75;12.86;14491000
2026-04-01;12.66;12.87;12.42;12.55;13290900
2026-03-31;12.16;12.48;11.515;12.36;18025000
2026-03-30;12.905;13.06;11.5;11.83;16882500
2026-03-27;13.66;13.67;12.663;12.8;17530700
2026-03-26;14.83;14.9;13.64;14.005;14665400
2026-03-25;14.8;15.25;14.47;15.16;16018100
2026-03-24;14.16;14.73;14.025;14.33;13309100
2026-03-23;13.41;14.585;13.41;14.37;16517600
2026-03-20;14.03;14.1;13.01;13.38;15573500
2026-03-19;13.7;14.35;13.253;14.14;12493400
2026-03-18;14.46;14.672;13.925;14.1;18597900
2026-03-17;14.22;14.989;14.18;14.68;14784800
2026-03-16;14.63;14.88;14.18;14.4;18671400
2026-03-13;15.0;15.56;14.005;14.04;19874700
2026-03-12;14.455;14.75;13.93;14.5;16202900
2026-03-11;14.68;15.265;14.35;14.81;15230500
2026-03-10;14.85;15.39;14.53;14.64;15746600
2026-03-09;13.91;14.79;13.57;14.7;17254400
2026-03-06;15.055;15.09;13.935;14.165;20747700
2026-03-05;16.45;16.61;15.05;15.6;21039000
2026-03-04;15.71;17.015;15.52;16.53;21174700
2026-03-03;15.915;16.29;15.148;15.29;24626100
2026-03-02;15.6;16.9;15.5;16.43;19694000
2026-02-27;16.69;16.94;15.78;16.29;15497700
2026-02-26;16.8;17.22;16.54;17.09;12662600
2026-02-25;17.03;17.408;16.735;17.08;17540100
2026-02-24;15.79;16.78;15.39;16.5;17052100
2026-02-23;15.17;15.99;15.1;15.65;14920900
2026-02-20;16.195;17.185;15.41;15.68;20495600
2026-02-19;15.27;16.25;15.12;16.22;17510400
2026-02-18;15.25;16.06;15.05;15.49;26762800
2026-02-17;14.778;15.065;14.085;14.65;17213300
2026-02-13;14.39;15.62;14.01;15.22;19809700
2026-02-12;14.78;15.18;13.935;14.2;21918600
2026-02-11;14.95;15.115;14.28;14.8;17062500
2026-02-10;14.5;15.32;14.5;14.83;14746500
2026-02-09;13.9;15.12;13.8;14.97;18191300
2026-02-06;13.01;14.565;12.81;14.45;25278000
2026-02-05;13.64;14.18;11.81;12.06;32921100
2026-02-04;15.02;15.11;13.455;14.14;26099900
2026-02-03;15.47;16.2;14.72;15.34;18849700
2026-02-02;15.09;15.79;14.8;15.32;15999700
2026-01-30;16.44;16.59;15.25;15.47;19706700
2026-01-29;17.22;17.3;16.05;16.97;18693900
2026-01-28;17.72;18.04;17.17;17.55;14628700
2026-01-27;16.32;17.706;16.19;17.55;18849000
2026-01-26;17.155;17.17;16.2;16.23;20019400
2026-01-23;17.07;18.445;16.55;17.28;22985400
2026-01-22;17.41;17.68;16.8;17.08;13647200
2026-01-21;18.245;18.75;16.96;17.25;21079200
2026-01-20;17.84;18.98;17.8;18.1;25353400
2026-01-16;17.73;19.39;17.3;19.24;53701100
2026-01-15;16.9;17.33;16.51;16.57;15568000
2026-01-14;17.3;17.94;16.76;17.31;27729100
2026-01-13;16.66;16.95;16.15;16.75;19757500
2026-01-12;15.3;16.46;14.99;16.45;20866200
2026-01-09;15.5;16.085;15.2;15.32;16439500
2026-01-08;15.05;15.49;14.84;15.13;13371900
2026-01-07;14.93;15.345;14.585;15.27;17491900
2026-01-06;14.79;15.25;14.38;14.98;14039800
2026-01-05;14.75;14.955;14.36;14.79;14201200
2026-01-02;13.01;14.395;12.646;14.16;21653500
2025-12-31;12.77;13.07;12.62;12.67;10971600
2025-12-30;13.365;13.48;12.7;12.7;13824400
2025-12-29;13.155;13.65;13.045;13.21;8623500
2025-12-26;13.93;13.95;13.38;13.44;8972100
2025-12-24;13.84;13.93;13.542;13.92;4460600
2025-12-23;14.08;14.23;13.635;13.67;11055500
2025-12-22;15.025;15.09;14.29;14.4;13007900
2025-12-19;13.725;14.64;13.69;14.5;19399800
2025-12-18;13.475;13.735;13.115;13.38;14402700
2025-12-17;13.67;13.99;12.835;12.96;14833700
2025-12-16;13.57;13.86;13.075;13.47;13951400
2025-12-15;15.29;15.29;13.57;13.71;19176500
2025-12-12;15.745;16.27;15.03;15.3;18277400
2025-12-11;15.2;15.805;14.66;15.75;21134900
2025-12-10;15.32;15.825;15.11;15.57;14876200
2025-12-09;14.64;15.965;14.41;15.51;15477900
2025-12-08;15.13;15.405;14.76;14.96;12472000
2025-12-05;15.33;15.429;14.7;14.94;15302800
2025-12-04;15.43;15.85;15.22;15.59;12930000
2025-12-03;15.195;15.68;14.89;15.64;14094000
2025-12-02;15.845;16.25;15.2;15.22;21975200
2025-12-01;15.24;15.809;14.88;15.48;19149400
2025-11-28;15.72;16.65;15.56;16.13;21219100
2025-11-26;14.575;15.24;14.23;14.96;19374700
2025-11-25;13.63;14.44;13.125;14.39;21051300
2025-11-24;13.055;13.91;12.83;13.88;17483100
2025-11-21;12.5;12.91;12.038;12.71;18271700
2025-11-20;14.08;14.33;12.74;12.78;21872500
2025-11-19;13.97;14.455;13.035;13.35;21392400
2025-11-18;13.63;14.24;13.455;13.94;18309400
2025-11-17;13.765;14.235;13.335;13.88;22867700
2025-11-14;13.21;14.536;12.75;13.95;31664700
2025-11-13;15.065;15.2;13.6;13.88;28407500
2025-11-12;16.47;16.47;15.08;15.46;24259800
2025-11-11;16.81;16.82;15.92;16.14;22278700
2025-11-10;17.79;18.0;17.05;17.32;17622700
2025-11-07;16.585;17.125;15.97;17.01;22442100
2025-11-06;18.83;18.9;17.3;17.34;22687000
2025-11-05;19.42;19.73;18.41;18.97;32493600
2025-11-04;19.69;20.925;19.06;19.275;25277300
2025-11-03;20.885;21.83;19.95;20.72;33715600
2025-10-31;21.71;21.905;19.311;19.78;33356000
2025-10-30;21.455;21.83;20.74;21.09;20561300
2025-10-29;22.025;22.58;21.06;22.17;25248100
2025-10-28;22.95;23.235;21.43;21.555;22936600
2025-10-27;22.225;23.49;21.57;23.0;21638900
2025-10-24;21.27;21.89;20.9;21.42;15624700
2025-10-23;19.15;20.96;19.15;20.49;17813400
2025-10-22;20.22;20.58;18.39;18.99;20084800
2025-10-21;21.585;22.19;20.49;20.67;18231100
2025-10-20;21.06;22.55;20.61;22.01;22037400
2025-10-17;18.81;20.29;18.5;20.03;22556500
2025-10-16;22.11;22.11;19.4;19.55;22941100
2025-10-15;22.8;23.01;21.49;22.13;19314900
2025-10-14;20.835;22.93;20.066;22.19;26294700
2025-10-13;21.51;22.01;20.864;21.7;25822400
2025-10-10;22.89;23.935;20.64;21.01;36397200
2025-10-09;22.01;22.37;21.16;22.28;24654200
2025-10-08;21.74;22.415;21.37;21.99;28859500
2025-10-07;21.8;21.87;20.11;21.47;32348000
2025-10-06;20.47;22.08;20.1;21.56;40384700
2025-10-03;19.39;20.795;18.97;19.44;40191800
2025-10-02;19.36;19.66;18.9;19.25;29498300
2025-10-01;19.54;19.59;18.51;18.93;34586000
2025-09-30;19.64;19.77;18.76;19.03;43274300
