time;open;high;low;close;Volume
2026-04-17;46.13;46.458;43.31;43.54;508800
2026-04-16;44.41;46.06;42.86;45.24;817600
2026-04-15;44.23;46.1;42.619;45.09;768500
2026-04-14;41.86;44.71;41.115;43.3;900100
2026-04-13;37.95;41.84;36.91;41.77;382800
2026-04-10;38.82;38.82;36.235;37.89;223100
2026-04-09;36.75;40.04;36.73;38.89;352500
2026-04-08;38.36;38.37;36.18;36.95;274400
2026-04-07;37.15;38.605;35.39;36.76;373500
2026-04-06;40.09;40.425;37.28;37.38;191900
2026-04-02;40.79;42.62;40.19;40.49;527800
2026-04-01;40.16;42.3;40.0;41.3;516300
2026-03-31;37.49;41.61;37.49;40.09;569900
2026-03-30;36.18;37.755;35.36;36.66;344200
2026-03-27;37.04;38.22;36.01;36.16;497900
2026-03-26;37.43;38.71;35.93;37.96;273800
2026-03-25;34.95;38.2;34.95;37.08;285600
2026-03-24;35.81;36.18;33.645;34.76;259600
2026-03-23;36.99;38.29;35.64;36.43;346700
2026-03-20;35.45;37.41;34.81;36.39;339200
2026-03-19;34.16;36.17;33.2;35.49;218700
2026-03-18;35.57;36.42;34.02;34.4;296000
2026-03-17;37.17;37.74;34.35;35.84;243700
2026-03-16;37.65;39.03;36.585;37.17;362400
2026-03-13;36.68;37.95;36.21;37.32;320300
2026-03-12;37.63;37.87;34.63;36.68;202200
2026-03-11;37.63;39.0;37.63;38.38;186400
2026-03-10;37.63;39.17;37.6;38.08;255400
2026-03-09;35.58;38.06;35.58;37.53;318200
2026-03-06;32.85;36.225;32.77;35.93;310400
2026-03-05;34.13;34.87;32.715;34.56;611700
2026-03-04;34.19;35.93;33.605;34.57;208000
2026-03-03;33.92;34.77;32.61;34.09;220200
2026-03-02;32.89;35.1;32.565;33.92;276000
2026-02-27;37.25;38.32;36.24;36.54;183100
2026-02-26;38.06;38.37;36.74;38.0;139800
2026-02-25;37.6;39.32;37.0;38.03;197100
2026-02-24;36.99;38.835;36.11;37.32;290800
2026-02-23;34.99;38.12;34.72;36.1;102900
2026-02-20;37.12;37.5;35.46;35.49;145500
2026-02-19;37.43;38.175;36.654;37.34;181400
2026-02-18;37.64;38.91;36.945;37.73;104500
2026-02-17;37.53;38.51;37.235;38.03;117400
2026-02-13;37.64;39.865;37.02;37.52;332900
2026-02-12;36.3;38.86;36.07;37.64;199800
2026-02-11;38.05;38.915;35.67;36.53;389700
2026-02-10;36.67;38.555;35.7;38.015;321200
2026-02-09;35.97;37.2;35.02;36.82;311900
2026-02-06;35.23;38.2;34.87;36.11;440000
2026-02-05;40.44;41.615;32.46;35.25;563000
2026-02-04;44.5;44.5;41.08;41.315;332500
2026-02-03;44.42;44.88;42.69;44.48;312300
2026-02-02;42.06;44.99;40.89;43.65;911900
2026-01-30;42.05;43.0;40.705;42.26;229500
2026-01-29;42.72;43.745;41.51;42.44;212200
2026-01-28;43.81;44.19;41.98;42.13;180700
2026-01-27;42.14;43.77;42.08;43.4;107000
2026-01-26;40.91;42.705;40.315;42.6;148400
2026-01-23;41.3;43.135;41.3;42.38;199500
2026-01-22;40.29;42.64;39.985;41.77;664400
2026-01-21;40.04;41.495;39.11;40.79;192300
2026-01-20;38.32;40.98;37.7;40.01;155300
2026-01-16;38.9;40.97;38.52;39.11;264900
2026-01-15;41.48;41.48;37.82;38.85;263800
