time;open;high;low;close;Volume
2026-04-17;484.05;505.0;480.0;503.63;442100
2026-04-16;457.51;474.0;448.0;470.56;324100
2026-04-15;441.25;458.27;441.18;454.15;235900
2026-04-14;452.73;460.28;444.5;446.04;365000
2026-04-13;418.42;448.2;415.96;447.08;368100
2026-04-10;413.23;430.015;408.0;420.32;266600
2026-04-09;394.9;408.0;392.765;406.69;340800
2026-04-08;400.0;403.05;379.05;394.92;352700
2026-04-07;360.0;372.61;355.37;371.5;359200
2026-04-06;346.14;366.43;343.77;363.94;411600
2026-04-02;331.5;351.64;330.125;347.05;290800
2026-04-01;354.78;366.385;349.84;354.33;348600
2026-03-31;316.48;351.28;316.48;345.35;543800
2026-03-30;331.13;333.15;306.62;311.23;520200
2026-03-27;328.16;335.57;319.01;327.2;385400
2026-03-26;344.48;347.73;331.55;334.67;283300
2026-03-25;359.42;375.275;345.79;354.5;330000
2026-03-24;338.28;357.85;337.0;354.35;329500
2026-03-23;339.3;364.175;336.0;346.17;548300
2026-03-20;356.45;358.5;322.91;325.32;4028500
2026-03-19;331.12;362.8;328.0;356.43;204300
2026-03-18;351.94;357.46;343.26;343.78;267800
2026-03-17;341.58;352.0;338.66;346.0;242900
2026-03-16;338.28;355.0;338.24;341.69;312000
2026-03-13;333.39;342.94;321.87;326.13;261300
2026-03-12;341.12;346.67;310.845;322.88;445100
2026-03-11;353.51;364.49;348.6;350.93;255600
2026-03-10;356.495;373.24;354.0;355.3;350400
2026-03-09;316.24;357.53;305.21;356.34;774600
2026-03-06;343.22;353.94;325.1;327.35;540700
2026-03-05;377.19;391.84;351.82;356.09;506000
2026-03-04;409.775;417.711;380.11;383.47;432400
2026-03-03;418.59;421.29;395.48;406.41;437300
2026-03-02;390.06;441.49;390.06;440.8;350500
2026-02-27;391.4;399.17;383.04;397.88;406400
2026-02-26;419.37;419.37;385.0;397.86;308100
2026-02-25;406.5;426.75;406.25;418.17;358700
2026-02-24;400.15;410.99;395.0;404.79;247400
2026-02-23;411.35;411.35;388.0;396.01;236200
2026-02-20;395.31;418.0;393.515;406.97;254300
2026-02-19;404.74;410.85;389.21;396.57;271000
2026-02-18;414.55;428.345;403.97;410.72;271600
2026-02-17;413.08;420.77;392.95;414.05;253800
2026-02-13;414.53;431.0;410.4;420.23;437400
2026-02-12;446.5;446.955;416.01;423.2;383300
2026-02-11;420.0;437.393;414.66;436.28;235900
2026-02-10;420.36;429.28;410.43;413.76;342100
2026-02-09;419.0;433.83;415.0;417.36;350600
2026-02-06;424.86;440.0;400.67;418.69;543200
