time;open;high;low;close;Volume
2026-04-17;61.98;65.45;61.12;63.17;2371100
2026-04-16;59.18;61.73;57.19;60.56;1656200
2026-04-15;61.035;61.975;58.04;58.74;2765500
2026-04-14;56.44;57.13;55.8;56.56;861600
2026-04-13;52.78;55.2;52.41;54.61;812500
2026-04-10;54.14;54.97;53.54;53.83;591800
2026-04-09;54.25;54.93;53.11;53.59;912500
2026-04-08;55.09;56.845;53.82;54.55;1479500
2026-04-07;52.61;53.13;50.5;51.58;1079200
2026-04-06;53.32;54.23;52.6;53.3;603400
2026-04-02;52.0;54.9;51.71;53.37;1156800
2026-04-01;54.74;57.445;54.45;54.82;1594000
2026-03-31;50.17;53.28;49.3;53.2;1698000
2026-03-30;50.693;50.85;47.18;47.41;1170500
2026-03-27;50.0;51.085;48.77;50.42;1040900
2026-03-26;52.05;52.82;50.73;50.8;1155200
2026-03-25;54.46;55.25;52.42;53.36;1472200
2026-03-24;52.17;53.7;51.53;53.01;970900
2026-03-23;51.12;53.97;51.0;52.6;1584300
2026-03-20;51.22;52.12;49.38;50.12;1950600
2026-03-19;48.92;51.77;48.76;51.28;967700
2026-03-18;51.72;52.3;49.82;50.06;1431100
2026-03-17;51.04;52.53;50.575;52.51;854000
2026-03-16;50.25;51.48;50.25;50.97;959500
2026-03-13;50.77;51.54;48.918;49.43;2192100
2026-03-12;50.04;52.15;49.39;50.58;1259000
2026-03-11;49.95;51.69;49.88;51.01;895600
2026-03-10;50.22;51.45;49.54;49.88;1393400
2026-03-09;47.4;50.28;45.75;50.24;1913100
2026-03-06;51.66;52.43;48.51;48.61;1878600
2026-03-05;53.61;54.71;51.5;53.2;1186800
2026-03-04;53.32;54.82;52.98;54.04;793100
2026-03-03;51.86;53.49;50.33;52.67;994400
2026-03-02;52.75;54.7;51.88;54.21;1165500
2026-02-27;55.78;56.243;53.6;54.78;1233800
2026-02-26;56.14;57.57;54.8;57.42;1164400
2026-02-25;56.97;57.855;55.27;56.14;1796600
2026-02-24;54.49;56.575;53.255;56.3;1178400
2026-02-23;53.1;54.69;52.19;54.35;1307500
2026-02-20;54.72;54.89;52.52;53.795;1572200
2026-02-19;55.6;56.32;54.75;55.075;1307700
2026-02-18;55.01;56.155;53.721;54.01;1538100
2026-02-17;53.97;56.31;53.06;55.32;1624400
2026-02-13;54.75;56.635;54.0;54.95;1239100
2026-02-12;58.87;59.2;54.315;54.71;2181500
2026-02-11;63.81;64.388;56.275;58.4;2120200
2026-02-10;63.195;64.41;61.332;62.71;2478300
2026-02-09;59.16;64.17;59.1;62.54;2505000
2026-02-06;55.92;61.0;55.7;59.74;3677500
2026-02-05;51.745;57.37;50.874;53.78;6123700
2026-02-04;55.59;56.28;51.45;53.48;4385100
2026-02-03;55.77;57.19;54.21;56.12;2097100
2026-02-02;53.5;54.95;51.71;54.13;2024200
2026-01-30;55.5;57.86;53.37;54.37;1940400
2026-01-29;54.879;56.25;53.3;56.2;1953200
2026-01-28;58.68;59.12;53.825;55.1;4701200
2026-01-27;60.0;60.18;56.42;58.99;2509400
2026-01-26;61.665;61.75;59.235;59.45;1676600
2026-01-23;63.69;64.6;61.18;62.08;1237100
2026-01-22;62.88;64.95;60.81;63.51;1526900
2026-01-21;63.75;64.5;59.62;61.65;1406800
2026-01-20;65.044;68.0;62.39;63.12;2180100
2026-01-16;67.44;68.03;66.0;67.41;1201400
2026-01-15;69.07;71.55;66.83;67.06;1748400
2026-01-14;68.88;69.315;65.84;68.01;1219600
2026-01-13;73.3;73.91;69.47;69.67;1437300
2026-01-12;70.75;73.97;69.9;73.23;1204900
2026-01-09;71.95;73.38;70.16;70.82;1534300
2026-01-08;69.79;71.25;68.73;70.61;1605600
2026-01-07;70.79;70.9;69.07;69.62;1533800
2026-01-06;69.005;71.35;67.11;70.45;1895300
2026-01-05;66.72;70.03;65.41;68.62;2703700
2026-01-02;60.82;65.417;59.56;64.87;2328100
2025-12-31;59.97;61.04;59.42;59.5;1464600
2025-12-30;59.85;61.77;59.7;60.27;1517700
2025-12-29;57.05;60.06;56.76;59.82;1240800
2025-12-26;58.31;58.5;56.64;57.99;1253000
2025-12-24;58.84;59.17;57.18;58.295;721700
2025-12-23;58.552;59.89;57.85;58.84;939700
2025-12-22;60.73;60.75;58.89;59.31;1773900
2025-12-19;59.33;61.09;58.58;59.0;2937000
2025-12-18;57.81;60.51;57.75;58.19;2349700
2025-12-17;63.1;63.89;55.85;55.99;2982800
2025-12-16;60.01;63.378;59.32;62.69;2579600
2025-12-15;62.14;62.14;59.2;59.73;3578600
2025-12-12;63.62;64.484;60.24;61.43;2609800
2025-12-11;59.56;64.025;58.927;63.62;2357900
2025-12-10;61.125;61.46;59.15;60.25;2963400
2025-12-09;59.1;64.13;58.5;62.17;3713700
2025-12-08;60.51;61.97;59.26;60.48;4188500
2025-12-05;59.73;62.25;57.03;59.7;12422800
2025-12-04;62.212;65.7;59.83;60.48;9642500
2025-12-03;68.81;73.32;67.09;73.22;3408000
2025-12-02;79.55;80.993;66.128;66.95;7254700
2025-12-01;82.94;86.68;81.75;85.3;2707000
2025-11-28;84.41;85.79;81.78;83.77;2626200
2025-11-26;78.84;87.88;77.91;87.3;5758900
2025-11-25;73.468;78.33;69.13;77.29;10182500
2025-11-24;55.81;56.045;51.862;55.46;4085100
2025-11-21;53.59;54.485;48.58;53.64;2459600
2025-11-20;56.91;59.45;53.84;54.72;2845100
2025-11-19;53.3;55.28;52.775;53.96;1122900
2025-11-18;54.39;56.48;52.5;52.94;2226300
2025-11-17;58.18;59.57;56.08;56.89;1474900
2025-11-14;55.75;61.69;55.35;58.18;1533300
2025-11-13;61.1;61.1;56.76;59.52;3588700
2025-11-12;66.55;67.08;61.34;63.11;1847700
2025-11-11;68.89;69.66;63.83;66.18;1334400
2025-11-10;75.37;75.5;69.83;70.72;1235600
