time;open;high;low;close;Volume
2026-04-24;8.8;8.8;8.35;8.62;1173292
2026-04-23;8.81;8.88;8.65;8.68;1238347
2026-04-22;9.0;9.16;8.74;8.99;2489652
2026-04-21;8.9;9.21;8.71;8.74;2451515
2026-04-20;8.43;9.01;8.3;8.84;2451436
2026-04-17;8.09;8.59;8.09;8.5;3694412
2026-04-16;7.65;8.01;7.49;7.99;2213352
2026-04-15;7.88;8.07;7.63;7.69;1102708
2026-04-14;7.23;7.97;7.23;7.72;3342303
2026-04-13;7.07;7.26;6.92;7.25;3973076
2026-04-10;7.14;7.25;6.91;7.15;1337980
2026-04-09;7.29;7.44;7.01;7.14;1631153
2026-04-08;7.41;7.55;7.22;7.38;2116774
2026-04-07;7.01;7.19;6.84;7.05;1774582
2026-04-06;6.96;7.1;6.81;7.1;1711969
2026-04-02;6.62;7.05;6.6;6.95;1329440
2026-04-01;6.59;6.98;6.52;6.83;1314006
2026-03-31;6.75;6.95;6.36;6.65;2222255
2026-03-30;6.64;6.84;6.5;6.68;2582555
2026-03-27;7.13;7.13;6.55;6.58;2997315
2026-03-26;7.22;7.35;6.83;7.11;3405444
2026-03-25;7.43;7.65;7.27;7.4;2464702
2026-03-24;7.8;7.8;7.16;7.2;2952800
2026-03-23;7.7;7.9;7.6;7.67;2578646
2026-03-20;7.72;7.79;7.44;7.66;3128417
2026-03-19;7.7;7.72;7.4;7.69;2285666
2026-03-18;7.91;8.24;7.47;7.72;2404068
2026-03-17;7.66;8.19;7.66;7.94;2803386
2026-03-16;7.33;7.72;7.18;7.72;2832499
2026-03-13;7.63;7.64;7.02;7.15;7677572
2026-03-12;8.7;8.71;6.49;7.64;12260462
2026-03-11;8.0;9.06;8.0;8.95;3177878
2026-03-10;8.76;8.87;8.4;8.55;1873044
2026-03-09;8.5;8.88;8.35;8.8;1956751
2026-03-06;9.28;9.28;8.45;8.78;1811552
2026-03-05;9.43;9.43;8.91;9.32;2288703
2026-03-04;9.21;9.44;9.16;9.22;1182810
2026-03-03;9.42;9.48;9.12;9.18;1890896
2026-03-02;9.33;9.66;9.08;9.62;1386697
2026-02-27;9.72;9.84;9.35;9.36;1766035
2026-02-26;9.42;9.9;9.33;9.85;1319067
2026-02-25;9.51;9.6;9.34;9.45;1616566
2026-02-24;9.28;10.25;9.1;9.61;1412041
2026-02-23;9.78;9.78;9.13;9.21;1724757
2026-02-20;9.78;9.99;9.49;9.78;1212503
2026-02-19;9.4;9.67;9.25;9.65;1192724
2026-02-18;9.75;9.75;9.29;9.47;1337988
2026-02-17;9.3;10.03;9.01;10.02;1334571
2026-02-13;9.6;9.78;9.32;9.36;1536372
2026-02-12;9.78;9.9;9.24;9.73;2095288
2026-02-11;9.9;10.08;9.53;9.78;1813254
2026-02-10;10.42;10.42;9.79;9.84;1827910
2026-02-09;9.65;10.36;9.33;10.2;2058530
2026-02-06;9.1;9.63;8.92;9.55;2705441
2026-02-05;9.58;9.81;8.8;8.8;3294888
2026-02-04;10.1;10.2;9.63;9.73;1770836
2026-02-03;9.9;10.31;9.64;9.9;1866106
2026-02-02;9.74;10.1;9.73;9.83;1858985
2026-01-30;10.22;10.38;9.89;9.95;1654730
2026-01-29;10.49;10.6;10.22;10.25;1418728
2026-01-28;10.3;10.81;10.21;10.43;1637653
2026-01-27;10.72;10.77;10.49;10.51;1437291
2026-01-26;11.0;11.0;10.62;10.69;1499706
2026-01-23;11.2;11.7;10.5;10.82;1629109
2026-01-22;11.25;11.41;11.1;11.2;1585234
2026-01-21;11.07;11.48;10.74;11.0;1516036
2026-01-20;11.34;11.56;11.06;11.11;1319969
2026-01-16;11.6;11.7;11.27;11.44;982217
2026-01-15;11.08;11.7;11.08;11.64;2191505
2026-01-14;11.34;11.34;11.06;11.18;1454568
2026-01-13;11.7;11.7;11.04;11.2;1865878
2026-01-12;10.88;11.65;10.88;11.39;2192864
2026-01-09;10.98;11.86;10.9;11.23;4008565
2026-01-08;9.8;11.0;9.8;10.88;1678432
2026-01-07;10.54;10.58;9.95;10.0;1427726
2026-01-06;10.42;10.7;10.2;10.51;1246078
2026-01-05;9.95;10.53;9.88;10.42;966610
2026-01-02;10.11;10.27;9.69;9.9;2105214
2025-12-31;10.11;10.3;10.03;10.11;2167459
2025-12-30;10.32;10.45;10.01;10.2;1724991
2025-12-29;10.48;10.61;10.28;10.38;1292735
2025-12-26;10.54;10.68;10.46;10.63;671875
2025-12-24;10.6;10.67;10.33;10.56;545090
2025-12-23;10.76;10.99;10.23;10.45;1139850
2025-12-22;10.24;10.55;10.12;10.53;1116568
2025-12-19;10.33;10.41;10.17;10.25;4969390
2025-12-18;10.18;10.59;10.18;10.36;971666
2025-12-17;10.3;10.52;10.12;10.17;1268329
2025-12-16;10.27;10.55;10.17;10.3;1473717
2025-12-15;10.57;10.81;10.0;10.0;1769951
2025-12-12;10.95;11.38;10.25;10.25;2284200
2025-12-11;9.95;10.91;9.87;10.87;2154244
2025-12-10;9.76;10.26;9.52;10.01;1967047
2025-12-09;9.58;9.82;9.4;9.67;1659164
2025-12-08;9.6;9.62;9.24;9.49;2282996
2025-12-05;9.71;9.71;9.28;9.54;1619764
2025-12-04;9.43;9.51;9.3;9.51;1374876
2025-12-03;9.58;9.7;9.3;9.53;1920280
2025-12-02;9.51;9.7;9.4;9.6;2307055
2025-12-01;9.89;9.89;9.47;9.48;2027037
2025-11-28;9.66;9.77;9.55;9.72;1261989
2025-11-26;9.61;9.68;9.41;9.64;1441542
2025-11-25;9.35;9.7;9.26;9.7;2213790
2025-11-24;9.21;9.45;9.1;9.45;2792744
2025-11-21;8.82;9.32;8.8;9.19;3145487
2025-11-20;9.25;9.44;8.88;9.21;3955811
2025-11-19;9.57;9.73;9.05;9.23;3137045
2025-11-18;9.25;9.63;9.04;9.45;3448260
2025-11-17;10.02;10.16;9.19;9.25;4007799
2025-11-14;10.21;10.23;9.68;9.84;4117397
2025-11-13;10.72;10.97;10.15;10.28;4029731
2025-11-12;11.25;11.8;10.12;10.75;9941269
2025-11-11;11.06;11.43;10.85;11.24;2625874
2025-11-10;11.26;11.58;11.08;11.21;1552008
2025-11-07;11.01;11.52;10.71;11.22;2898841
2025-11-06;11.86;11.88;11.13;11.14;2193726
2025-11-05;11.54;11.97;11.5;11.96;1238579
2025-11-04;12.0;12.1;11.52;11.7;2487623
2025-11-03;12.4;12.4;11.87;12.08;1794371
2025-10-31;12.29;12.48;12.1;12.35;1778623
2025-10-30;12.91;12.91;12.03;12.52;1620906
2025-10-29;12.5;12.95;12.0;12.76;3435744
