time;open;high;low;close;Volume
2026-04-24;58.35;61.77;58.0;60.94;610068
2026-04-23;62.16;63.2;56.86;59.3;1192880
2026-04-22;63.79;66.06;62.92;63.2;1506384
2026-04-21;62.61;65.1;62.0;62.6;1053130
2026-04-20;59.27;62.09;58.84;61.88;683950
2026-04-17;58.5;61.61;57.88;60.52;1043377
2026-04-16;57.46;59.04;55.5;56.23;1025322
2026-04-15;57.52;59.9;56.05;57.19;792614
2026-04-14;50.09;59.0;50.0;55.92;2239213
2026-04-13;47.17;50.69;47.0;50.0;622670
2026-04-10;48.81;49.08;47.11;47.91;481181
2026-04-09;50.92;50.92;47.34;48.61;476176
2026-04-08;53.79;54.19;50.85;51.14;797809
2026-04-07;51.46;51.99;49.02;51.99;814265
2026-04-06;50.96;51.95;50.06;51.18;468029
2026-04-02;47.8;51.0;46.56;50.21;712032
2026-04-01;47.91;51.28;47.91;49.54;902207
2026-03-31;44.33;47.64;43.98;47.55;1057252
2026-03-30;45.37;45.37;42.68;43.26;758164
2026-03-27;46.02;46.71;43.87;44.4;760376
2026-03-26;47.99;49.22;46.39;46.75;704028
2026-03-25;48.61;50.82;48.11;48.5;1411026
2026-03-24;44.5;48.16;43.01;48.13;1110274
2026-03-23;42.2;45.57;42.2;43.57;1350337
2026-03-20;44.54;44.68;41.52;42.07;987859
2026-03-19;44.75;45.69;42.66;44.8;496067
2026-03-18;47.29;47.37;44.4;44.45;686468
2026-03-17;45.39;47.41;45.29;47.28;693458
2026-03-16;43.39;45.4;43.39;44.0;491272
2026-03-13;43.95;44.85;42.68;43.0;525391
2026-03-12;46.16;46.21;42.52;42.68;677041
2026-03-11;45.32;47.34;44.24;46.86;489573
2026-03-10;48.4;49.0;45.26;45.44;560297
2026-03-09;46.54;48.38;44.5;48.33;867563
2026-03-06;47.0;47.83;45.76;46.64;584446
2026-03-05;48.0;49.25;46.58;48.66;846889
2026-03-04;47.38;49.32;46.81;48.06;710146
2026-03-03;44.33;47.63;42.89;46.0;549587
2026-03-02;45.5;46.92;44.72;45.89;495974
2026-02-27;48.71;48.71;46.06;46.92;565644
2026-02-26;50.01;50.02;46.34;48.85;585896
2026-02-25;48.6;50.72;48.6;49.58;596948
2026-02-24;48.0;49.23;46.65;48.54;642046
2026-02-23;47.49;48.09;46.04;47.65;779153
2026-02-20;51.57;51.57;47.16;48.32;1550012
2026-02-19;54.92;56.0;50.36;50.97;964508
2026-02-18;52.98;57.88;52.48;54.48;1754709
2026-02-17;48.78;53.42;48.64;51.83;1644886
2026-02-13;47.2;50.17;47.0;47.7;740209
2026-02-12;49.0;50.65;46.18;47.51;1428903
2026-02-11;49.0;50.35;47.9;49.6;1184049
2026-02-10;47.33;49.8;47.0;49.06;579273
2026-02-09;48.94;48.99;46.17;47.65;696436
2026-02-06;47.9;49.72;47.0;48.65;1431654
2026-02-05;48.1;48.75;44.97;46.11;1434403
2026-02-04;46.31;48.95;44.91;48.75;1572464
2026-02-03;46.53;48.21;45.0;46.1;1554881
2026-02-02;40.39;47.74;39.1;46.83;1875387
2026-01-30;41.52;41.79;39.66;40.79;1024516
2026-01-29;42.01;42.01;40.4;41.58;536791
2026-01-28;41.52;43.18;40.69;41.31;682112
2026-01-27;42.66;43.34;41.78;42.6;586660
2026-01-26;42.2;43.42;41.14;42.55;881325
2026-01-23;45.8;45.8;42.61;42.61;787411
2026-01-22;43.61;45.76;43.61;45.21;965123
2026-01-21;41.66;44.15;41.29;43.55;871561
2026-01-20;40.0;42.5;36.5;41.52;931609
2026-01-16;41.5;42.6;40.2;41.52;973879
2026-01-15;40.21;41.77;39.85;41.03;654702
2026-01-14;39.33;40.9;38.65;40.03;803645
2026-01-13;38.1;41.34;37.34;40.2;1453242
2026-01-12;35.17;39.8;35.16;37.76;1123930
2026-01-09;35.0;35.81;34.86;35.69;539713
2026-01-08;36.54;36.54;34.55;34.95;975803
2026-01-07;37.0;37.73;35.91;36.3;1106920
2026-01-06;34.34;37.47;34.34;35.42;1394817
2026-01-05;32.76;35.18;32.53;34.41;931457
2026-01-02;31.9;32.95;31.43;32.75;615596
2025-12-31;32.15;32.35;31.0;31.7;607315
2025-12-30;32.73;32.73;31.88;32.39;710935
2025-12-29;33.05;33.12;32.1;32.85;754248
2025-12-26;33.44;33.58;32.5;33.06;459237
2025-12-24;33.84;34.25;32.93;33.16;218115
2025-12-23;35.39;35.4;33.28;34.2;534237
2025-12-22;32.71;35.39;32.7;34.88;957441
2025-12-19;31.93;33.21;31.73;32.7;1132080
2025-12-18;32.3;33.75;30.9;31.56;1067803
2025-12-17;31.4;33.42;30.61;31.59;1193819
2025-12-16;30.67;31.49;30.21;31.13;1139335
2025-12-15;31.0;31.87;30.47;31.07;619490
2025-12-12;32.09;32.74;30.31;30.75;709756
2025-12-11;32.04;33.31;31.65;32.09;662617
2025-12-10;31.26;33.17;31.23;32.98;964714
2025-12-09;32.0;33.1;31.19;32.02;628020
2025-12-08;32.4;33.35;31.39;32.25;1341412
2025-12-05;32.7;32.94;31.84;32.94;731057
2025-12-04;31.15;33.21;30.42;32.5;781863
2025-12-03;29.72;31.88;29.6;31.17;970056
2025-12-02;30.17;30.34;28.9;29.11;777305
2025-12-01;31.62;31.81;29.7;29.8;1124821
2025-11-28;31.8;32.1;31.09;31.9;336235
2025-11-26;31.4;31.88;30.58;31.81;744380
2025-11-25;29.52;31.48;28.88;31.1;1088883
2025-11-24;29.0;29.56;28.23;29.14;1191592
2025-11-21;25.79;29.46;25.67;28.39;1899590
2025-11-20;25.92;28.2;25.73;25.79;1483637
2025-11-19;26.02;26.36;25.22;26.33;999472
2025-11-18;26.42;26.75;24.4;26.06;2015382
2025-11-17;26.99;27.37;25.5;26.5;2618073
2025-11-14;29.5;30.3;23.3;26.97;4393998
2025-11-13;32.0;32.0;29.54;30.99;1152848
2025-11-12;31.5;32.08;30.75;32.0;1142777
2025-11-11;30.98;31.89;30.44;31.77;1032876
2025-11-10;30.85;32.05;30.53;31.02;918516
2025-11-07;29.73;30.72;28.72;30.72;834396
2025-11-06;31.45;32.0;29.43;30.74;940072
2025-11-05;29.73;31.75;29.07;31.52;946686
2025-11-04;30.72;31.4;29.3;29.34;1402529
2025-11-03;33.34;33.96;30.97;31.75;830519
2025-10-31;31.96;34.08;31.01;33.08;796890
2025-10-30;32.4;32.87;30.65;30.71;744698
2025-10-29;34.16;34.16;31.94;32.8;894181
2025-10-28;34.26;34.5;33.28;33.79;552033
2025-10-27;35.58;35.58;33.22;33.75;966583
2025-10-24;32.16;35.0;31.83;34.43;1161801
2025-10-23;31.5;32.0;30.34;32.0;876852
2025-10-22;32.65;33.38;30.68;31.6;1559711
2025-10-21;34.0;34.12;31.96;33.5;1564896
2025-10-20;28.87;33.76;28.57;33.31;1948492
2025-10-17;29.93;31.02;28.12;28.3;1599362
2025-10-16;32.16;33.0;30.5;30.68;1210037
2025-10-15;31.47;32.62;30.92;32.06;1207197
2025-10-14;29.86;31.4;29.0;30.52;1026025
2025-10-13;32.02;32.15;29.4;30.36;1138043
2025-10-10;34.0;34.0;29.5;30.7;1864096
2025-10-09;32.83;33.97;31.82;33.61;1073200
2025-10-08;31.86;33.99;30.65;33.26;1638742
2025-10-07;31.78;33.51;31.03;31.24;2093628
