time;open;high;low;close;Volume
2026-04-24;21.4;22.25;21.23;22.08;933205
2026-04-23;22.73;22.75;20.62;21.7;2314509
2026-04-22;23.42;24.31;22.1;22.81;2200827
2026-04-21;25.24;25.24;22.85;23.42;2942705
2026-04-20;26.0;26.1;24.54;24.95;2544614
2026-04-17;25.08;26.45;25.08;26.0;1397166
2026-04-16;25.77;25.77;24.29;25.05;1245416
2026-04-15;24.82;25.7;24.46;25.29;1794041
2026-04-14;23.7;25.29;23.6;24.89;2052330
2026-04-13;23.0;24.3;22.82;23.12;1848607
2026-04-10;23.16;23.63;22.56;23.0;1266670
2026-04-09;23.02;23.3;22.21;23.3;1649500
2026-04-08;23.08;23.65;22.42;23.05;2159027
2026-04-07;21.74;23.37;21.36;22.62;1376615
2026-04-06;22.3;22.74;21.05;21.62;1967489
2026-04-02;21.45;22.91;21.06;22.25;861105
2026-04-01;21.23;23.06;21.23;22.05;1814127
2026-03-31;20.29;21.38;20.28;21.23;1865357
2026-03-30;19.45;20.25;19.22;20.13;967773
2026-03-27;20.34;20.34;19.15;19.48;1425530
2026-03-26;20.6;21.2;19.98;19.98;904458
2026-03-25;20.19;21.12;19.81;21.02;1979474
2026-03-24;19.05;20.2;18.77;19.75;1108241
2026-03-23;18.34;19.7;18.29;18.87;2075915
2026-03-20;18.37;18.66;18.08;18.66;1627025
2026-03-19;17.08;18.44;16.85;18.37;1158434
2026-03-18;18.13;18.24;17.19;17.19;1671436
2026-03-17;16.73;18.15;16.55;18.0;1932492
2026-03-16;18.56;19.34;15.9;16.73;4339502
2026-03-13;19.0;19.82;18.62;18.79;1238602
2026-03-12;20.18;20.37;18.69;18.69;1519400
2026-03-11;20.61;20.61;20.0;20.46;1032338
2026-03-10;20.97;21.23;20.06;20.6;1299619
2026-03-09;19.84;21.25;19.8;20.99;1089302
2026-03-06;21.38;22.31;20.52;20.52;1160812
2026-03-05;22.43;22.93;21.35;21.46;1320365
2026-03-04;22.66;23.09;22.2;22.22;1304045
2026-03-03;22.29;23.3;21.25;22.59;1731300
2026-03-02;22.25;23.26;21.83;22.88;2289504
2026-02-27;21.38;23.11;21.2;23.04;2823795
2026-02-26;19.66;22.17;19.63;21.64;2939538
2026-02-25;19.15;19.8;19.1;19.79;1877341
2026-02-24;18.82;19.23;18.51;19.15;1504302
2026-02-23;18.78;18.99;18.32;18.64;1601878
2026-02-20;19.19;19.89;18.71;18.88;1644683
2026-02-19;19.33;19.7;18.64;19.1;1763744
2026-02-18;18.62;19.78;18.29;19.57;1890814
2026-02-17;17.74;19.52;17.68;18.9;2097031
2026-02-13;18.02;20.89;17.55;18.8;3322647
2026-02-12;19.2;19.24;15.5;18.45;2606674
2026-02-11;19.18;19.41;18.5;19.17;1109755
2026-02-10;18.51;19.43;18.2;19.09;1927939
2026-02-09;18.56;18.83;17.96;18.5;1795217
