date;quarter;type
2026-06-04;Q2-2026;earnings
2026-03-05;Q1-2026;earnings
2025-12-05;Q4-2025;earnings
2025-08-28;Q3-2025;earnings
2025-06-03;Q2-2025;earnings
2025-03-05;Q1-2025;earnings
2024-12-05;Q4-2024;earnings
2024-08-28;Q3-2024;earnings
2024-06-05;Q2-2024;earnings
2024-03-06;Q1-2024;earnings
2023-11-29;Q4-2023;earnings
2023-08-30;Q3-2023;earnings
2023-05-31;Q2-2023;earnings
2023-03-02;Q1-2023;earnings
2022-11-30;Q4-2022;earnings
2022-08-24;Q3-2022;earnings
2022-05-31;Q2-2022;earnings
2022-03-02;Q1-2022;earnings
2021-11-17;Q4-2021;earnings
2021-08-18;Q3-2021;earnings
