time;open;high;low;close;Volume
2026-04-17;78.6;86.49;78.6;81.33;6286900
2026-04-16;77.5;79.68;76.07;77.31;2618900
2026-04-15;74.85;77.345;74.322;76.92;2639400
2026-04-14;73.55;75.49;73.33;74.72;2594200
2026-04-13;70.55;72.84;69.23;72.81;2981400
2026-04-10;73.76;74.29;69.655;71.68;3102300
2026-04-09;73.41;74.085;70.58;73.06;2473600
2026-04-08;75.3;80.34;73.835;74.18;3900700
2026-04-07;70.92;71.11;67.09;69.78;3734000
2026-04-06;71.59;73.26;70.29;71.95;3843000
2026-04-02;72.675;74.26;69.17;72.61;4341900
2026-04-01;75.71;76.3;73.0;75.25;4294000
2026-03-31;72.88;76.01;71.47;75.21;3369200
2026-03-30;72.57;74.0;68.857;69.55;2843300
2026-03-27;71.62;72.985;69.32;71.5;3284300
2026-03-26;77.84;79.86;73.15;73.7;3661600
2026-03-25;78.73;79.85;76.49;79.75;3434300
2026-03-24;76.51;77.655;72.59;75.4;3775100
2026-03-23;74.505;79.0;74.16;76.56;3975300
2026-03-20;76.13;76.315;71.5;72.35;3683400
2026-03-19;74.86;77.2;73.75;76.27;2534600
2026-03-18;79.25;81.4;76.45;76.76;2451300
2026-03-17;80.0;81.5;79.12;79.89;3163400
2026-03-16;77.45;79.89;77.0;79.11;3257100
2026-03-13;74.33;78.48;73.915;75.75;3023900
2026-03-12;74.03;78.96;73.15;73.74;4505500
2026-03-11;74.2;75.97;73.4;75.11;2630200
2026-03-10;75.12;77.715;74.49;74.83;2735400
2026-03-09;73.33;76.495;70.25;75.72;3324700
2026-03-06;76.19;76.89;73.23;76.2;2912100
2026-03-05;78.04;83.5;75.855;78.55;4218600
2026-03-04;76.77;81.32;75.99;78.71;3928300
2026-03-03;71.2;76.67;70.78;75.48;2996100
2026-03-02;73.4;74.67;72.0;73.77;3669000
2026-02-27;77.11;77.91;74.79;76.33;3264000
2026-02-26;75.61;80.9;75.61;78.97;5432400
2026-02-25;74.21;75.89;71.53;75.75;3952700
2026-02-24;73.49;75.3;72.83;73.91;3441400
2026-02-23;80.44;81.505;73.11;73.47;6377700
2026-02-20;78.51;87.305;78.5;81.43;8448600
2026-02-19;76.83;83.76;76.83;79.57;11504000
2026-02-18;87.21;92.18;87.01;91.48;6852300
2026-02-17;81.54;85.67;80.86;85.23;3336500
2026-02-13;83.0;84.0;81.56;82.39;3900200
2026-02-12;88.97;89.665;79.68;82.52;6398900
2026-02-11;90.69;91.133;86.66;88.07;3385900
2026-02-10;92.55;92.65;89.94;90.01;2431400
2026-02-09;89.995;94.44;89.995;92.79;3472100
2026-02-06;89.23;92.92;88.075;92.6;3750500
2026-02-05;88.01;89.05;84.67;88.39;5026500
2026-02-04;103.81;103.89;87.11;90.9;9557100
2026-02-03;105.44;109.92;102.93;104.39;2763700
2026-02-02;102.8;106.58;100.18;104.72;3686700
2026-01-30;105.69;107.535;101.21;103.49;2718300
2026-01-29;109.68;110.88;105.14;107.54;2856100
2026-01-28;111.22;111.6;107.11;108.69;1925000
2026-01-27;111.7;111.7;108.38;111.15;1322300
2026-01-26;110.51;111.0;108.17;110.13;1874000
2026-01-23;109.05;110.22;107.68;109.78;1927500
2026-01-22;111.8;114.97;109.44;110.15;2931300
2026-01-21;108.1;112.0;106.45;110.39;3587900
2026-01-20;112.0;113.4;105.86;107.89;3762400
2026-01-16;118.34;119.09;114.0;114.99;2133800
2026-01-15;116.21;119.98;116.2;118.25;2315000
2026-01-14;116.5;117.999;112.59;114.6;2769700
2026-01-13;114.69;119.285;114.69;119.05;2139500
2026-01-12;114.83;115.38;112.0;114.84;1954300
2026-01-09;115.02;117.49;108.07;115.93;3259800
2026-01-08;109.0;115.22;108.01;113.45;2906900
2026-01-07;113.33;115.8;109.08;109.99;3549600
2026-01-06;104.52;110.03;103.85;109.6;2743400
2026-01-05;105.7;107.4;101.31;105.39;2844000
2026-01-02;106.005;108.95;102.8;106.56;3587400
2025-12-31;101.66;101.95;99.86;100.41;1091400
2025-12-30;101.64;102.15;100.28;101.03;1356100
2025-12-29;100.76;102.105;99.52;102.03;1540200
2025-12-26;100.75;102.88;100.23;102.22;1311200
2025-12-24;100.63;101.33;99.77;100.71;666100
2025-12-23;100.94;101.79;97.43;101.6;1977800
