time;open;high;low;close;Volume
2026-04-24;22.56;23.13;21.84;22.81;1182831
2026-04-23;24.5;24.56;22.13;22.6;1577594
2026-04-22;25.62;25.99;23.91;24.65;1059068
2026-04-21;25.71;26.8;24.79;25.14;1862848
2026-04-20;24.64;26.13;24.38;26.1;2781994
2026-04-17;23.47;25.22;23.47;24.84;1351190
2026-04-16;23.75;24.19;22.84;23.32;1188699
2026-04-15;22.99;23.97;21.56;23.78;1472599
2026-04-14;21.5;23.57;21.03;23.12;2096910
2026-04-13;20.55;21.36;20.36;21.35;1505758
2026-04-10;20.94;21.36;20.65;20.79;1120937
2026-04-09;21.4;21.4;20.4;20.9;1314046
2026-04-08;21.99;23.1;21.08;21.16;1891818
2026-04-07;21.1;23.49;20.21;23.48;1410079
2026-04-06;20.5;21.32;19.8;21.32;1447321
2026-04-02;20.87;21.25;19.97;20.3;1775188
2026-04-01;21.3;23.25;21.18;21.41;1638147
2026-03-31;20.56;21.64;20.32;21.07;1534712
2026-03-30;20.2;20.75;19.96;20.33;1917712
2026-03-27;22.01;22.01;20.19;20.4;2319553
2026-03-26;22.88;23.63;21.84;22.3;1784237
2026-03-25;23.5;24.29;22.85;23.38;1215581
2026-03-24;24.06;24.5;22.39;23.5;1731367
2026-03-23;23.15;24.54;22.77;24.23;1809537
2026-03-20;24.07;24.23;22.32;23.0;2651057
2026-03-19;23.76;24.88;23.19;24.88;1933853
2026-03-18;23.94;24.52;23.03;23.76;1937023
2026-03-17;22.92;24.73;22.91;23.59;3905703
2026-03-16;24.35;24.72;22.85;22.94;2609666
2026-03-13;23.2;24.11;23.0;24.06;1851563
2026-03-12;25.01;25.27;23.44;23.51;2058591
2026-03-11;25.32;26.0;24.86;24.86;1189709
2026-03-10;25.31;26.2;24.79;25.54;1534839
2026-03-09;24.19;25.48;23.41;25.29;1736450
2026-03-06;26.4;26.48;24.77;24.79;2539254
2026-03-05;27.34;27.79;25.93;26.87;1524994
2026-03-04;27.45;28.08;26.61;27.36;2093496
2026-03-03;25.28;27.55;24.95;27.26;2790852
2026-03-02;24.24;26.5;23.25;26.29;2985644
2026-02-27;25.4;26.15;24.77;24.93;4308801
2026-02-26;21.7;27.33;18.8;25.04;11322947
2026-02-25;22.65;22.65;21.35;21.8;3404647
2026-02-24;22.2;22.86;21.88;22.24;1998764
2026-02-23;23.7;23.71;21.79;22.59;2483640
2026-02-20;23.6;24.12;22.89;23.85;2054724
2026-02-19;22.6;23.37;22.24;23.29;1302776
2026-02-18;22.06;22.9;21.75;22.79;1802668
2026-02-17;22.41;23.31;21.73;22.02;2258590
2026-02-13;21.6;22.9;21.09;22.6;1727752
2026-02-12;22.23;23.63;21.24;21.25;2871550
2026-02-11;22.56;23.77;20.89;22.05;4624126
2026-02-10;24.2;24.36;22.26;22.56;2475980
2026-02-09;25.27;26.54;24.13;24.2;2369945
2026-02-06;23.78;25.57;23.74;25.3;1717795
2026-02-05;26.38;26.38;23.4;23.49;2349374
2026-02-04;27.04;27.04;25.31;26.73;1303786
2026-02-03;26.27;26.98;25.64;26.12;1559299
2026-02-02;25.57;26.81;25.35;26.19;1802254
2026-01-30;26.47;26.91;25.25;25.99;2347545
2026-01-29;26.04;27.2;25.46;27.06;2027593
2026-01-28;27.44;27.44;24.88;26.04;2164809
2026-01-27;28.34;28.34;25.7;27.28;1833576
2026-01-26;26.36;27.81;25.87;27.5;1976649
