time;open;high;low;close;Volume
2026-04-17;8.28;8.37;8.08;8.21;4081200
2026-04-16;8.16;8.24;8.0;8.04;2000100
2026-04-15;7.92;8.18;7.92;8.1;2671800
2026-04-14;7.705;8.0;7.69;7.9;2731700
2026-04-13;7.51;7.62;7.32;7.6;2156100
2026-04-10;7.65;7.695;7.45;7.5;2572400
2026-04-09;7.67;7.78;7.53;7.59;2141100
2026-04-08;8.07;8.13;7.73;7.79;2938900
2026-04-07;7.52;7.68;7.28;7.47;2536300
2026-04-06;7.81;7.87;7.59;7.66;1441700
2026-04-02;7.61;7.889;7.61;7.81;2183500
2026-04-01;8.16;8.18;7.775;7.89;3263900
2026-03-31;7.5;8.3;7.5;8.09;12161900
2026-03-30;7.41;7.47;6.93;7.11;5732400
2026-03-27;7.5;7.56;6.875;6.955;5896700
2026-03-26;7.42;7.91;7.28;7.64;9095800
2026-03-25;7.59;7.725;7.115;7.53;9378700
2026-03-24;6.9;7.785;6.86;7.56;11000000
2026-03-23;6.85;7.26;6.005;6.92;25258300
2026-03-20;6.18;6.44;6.09;6.35;25141100
2026-03-19;6.2;6.26;6.02;6.23;4678500
2026-03-18;6.39;6.43;6.195;6.26;3327900
2026-03-17;6.55;6.61;6.4;6.44;2506200
2026-03-16;6.6;6.65;6.42;6.58;4021100
2026-03-13;6.87;6.92;6.625;6.65;3715200
2026-03-12;6.72;6.83;6.65;6.82;2500700
2026-03-11;6.78;6.98;6.77;6.82;2345100
2026-03-10;6.36;6.95;6.31;6.76;4883500
2026-03-09;6.29;6.32;6.055;6.29;4871700
2026-03-06;6.49;6.52;6.345;6.37;1931200
2026-03-05;6.54;6.715;6.44;6.52;3007200
2026-03-04;6.51;6.67;6.46;6.61;3691500
2026-03-03;6.34;6.435;6.14;6.34;4136700
2026-03-02;6.54;6.835;6.46;6.73;3969700
2026-02-27;7.0;7.15;6.92;6.99;2888600
2026-02-26;7.25;7.29;6.97;7.09;2783600
2026-02-25;7.39;7.4;7.24;7.27;2080800
2026-02-24;7.27;7.52;7.23;7.43;2129800
2026-02-23;7.0;7.41;7.0;7.34;3386100
2026-02-20;7.15;7.17;6.95;7.09;3603200
2026-02-19;7.2;7.475;7.18;7.3;2919600
2026-02-18;7.45;7.615;7.32;7.37;3832900
2026-02-17;7.51;7.72;7.44;7.68;1744600
2026-02-13;7.5;7.72;7.46;7.57;1448300
2026-02-12;7.77;7.78;7.35;7.46;2584800
2026-02-11;8.07;8.09;7.47;7.55;4085600
2026-02-10;8.09;8.28;7.995;8.01;2155000
2026-02-09;7.75;8.165;7.75;8.06;3040100
2026-02-06;7.48;7.95;7.31;7.81;4448900
2026-02-05;7.11;7.48;7.08;7.36;5710800
2026-02-04;7.56;7.63;6.88;7.11;6553200
2026-02-03;7.94;7.97;7.19;7.58;7600100
2026-02-02;7.79;7.79;7.61;7.7;4431000
2026-01-30;8.22;8.23;7.9;8.01;6832900
2026-01-29;8.66;8.68;8.18;8.26;3894200
2026-01-28;8.89;9.01;8.6;8.66;3031900
2026-01-27;8.83;9.02;8.7;8.84;2326300
2026-01-26;8.785;8.87;8.605;8.65;2196800
2026-01-23;9.05;9.05;8.82;8.82;3150300
2026-01-22;8.98;9.23;8.9;9.05;3928500
2026-01-21;8.8;8.92;8.61;8.84;4197900
2026-01-20;8.65;8.678;8.1;8.48;6256700
2026-01-16;8.88;8.996;8.68;8.85;3185100
2026-01-15;8.975;9.09;8.685;8.73;3254700
2026-01-14;8.81;9.08;8.75;8.9;2978100
2026-01-13;9.71;9.745;8.69;8.81;7705600
2026-01-12;9.59;10.015;9.53;9.79;3322800
2026-01-09;9.87;9.88;9.43;9.64;2465400
2026-01-08;9.6;9.818;9.51;9.77;1946400
2026-01-07;9.8;9.8;9.59;9.68;3006500
2026-01-06;9.8;9.95;9.67;9.91;4421100
2026-01-05;9.49;9.85;9.38;9.66;5250600
2026-01-02;8.98;9.4;8.91;9.39;5278100
2025-12-31;8.9;8.9;8.63;8.68;3045700
2025-12-30;8.76;9.005;8.721;8.9;3441700
2025-12-29;8.51;8.79;8.46;8.66;3251300
2025-12-26;8.83;8.83;8.5;8.71;2559500
2025-12-24;8.87;8.96;8.8;8.83;1322000
2025-12-23;8.95;9.0;8.795;8.87;3004000
2025-12-22;9.2;9.23;8.93;8.97;4574300
2025-12-19;8.7;8.995;8.61;8.92;5472300
2025-12-18;8.63;8.755;8.47;8.56;2225000
2025-12-17;8.7;8.949;8.43;8.45;3419700
2025-12-16;8.26;8.695;8.23;8.64;2769800
2025-12-15;8.63;8.68;8.36;8.44;3011600
2025-12-12;8.905;8.91;8.55;8.63;3151300
2025-12-11;9.0;9.15;8.685;8.92;3813200
2025-12-10;8.93;9.01;8.79;8.97;3214100
2025-12-09;9.08;9.085;8.643;8.91;6577300
2025-12-08;9.31;9.35;9.12;9.24;4745000
2025-12-05;9.42;9.56;9.29;9.51;4913300
2025-12-04;9.2;9.38;8.955;9.36;3995700
2025-12-03;8.9;9.15;8.895;9.12;5014200
2025-12-02;8.625;8.825;8.56;8.67;4497900
2025-12-01;8.3;8.855;8.12;8.5;6020400
2025-11-28;8.04;8.35;8.03;8.24;2804800
2025-11-26;8.015;8.2;7.88;8.04;4162700
2025-11-25;8.22;8.28;7.82;7.92;6211500
2025-11-24;7.7;8.425;7.53;8.26;9961700
2025-11-21;7.05;7.365;6.865;7.2;6254100
2025-11-20;7.44;7.885;7.07;7.07;6796100
2025-11-19;7.05;7.38;7.0;7.15;4688200
2025-11-18;6.87;7.265;6.82;7.12;4083900
2025-11-17;7.2;7.39;6.98;7.12;5213400
2025-11-14;7.03;7.355;6.93;7.03;7753100
2025-11-13;7.8;7.89;7.26;7.27;6652000
2025-11-12;8.12;8.187;7.77;7.93;4305000
2025-11-11;8.0;8.17;7.95;8.11;3979300
2025-11-10;8.33;8.345;7.8;8.17;9768800
2025-11-07;8.095;8.18;7.44;7.99;12707300
2025-11-06;9.03;9.065;8.225;8.56;11161700
2025-11-05;9.6;9.61;8.9;8.91;11735200
2025-11-04;10.4;10.4;9.36;9.405;11428600
2025-11-03;10.72;11.15;10.5;10.9;7317800
2025-10-31;10.8;10.812;10.16;10.67;6599500
2025-10-30;10.83;10.97;10.545;10.6;4017200
2025-10-29;11.75;11.84;11.06;11.1;7089600
2025-10-28;11.5;12.13;11.195;11.72;14216200
2025-10-27;11.17;11.325;10.99;11.16;6220000
2025-10-24;10.35;10.98;10.32;10.64;7009300
2025-10-23;9.86;10.48;9.86;10.12;4719000
2025-10-22;10.125;10.125;9.4;9.83;8462000
2025-10-21;10.28;10.545;10.17;10.18;2620800
2025-10-20;10.32;10.57;10.3;10.37;3799200
2025-10-17;10.28;10.35;9.91;10.1;6765200
2025-10-16;11.15;11.16;10.345;10.53;5783100
2025-10-15;11.0;11.65;10.98;11.07;8131300
2025-10-14;10.43;10.68;9.99;10.62;7022000
2025-10-13;10.8;10.905;10.53;10.76;5521100
2025-10-10;11.97;12.18;10.16;10.17;16826500
2025-10-09;12.18;12.19;11.53;11.97;7079500
2025-10-08;11.3;12.405;11.26;12.38;13064600
2025-10-07;11.37;11.38;10.66;11.05;5660800
2025-10-06;11.16;11.655;11.12;11.3;8168600
2025-10-03;11.27;11.32;10.571;10.97;6909600
2025-10-02;10.52;11.28;10.43;11.27;10085600
2025-10-01;9.83;10.39;9.78;10.32;4832400
2025-09-30;10.52;10.6;9.86;9.9;8504900
2025-09-29;10.57;10.63;10.25;10.42;11331000
2025-09-26;10.68;10.77;10.12;10.19;8461200
2025-09-25;11.04;11.18;10.72;10.91;7386000
2025-09-24;11.685;12.2;11.38;11.39;9583900
2025-09-23;11.7;12.55;11.21;11.24;12736100
2025-09-22;11.82;12.36;11.46;11.56;14691200
2025-09-19;10.84;11.635;10.39;11.53;22958200
2025-09-18;10.271;10.48;9.89;10.46;5930600
2025-09-17;10.24;10.54;10.23;10.42;6618600
2025-09-16;10.3;10.5;10.22;10.29;6963900
2025-09-15;10.1;10.42;9.87;10.32;11776600
2025-09-12;9.9;9.9;9.61;9.84;3328300
2025-09-11;9.4;9.9;9.26;9.9;5840300
2025-09-10;9.565;9.635;9.27;9.34;3463800
2025-09-09;9.15;9.68;9.15;9.5;5198300
2025-09-08;9.07;9.44;9.05;9.18;3443500
2025-09-05;9.04;9.08;8.78;9.07;2735300
2025-09-04;8.98;8.995;8.74;8.87;2822700
2025-09-03;9.12;9.32;8.98;8.99;2668500
2025-09-02;9.1;9.173;8.92;9.16;3980900
2025-08-29;9.55;9.7;9.295;9.36;2321900
2025-08-28;9.52;9.67;9.41;9.57;2893900
2025-08-27;9.52;9.57;9.11;9.5;4024000
2025-08-26;9.5;9.8;9.4;9.76;2683100
2025-08-25;9.61;9.93;9.45;9.6;3755000
2025-08-22;9.18;9.57;9.07;9.52;3470800
2025-08-21;8.99;9.18;8.919;9.1;2870800
2025-08-20;9.23;9.235;8.84;9.01;4930000
2025-08-19;9.9;10.06;9.295;9.385;5915000
2025-08-18;9.96;10.02;9.599;9.89;3878700
2025-08-15;9.87;10.095;9.68;9.92;8422100
2025-08-14;9.5;9.719;9.36;9.65;4409000
2025-08-13;9.3;9.99;9.15;9.97;10893000
2025-08-12;8.88;9.34;8.62;9.31;6298400
2025-08-11;9.16;9.24;8.79;8.8;4594800
2025-08-08;9.31;9.34;8.89;9.19;5016500
2025-08-07;8.73;9.33;8.73;9.18;7936200
2025-08-06;8.77;8.885;8.62;8.67;4760100
2025-08-05;8.73;8.73;8.5;8.68;4675900
2025-08-04;8.84;8.89;8.63;8.7;5591200
2025-08-01;8.92;8.92;8.4;8.65;7975900
2025-07-31;10.17;10.21;9.03;9.18;17005700
2025-07-30;9.79;9.81;9.15;9.35;7760200
2025-07-29;10.22;10.28;9.79;9.95;10960200
2025-07-28;11.0;11.5;10.11;10.255;16782000
2025-07-25;10.17;10.545;10.04;10.34;8814400
2025-07-24;9.97;10.425;9.92;10.32;12127000
