date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-23;bmo;1.15;1.16;-0.51
2020-04-30;bmo;-2.65;-2.36;-12.52
2020-07-23;bmo;-7.82;-7.9;0.96
2020-10-22;bmo;-5.54;-5.75;3.73
2021-01-28;bmo;-3.86;-4.12;6.34
2021-04-22;bmo;-4.32;-4.33;0.27
2021-07-22;bmo;-1.69;-1.73;2.29
2021-10-21;bmo;-0.95;-1.03;7.76
2022-01-20;bmo;-1.42;-1.48;3.99
2022-04-21;bmo;-2.32;-2.41;3.52
2022-07-21;bmo;0.76;0.74;2.36
2022-10-20;bmo;0.69;0.56;22.49
2023-01-26;bmo;1.17;1.08;8.62
2023-04-27;bmo;0.05;0.03;80.7
2023-07-20;bmo;1.92;1.59;20.43
2023-10-19;bmo;0.38;0.25;50.51
2024-01-25;bmo;0.29;0.08;265.56
2024-04-25;bmo;-0.34;-0.29;-16.81
2024-07-25;bmo;1.01;1.05;-3.99
2024-10-24;bmo;-0.23;0.25;-191.09
2025-01-23;bmo;0.84;0.6;40.0
2025-04-24;bmo;-0.59;-0.67;11.73
2025-07-24;bmo;0.91;0.78;16.67
2025-10-23;bmo;-0.17;-0.28;38.21
2026-01-27;bmo;0.16;0.35;-54.58
2026-04-23;bmo;-0.4;-0.46;13.04
