date;timing;eps_actual;eps_estimated;surprise_pct
2020-01-29;amc;1.42;0.73;94.47
2020-04-29;amc;0.64;0.56;14.83
2020-07-29;amc;0.85;0.51;67.17
2020-10-29;amc;0.89;0.72;23.48
2021-01-26;bmo;1.21;1.09;10.59
2021-04-27;bmo;1.39;1.06;31.65
2021-07-27;bmo;1.33;1.04;28.43
2021-10-26;bmo;0.97;0.89;8.95
2022-01-25;bmo;1.5;1.37;9.53
2022-04-26;bmo;1.9;1.41;34.75
2022-07-26;bmo;2.15;1.72;24.96
2022-10-25;bmo;1.86;1.41;31.54
2023-01-26;bmo;1.93;1.65;16.95
2023-04-25;bmo;2.09;1.78;17.35
2023-07-25;bmo;1.89;1.59;19.15
2023-10-24;bmo;1.63;1.53;6.34
2024-03-12;bmo;1.36;1.43;-5.02
2024-04-30;bmo;1.46;1.37;6.74
2024-07-30;bmo;1.03;1.24;-16.84
2024-11-18;amc;1.09;1.09;-0.02
2025-02-04;bmo;1.14;1.15;-0.75
2025-05-06;bmo;0.7;0.67;4.46
2025-08-05;bmo;0.93;0.8;16.82
2025-11-04;bmo;0.92;0.85;7.91
2026-02-03;bmo;0.87;0.8;9.17
