date;timing;eps_actual;eps_estimated;surprise_pct
2020-02-11;amc;1.23;1.13;8.85
2020-04-28;amc;1.2;1.16;3.67
2020-07-28;amc;1.38;1.21;13.61
2020-10-27;amc;1.31;1.23;6.6
2021-02-09;amc;1.33;1.31;1.24
2021-05-04;amc;1.38;1.3;5.86
2021-08-03;amc;1.42;1.38;2.54
2021-11-02;amc;1.45;1.39;4.6
2022-02-15;amc;1.49;1.42;4.98
2022-05-03;amc;1.39;1.42;-2.23
2022-08-09;amc;1.35;1.31;3.22
2022-11-08;amc;1.26;1.22;2.98
2023-02-14;amc;1.37;1.26;8.7
2023-05-09;amc;1.4;1.32;6.01
2023-08-08;amc;1.49;1.41;5.94
2023-11-07;amc;1.63;1.5;8.76
2024-02-13;amc;1.69;1.61;4.75
2024-05-09;amc;1.64;1.61;1.96
2024-08-08;amc;1.58;1.53;3.02
2024-11-07;amc;1.59;1.59;0.01
2025-02-20;amc;1.66;1.52;8.98
2025-05-08;amc;1.7;1.57;8.58
2025-08-07;amc;1.73;1.53;13.18
2025-11-06;amc;1.86;1.64;13.71
2026-02-19;amc;1.84;1.75;5.12
